Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-336.99777	32.345554	-300.1698	-389.06924	1002.8182	6.3149834	1010.8205	993.6176	1000.0	1000.0	3999	1.9294771	3.1999302	20.187206	-27.217272	1.9298811	3.2006292	19.80528	-25.413439	-2.446156	0.50765646	0.26872906	0.021378594	0.31732497	0.21826227	2.3628244	0.9065658	3.4599676	2.205561e-07	83.79237675666809
2	-371.92892	36.16531	-310.0828	-401.47183	1009.91125	15.0704975	1031.106	989.30743	1000.0	1000.0	7999	11.714734	4.735591	43.08341	-26.678413	11.714953	4.7380447	41.97087	-28.241302	-12.416543	0.97813344	0.2913769	0.010490961	0.34023568	0.25230488	3.2360184	0.180817	3.920019	2.61362	174.73602843284607
3	319.0296	644.0735	967.99536	-359.99777	977.8771	7.963983	989.0197	963.87	1000.0	1000.0	11999	21.92703	5.4788136	57.634674	-18.204447	21.92724	5.4798226	58.971542	-16.546343	-22.566177	1.3395094	0.3063642	0.013013842	0.35687113	0.26854226	3.4543219	0.15522726	4.023483	2.9509003	272.51841974258423
4	963.2219	15.801712	979.01495	936.8831	963.2635	8.837164	977.86945	945.9588	1000.0	1000.0	15999	30.53	5.5226955	61.511513	-9.894312	30.53015	5.5230556	61.588615	-7.617902	-30.81704	1.0166545	0.3298786	0.015228225	0.38827908	0.27701	3.1916173	0.14922443	3.7503288	2.6632683	365.7378590106964
5	967.6974	17.250206	984.16547	938.77454	981.846	9.470227	1000.1931	968.99005	1000.0	1000.0	19999	37.407284	6.411283	70.34483	-5.2558045	37.407276	6.411501	71.42609	-3.700345	-37.460423	0.96819293	0.35832196	0.014378721	0.42429197	0.31479943	3.0559864	0.13400304	3.5290682	2.5914817	463.7186806201935
6	971.4961	1.299551	972.62683	969.31305	956.9661	26.97802	1016.82336	926.26105	1000.0	1000.0	23999	43.62823	7.9770746	81.10535	1.7241784	43.62806	7.97748	81.340965	1.4247426	-43.561203	0.92804784	0.36975852	0.016707266	0.43441722	0.3214382	2.967541	0.13853253	3.461048	2.4945433	560.3325850963593
7	986.9332	5.8828335	995.35925	978.7301	982.31335	4.2062488	988.17615	973.7003	1000.0	1000.0	27999	49.003815	9.644187	85.996346	0.69620925	49.003685	9.644272	87.09344	2.1966033	-48.86615	0.88899523	0.36005408	0.016658736	0.41863447	0.3084964	2.8371806	0.13805954	3.3745282	2.4162946	662.0397608280182
8	982.3655	5.5918922	986.2683	972.79016	977.5881	4.250637	988.6992	973.17035	1000.0	1000.0	31999	53.878574	11.307518	87.657974	3.476932	53.878494	11.307557	87.98654	4.8300524	-53.69891	0.8703236	0.36351213	0.021656597	0.46004438	0.31097037	2.798542	0.15961969	3.5816588	2.2263558	754.5480694770813
9	984.99243	4.900446	990.5654	977.09894	988.6317	6.6318836	1000.79767	978.9617	1000.0	1000.0	35999	58.171986	13.052506	89.54326	2.3027105	58.17193	13.05268	88.51019	4.2398806	-57.963108	0.8080617	0.35349858	0.021124812	0.42257237	0.29059914	2.6816573	0.1728002	3.2749884	2.1536353	844.9421219825745
10	995.4181	14.3525	1013.2724	976.37427	987.213	16.403423	1024.7874	967.6887	1000.0	1000.0	39999	61.59259	14.6663685	89.95515	0.36916304	61.592514	14.666515	90.283875	1.4260106	-61.353584	0.78784263	0.33504266	0.019533467	0.43530485	0.2876503	2.5551531	0.1636015	3.2230358	2.0206501	937.6145522594452
11	1001.58026	6.462044	1012.24097	995.5155	1010.576	25.964483	1083.1934	992.9636	1000.0	1000.0	43999	64.79418	16.24967	90.90636	-2.1696043	64.794136	16.249968	90.631874	1.0412867	-64.544334	0.76218885	0.3498722	0.023556188	0.4344754	0.28600612	2.6161635	0.184021	3.2385082	2.0629761	1026.7267355918884
12	1003.9433	5.329933	1010.53424	997.6101	985.3963	5.4837008	999.39624	978.59845	1000.0	1000.0	47999	67.713356	17.658155	95.48622	1.7707742	67.71336	17.658083	94.75123	3.2874873	-67.449905	0.72646046	0.3352664	0.022999998	0.4814364	0.2822705	2.4969144	0.18526426	3.203845	1.9064282	1114.9360649585724
13	1020.09076	8.665479	1030.3628	1007.55194	1000.2816	11.952813	1014.4146	976.0176	1000.0	1000.0	51999	70.12273	18.810799	96.00918	3.345966	70.12271	18.810898	94.09936	2.3362818	-69.849785	0.6897208	0.32782385	0.02363759	0.4428665	0.2677055	2.4082065	0.19720352	3.2624605	1.7304629	1219.7401411533356
14	1033.7579	16.812046	1053.0238	1010.54846	1016.80383	9.193798	1036.1813	1006.7219	1000.0	1000.0	55999	72.14737	19.925907	97.30065	-1.4548925	72.14732	19.925982	96.83769	0.88455087	-71.869774	0.6541907	0.31918952	0.020014789	0.42863196	0.2589972	2.330684	0.17534624	3.0413885	1.8108183	1320.105920791626
15	1024.7228	8.577737	1037.9354	1013.91315	1026.8746	8.351975	1045.706	1016.2856	1000.0	1000.0	59999	74.03138	20.805775	97.742065	-1.1781696	74.03141	20.805956	96.804955	-1.583283	-73.75462	0.65643007	0.32255197	0.022626584	0.41446134	0.26190725	2.3412976	0.19560057	2.9992344	1.7553382	1421.462241411209
16	1034.0986	13.727235	1049.5087	1012.01636	979.8739	2.093246	984.3151	976.9163	1000.0	1000.0	63999	75.95132	21.625517	100.440056	-7.5109587	75.95135	21.625347	101.43444	-4.2496133	-75.67718	0.6751051	0.3285601	0.036777366	0.68716216	0.26599813	2.357562	0.24378249	3.7562695	1.7328033	1521.5617382526398
17	1103.715	28.963854	1153.4186	1083.4132	984.14355	8.105305	991.08344	962.7801	1000.0	1000.0	67999	77.75233	22.489645	102.55183	-6.4910455	77.75234	22.489632	102.62704	-5.282836	-77.480316	0.6566104	0.33542025	0.033591148	0.5426314	0.27039057	2.4185777	0.2390932	3.5287116	1.7381268	1624.7339532375336
18	1102.1626	36.52986	1163.1821	1067.1775	999.55194	7.9500866	1014.5182	990.8009	1000.0	1000.0	71999	79.781944	23.20904	104.82207	-6.4982886	79.78188	23.2092	104.31932	-6.868605	-79.52025	0.6416082	0.34008783	0.034359824	0.4960957	0.2739358	2.4456847	0.24105726	3.4283502	1.8063692	1722.4604043960571
19	1138.338	31.164076	1177.0266	1090.2577	1203.4056	50.899254	1241.7844	1094.9062	1000.0	1000.0	75999	81.6277	23.868332	106.74302	-11.448669	81.62765	23.868464	106.05073	-7.350831	-81.35554	0.6414059	0.3425438	0.03983581	0.5238131	0.26832908	2.460839	0.26632398	3.3974092	1.7483511	1821.4619891643524
20	1181.6504	57.647068	1253.8271	1105.5217	1376.5647	8.580824	1388.9934	1362.6064	1000.0	1000.0	79999	83.59448	24.54906	106.2254	-9.69864	83.59448	24.549322	107.81292	-9.256493	-83.32639	0.6658069	0.36335507	0.04920176	0.6373296	0.28232285	2.5936193	0.27620205	3.6100883	1.9314904	1919.1535785198212
21	1199.5447	106.49133	1274.4401	1017.40826	1233.3584	6.048208	1244.4946	1226.0132	1000.0	1000.0	83999	86.36054	25.013044	114.82818	-9.81208	86.36044	25.0133	116.01913	-9.585264	-86.11161	0.7130297	0.39629322	0.055027913	0.7580758	0.29275137	2.7665243	0.2514281	3.7744207	2.1208575	2028.0748839378357
22	1265.1621	43.08577	1334.4817	1216.5122	1199.0479	69.81035	1239.0552	991.6685	1000.0	1000.0	87999	89.11767	25.858421	115.289055	-9.232367	89.11772	25.858515	115.3138	-8.887201	-88.88202	0.74320215	0.42870134	0.07799711	0.81687015	0.29633483	2.9195464	0.2893442	4.009346	2.196456	2130.022338628769
23	1202.7991	53.501358	1284.002	1142.974	1297.3826	44.111313	1351.5034	1200.2272	1000.0	1000.0	91999	92.85694	26.548855	118.84672	-12.213474	92.857	26.54874	117.0312	-11.600732	-92.623955	0.80433154	0.46908602	0.07566393	0.7909969	0.32421288	3.0949697	0.25990078	4.041328	2.3175774	2232.884848833084
24	1200.7668	79.14763	1294.7137	1101.7223	1231.1301	48.518864	1274.4846	1091.7472	1000.0	1000.0	95999	96.9833	27.24323	123.36636	-10.155282	96.98329	27.243402	122.29904	-9.732959	-96.76394	0.82634795	0.47408625	0.08255079	0.8059981	0.33833063	3.097161	0.26703304	4.147937	2.4888315	2329.401379585266
25	1242.9539	41.06353	1294.8536	1179.8217	1372.3748	6.516186	1380.8754	1357.3693	1000.0	1000.0	99999	100.01478	27.744888	131.79063	-9.556453	100.01479	27.744913	125.74918	-11.759429	-99.795906	0.8398242	0.4732189	0.061011083	0.8357806	0.35064715	3.1800122	0.23154382	4.1750746	2.5306559	2431.8183097839355
26	1283.3359	19.29861	1303.6069	1261.1199	1260.595	10.911567	1275.4348	1237.7715	1000.0	1000.0	103999	102.93625	28.270113	133.85005	-10.527176	102.93616	28.270504	133.2347	-11.354787	-102.71844	0.85044795	0.4911731	0.05792084	0.7719509	0.37013716	3.2819965	0.22873762	4.223274	2.4204729	2530.7602076530457
27	1241.749	8.668711	1255.804	1232.1724	982.5856	2.2603674	987.8069	978.7833	1000.0	1000.0	107999	106.42525	28.71985	138.10008	-16.530087	106.42525	28.719933	133.41426	-15.082024	-106.228745	0.9427284	0.5165697	0.056133766	0.70203465	0.3920865	3.419575	0.22598939	4.100781	2.7737143	2635.9582030773163
28	1321.9886	48.55437	1384.145	1248.5476	1354.806	8.012176	1369.6134	1346.399	1000.0	1000.0	111999	109.40118	29.1298	140.22281	-14.587958	109.40109	29.130098	137.84477	-12.392335	-109.17165	0.9149076	0.5124291	0.058376905	0.8215761	0.39522257	3.3863745	0.2118578	4.2527795	2.83337	2728.207569360733
29	1377.155	58.82802	1453.2943	1306.8342	1352.6272	15.445231	1372.1351	1317.3922	1000.0	1000.0	115999	111.78633	29.203558	137.04852	-15.210356	111.78626	29.203661	135.67831	-15.228047	-111.57122	0.8663895	0.4925342	0.06297426	0.8445324	0.36951697	3.3581564	0.2351716	4.41828	2.7670722	2830.9731664657593
30	1414.5618	21.240686	1449.1295	1391.1927	1514.187	4.2393117	1521.707	1509.056	1000.0	1000.0	119999	114.20968	29.536045	141.58737	-15.650341	114.20962	29.53633	140.24074	-17.34678	-113.996216	0.8348797	0.5084884	0.067479566	0.7493808	0.3713956	3.413949	0.24534184	4.382666	2.651945	2938.6961817741394
31	1497.283	16.267563	1516.3816	1477.2006	1482.3734	5.76593	1490.0706	1468.4404	1000.0	1000.0	123999	116.13214	29.72043	141.53629	-13.620089	116.13215	29.720469	139.28284	-12.547188	-115.90883	0.81267864	0.4902146	0.0566959	0.7170217	0.3837729	3.3752549	0.23134027	4.220503	2.8112164	3039.3707025051117
32	1522.9216	14.553655	1545.0001	1504.1571	1497.0466	4.4912596	1506.089	1490.8872	1000.0	1000.0	127999	118.28734	29.664654	145.14413	-14.51936	118.28723	29.665	143.27638	-15.240982	-118.073784	0.7944588	0.5088521	0.0568868	0.9016996	0.38404927	3.4737833	0.22621426	4.7212977	2.8858707	3141.973808288574
33	1582.596	24.700104	1613.2646	1546.4388	1636.408	7.6983457	1648.2869	1624.3776	1000.0	1000.0	131999	120.72754	29.967865	145.82973	-12.850885	120.72752	29.968212	142.87273	-13.046295	-120.5216	0.8084097	0.52442735	0.044955496	0.6901876	0.40185517	3.5699942	0.19251513	4.3938923	2.9763324	3242.077124595642
34	1623.7344	30.814344	1675.6047	1595.6067	1642.0521	10.016937	1656.6753	1623.6558	1000.0	1000.0	135999	123.48231	30.125032	148.40506	-13.66045	123.48226	30.12512	148.30225	-12.475002	-123.287125	0.81382215	0.5377776	0.05010675	0.7849285	0.42850402	3.6414952	0.21727085	4.786518	3.0677872	3347.911247253418
35	1661.7217	31.12536	1699.6151	1629.5098	1740.7621	37.72007	1802.0295	1675.1354	1000.0	1000.0	139999	126.46106	30.422508	151.68904	-13.239847	126.4611	30.422567	150.47499	-11.342558	-126.266624	0.8328763	0.55459166	0.049033705	0.8435236	0.44791496	3.7282262	0.20682882	4.8320885	3.1675882	3441.8882575035095
36	1756.2244	36.371937	1808.9679	1708.0946	1888.2214	10.995398	1911.2639	1866.3073	1000.0	1000.0	143999	129.4958	30.781864	151.69687	-12.811634	129.49577	30.781855	153.46379	-14.550113	-129.31595	0.8284652	0.5707983	0.04296125	0.8015487	0.45837674	3.8176281	0.18130818	4.538281	3.151868	3536.17147731781
37	1874.9083	21.941181	1907.1498	1845.3029	1930.6735	12.550722	1952.6378	1911.7019	1000.0	1000.0	147999	133.31796	31.193043	158.64954	-11.864254	133.31784	31.19359	160.7687	-12.571779	-133.15976	0.87128687	0.6138468	0.041234512	0.7774928	0.50173223	4.0457163	0.18787377	4.794661	3.443648	3632.410812139511
38	1943.0051	82.46875	2053.824	1863.1031	2066.9673	16.820684	2090.9612	2046.1259	1000.0	1000.0	151999	137.74757	31.576077	162.7469	-9.161054	137.74753	31.576586	164.7324	-9.060344	-137.60266	0.97951967	0.6610868	0.06732265	1.210599	0.52948874	4.118806	0.23328696	5.4864173	3.4416833	3731.267541885376
39	2020.0833	18.398457	2048.933	1998.5886	1845.3998	28.245508	1888.653	1795.543	1000.0	1000.0	155999	143.2617	32.57791	169.14914	-9.287193	143.26164	32.578316	170.43913	-10.322421	-143.16588	1.1683768	0.7580639	0.06969015	1.0670431	0.57968134	4.4165087	0.22596467	5.284248	3.79435	3830.717376947403
40	2083.142	49.699	2135.9487	2008.1108	1983.8225	473.40182	2299.4316	981.634	1000.0	1000.0	159999	149.74548	33.70301	179.1717	-12.521288	149.7454	33.703617	177.8413	-11.040306	-149.64688	1.2887102	0.77745616	0.057973906	1.0580963	0.6134931	4.6116824	0.22182727	5.519271	3.945305	3933.0023300647736
41	1922.7097	477.36444	2224.792	1096.6339	2099.7104	164.21841	2329.3564	1868.991	1000.0	1000.0	163999	155.81026	35.048267	204.71414	-8.009513	155.8099	35.049145	205.05627	-10.228253	-155.72307	1.556823	0.8056596	0.06495695	1.1194295	0.6290552	4.702812	0.24121456	5.769629	3.953384	4039.824957847595
42	1704.5708	511.749	2221.2212	1168.3394	2111.0989	234.19702	2275.2163	1479.7528	1000.0	1000.0	167999	162.51784	39.029987	223.62582	-18.989481	162.51796	39.030426	225.76057	-19.313644	-162.46748	1.938883	0.84702986	0.06534122	1.178052	0.67847836	4.9672394	0.2562791	6.200179	4.2749424	4132.298122882843
43	1622.3904	405.4478	2086.8484	971.06616	1191.773	357.19	1819.8337	739.5706	1000.0	1000.0	171999	168.33702	41.629395	264.93372	-21.599628	168.33708	41.629208	265.34662	-17.848139	-168.32788	2.3795173	0.8733717	0.078948066	1.2399328	0.71048295	5.1756387	0.31477645	6.544855	4.38133	4230.301531553268
44	1490.8636	401.08713	2181.355	1193.5181	1046.1234	496.82034	1914.2817	491.28152	1000.0	1000.0	175999	174.34956	43.10585	281.48593	-38.748184	174.3492	43.106655	279.14783	-38.438557	-174.41103	3.16756	0.94728756	0.09414388	1.2457323	0.7090805	5.4600596	0.30238593	6.502769	4.547519	4325.249025583267
45	1318.4246	458.4045	1905.9758	678.707	2223.3015	143.7211	2338.6848	1826.9705	1000.0	1000.0	179999	180.4717	43.43805	283.92914	-8.62083	180.47134	43.43922	280.5457	-6.689802	-180.46243	3.235878	0.9174326	0.07994815	1.328131	0.71929777	5.2304053	0.3653055	7.139243	4.2815156	4422.361903429031
46	1907.9602	192.64922	2199.4592	1668.1602	2442.522	220.63078	2619.7893	1805.4106	1000.0	1000.0	183999	183.32697	43.82828	246.63336	-8.977087	183.32684	43.828552	244.77249	-13.372187	-183.29463	3.1381047	0.91868263	0.10518227	1.374852	0.7038865	5.15961	0.38723788	6.683797	4.1985435	4515.3744513988495
47	2320.484	40.082447	2355.682	2252.631	2467.8367	37.4569	2525.3103	2399.4634	1000.0	1000.0	187999	185.54224	42.686913	228.74106	-11.878992	185.54214	42.68717	231.85815	-7.4305124	-185.45088	2.8563142	0.8776565	0.08246063	1.3580419	0.693588	5.0298114	0.281576	6.503492	4.298218	4612.530482053757
48	2135.9978	315.07913	2405.1504	1623.7698	2417.3774	56.208992	2538.8105	2342.8696	1000.0	1000.0	191999	187.08878	42.28678	224.56987	-1.6464491	187.089	42.286266	224.23653	2.0311599	-187.02826	2.9872215	0.88023496	0.08482888	1.1334531	0.6554372	5.1848545	0.30858004	6.454614	4.186421	4710.7552700042725
49	2406.9783	66.064156	2512.2463	2329.6165	2537.5884	50.047855	2625.008	2447.5989	1000.0	1000.0	195999	190.21532	41.829155	227.83517	9.37866	190.21535	41.829453	229.13391	2.1816902	-190.17456	2.9441514	0.8932523	0.054756764	1.1674904	0.7414663	5.422332	0.27219555	6.5586424	4.577943	4811.029935359955
50	2535.6738	36.009315	2596.0608	2504.8137	2638.813	32.85718	2676.998	2577.9521	1000.0	1000.0	199999	193.30524	41.147957	229.99338	10.17513	193.30515	41.147514	230.16559	8.0351925	-193.26521	2.898299	0.9019805	0.054608442	1.1618758	0.72586155	5.366321	0.24706095	6.4274206	4.487072	4903.061038970947
51	2706.4028	35.6754	2742.9138	2649.8333	2691.636	40.529015	2762.2349	2650.8342	1000.0	1000.0	203999	196.92535	40.603245	238.13531	13.447872	196.92538	40.603348	238.3814	17.477386	-196.89346	3.0780344	0.8946499	0.053698823	1.1285051	0.7303248	5.45825	0.25158295	6.6540666	4.6849084	4997.424560546875
52	2595.742	216.91832	2765.8455	2232.698	1521.2985	462.2236	2257.0535	908.97266	1000.0	1000.0	207999	202.07101	40.557823	259.44272	23.488825	202.07118	40.55757	257.2194	24.187252	-202.13432	3.2867973	1.0040636	0.059973557	1.2071128	0.793544	5.766116	0.29278132	7.0222507	4.9380474	5092.296660423279
53	1895.7275	755.6845	2674.7227	991.5818	490.86606	258.59482	970.78827	191.95676	1000.0	1000.0	211999	212.14828	43.198196	311.78137	36.07251	212.148	43.198994	311.19922	36.808456	-212.46753	4.3190293	1.257021	0.15198392	1.7519414	0.89915264	6.2807727	0.41889843	7.991909	5.0340962	5185.266361474991
54	1038.3167	284.69165	1370.4253	731.88324	1071.885	225.1547	1595.1069	814.49255	1000.0	1000.0	215999	221.67816	48.031734	309.42853	20.68765	221.67805	48.032505	308.50723	27.648823	-221.73465	5.051222	1.0524433	0.082521886	1.3362951	0.8423699	6.0026326	0.32793215	7.3012094	5.0384846	5291.358049631119
55	1287.6924	598.78546	2260.2598	740.76965	2561.4792	236.86215	2793.8596	1894.528	1000.0	1000.0	219999	221.97598	48.015064	276.75253	40.426025	221.97586	48.015743	276.95087	40.226707	-221.92903	4.3620105	0.95046926	0.07034236	1.2021146	0.7741397	5.8214016	0.2671792	6.870831	4.7880774	5395.987792491913
56	2879.0479	37.578724	2935.9395	2834.7095	2624.073	247.85904	2863.4487	2201.5422	1000.0	1000.0	223999	220.9312	47.29122	269.50772	42.132076	220.93118	47.291245	268.8436	40.37947	-220.8535	3.944487	0.90073526	0.050052613	1.1404389	0.7499631	5.756792	0.27056888	6.831787	4.9210143	5497.443807125092
57	2859.9785	13.281675	2873.6592	2843.2407	2916.276	209.70253	3078.8167	2309.6284	1000.0	1000.0	227999	221.41045	47.59941	271.72025	39.70424	221.41064	47.599518	272.02136	40.115486	-221.41933	4.007556	0.9517751	0.05529766	1.2022524	0.7918504	6.0630417	0.3018548	7.1785254	5.0449114	5590.130816698074
58	2874.377	21.576675	2903.6658	2842.739	2889.3862	90.41085	2998.3557	2655.7358	1000.0	1000.0	231999	224.03836	48.081676	273.9255	30.089582	224.03818	48.082024	273.24225	30.238842	-224.08154	4.238195	1.0025119	0.07039703	1.2698302	0.82308954	6.2186427	0.30624372	7.738487	5.2420077	5689.603693962097
59	3010.5764	36.102234	3061.6545	2959.6787	2945.0693	100.69303	3089.2354	2677.7236	1000.0	1000.0	235999	228.16934	48.15581	279.71216	40.475338	228.1692	48.15613	279.4798	40.181973	-228.22417	4.1781654	1.017255	0.055855077	1.2212132	0.85178196	6.265811	0.27539185	7.495424	5.2196054	5784.548636198044
