Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-260.12378	44.592064	-220.81267	-333.47467	-631.72125	37.12798	-565.76154	-698.6341	1000.0	1000.0	3999	0.039904118	2.4694324	17.256989	-9.647684	0.039797682	2.470119	17.336357	-9.91122	-0.12390689	0.7259041	0.26628268	0.07178525	0.47949615	0.1920653	1.7489063	0.47647223	2.70828	1.6523991e-07	71.79261803627014
2	-272.75266	60.729557	-194.42236	-349.9759	219.90756	284.75568	804.7198	-63.378704	1000.0	1000.0	7999	6.2508864	5.5468144	32.461678	-8.4147005	6.25094	5.5459986	32.611313	-8.794967	-6.596835	2.6458802	0.416499	0.02243838	0.5021858	0.34135154	2.7245765	0.23262306	3.4403238	2.0959241	168.90047025680542
3	26.721458	364.652	410.0694	-414.8257	1178.096	157.19125	1347.4064	853.08307	1000.0	1000.0	11999	15.874698	9.089394	52.056347	-2.8862176	15.874722	9.088988	52.270958	-2.568544	-16.22883	2.841892	0.41865966	0.027329296	0.5290608	0.33735678	3.1515586	0.20500611	4.1780043	2.451276	270.0439131259918
4	1084.6619	418.3546	1604.5989	454.46167	1184.6516	309.5273	1577.7301	623.86316	1000.0	1000.0	15999	23.505224	14.510446	69.96452	-6.943953	23.505005	14.510426	69.035446	-6.45242	-23.673254	2.5504878	0.41444075	0.024025075	0.5262503	0.34107766	3.3958426	0.25790408	4.378651	2.5529528	371.6753976345062
5	1627.0424	122.65878	1755.2748	1489.3773	1897.7336	47.02837	1951.8057	1792.9928	1000.0	1000.0	19999	35.151554	20.81354	88.7591	-6.137114	35.151157	20.813774	88.383804	-6.2782	-35.250454	3.6897516	0.46729547	0.028860318	0.6009336	0.38583982	3.935192	0.25318772	4.9333	3.174371	473.48569083213806
6	2040.5903	126.07989	2197.1384	1882.3904	2251.854	69.08395	2339.949	2122.508	1000.0	1000.0	23999	50.41458	26.516693	108.30547	-4.751539	50.41446	26.51721	108.51024	-5.0123334	-50.47738	4.618919	0.5148816	0.03401986	0.6630435	0.39885196	4.384533	0.2745776	5.419099	3.390238	575.738523721695
7	2394.796	43.007904	2446.3896	2352.1338	2668.1116	57.115074	2771.0383	2594.116	1000.0	1000.0	27999	67.85146	32.16442	129.48984	-4.175915	67.85136	32.16469	130.24261	-2.8847082	-67.848366	5.566011	0.5595217	0.039734423	0.73854667	0.45062512	4.7218585	0.29168168	5.849112	3.778921	678.1567056179047
8	2636.1116	154.30302	2818.9783	2424.8293	2876.975	78.04215	3002.8152	2759.4707	1000.0	1000.0	31999	86.95336	38.103302	158.24828	-5.9027233	86.95345	38.103447	158.13828	-5.252181	-86.92098	7.0438285	0.6237057	0.04665464	0.82723665	0.5030795	5.213263	0.31611788	6.4459753	4.260608	779.6243984699249
9	2776.7427	301.45428	3020.4011	2276.4614	3204.0603	63.30953	3318.7026	3105.6445	1000.0	1000.0	35999	106.81091	44.05951	179.41792	-6.649359	106.81119	44.058857	179.54346	-6.75679	-106.729614	8.8141775	0.69164443	0.05169634	0.90700316	0.5538504	5.6787133	0.3316394	6.8919334	4.5267606	880.6417083740234
10	3018.5105	127.88835	3143.8503	2806.2742	3340.7898	83.636055	3428.8513	3136.8962	1000.0	1000.0	39999	127.01562	49.446762	202.62975	-12.763918	127.01602	49.44659	203.23839	-10.949431	-126.87626	10.488121	0.7482739	0.05297701	1.0082936	0.61088413	6.065342	0.33788273	7.581024	5.0309668	981.6680526733398
