Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-108.95134	160.9281	167.38873	-234.94724	391.92548	4.65071	398.1936	383.549	1000.0	1000.0	3999	1.5882825	6.164432	52.62379	-23.030716	1.588006	6.1641316	53.039337	-23.026157	-1.8873829	0.43067712	0.939997	0.6206426	1.7814003	0.12653881	1.7458462	1.0551412	3.9799023	1.0025711e-07	73.42745041847229
2	113.02285	141.41293	248.57788	-119.29096	193.92883	2.2936344	196.41774	188.56761	1000.0	1000.0	7999	30.50598	27.439161	175.20065	-27.81478	30.50559	27.439339	175.75685	-29.230223	-32.215485	3.2649224	1.935678	0.1027309	2.1252642	1.649426	4.9858975	0.79529476	7.4754834	2.8977807	168.86464428901672
3	57.888577	214.26103	323.82578	-155.6583	180.79288	29.829512	221.69385	121.80428	1000.0	1000.0	11999	75.22038	39.22872	230.07468	-13.410058	75.22043	39.228405	229.99026	-13.592841	-76.97059	4.4526834	2.0966601	0.03879661	2.2299101	1.9560199	5.240291	0.36266807	6.6320486	4.0837917	264.726482629776
4	209.86133	74.47689	262.9811	81.67331	260.54578	10.206005	274.51978	243.53178	1000.0	1000.0	15999	111.42667	32.072025	229.35548	37.48517	111.42651	32.071472	228.59474	37.656464	-112.89994	4.591444	2.1034243	0.050987087	2.2776632	1.9386863	4.9889026	0.3959864	6.632754	3.7370372	363.2370867729187
5	348.0299	80.90595	445.97745	236.00523	239.43118	41.123768	299.41327	186.12923	1000.0	1000.0	19999	134.05293	31.070625	218.46786	57.49474	134.053	31.069878	219.13928	58.012146	-135.02907	3.9491177	1.995478	0.051624168	2.1480837	1.7802887	4.3476906	0.47341552	5.970754	3.0981247	459.9605903625488
6	274.37863	111.10599	452.78708	163.58444	325.6823	70.43777	487.53357	241.9402	1000.0	1000.0	23999	140.88113	33.425873	215.30313	66.963356	140.88116	33.426216	216.5006	66.15085	-141.14253	3.1674597	1.7430185	0.10251019	1.9920131	1.4426768	3.0708356	0.3239427	4.418142	2.2771413	557.3962762355804
7	378.18506	89.801735	500.29147	250.62735	288.297	3.2992742	293.63596	284.4793	1000.0	1000.0	27999	139.21216	39.658485	290.4075	59.810505	139.21225	39.657806	290.35413	60.42363	-139.66594	2.7356052	1.6994153	0.13617457	1.9874382	1.3974079	3.127789	0.39893886	4.574589	2.175067	652.7448740005493
8	382.2683	37.971867	417.72458	321.81567	220.82004	64.5754	401.20233	143.36055	1000.0	1000.0	31999	140.30061	52.784576	307.31796	54.93908	140.30061	52.78461	307.16022	54.872818	-140.4598	2.5456626	1.544292	0.12782443	1.927062	1.2335528	2.763833	0.38332126	4.1818595	1.9220208	749.4979310035706
9	618.5827	50.384342	676.56494	555.3047	764.0211	46.531654	868.89825	692.19855	1000.0	1000.0	35999	131.86118	54.026913	301.73413	47.776375	131.86118	54.026962	300.77362	47.548428	-131.78041	2.5053072	1.4256841	0.05808919	1.640366	1.2328954	2.399451	0.18335214	3.4088538	1.8779277	846.0223433971405
10	667.3558	124.55706	826.89	501.59738	711.0808	57.812252	770.4561	591.3336	1000.0	1000.0	39999	122.98111	52.047527	283.72046	36.901535	122.98114	52.047127	283.04993	36.91155	-122.797066	2.5292213	1.3778813	0.07046628	1.5855932	1.1595548	2.192263	0.16735479	2.857425	1.6890308	941.8898515701294
11	867.95996	72.904076	954.5016	779.0023	886.9004	103.34822	1123.4326	715.8251	1000.0	1000.0	43999	115.31151	50.690228	288.09412	30.110172	115.31157	50.689964	289.63553	30.038897	-115.239624	2.6275988	1.4258296	0.09146395	1.6764128	1.0974929	2.308114	0.19629292	3.0445275	1.7346586	1038.8346269130707
12	855.11304	55.453426	924.7734	770.0371	966.15906	34.880062	1029.3741	907.01624	1000.0	1000.0	47999	114.4097	58.006718	380.35608	16.432158	114.40966	58.00616	381.6458	16.077602	-114.587166	2.9704833	1.4470606	0.06745428	1.6982862	1.2278388	2.6703944	0.2902475	3.85845	1.8534236	1133.8179759979248
13	937.3006	68.5143	1031.272	838.6572	876.2033	62.75247	978.4438	807.5156	1000.0	1000.0	51999	116.94302	71.12874	451.07596	10.46122	116.94301	71.12853	450.21112	10.383114	-117.08699	3.1532116	1.4454492	0.06979164	1.6651345	1.200158	2.7755709	0.28336868	3.9388747	1.9527436	1233.484173297882
