Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	35235.18	3294.19	40364.902	31372.316	32189.812	22.996717	32226.459	32150.254	1000.0	1000.0	3999	10.3457575	5.8502283	31.179716	-0.042724	10.3457775	5.85027	30.970304	-0.041970927	-9.790291	0.21313804	0.3410623	0.0065150014	0.36475623	0.31956282	1.2143857	0.6079602	2.3278937	1.7733817e-07	112.7265772819519
2	32131.938	958.5819	33656.215	31016.424	37075.625	50.708	37181.37	37011.457	1000.0	1000.0	7999	32.184566	9.34627	75.30662	10.229097	32.184563	9.346283	75.3919	10.21434	-31.609089	0.6711987	0.3629706	0.012145416	0.39738294	0.32988593	3.5513732	0.702335	4.8612905	2.0069885	256.0873637199402
3	35921.03	2922.662	38449.574	31287.965	38708.586	286.88306	39470.168	38501.668	1000.0	1000.0	11999	54.58376	10.44335	103.064476	32.198257	54.583714	10.443647	103.13793	31.89113	-53.98357	1.1301805	0.39339378	0.010857075	0.4349136	0.3579471	4.96929	0.26051387	5.8440466	4.105449	404.0525977611542
4	53196.508	18131.996	84233.98	38440.934	80280.45	583.85126	81242.414	79474.67	1000.0	1000.0	15999	71.23262	12.910239	124.431755	43.28581	71.23257	12.910106	124.911674	43.847847	-70.4907	1.3890404	0.47126356	0.050920527	0.6208473	0.38365114	6.288924	0.70751643	8.273432	4.681037	554.9024918079376
5	70945.984	10834.367	86677.01	56244.348	77484.42	9894.592	95905.36	59555.78	1000.0	1000.0	19999	112.07095	38.561634	268.00684	33.33543	112.07114	38.56144	267.70398	30.57179	-112.29844	9.568254	2.1765108	0.7793872	3.2319646	0.51949453	11.5575	2.6319854	17.573965	6.1763673	698.4982025623322
6	67490.85	5282.1753	73861.26	60772.17	54142.406	8369.479	65723.36	39418.715	1000.0	1000.0	23999	188.52576	66.51505	349.42538	39.05466	188.52652	66.51266	349.63724	38.624825	-188.20465	20.932262	1.7853771	0.5214994	2.7926688	0.8352276	10.877292	1.919085	15.871323	7.5731993	844.6449630260468
7	82080.12	29143.447	115204.87	51682.344	114596.875	9252.5625	118153.266	86849.93	1000.0	1000.0	27999	207.61238	64.111565	372.68655	60.53274	207.61278	64.1104	371.4754	61.99425	-206.53691	17.426153	0.93401235	0.0755228	1.2539663	0.74601835	8.333604	0.4697036	10.335996	6.997516	992.9316275119781
8	98027.59	24575.604	126557.24	72827.26	115203.92	11951.057	123332.805	88353.64	1000.0	1000.0	31999	228.42905	68.62474	408.06555	78.20671	228.42947	68.623856	407.42215	77.179306	-227.35344	15.46538	1.3724309	0.2011291	2.0756416	0.90583426	9.395375	0.45500824	11.206155	7.781282	1139.9873552322388
9	83827.086	10101.125	99428.42	73950.56	103057.94	288.79074	103563.95	102492.12	1000.0	1000.0	35999	264.42566	89.665375	476.48697	85.26934	264.42627	89.66362	475.2847	84.52321	-263.4755	22.305508	1.7983536	0.45984614	2.843834	0.9493212	10.25311	0.7196896	12.994841	8.100786	1288.8411605358124
10	102872.29	16025.858	119519.914	76679.36	127240.94	488.51605	127886.414	126210.45	1000.0	1000.0	39999	287.25296	92.25495	483.6182	102.802864	287.25333	92.25389	481.8437	102.941025	-286.15118	22.752518	1.234197	0.122792415	1.6149013	0.9174481	9.731803	0.4753161	11.500495	8.172409	1440.1800363063812
11	116415.055	11190.609	125642.28	97398.95	123078.29	317.4761	123707.65	122586.805	1000.0	1000.0	43999	307.85956	94.79228	499.91156	116.764786	307.86005	94.79069	497.4433	114.50241	-306.7885	23.932877	1.3558633	0.12910245	1.7836196	1.0064555	10.253451	0.49070814	12.082416	8.4705305	1589.3263099193573
12	100158.875	20668.252	121529.44	78923.69	121611.11	12996.234	126565.71	82631.66	1000.0	1000.0	47999	329.96164	98.604996	545.46234	128.46771	329.9616	98.60453	548.1159	127.70135	-328.8285	23.731407	1.3921922	0.14099023	1.8300203	1.0412886	10.359777	0.5341784	12.370252	8.546326	1737.199832201004
13	114495.79	23037.818	136334.34	75766.83	106865.86	668.62524	108147.586	105534.195	1000.0	1000.0	51999	355.19937	112.99172	569.8456	126.94083	355.1998	112.99029	570.3121	127.37572	-354.06207	25.534187	1.5225337	0.19277914	2.1454217	1.1032019	10.752955	0.64551	13.935839	8.946047	1885.6013085842133
14	104402.016	17335.527	126372.09	77875.25	122741.375	665.2824	124040.3	121807.67	1000.0	1000.0	55999	372.94528	116.86546	608.11237	129.64262	372.94592	116.86366	607.0633	128.48952	-371.74536	25.812895	1.5283793	0.16215798	2.0284672	1.1394421	10.823136	0.56433535	12.86409	8.920524	2034.739215373993
15	120789.49	24608.27	144520.62	79522.51	82641.85	5142.1636	95458.66	77037.48	1000.0	1000.0	59999	393.8633	125.37445	618.2042	134.07924	393.8647	125.37172	617.70166	131.75723	-392.60187	28.91019	1.6397495	0.20168951	2.386857	1.2001647	11.250879	0.7156703	13.900714	9.557033	2193.2731142044067
16	87380.875	17802.096	115220.52	66022.77	75273.164	10269.15	101125.98	65663.72	1000.0	1000.0	63999	410.7383	133.42221	645.94434	132.91547	410.7393	133.41873	645.5106	133.37808	-409.43076	31.154417	1.6658465	0.19509259	2.3140702	1.1672884	11.23339	0.59170043	13.649558	9.420166	2335.996744632721
17	89398.7	17459.008	106863.68	68962.16	138962.4	10980.663	151418.1	122966.32	1000.0	1000.0	67999	427.99265	149.41385	685.4614	134.9354	427.99405	149.41133	684.7972	135.24066	-426.62103	38.762627	1.7119024	0.16187242	2.163189	1.3424768	11.565757	0.5121669	13.5811205	9.953658	2485.1814341545105
18	125596.54	12098.082	144912.06	111605.695	151726.08	6859.15	156025.44	131455.64	1000.0	1000.0	71999	439.47675	157.75783	701.3942	134.0554	439.47757	157.75635	703.1375	135.01324	-438.03714	44.98268	1.8698393	0.18157192	2.5144093	1.330271	12.055557	0.5599256	14.46155	10.223748	2632.8568019866943
19	117606.04	14337.656	131359.89	93575.836	85538.04	17141.035	135001.36	73113.48	1000.0	1000.0	75999	456.94308	161.58427	728.8995	142.67549	456.9426	161.58505	729.2087	140.81839	-455.46863	50.147697	2.1113324	0.137263	2.5092213	1.7518333	12.528727	0.5347028	14.914875	10.701442	2776.133711338043
20	93262.32	18311.832	120874.02	71816.164	96459.75	24972.404	136481.44	73879.016	1000.0	1000.0	79999	474.31635	173.7115	760.0979	143.39417	474.31732	173.71071	759.00543	140.12527	-472.74844	54.85605	2.0607429	0.17925358	2.7699683	1.7032415	12.58882	0.608609	15.278303	10.867357	2920.6950495243073
21	124414.36	11728.071	138312.64	106120.77	100769.234	16731.938	126093.66	73424.74	1000.0	1000.0	83999	491.10416	183.98752	791.8277	142.92456	491.10452	183.9893	789.0098	142.00015	-489.5846	63.236805	2.2548215	0.30009663	3.0772293	1.5810435	13.13116	0.77441186	15.568177	10.870293	3065.5093429088593
22	101337.914	20459.96	136399.0	85965.1	152196.05	920.5355	153349.95	150678.4	1000.0	1000.0	87999	517.4384	196.61485	835.2918	148.53873	517.43805	196.61809	834.8202	146.3308	-515.9661	70.45995	2.6817815	0.12547308	3.0539665	2.2860224	14.2718	0.611824	16.65593	12.513962	3215.4405035972595
23	110748.28	17923.805	141221.25	95041.9	126356.914	19527.277	151199.88	84133.734	1000.0	1000.0	91999	539.7054	207.3762	855.643	140.21918	539.70514	207.37904	855.09344	138.67545	-538.07666	76.47633	2.643078	0.16357617	3.186464	2.1894822	14.197519	0.59703356	16.389381	12.364744	3361.848951101303
24	128696.28	17984.19	143721.7	98053.555	149510.38	2062.3086	151020.81	143722.86	1000.0	1000.0	95999	558.0128	216.94257	884.06604	141.7504	558.01373	216.94481	886.7151	127.25829	-556.3409	83.59578	2.662856	0.14804476	3.2366354	2.2479403	14.312112	0.61702865	17.352228	12.366252	3509.114517211914
25	139562.64	8723.953	152253.77	131392.45	153655.94	152.7487	153952.45	153452.28	1000.0	1000.0	99999	574.1949	215.64598	892.98987	135.04898	574.1947	215.64835	895.198	133.99646	-572.48114	82.72408	2.647235	0.14548436	3.0602982	2.1690123	14.220966	0.5690557	16.549023	12.348907	3656.460437774658
26	112090.42	22143.486	145209.34	83243.82	143059.44	2178.0327	147032.8	138638.83	1000.0	1000.0	103999	594.78	215.7003	913.76746	139.33943	594.7802	215.70062	903.7269	123.18079	-593.10065	82.731674	2.9178317	0.1806056	3.4340754	2.3609092	14.6752205	0.60222226	16.90925	12.71848	3807.1840603351593
27	120081.71	22284.188	144956.89	95033.54	139730.19	13514.264	154620.06	109271.695	1000.0	1000.0	107999	609.72284	219.5913	904.26447	109.86911	609.7229	219.59503	904.06445	124.85897	-607.8704	88.12641	2.7882836	0.2041391	3.3508587	2.231197	14.488217	0.648005	16.81801	12.58182	3955.539211988449
28	138826.44	5781.154	148780.83	134520.7	134723.94	3231.0112	139737.16	130896.82	1000.0	1000.0	111999	615.9779	217.58908	897.7688	128.99773	615.978	217.59047	897.704	130.19456	-614.0286	84.746704	2.5315738	0.16396144	3.2320023	2.0810525	13.882289	0.5922025	16.120117	12.201753	4108.289370536804
29	140553.78	5936.065	149663.9	133026.69	151487.33	550.00824	152309.39	150768.88	1000.0	1000.0	115999	619.5539	211.75867	899.0279	148.4914	619.5542	211.75996	897.21625	147.82281	-617.58923	79.92445	2.513055	0.1437818	2.9146414	2.0137553	13.901734	0.6109995	16.277355	11.961793	4260.46021437645
30	144576.34	6363.995	151058.69	134858.19	150497.67	358.92667	151265.22	150131.56	1000.0	1000.0	119999	625.13965	205.04335	890.55634	152.42116	625.139	205.04355	891.1136	145.78775	-623.23004	76.898315	2.5896065	0.21742626	3.2069395	2.0761435	13.882125	0.67317706	16.257593	11.740832	4412.407073259354
31	143748.34	5582.1665	149277.44	134740.55	147348.61	455.36087	148284.39	146878.8	1000.0	1000.0	123999	632.4222	199.99915	884.27545	156.32079	632.4226	199.9986	885.38043	149.89261	-630.4752	77.47637	2.6948676	0.18110931	3.2662356	2.1520774	13.926232	0.5861682	16.179905	12.17353	4564.136243581772
32	132474.36	9728.618	143681.75	118397.48	133835.4	16466.95	147160.33	88005.98	1000.0	1000.0	127999	638.2634	194.90915	887.19995	146.24388	638.26355	194.90999	894.66907	141.65617	-636.2415	79.18103	2.5973632	0.16271026	3.112073	2.1199446	13.632088	0.56156594	15.894717	11.849967	4713.534690856934
33	137892.1	14295.456	152886.27	114513.164	147496.2	3362.2441	150946.25	138988.6	1000.0	1000.0	131999	645.45374	189.58296	909.45215	154.39893	645.4534	189.58594	903.41876	156.31363	-643.3904	76.82393	2.6772182	0.1714196	3.3742757	2.229383	13.736227	0.61077845	15.977624	11.653836	4860.971967935562
34	144978.48	10866.063	152747.3	126241.23	153446.36	146.73798	153667.31	153222.2	1000.0	1000.0	135999	646.7428	186.3845	906.1503	158.05492	646.74	186.3887	908.24603	158.24153	-644.62244	72.44755	2.3760333	0.1464664	2.7908368	1.9576812	12.990576	0.53789115	14.962182	11.306902	5010.840679645538
35	146413.95	2345.6892	149223.0	143939.64	150974.52	1660.4727	152932.1	146603.66	1000.0	1000.0	139999	643.3827	183.87967	901.9509	153.34099	643.3806	183.88353	906.4488	156.17632	-641.2031	67.499535	2.359669	0.18914425	2.9223225	1.87679	12.727115	0.53021735	14.575892	10.843293	5160.923993349075
