Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	118.938095	37.08854	279.36017	78.564064	267.1384	71.07747	402.43094	172.61798	24.280487	57.7	3999	26.410051	16.369438	82.75021	-8.528643	26.410233	16.369131	82.89622	-7.683565	-26.10227	3.8877015	0.68291295	0.6825147	3.4202971	0.32174584	3.6555583	2.2399387	10.206251	2.1112882e-07	193.6920142173767
2	117.259605	34.045143	271.11133	78.41971	339.53165	28.924679	396.90714	288.3616	23.875	74.5	7999	223.41722	184.34537	947.45905	-82.3053	223.41406	184.35828	938.37244	-86.129135	-254.17062	86.70701	5.2685084	0.5656457	5.714593	2.6720948	65.445114	42.9228	180.81802	9.379129	449.0808856487274
3	148.5506	68.708466	378.69482	69.073524	223.5853	33.61301	301.86234	184.24635	31.33071	51.0	11999	1145.3368	751.9992	2853.78	-1096.9158	1145.3176	752.10004	2890.9187	-1051.4579	-1283.1079	2128.164	5.6894503	0.024788428	5.751662	5.5911407	303.13055	70.80667	439.64484	146.8169	705.5219655036926
4	202.82613	37.35393	315.92603	134.045	259.43048	47.730656	343.74496	201.62656	44.366665	53.2	15999	1617.0376	992.9931	3046.5845	-637.3076	1617.0206	993.11285	3026.582	-657.08575	-1723.8538	5041.241	5.651566	0.023437565	5.732973	5.5628896	282.74857	29.678774	382.63086	192.78279	959.4750609397888
5	269.17288	69.988716	488.09952	163.97862	300.70245	53.53222	435.07574	230.90137	57.157143	60.0	19999	1508.6204	1041.3466	3051.455	-576.8433	1508.6167	1041.4442	3046.3591	-648.0496	-1590.1003	5078.892	5.6368265	0.024111746	5.703514	5.5354776	230.918	28.474834	345.3674	148.48283	1212.5944440364838
6	328.45505	106.589455	610.7794	176.13718	379.82568	69.65444	503.93185	282.92682	68.67242	85.5	23999	1193.5017	934.0855	2837.96	-212.98058	1193.5023	934.1388	2801.84	-190.39511	-1252.8206	4043.0884	5.612871	0.0222714	5.68644	5.526603	197.58961	20.816757	291.18414	132.42007	1466.3837749958038
7	365.3009	134.93979	929.70496	152.90826	392.89426	158.0482	818.14636	234.57428	78.09804	85.5	27999	919.85486	771.6651	2470.93	-160.40376	919.847	771.69714	2462.2502	-150.62677	-962.62604	3057.1975	5.5958242	0.024292424	5.670104	5.495568	162.1929	19.780775	244.46281	97.577286	1717.9939563274384
8	362.84668	82.33914	567.0975	220.96953	278.78082	52.6633	367.15536	204.29124	80.02	65.4	31999	687.94275	597.53094	2015.7975	-122.92362	687.9429	597.5469	2005.7269	-121.74192	-714.66785	2119.145	5.572887	0.0233453	5.646107	5.473202	125.34452	13.789571	188.421	88.63275	1969.4988849163055
9	348.3656	102.82785	648.9712	156.04501	402.15704	106.66741	592.0744	214.30313	76.11539	90.0	35999	516.5088	438.29892	1561.331	-120.57656	516.51013	438.30118	1572.5596	-115.37452	-533.13873	1385.359	5.5282598	0.026903687	5.6202726	5.4252768	98.79699	11.268314	142.17313	64.94508	2220.597440481186
10	404.4628	94.63024	637.7356	258.43832	443.23154	139.75256	812.8463	310.79016	84.6875	91.3	39999	416.04025	329.4121	1193.3109	-89.39599	416.03912	329.4142	1216.0212	-105.55687	-425.92432	856.8944	5.4648967	0.0371629	5.5827518	5.339682	75.12841	8.31094	115.01566	51.562214	2475.1395330429077
11	418.9004	102.38722	617.57465	211.72897	433.37714	111.55468	606.1564	273.31033	88.82222	93.1	43999	359.92944	266.731	1002.4785	-62.634758	359.9313	266.73438	1005.4367	-71.480446	-365.8491	613.33307	5.373727	0.037950292	5.4894314	5.2129054	59.898254	6.058076	82.462654	43.4487	2727.3010308742523
12	382.98575	82.83235	573.305	225.41374	441.81192	104.89833	631.04553	285.63455	85.80851	100.9	47999	318.0545	227.74252	870.72766	-69.73211	318.05508	227.75116	881.1973	-58.148327	-321.42734	464.17404	5.239484	0.055200115	5.3736596	5.037898	50.43566	4.7614007	73.45142	33.34434	2977.623151063919
13	356.85843	89.44568	726.38684	246.1721	515.8006	106.55554	768.4777	349.1732	81.61224	115.7	51999	278.4076	193.40588	763.2431	-77.26678	278.4081	193.41916	754.2094	-55.215115	-279.66183	335.908	5.0260987	0.077958286	5.212779	4.786606	42.57364	4.0042787	62.81357	30.725624	3230.279798269272
14	416.62436	125.2287	799.82904	269.27283	513.90295	127.012	772.26324	365.0431	87.577774	104.9	55999	250.1705	170.55577	690.619	-50.23307	250.16985	170.56859	701.6221	-44.1257	-249.69618	261.81143	4.731358	0.09954803	5.006913	4.414238	35.93594	3.6321096	49.388977	24.962118	3483.075057029724
15	418.48807	74.29063	603.62354	231.35338	388.01947	108.95348	580.08344	233.2772	85.76596	74.7	59999	222.52441	150.41983	598.2126	-37.133766	222.52458	150.42969	599.12317	-36.011665	-220.91772	198.27528	4.4363008	0.13181002	4.776309	4.016564	30.03965	2.8958232	42.926308	22.037626	3734.2277553081512
16	404.48615	124.78105	888.6327	219.75198	428.86124	127.34956	697.8969	287.64005	86.434784	90.4	63999	197.21254	131.1942	483.492	-31.531199	197.2123	131.19597	475.70807	-29.848082	-194.87898	153.29115	4.04536	0.13246617	4.452952	3.6697416	25.812618	2.5185006	35.54951	18.790087	3985.8159873485565
17	454.99484	114.56769	815.17786	284.72586	441.02997	66.514114	546.9372	348.75024	96.45238	96.8	67999	179.27136	118.6595	457.56326	-35.48775	179.27145	118.66371	453.15887	-36.732735	-176.75578	125.978584	3.7343037	0.13382721	4.102047	3.325724	23.274027	2.1222713	32.007034	16.497778	4238.683876752853
18	455.9938	128.36539	840.75024	263.52728	527.6993	120.67392	707.46295	370.13828	95.92683	104.1	71999	163.60588	104.688515	392.70825	-26.106817	163.60841	104.68717	395.05002	-29.541145	-160.57166	100.25149	3.3167627	0.14957015	3.7588127	2.9210165	20.02375	2.0104475	27.409218	14.494935	4491.151607275009
19	497.50256	110.86042	819.6085	314.0981	526.871	103.31981	714.0553	375.36484	102.84615	104.1	75999	150.30606	92.56974	338.02054	-19.976976	150.3055	92.57141	338.81686	-22.711138	-147.0681	80.144	3.011263	0.13142888	3.3908	2.6392052	17.728283	1.6747915	24.342236	12.883569	4743.65815615654
20	536.36554	124.04663	798.51306	333.10654	586.55115	145.69926	905.0616	383.79163	109.702705	113.8	79999	139.05109	81.04978	309.7423	-20.472225	139.05048	81.04934	305.478	-23.003244	-135.73643	63.7469	2.5881827	0.15647104	3.0355566	2.199811	15.577894	1.5257905	22.130114	11.306844	4994.820664644241
21	475.28293	132.49492	915.0508	267.74524	481.59003	80.976395	628.5657	381.0666	97.04878	95.1	83999	128.5399	70.10548	269.12204	-17.564716	128.54	70.10403	268.64322	-19.78433	-125.29006	50.443005	2.132881	0.14162025	2.6072493	1.7653689	13.631293	1.277367	19.04771	10.421912	5246.930406808853
22	432.04578	112.58455	680.78076	235.67148	511.10092	140.6059	831.96356	367.03406	88.26667	101.4	87999	121.5583	62.861267	235.41023	-17.080801	121.55833	62.859108	234.29721	-19.31686	-118.471954	42.922028	1.829475	0.0797436	2.1125238	1.5779618	12.498986	1.0838683	17.890732	9.394414	5500.680143594742
