Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	6.032997	168.6679	199.54703	-264.5162	-239.63582	79.42554	-90.33767	-399.06857	1000.0	1000.0	3999	15.123163	20.429447	129.1343	-16.502684	15.122778	20.429136	131.01637	-16.757212	-16.809511	4.4220314	1.6749046	1.0680952	3.103762	0.18383189	5.4984074	3.0650234	10.966645	1.6954907e-07	74.41913437843323
2	-11.679391	70.55697	88.70045	-109.724144	-149.75623	257.7375	222.29362	-614.53894	1000.0	1000.0	7999	119.34443	52.721504	362.97897	7.060007	119.34422	52.722317	358.03052	5.421089	-123.43639	20.936008	2.7934859	0.12123794	3.124322	2.457107	10.322698	0.78263915	12.915839	8.181461	185.4419014453888
3	75.87601	113.06827	208.87526	-49.111595	111.46922	321.3209	786.7777	-275.66003	1000.0	1000.0	11999	241.3727	51.344063	447.18622	97.38469	241.3732	51.342915	449.72797	97.45884	-244.348	34.39269	2.88888	0.16139543	3.1495657	2.3582885	10.265103	1.2150203	13.2046995	7.194853	297.6345372200012
4	-147.92975	183.10468	158.19412	-320.7182	383.36276	220.75069	859.5313	130.9761	1000.0	1000.0	15999	275.5124	28.173058	419.198	181.98318	275.5133	28.16943	423.6915	181.82422	-275.30493	27.097216	2.1228783	0.12834768	2.6444285	1.7956759	6.7287307	0.5280315	9.096349	5.2470713	410.0482578277588
5	133.7313	160.02753	406.78946	0.42148447	42.75112	51.712456	155.45377	-29.01956	1000.0	1000.0	19999	256.30725	30.779371	360.48987	135.81757	256.307	30.781525	360.25946	137.27727	-255.54958	19.983597	1.1186159	0.22983822	2.012423	0.76178634	4.980691	0.4014802	7.346807	3.858884	523.0658631324768
6	173.8914	174.09885	449.957	4.3305407	463.99478	47.667297	537.0896	379.23065	1000.0	1000.0	23999	214.34435	35.078064	344.37723	102.49673	214.34383	35.08024	343.5068	103.604	-213.55486	13.43361	0.57632285	0.110769175	1.0811085	0.38513166	3.7732027	0.3997959	5.3017693	2.7543476	635.985876083374
7	384.5751	152.80003	547.3457	134.40942	321.60248	33.311794	390.81146	282.997	1000.0	1000.0	27999	178.17574	31.802996	292.02216	63.985172	178.17572	31.805805	293.95654	63.535908	-177.4901	9.04953	0.39726618	0.027316282	0.5271701	0.32759124	3.1048071	0.2330171	4.009572	2.4353802	748.5334088802338
8	573.64667	94.480446	675.82184	420.34213	511.14633	73.23518	632.53235	381.80545	1000.0	1000.0	31999	148.34409	28.991138	248.13397	24.791033	148.34364	28.993212	249.11044	25.22005	-147.69913	7.873728	0.36664417	0.024252554	0.5142772	0.29647478	2.9091356	0.21944162	4.0050273	2.2930336	860.252997636795
9	540.96094	80.8718	624.5749	416.9838	419.61847	23.992495	466.242	393.1973	1000.0	1000.0	35999	124.08718	29.27715	228.3518	1.0092883	124.0868	29.278687	227.56078	0.90031785	-123.493576	8.769598	0.3872381	0.03137184	0.53183174	0.29723215	3.0366151	0.25415644	4.3490896	2.2272432	972.398355960846
10	731.07153	144.23627	957.7287	585.7568	582.4097	72.57787	677.59247	477.72168	1000.0	1000.0	39999	105.69118	30.910471	219.47069	-18.617508	105.69004	30.912828	219.61765	-18.031122	-105.10737	9.1577635	0.40126362	0.030082291	0.5309528	0.3145638	2.994615	0.25913948	4.2770395	2.2248695	1084.4319021701813
11	732.80176	90.29771	878.8733	638.1957	666.8504	94.32068	882.4988	524.18604	1000.0	1000.0	43999	91.88805	32.20782	212.09222	-36.931454	91.88714	32.211514	211.6512	-36.90681	-91.313805	9.812535	0.40340775	0.029414104	0.5297944	0.32527375	2.938768	0.26098534	4.227776	2.2033331	1196.8187730312347
12	805.6621	238.72102	1158.0103	489.99313	954.695	150.49532	1228.7094	788.69977	1000.0	1000.0	47999	81.12711	33.586613	203.6332	-47.94187	81.126144	33.59095	203.68272	-47.005184	-80.51236	10.514848	0.39866468	0.02910005	0.5303548	0.31332365	2.923336	0.2521918	3.951571	2.1125412	1308.3229353427887
13	849.24835	186.59299	991.0601	529.95026	687.88184	83.62732	838.38165	571.11084	1000.0	1000.0	51999	71.85964	34.611794	192.36629	-58.858448	71.85871	34.61573	192.67513	-62.203747	-71.23478	12.516619	0.39493102	0.027702881	0.5026869	0.3176366	2.9863696	0.24813987	4.039935	2.3142848	1421.2609729766846
14	973.6605	203.99025	1305.4519	790.717	667.90686	77.63326	834.70917	575.7698	1000.0	1000.0	55999	64.94817	35.83213	184.96594	-70.83717	64.94743	35.83521	184.80907	-68.7965	-64.30726	11.707204	0.38471213	0.0300146	0.56326497	0.29884806	2.9212198	0.25782183	4.258306	2.189163	1533.872585773468
15	874.7633	149.63565	1087.6901	696.805	841.99347	145.79514	1154.706	645.6941	1000.0	1000.0	59999	59.389694	37.002598	176.16942	-79.31456	59.38893	37.00515	176.01483	-78.66543	-58.740875	11.76039	0.37518635	0.026929947	0.50837374	0.2945684	2.8948066	0.24079002	3.8436456	2.2302496	1645.9237077236176
16	1134.1653	110.84797	1210.8018	943.4449	765.19257	133.50945	934.50165	465.19504	1000.0	1000.0	63999	55.336605	38.322685	176.22987	-85.5674	55.33606	38.324932	174.5974	-83.39858	-54.68525	12.152193	0.37730953	0.027084347	0.50569296	0.29234797	2.8596349	0.24027821	3.947899	2.1231039	1758.0322461128235
17	1180.1443	111.13443	1370.458	1102.894	1053.8949	330.13202	1500.4166	382.85605	1000.0	1000.0	67999	52.750816	38.820885	173.10982	-89.588264	52.750896	38.823364	173.07837	-88.95486	-52.08839	12.49701	0.37639415	0.027868176	0.48659033	0.29965037	2.8324864	0.23692395	3.8292592	2.1415575	1870.863781929016
18	1054.6455	74.71815	1138.1495	938.50653	992.1976	217.2774	1276.1971	654.8973	1000.0	1000.0	71999	50.749725	39.491306	162.17354	-89.76569	50.74958	39.492867	163.2256	-88.76437	-50.081413	12.4988575	0.37143692	0.02781275	0.5091746	0.29181984	2.8105783	0.23998596	3.9275048	2.109925	1983.8806722164154
19	767.40686	391.64	1032.0513	93.75648	1014.5111	364.16528	1540.7468	409.33432	1000.0	1000.0	75999	49.41166	40.38412	163.54366	-97.86952	49.411304	40.386635	160.98892	-97.17661	-48.725147	12.802995	0.3785462	0.028427254	0.5044524	0.2981196	2.847059	0.23961188	3.7731488	2.181802	2096.326822280884
20	944.29517	165.5881	1137.4683	696.432	1078.4452	143.83017	1341.6442	783.3038	1000.0	1000.0	79999	48.44079	41.794014	159.09712	-105.111305	48.44036	41.795322	159.33115	-106.34153	-47.745144	13.216725	0.37801036	0.028576573	0.49561244	0.30485177	2.8643093	0.23671454	4.0401044	2.2236562	2207.6863503456116
21	1097.5266	108.07075	1278.4137	1008.11633	1153.3462	202.59882	1514.2913	921.40686	1000.0	1000.0	83999	47.61906	42.658943	153.18323	-107.52534	47.618954	42.65993	152.99185	-107.4371	-46.900135	13.4042015	0.38452232	0.02878688	0.51247114	0.30672225	2.8894842	0.23376264	3.8424203	2.2014475	2319.665552139282
22	980.7729	175.5107	1139.0898	704.3274	1107.6467	106.54766	1281.6405	892.328	1000.0	1000.0	87999	47.331524	43.190018	150.7436	-113.1768	47.331154	43.191307	150.89429	-112.79711	-46.606907	13.529606	0.39327076	0.02960104	0.51545066	0.318268	2.9368746	0.23724942	3.9591808	2.260208	2430.94233751297
