Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-355.4846	30.789753	-326.1131	-406.2394	991.66504	4.2647586	1000.3528	986.4656	1000.0	1000.0	3999	1.8639883	2.7217605	22.537476	-27.785624	1.8639525	2.7230763	18.887852	-25.1057	-2.610876	0.38691065	0.23311494	0.00671138	0.25851437	0.2123681	0.002095623	0.0026381433	0.026685495	1.7239282e-07	2.2784874	0.80869704	3.2682924	1.393637e-07	86.4946186542511
2	-328.18027	60.563	-224.69832	-373.72202	719.88257	30.225533	781.6261	675.63055	1000.0	1000.0	7999	11.609532	4.708408	43.77635	-24.506826	11.609552	4.7098365	43.19089	-23.452984	-12.622156	0.8293423	0.44218332	0.16852197	0.8227445	0.2288878	0.020115217	0.010636026	0.05474997	0.0013411251	3.0720732	0.1672063	3.7211297	2.438683	198.64733982086182
3	52.180557	386.06882	452.88742	-360.2299	471.63422	91.54741	671.5622	355.16415	1000.0	1000.0	11999	23.77334	5.6563063	62.040104	-6.0784993	23.773087	5.657281	62.591125	-6.6669416	-24.766844	1.1599916	1.0556128	0.16012406	1.4511651	0.71121246	0.047593962	0.012613129	0.08919272	0.0070385537	3.0523455	0.2459874	3.751152	2.3166585	313.6529734134674
4	409.7234	216.02522	618.2877	62.606873	559.16223	58.276028	679.0799	477.31284	1000.0	1000.0	15999	31.977213	5.484134	70.116585	8.676388	31.977137	5.4859457	70.78964	9.089597	-32.63145	1.5891942	1.4256212	0.10278642	1.7492561	1.0929637	0.06363176	0.01612738	0.12382994	0.010350859	2.5996525	0.110505804	2.9489136	2.247518	433.28340244293213
5	600.19617	60.524567	680.4049	518.7715	545.3946	85.25494	663.70667	406.48642	1000.0	1000.0	19999	38.14767	7.4894695	81.51916	13.200396	38.14764	7.491127	81.29986	11.913406	-38.69737	1.7673129	1.5783256	0.08542984	1.886361	1.2700338	0.0731319	0.019417726	0.16913928	0.011451658	2.5848832	0.114049725	2.9809477	2.184854	553.0330166816711
6	496.31592	95.01988	603.04736	383.87216	544.76685	147.5268	669.4653	176.02487	1000.0	1000.0	23999	43.135044	9.198918	89.84322	-0.6433954	43.135357	9.199547	88.34714	4.0689855	-43.54221	2.1808271	1.5647485	0.08699085	1.908184	1.2613094	0.076361924	0.020022506	0.15172668	0.011300903	2.5243876	0.1161456	3.0817516	2.13789	672.6412062644958
7	622.7029	33.77094	663.6853	569.70874	611.8275	61.615723	682.5509	460.77505	1000.0	1000.0	27999	46.8832	9.972562	92.5637	0.37616634	46.883255	9.972032	92.96294	2.8170338	-47.232	2.2904594	1.5111988	0.07918753	1.8280715	1.2626026	0.076833256	0.020119308	0.15033852	0.011477085	2.5050616	0.120886154	2.9843292	2.105026	789.6043593883514
8	584.3579	29.621971	615.3069	535.4614	604.2578	129.8504	712.4839	230.47635	1000.0	1000.0	31999	50.09593	10.118193	97.77822	5.377228	50.09582	10.118641	97.10548	5.6667523	-50.380947	2.6124754	1.4568554	0.07896637	1.785279	1.1774803	0.07461502	0.019257655	0.12383207	0.010667934	2.4702704	0.116973825	2.9094057	2.0721173	907.6529388427734
9	646.23035	43.538902	679.06934	572.7344	622.74524	100.403725	748.06146	360.0116	1000.0	1000.0	35999	52.96979	9.820361	96.73049	5.825431	52.969715	9.820597	97.82952	6.804655	-53.23137	2.613162	1.4286116	0.07672134	1.7039866	1.1625887	0.07308223	0.01862305	0.12987353	0.010328161	2.4710343	0.1189011	2.962213	2.0226603	1025.2275650501251
10	640.1757	61.699993	736.0996	567.29297	718.3441	48.0128	788.36176	652.5828	1000.0	1000.0	39999	55.69232	10.217292	101.07839	8.976564	55.69229	10.218788	101.6051	10.489012	-55.930725	2.690227	1.437052	0.074291885	1.7295126	1.176344	0.073717974	0.018806819	0.13683052	0.0106245885	2.499972	0.12048531	2.975241	2.1326768	1141.664134979248
11	737.999	45.099144	802.0856	676.661	698.86176	69.879555	772.0801	569.8083	1000.0	1000.0	43999	58.03554	10.668578	105.96663	12.3855	58.035656	10.669872	106.16128	11.525069	-58.25572	2.7212145	1.4158672	0.07484965	1.6402458	1.1787977	0.075429134	0.019372636	0.123670146	0.010166889	2.5161247	0.12774274	3.0010114	2.070317	1258.811627149582
12	760.5319	19.986034	786.1762	737.03754	629.1919	129.2994	778.3767	363.6291	1000.0	1000.0	47999	60.18417	11.494328	110.38325	11.59634	60.184265	11.49486	111.15369	10.499685	-60.388485	2.7948077	1.410598	0.07611263	1.7122643	1.095822	0.076343656	0.019651292	0.12851845	0.010423127	2.5353389	0.13130806	3.036034	2.0163214	1376.7566170692444
13	676.81116	111.169266	796.555	505.92923	717.67664	102.46934	902.0935	492.85617	1000.0	1000.0	51999	62.37828	12.542613	114.5911	12.19221	62.378696	12.542005	113.477066	12.338489	-62.56927	2.7667637	1.4159517	0.07745221	1.7075411	1.1516229	0.0765315	0.01954758	0.12454483	0.010624545	2.5348828	0.1376054	3.031657	2.079437	1495.5411005020142
14	763.873	38.210777	821.96136	719.90564	755.15967	58.17819	886.4227	681.5146	1000.0	1000.0	55999	64.09007	13.199232	118.501526	15.14302	64.09004	13.199179	117.35321	16.044304	-64.260704	2.9238374	1.384155	0.08006563	1.7144834	1.0859698	0.07562209	0.019521395	0.13593934	0.010264981	2.517114	0.14569722	3.085763	2.016094	1603.3931305408478
15	700.29224	75.433	778.2951	579.26514	763.4435	52.160366	868.8725	678.0248	1000.0	1000.0	59999	65.50954	14.001798	122.990425	20.352798	65.50969	14.001437	124.63591	21.63435	-65.67179	2.9208844	1.3608261	0.075103074	1.5984975	1.0966103	0.07440328	0.019130826	0.12013561	0.010090802	2.5149038	0.1416129	3.0969048	1.9580281	1720.1430118083954
16	859.44354	90.12983	981.02075	750.8762	655.9409	332.43253	870.615	-227.55426	1000.0	1000.0	63999	66.99832	14.623935	125.417984	11.062838	66.99841	14.623621	126.53502	11.431728	-67.13959	3.0991445	1.3275455	0.07532777	1.5936233	1.0541722	0.07450213	0.018983535	0.14265573	0.009406595	2.5063872	0.14511018	3.047357	2.0019968	1834.2483758926392
17	734.602	65.66034	794.2019	625.5803	726.528	116.9417	816.93274	384.66592	1000.0	1000.0	67999	68.29159	15.127048	128.4771	21.186342	68.29167	15.127481	130.74466	20.745125	-68.433624	3.111733	1.3119793	0.07295238	1.5759203	1.0696362	0.073486425	0.018922908	0.16371144	0.009842759	2.5175724	0.15204965	3.1474175	2.0540137	1940.1044750213623
18	814.59204	147.50836	1068.7762	708.8419	822.81604	114.22788	1056.2682	674.8087	1000.0	1000.0	71999	69.432335	15.838736	134.00111	17.673866	69.43269	15.838759	133.06976	21.470224	-69.55514	3.2325215	1.3046104	0.069685966	1.5677142	1.053479	0.07406195	0.018878434	0.12768273	0.009441529	2.528421	0.15435989	3.0954144	1.9810698	2046.365929365158
19	872.6241	76.56388	989.32605	788.4393	873.91425	132.38213	1239.1605	769.8425	1000.0	1000.0	75999	70.6244	16.291641	138.3884	25.830643	70.62444	16.292032	139.73474	24.850332	-70.74981	3.4697163	1.2885497	0.06821891	1.5705723	1.0562702	0.072864205	0.018577985	0.11635203	0.009474025	2.5694199	0.16180618	3.225595	2.0227687	2152.0397419929504
20	817.2121	18.200888	848.7125	805.62	971.92804	191.68901	1457.8708	816.6087	1000.0	1000.0	79999	71.92304	17.01742	140.85904	25.862011	71.92299	17.018219	140.26875	25.465214	-72.04708	3.5930758	1.320431	0.06878987	1.5697513	1.1057583	0.07453219	0.019234765	0.12319971	0.009325005	2.594064	0.16908073	3.3184972	1.9725839	2257.996312856674
21	1005.99567	198.39346	1287.9512	800.7814	1102.343	178.24115	1448.948	785.91174	1000.0	1000.0	83999	73.281204	17.560312	142.6065	26.415571	73.28126	17.560688	141.92058	26.678112	-73.40048	3.6107955	1.3351157	0.068866335	1.5746698	1.1048219	0.073386304	0.018679302	0.114197455	0.009415402	2.5792553	0.17032368	3.2184274	2.0885115	2367.002867460251
22	962.63666	270.9488	1412.0356	688.53046	927.4824	195.74597	1321.3904	661.2769	1000.0	1000.0	87999	74.64811	17.947393	143.05624	26.609512	74.64819	17.948143	142.42738	24.0786	-74.74853	3.7398586	1.323638	0.06715903	1.5600594	1.0634066	0.074646674	0.019051237	0.124549955	0.009585678	2.575293	0.16647567	3.1776788	2.0274732	2481.9879920482635
23	907.82056	153.08052	1160.0612	761.34436	714.4437	404.1586	1006.6581	-481.97733	1000.0	1000.0	91999	75.7692	18.707634	144.54239	31.332882	75.76928	18.708422	145.57208	28.138834	-75.87024	3.7019923	1.296885	0.067460574	1.504746	1.0593315	0.074217744	0.018745173	0.12038495	0.008968483	2.6000016	0.17246574	3.2044122	2.064684	2598.3073172569275
24	753.05774	440.84555	1155.6497	15.944868	983.1995	116.24048	1193.577	778.1536	1000.0	1000.0	95999	76.74329	19.65423	150.02133	29.521378	76.74329	19.655172	149.93399	18.170065	-76.83933	4.021835	1.2830545	0.06675342	1.5203267	1.0408802	0.0755519	0.019085795	0.12804341	0.009277545	2.6547847	0.18003882	3.3013585	2.06629	2715.770518541336
25	951.3754	140.53935	1151.4475	810.0871	1057.5222	275.2597	1632.9783	756.92084	1000.0	1000.0	99999	77.82121	21.079514	153.3951	26.198124	77.82138	21.080664	154.90897	23.588978	-77.921814	4.4124165	1.2720065	0.06411792	1.4741054	1.0344107	0.07634939	0.019556604	0.12903292	0.008969365	2.7162573	0.18993594	3.4434917	2.1177661	2827.0646076202393
26	994.62463	153.33752	1224.1039	794.96716	968.35175	161.7042	1376.9442	806.5812	1000.0	1000.0	103999	78.92796	22.209444	159.44606	28.821587	78.92783	22.210442	158.941	25.764538	-79.02292	4.7213163	1.2773973	0.06270642	1.5254365	1.0288323	0.07716273	0.019600024	0.12779419	0.009330447	2.7376232	0.195688	3.5887897	2.004299	2940.2251513004303
