Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-350.17175	79.19872	-257.69843	-469.47318	989.47675	2.22156	994.2586	985.8984	1000.0	1000.0	3999	2.5337849	3.995439	27.850046	-34.06583	2.5337925	3.9966483	27.927786	-34.871395	-3.12179	0.7210293	0.23647414	0.010877859	0.28220037	0.21467279	0.0032487551	0.0031303985	0.012313169	1.7416417e-07	2.717717	1.0555116	4.392496	2.1688192e-07	83.02077507972717
2	-339.85986	72.057205	-257.60974	-440.70126	961.196	2.4809337	965.7753	957.0071	1000.0	1000.0	7999	13.479234	7.8160157	59.62738	-42.119556	13.478845	7.8147025	60.638336	-39.358418	-14.233681	1.7767874	0.34023774	0.043237515	0.45972297	0.24739818	0.012902596	0.0035655396	0.033521354	0.0022198653	4.0455575	0.24384283	4.9124513	3.2220154	187.71770477294922
3	365.56165	611.2714	978.444	-263.2125	986.9005	13.051287	1024.6802	977.5245	1000.0	1000.0	11999	25.032867	12.09698	80.36482	-25.332674	25.033127	12.097122	79.88188	-22.236311	-25.601328	2.0041854	0.36824286	0.026832297	0.45743224	0.29941237	0.014595878	0.0032023527	0.023127357	0.0032433453	3.8263936	0.27619356	4.8018503	2.9440088	300.1213712692261
4	1002.2676	20.937817	1037.5875	982.73804	988.48303	11.92189	1008.8415	971.2522	1000.0	1000.0	15999	33.49018	14.283181	92.33675	-3.9022355	33.490334	14.282927	92.4331	-4.165146	-33.671	1.6775864	0.32819846	0.015964435	0.38987598	0.28487602	0.013215913	0.0027830696	0.026287306	0.0032370577	3.1885245	0.21250714	4.004298	2.592768	411.3073875904083
5	999.94	6.921444	1011.5198	993.2742	1028.9762	26.769897	1072.4723	988.60315	1000.0	1000.0	19999	39.54757	16.46574	104.94617	-8.16136	39.54767	16.465038	104.52566	-3.573941	-39.53272	1.5876428	0.33114442	0.015620031	0.3922561	0.28351527	0.013508076	0.0027843541	0.025980113	0.003445582	3.1072252	0.162947	3.7757175	2.579168	523.3496024608612
6	1003.6407	34.33559	1055.936	971.0296	1006.3539	30.08842	1060.0269	973.6033	1000.0	1000.0	23999	45.35938	18.4807	119.26758	-14.763609	45.35956	18.47998	113.991554	-15.079125	-45.250805	1.5825281	0.3545764	0.019075988	0.42921117	0.2999653	0.01499359	0.0031463124	0.025429806	0.0036947543	3.2220745	0.16269642	3.8023186	2.6884906	633.4491784572601
7	962.1792	8.292747	976.1121	954.3023	1037.7178	56.087933	1164.0295	969.2891	1000.0	1000.0	27999	51.25858	20.158749	129.15468	-10.429496	51.25884	20.15802	129.58871	-5.909956	-51.061363	1.5278363	0.3935819	0.019609591	0.4718328	0.33126995	0.01682682	0.0035963915	0.032408606	0.0040114946	3.2550483	0.1543705	3.9157739	2.7363105	741.2687468528748
8	985.7833	73.90088	1111.5356	926.10913	975.41815	46.411198	1050.5377	919.6994	1000.0	1000.0	31999	56.68358	21.64183	145.29507	-15.287319	56.68398	21.640501	144.8098	-15.06987	-56.428677	1.7095048	0.3963347	0.015751129	0.46601987	0.3406776	0.017469479	0.0036265135	0.03186984	0.0041391556	3.230363	0.15581985	3.8279126	2.7317016	853.4777011871338
9	1020.9925	64.42113	1119.5273	946.9776	1103.9417	37.629494	1162.6271	1034.2189	1000.0	1000.0	35999	60.88789	23.17653	153.67355	-10.858625	60.88828	23.175777	150.37839	-11.256075	-60.59796	1.7776189	0.41124254	0.020330265	0.50650704	0.351612	0.018010147	0.0037905339	0.030030375	0.0042695445	3.3182065	0.16768454	3.9846518	2.7203243	969.5985584259033
10	1080.5581	57.834057	1165.4087	1014.6188	1093.9203	66.386116	1169.9796	955.0982	1000.0	1000.0	39999	65.47732	24.378222	160.22781	-1.0437858	65.47761	24.377552	158.1135	-2.278385	-65.17523	1.7814322	0.4638859	0.023106007	0.54159176	0.39275178	0.018820897	0.0039417846	0.03501668	0.0043989266	3.4396343	0.15605731	4.037948	2.9477892	1085.738442182541
11	993.66406	106.0984	1134.5919	841.8252	958.03467	40.082497	1023.4025	889.93	1000.0	1000.0	43999	71.116295	24.303999	164.5826	-0.07958293	71.11666	24.303444	161.7579	-4.4967675	-70.82925	1.8271531	0.52218187	0.03415244	0.6447018	0.4223771	0.019860778	0.004250157	0.033363286	0.0045013945	3.5302804	0.17659158	4.156982	2.964857	1200.2211163043976
12	950.0151	43.57491	997.5788	879.14667	907.1756	50.00192	997.67676	842.95123	1000.0	1000.0	47999	78.076035	23.532623	193.12047	-4.147871	78.0761	23.534006	192.08095	-3.2061257	-77.92961	3.1950688	0.61129725	0.12417292	1.177476	0.44293973	0.026959572	0.010875353	0.083397366	0.004485954	3.808082	0.48353198	6.1187267	2.9363854	1302.1365604400635
13	261.85342	449.21896	994.63184	-148.98837	-313.08575	495.6665	625.47504	-791.34796	1000.0	1000.0	51999	111.83535	58.016167	511.61737	-2.1921716	111.83545	58.01922	512.2443	1.8629689	-113.22608	21.658386	1.792401	0.3930959	2.4475513	0.79772663	0.14178868	0.08358834	0.49323353	0.006298055	6.951594	1.2400314	10.498296	3.6680596	1427.5525434017181
