Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-260.1969	129.8851	-114.52278	-453.2483	-0.25398442	0.49553025	0.72243816	-0.8523762	1000.0	1000.0	3999	-0.19543545	2.5593429	12.859629	-15.1965685	-0.19514695	2.559559	13.333401	-15.113716	0.24410564	0.44101885	0.20204191	0.007847898	0.24360928	0.17778333	0.001961585	0.0029900859	0.014383681	1.237906e-07	2.0708015	0.8505079	4.0234766	1.4914441e-07	53.58789658546448
2	-260.68845	65.702385	-178.24675	-362.11023	557.2345	569.9084	1292.5616	-502.82568	1000.0	1000.0	7999	6.1643324	7.0309987	32.270863	-16.239716	6.164375	7.0308146	31.685783	-16.63671	-6.3668633	2.8007455	0.43168938	0.056315638	0.56696117	0.21735647	0.29847893	0.09295988	0.5596564	0.0033910577	3.434103	0.22794671	4.3389025	2.6586695	122.51938104629517
3	33.07229	367.34018	616.76874	-296.2802	1585.6838	250.11923	1879.8258	1028.2279	1000.0	1000.0	11999	19.108847	13.058285	60.9632	-10.732629	19.109129	13.058239	60.668728	-10.665711	-19.387613	3.4294477	0.46969697	0.04403397	0.5921054	0.35444108	0.3251022	0.02814274	0.42792052	0.23467286	3.5670433	0.26432845	4.655816	2.799964	192.32008957862854
4	1734.4966	161.05103	1945.32	1576.5237	2026.1373	48.563118	2124.4817	1948.1724	1000.0	1000.0	15999	30.048716	19.94099	77.457054	-9.66007	30.048672	19.941063	77.68901	-9.789772	-30.094273	3.0065434	0.42325342	0.023150137	0.52362376	0.34836054	0.28537092	0.027381832	0.38945994	0.1888481	3.5856762	0.2923138	4.561701	2.7459314	262.9955930709839
5	2200.4695	125.10316	2316.0144	2003.4293	2365.1792	45.701187	2441.3608	2296.533	1000.0	1000.0	19999	46.715424	27.887924	100.18055	-11.497814	46.715305	27.888031	100.638405	-11.611506	-46.763134	4.0731525	0.4926385	0.035249915	0.6264856	0.39729413	0.28473753	0.024885427	0.37920943	0.19280495	4.329327	0.33614367	5.458351	3.216242	333.03410959243774
6	2518.4668	82.02054	2619.4924	2423.3962	2648.4712	84.13614	2786.103	2525.2156	1000.0	1000.0	23999	68.40939	35.212315	129.08519	-14.322126	68.40939	35.21204	129.3155	-13.701792	-68.4103	5.132535	0.5775191	0.032047164	0.7116146	0.4702567	0.3008559	0.026028654	0.3898705	0.2050072	4.9950566	0.33420318	6.4157176	3.7755334	403.19600081443787
7	2662.7173	122.93955	2791.1238	2482.3545	2852.6597	67.80318	2958.6887	2717.4248	1000.0	1000.0	27999	91.96566	41.32192	156.99243	-16.176613	91.9657	41.3216	156.87975	-16.04983	-91.89322	5.992121	0.6516874	0.042248815	0.81014556	0.5182084	0.31759575	0.025510782	0.4075426	0.21329118	5.477371	0.3613878	6.903506	4.090057	473.5866811275482
8	2838.1138	43.403896	2908.468	2795.0454	3139.9363	64.57183	3238.2014	2997.7397	1000.0	1000.0	31999	115.51121	46.012405	177.67296	-18.54834	115.51146	46.012264	176.78137	-18.44598	-115.35006	6.5592666	0.6837284	0.033018593	0.80938596	0.57981545	0.32443714	0.02615452	0.41423175	0.22422373	5.843002	0.33676678	7.2694426	4.6794205	543.8411967754364
9	3006.68	57.379417	3099.23	2949.5425	3269.3262	49.040096	3340.5034	3153.225	1000.0	1000.0	35999	137.71065	49.790703	199.96785	-18.203705	137.71059	49.790546	199.74847	-17.285498	-137.51173	7.2180033	0.7316809	0.038780563	0.86865604	0.6069911	0.32780507	0.026200105	0.41764575	0.2270177	6.1428466	0.34307826	7.551067	5.0343065	614.2784848213196
10	3066.448	98.34562	3201.3577	2956.3477	3343.9019	54.825718	3423.9355	3279.5073	1000.0	1000.0	39999	159.21315	52.747925	221.43315	-16.538143	159.21304	52.747723	222.33366	-15.625613	-158.95935	8.035938	0.7797789	0.03766185	0.9209274	0.65554047	0.33596307	0.028141692	0.4346537	0.23758182	6.4972086	0.36022913	8.280845	5.187055	684.6489679813385
11	3301.077	50.943565	3361.613	3222.1575	3485.2017	52.13914	3580.9224	3401.4294	1000.0	1000.0	43999	179.23003	54.845276	242.16942	-15.377312	179.23016	54.84504	242.7689	-15.68299	-178.92221	8.5692425	0.82704794	0.041885406	0.9748031	0.68984306	0.33771932	0.028874012	0.45777246	0.23006183	6.707908	0.3581915	8.042579	5.392119	754.84978723526
12	3335.6519	43.627155	3398.17	3280.4973	3678.961	69.27569	3766.285	3554.9644	1000.0	1000.0	47999	198.42976	55.98161	259.00922	-15.684997	198.42989	55.981415	259.78223	-13.935679	-198.07597	8.941262	0.85871017	0.041123226	1.0122682	0.70516944	0.3392932	0.0291873	0.51054424	0.2266593	6.902843	0.36706567	8.257415	5.46845	825.2266504764557
