Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	114.92837	28.00486	208.83492	76.85293	360.03455	12.210832	376.5193	340.03607	23.464706	69.8	3999	25.482706	15.330833	69.65345	-16.949217	25.483027	15.329816	70.08357	-18.008406	-25.026297	2.1881657	0.34016025	0.011202937	0.40365595	0.3166789	0.0041301437	0.006929284	0.061793383	3.7896018e-07	3.6916404	2.2393224	10.094381	2.0969851e-07	80.72182846069336
2	120.55277	37.26415	263.00064	76.46472	270.1045	62.488857	386.19547	180.21692	24.623457	62.2	7999	150.30586	129.67778	680.53033	-77.92247	150.30331	129.68138	682.0611	-75.03777	-169.30518	50.770855	4.0440154	1.7883991	5.661256	0.39222938	0.30267447	0.12332553	0.5990875	0.0031225202	45.80598	32.179977	128.03394	9.020206	221.95234608650208
3	150.31516	61.6775	438.56012	83.269135	294.36633	63.590336	425.5892	217.26515	31.203125	62.6	11999	977.98334	659.16486	2524.6755	-647.7295	977.9742	659.18976	2517.027	-675.1041	-1094.802	1642.1289	5.6750393	0.0449561	5.7765694	5.514145	0.7743005	0.4434202	2.6307263	0.11673343	246.96837	61.07444	378.56714	109.38223	378.74866366386414
4	280.3296	69.24775	435.30545	136.06996	252.12598	29.141018	305.09103	208.61234	59.761192	49.3	15999	1395.57	863.0799	2686.0786	-429.48383	1395.5634	863.10187	2687.9197	-429.01086	-1487.0203	2877.7952	5.6314435	0.02748103	5.7137976	5.5361238	1.1309118	0.41057023	2.4626765	0.13664636	244.9207	24.427929	324.31635	153.10101	536.0038468837738
5	291.549	109.77968	916.2081	152.2415	300.46704	54.59669	406.58386	234.08754	58.691177	71.2	19999	1353.3564	945.13354	2707.436	-321.78998	1353.3635	945.1313	2721.1772	-358.8006	-1430.0778	3410.767	5.6203866	0.021687055	5.6889043	5.5487003	1.2609345	0.47368068	2.7242637	0.18596594	222.64777	26.42327	331.81244	145.74142	694.2289867401123
6	331.79623	78.99528	493.4685	191.91403	266.92856	44.984825	331.5754	206.54755	73.32727	60.6	23999	1204.5874	906.9197	2862.7888	-379.98526	1204.5876	906.88513	2657.3835	-392.9924	-1267.1324	3801.688	5.615163	0.022005169	5.6854906	5.5419407	1.2778035	0.47359425	2.814616	0.18070497	206.34883	21.245714	286.99664	135.99954	850.1447238922119
7	361.41193	97.798096	638.4398	196.92297	301.42123	71.35944	440.98172	195.29529	78.29412	66.0	27999	1040.0444	823.6605	2539.6362	-186.29614	1040.0463	823.6274	2507.2944	-192.25363	-1089.4479	3856.7595	5.6146994	0.0239836	5.696196	5.514446	1.2243569	0.4448397	2.4518085	0.17692634	186.29573	17.91624	261.88635	132.00554	1006.1535887718201
8	369.14203	82.1136	615.6456	177.21825	398.42474	132.20021	711.7337	276.4436	79.0	83.9	31999	885.05646	735.7864	2471.6096	-206.33527	885.05066	735.78375	2544.0112	-172.75513	-924.1062	3446.5447	5.5963173	0.02215939	5.6654644	5.4810605	1.1544448	0.41421786	2.6385581	0.18376379	168.96956	17.109585	236.37476	115.281944	1165.118357181549
9	444.6746	124.45285	783.7595	252.37987	410.28497	69.62133	479.54886	256.7267	92.51163	90.1	35999	753.99335	643.8679	2081.8533	-145.57697	753.9854	643.84814	2088.685	-142.12059	-785.20874	2794.7876	5.573986	0.023051271	5.6508813	5.488019	1.0565208	0.35824206	2.109168	0.18465038	146.17467	15.699352	215.15202	102.181366	1323.3053636550903
10	400.6971	114.98082	714.0278	172.51857	338.43057	85.718315	485.23	249.88017	82.83673	69.4	39999	635.37146	550.11115	1829.2194	-125.1286	635.36755	550.06366	1803.4664	-154.70253	-658.1764	2125.5078	5.5499864	0.026065983	5.6274233	5.454573	0.9917891	0.31464213	1.9796704	0.20817395	121.46437	12.753569	175.25043	85.78033	1479.8591814041138
11	437.7301	99.00624	770.0018	251.64223	402.98163	56.509792	491.9242	295.2506	90.63636	85.8	43999	525.7704	454.70712	1613.3335	-130.05702	525.7761	454.67883	1792.2657	-107.68341	-542.135	1453.8452	5.509672	0.027634356	5.5952983	5.4052696	0.9348119	0.2681415	1.6619691	0.22103883	100.49795	10.046927	139.34825	67.61784	1636.592871427536
12	356.66772	106.608574	644.5477	185.43307	368.81094	97.94718	579.40643	230.3723	80.08	82.5	47999	441.69577	377.6506	1320.0415	-81.58904	441.69443	377.6256	1311.9655	-76.637535	-452.93625	1030.2914	5.4576173	0.0347832	5.5740376	5.3391533	0.8625776	0.22767979	1.6542585	0.24373893	81.69415	9.336716	120.76697	57.322605	1792.655826330185
13	413.14346	126.1886	915.20514	219.97835	449.27206	88.50963	604.36255	330.48962	87.434784	91.7	51999	364.47473	300.2622	1253.7218	-66.788536	364.4732	300.2509	1120.8575	-58.218094	-371.4613	721.49475	5.378966	0.038942784	5.499927	5.249175	0.8206929	0.19541231	1.4633094	0.26788446	65.18319	6.7058363	95.133865	46.0314	1950.1845586299896
14	427.01212	88.876816	648.663	257.03192	512.27704	96.44946	639.37146	349.15826	89.09091	103.5	55999	318.67963	249.99623	938.9721	-49.210278	318.6773	249.98145	936.90497	-64.968666	-323.1235	484.02945	5.2967453	0.036709234	5.403789	5.1701927	0.7722762	0.16163704	1.2323058	0.29023957	54.08918	5.772766	79.11631	36.100933	2109.288032770157
15	466.74185	105.54693	707.71686	278.01276	408.8531	99.23298	677.01135	305.3815	95.166664	84.4	59999	281.50217	211.13844	790.0253	-54.732403	281.50327	211.13298	780.4638	-63.195942	-283.55557	305.1362	5.1788917	0.057812106	5.3433843	4.9720364	0.7120171	0.12517145	1.1080865	0.3196598	43.311424	4.911451	64.093445	30.23935	2265.8648698329926
16	423.92996	128.68196	807.4888	209.53752	485.2936	85.99372	658.4037	377.1313	90.568184	96.8	63999	248.171	173.81116	698.90936	-49.221195	248.17082	173.80284	731.55566	-52.858795	-248.3093	207.60213	5.009173	0.064703934	5.188758	4.8075213	0.6821863	0.09929245	1.0151395	0.35855007	34.635902	3.630899	48.16102	24.060558	2424.1280632019043
17	491.05438	134.92622	905.41754	278.57092	488.5799	100.04048	675.3605	379.91095	101.925	104.2	67999	226.19226	148.88574	544.21234	-54.772682	226.19215	148.87799	546.69836	-54.21012	-225.19463	161.7897	4.8282566	0.061247483	5.0151916	4.6100645	0.694367	0.089393735	0.98331743	0.39952508	29.276817	2.760785	40.53629	21.61709	2582.1967163085938
18	487.3802	110.649506	798.4212	327.1112	652.59314	220.96562	1168.6454	434.71252	98.925	130.5	71999	213.36142	133.6541	490.11557	-38.098923	213.36148	133.65193	484.14047	-43.87876	-211.68518	133.37154	4.703427	0.06317301	4.897887	4.4206386	0.68965286	0.07934423	1.0256789	0.4152194	25.9037	2.338554	35.369946	19.371895	2740.6279685497284
19	562.84827	140.21773	899.87616	341.1775	542.8308	131.40034	852.06726	363.83054	114.97143	116.4	75999	205.75354	124.697205	437.92056	-38.8575	205.75494	124.69032	438.73373	-46.592297	-203.71878	112.00501	4.6488037	0.055195652	4.8387012	4.4346356	0.6747906	0.06921328	0.938349	0.43955946	23.82736	2.130305	32.561794	18.15346	2896.0551731586456
20	582.5377	176.00441	1027.743	307.33456	624.4278	109.75359	745.67255	420.95102	121.625	128.0	79999	201.36601	118.61276	411.6219	-44.617496	201.3667	118.60682	413.46524	-78.50382	-198.96544	97.90234	4.498279	0.07446642	4.723227	4.2565045	0.6853901	0.062481407	0.8846567	0.4549482	21.652273	1.9933274	30.447588	16.262486	3053.864950656891
21	596.41565	224.36418	1333.7549	245.09453	478.86066	87.222496	586.701	339.94748	125.36364	104.8	83999	199.27524	113.4839	389.514	-32.73734	199.2748	113.482124	393.7411	-38.33637	-196.66452	90.36942	4.388219	0.060950067	4.5955224	4.13781	0.6911746	0.05899421	0.8699215	0.4809409	20.339758	1.7897142	27.715937	15.258424	3211.7491493225098
22	548.7769	128.07199	901.36005	370.65903	600.6937	140.8753	789.3284	329.13437	110.666664	118.8	87999	198.38736	111.47399	375.77768	-32.812897	198.38824	111.4713	376.93005	-34.491302	-195.57773	86.03299	4.2620134	0.06789848	4.4676256	4.0029507	0.7070223	0.058030285	0.88299936	0.49827087	19.293459	1.7540039	27.771645	14.943652	3370.9271655082703
23	633.4748	199.27711	1257.1793	282.228	590.7018	152.22028	762.0086	339.58496	127.48387	125.0	91999	197.42644	110.34572	368.26852	-25.209484	197.4258	110.34531	370.6602	-41.246338	-194.54366	83.22857	4.2019577	0.060052596	4.393373	3.9538264	0.70675963	0.053387444	0.8502703	0.5139503	18.746555	1.7010368	27.99665	14.430761	3528.4067964553833
24	583.3166	148.06996	890.72656	278.0746	766.4441	176.55453	1167.5898	577.5381	117.14706	146.5	95999	196.28021	108.49293	366.31897	-30.337933	196.28154	108.491234	370.466	-24.638134	-193.28612	80.945755	4.171106	0.059367977	4.37182	3.9505982	0.70960826	0.05437321	0.86478674	0.50723565	18.081442	1.657341	25.54516	13.784821	3686.391023874283
