Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-366.5096	15.343943	-355.5812	-392.758	-2137.0415	73.229256	-1946.6477	-2221.321	1000.0	1000.0	3999	2.8989196	3.707798	25.881008	-11.947298	-4.0680327	0.19563074	37.383660554885864
2	-311.3735	30.492594	-284.23648	-363.03638	-3324.0044	259.42197	-2875.5215	-3700.5564	1000.0	1000.0	7999	41.411694	24.22231	123.78609	-2.4459043	-46.481564	2.1382592	83.25446605682373
3	-1465.7551	1057.4169	-395.2637	-2605.9236	-2993.4397	143.19656	-2769.7837	-3308.5647	1000.0	1000.0	11999	182.04745	47.603683	350.6911	76.17053	-191.88553	19.69989	129.90173888206482
4	-2582.099	100.019356	-2422.9714	-2695.7666	-2778.4485	117.92895	-2656.7893	-3026.9392	1000.0	1000.0	15999	235.87225	11.82148	350.19324	193.94096	-238.32166	18.527498	178.04387879371643
5	-495.4416	1089.5295	505.084	-2331.7595	-144.83836	101.18084	-35.383396	-292.0757	1000.0	1000.0	19999	211.17584	10.658374	324.64017	174.95967	-213.53369	7.9892545	225.70146203041077
6	-304.6979	73.36648	-188.7114	-386.32034	-124.65277	134.13423	50.518208	-418.2141	1000.0	1000.0	23999	200.26749	9.795744	293.3067	173.62381	-202.60744	4.874032	273.0474662780762
7	-33.72001	113.96251	160.5415	-130.36531	60.599022	106.90804	191.87328	-136.6624	1000.0	1000.0	27999	186.98094	10.374479	281.4853	162.78157	-188.9391	3.707176	318.4340851306915
8	104.99959	121.99688	216.85162	-82.89602	229.44829	160.23996	515.2755	-99.41335	1000.0	1000.0	31999	172.34016	10.96839	265.92233	149.86345	-174.03247	3.1197543	364.4296956062317
9	229.69208	155.27573	367.87656	-33.641865	289.8474	61.684784	395.85876	191.02039	1000.0	1000.0	35999	158.83879	11.928653	262.13513	136.47844	-160.41882	2.9019413	410.4165458679199
10	-62.341488	219.087	167.63423	-419.82114	60.263866	269.79837	303.87204	-681.5654	1000.0	1000.0	39999	148.88084	15.049594	280.02008	122.3255	-150.39534	3.9935265	456.14294695854187
11	-31.28348	130.62653	168.91937	-187.29672	-122.953514	142.32347	101.139595	-337.9947	1000.0	1000.0	43999	140.74496	18.175297	317.67197	116.66116	-142.33517	4.9275093	501.64575266838074
12	-460.39285	113.0801	-278.74188	-556.1935	-632.0206	114.331924	-489.33585	-925.3146	1000.0	1000.0	47999	137.87503	25.515936	409.70126	109.25558	-139.77525	9.486736	547.9174292087555
13	-883.10474	58.109554	-816.59174	-967.381	-1222.0284	125.972496	-957.6446	-1403.0625	1000.0	1000.0	51999	142.34575	36.289604	469.75598	102.301155	-144.67538	15.369309	593.7401733398438
