Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-370.8042	42.64002	-302.56897	-419.92426	998.2819	2.7378082	1001.7485	992.7753	1000.0	1000.0	3999	-2.8054242	2.7041078	9.882212	-30.503174	-2.8043058	2.7088768	10.958885	-30.303715	3.130677	0.7420628	0.23146263	0.005748472	0.25293347	0.21249156	0.2268685	0.057752978	0.38254362	2.1264586e-07	80.99590492248535
2	-343.81036	33.172962	-310.0706	-398.78268	991.105	3.4438553	997.31146	985.27747	1000.0	1000.0	7999	-9.823402	4.579582	8.507661	-49.391796	-9.823447	4.580392	7.875325	-52.524406	10.26309	1.611474	0.23171192	0.0058104713	0.25402924	0.21477716	0.3707718	0.036386855	0.48949936	0.25020254	178.03404021263123
3	322.85986	664.0202	988.56854	-355.8463	996.45087	2.1078973	999.6556	992.5621	1000.0	1000.0	11999	-17.211609	5.702257	2.8915105	-77.72514	-17.211563	5.701047	3.1228127	-80.54913	17.70536	2.199621	0.23244174	0.0058106594	0.25350028	0.20972688	0.480326	0.03700795	0.63929534	0.36410108	297.0502755641937
4	986.4737	3.6667924	990.5397	981.25665	987.2703	3.6787357	994.2649	981.69214	1000.0	1000.0	15999	-18.721375	13.017526	10.302281	-88.79017	-18.71971	13.016875	10.251193	-89.88721	19.230558	2.427269	0.23367773	0.0059082042	0.26014167	0.21485485	0.54288274	0.049872287	0.7596745	0.4024063	394.482803106308
5	995.0693	4.1620965	998.06085	987.9058	993.21924	2.670496	997.85077	988.61456	1000.0	1000.0	19999	-14.138791	23.411577	21.828499	-101.68083	-14.13743	23.410004	21.913425	-100.16235	14.6559105	3.0772426	0.2370859	0.007240963	0.29090992	0.21069548	0.64284325	0.07152691	1.0700574	0.46140602	493.4659128189087
6	989.0497	2.7816267	993.7041	986.32733	993.35706	3.112212	999.09955	989.94073	1000.0	1000.0	23999	-7.477765	31.265863	32.572483	-106.05937	-7.476416	31.265017	33.07973	-105.59643	7.9877667	3.575935	0.24316977	0.015124042	0.35457355	0.21891996	0.77012306	0.106751926	1.4759136	0.53048414	604.8800795078278
7	982.8964	2.060449	985.0041	979.5909	990.65674	1.5858517	993.904	988.806	1000.0	1000.0	27999	-0.18567531	37.104935	44.95105	-108.25587	-0.18477964	37.1038	48.06907	-110.481064	0.68739504	3.8137925	0.2483796	0.023966098	0.41704535	0.22002475	0.87456596	0.14411248	1.7697184	0.6105784	695.8686215877533
8	985.049	3.717799	989.0422	979.9748	992.2736	2.4905076	995.4139	988.1672	1000.0	1000.0	31999	7.138595	41.28752	51.64715	-111.459526	7.1395307	41.286217	52.788208	-108.33115	-6.6401157	3.8091366	0.24589264	0.018308483	0.3714007	0.21752368	0.9339066	0.15305187	2.159944	0.6192725	799.4958074092865
9	987.9774	6.2644777	994.46704	980.1639	991.1735	3.7858205	999.38824	984.5294	1000.0	1000.0	35999	13.965443	44.184055	55.299538	-116.32467	13.966217	44.18276	57.87835	-120.181114	-13.478148	3.468421	0.24507202	0.015074085	0.35758793	0.21587223	0.9909597	0.15529628	2.041466	0.71986157	914.252058506012
10	987.4591	1.9171227	989.7962	984.5875	997.271	3.2463877	1001.798	990.0704	1000.0	1000.0	39999	20.425924	46.00373	60.83329	-115.54287	20.426626	46.002106	60.401497	-111.34176	-19.943121	3.1378276	0.24462873	0.012793222	0.3484495	0.21520855	1.0495284	0.15057188	2.041656	0.74624974	1019.846410036087
11	992.27997	7.258559	999.699	984.6739	992.988	3.5305626	997.8632	983.95056	1000.0	1000.0	43999	26.132193	47.16332	66.95199	-107.87852	26.132753	47.16219	70.686104	-102.11434	-25.65578	2.8788962	0.24574399	0.012860036	0.324193	0.22111109	1.1118511	0.1656629	2.67809	0.77462304	1141.5098798274994
12	998.3024	6.53739	1007.6834	990.7231	996.11163	1.812777	999.9462	992.98914	1000.0	1000.0	47999	31.363548	47.644062	75.203636	-102.33198	31.363998	47.643036	77.161644	-102.60477	-30.88305	2.8659246	0.24670984	0.011850804	0.32572204	0.22037123	1.1843863	0.1589902	2.3941576	0.8660345	1252.5737555027008
13	996.64813	1.7965535	999.31885	994.65356	995.3932	4.669464	1003.2946	988.3106	1000.0	1000.0	51999	35.800068	47.481968	74.393234	-100.95169	35.80046	47.48112	72.72557	-100.75451	-35.32023	2.7402632	0.24763022	0.012007836	0.3205945	0.21995756	1.264725	0.15785113	2.5097237	0.9320797	1355.0911796092987
14	992.1449	10.391037	1002.6149	975.1967	991.79114	2.6592135	997.2845	987.94635	1000.0	1000.0	55999	39.736763	47.30252	74.982254	-101.652725	39.736897	47.301937	75.2678	-98.62174	-39.268223	2.5527453	0.24965334	0.011823409	0.3081871	0.22143972	1.3519707	0.15957429	2.3553305	1.0038244	1458.2113783359528
15	992.6664	12.825698	1004.5105	971.0035	988.2917	2.5959086	994.8407	985.6378	1000.0	1000.0	59999	43.57404	46.855564	80.552086	-95.44223	43.574265	46.85505	85.72906	-96.3736	-43.109486	2.4121783	0.25060114	0.010800602	0.31291094	0.21738334	1.4330034	0.1578275	2.6018403	1.0628964	1566.1396305561066
16	994.6627	8.201809	1003.5274	982.7772	991.0596	2.1366947	994.6542	988.1984	1000.0	1000.0	63999	46.936924	46.296574	80.449394	-108.94622	46.93718	46.29615	79.38964	-102.83936	-46.479202	2.3195314	0.25408775	0.011202272	0.3243893	0.22395135	1.5225346	0.15375635	2.596936	1.183516	1679.8818011283875
17	993.37054	2.8601866	996.47504	988.69794	990.92004	3.931982	997.8099	984.7792	1000.0	1000.0	67999	50.067043	45.740005	81.226494	-98.40306	50.06728	45.739746	85.215065	-96.48847	-49.61812	2.1100292	0.2557325	0.010895448	0.32275796	0.22488306	1.6169736	0.14888452	2.6975024	1.2654933	1797.352136850357
18	1002.73334	5.119587	1009.04865	994.93945	1002.4575	2.3004537	1006.8369	999.2733	1000.0	1000.0	71999	53.010975	44.955315	85.00653	-102.44028	53.01132	44.95484	85.32674	-99.004715	-52.569496	2.0659728	0.2590028	0.011285064	0.31619292	0.22840291	1.7125684	0.14631446	2.8862786	1.3371029	1891.0535969734192
19	1000.9301	8.147101	1014.2303	992.55194	991.1951	3.0015194	996.8044	985.47424	1000.0	1000.0	75999	55.638126	44.241806	88.35835	-97.86278	55.638145	44.241817	87.89861	-95.927986	-55.200535	1.9656322	0.26326177	0.011316523	0.3203326	0.2303011	1.8093728	0.14755353	2.76206	1.4061419	1997.425167798996
20	1006.839	4.9367223	1013.638	999.72955	994.7049	3.2968457	1000.4261	991.3558	1000.0	1000.0	79999	58.10527	43.55277	89.09828	-98.19156	58.10563	43.55239	88.82693	-94.41035	-57.677437	1.868677	0.2670354	0.011648635	0.32159984	0.23277858	1.9051274	0.1446444	2.864511	1.4960558	2110.155991792679
21	1005.66907	4.6542926	1010.9667	998.3722	993.3353	8.699911	1008.1688	980.0218	1000.0	1000.0	83999	60.719753	42.397377	87.46115	-90.983925	60.71995	42.39705	89.34214	-94.734566	-60.297775	1.7477375	0.2719316	0.011993825	0.33317888	0.23399016	2.0040586	0.1438032	2.8586767	1.6165919	2221.5624754428864
22	997.5477	7.707235	1007.1576	986.186	992.2145	3.5591066	1000.143	986.2884	1000.0	1000.0	87999	62.78467	41.797325	89.81989	-101.95147	62.784935	41.79725	89.99002	-95.894745	-62.36714	1.6873695	0.27796337	0.012253306	0.33546165	0.24496053	2.1020277	0.13747433	2.8821783	1.7307165	2330.644594192505
23	997.0416	5.928284	1004.9133	991.2606	1006.9201	7.502675	1020.3107	993.9129	1000.0	1000.0	91999	64.973816	41.006516	93.884766	-106.83041	64.97399	41.006054	90.13107	-98.271835	-64.56374	1.6153113	0.2857054	0.012853716	0.3465545	0.24277057	2.2021232	0.1384045	2.8308086	1.8253365	2432.5708577632904
24	993.75244	3.518404	997.90314	988.7084	998.73956	4.1033354	1004.43866	992.2219	1000.0	1000.0	95999	67.18857	40.111786	91.686226	-92.450874	67.18872	40.11181	91.93059	-95.96346	-66.785286	1.5622913	0.29338208	0.012991785	0.35253704	0.25706792	2.299643	0.13269217	3.1258173	1.9254053	2535.531950235367
25	998.9641	10.548289	1014.1799	986.79535	991.1364	3.4349494	997.516	986.157	1000.0	1000.0	99999	69.316635	39.38041	94.97133	-86.43028	69.31689	39.380016	95.36225	-86.8867	-68.92461	1.4775066	0.30382478	0.013644982	0.3575826	0.26018655	2.4002764	0.13721454	3.269973	2.0567434	2632.4978551864624
26	997.6908	4.26019	1004.6747	993.15894	991.6468	4.294681	998.02454	983.33905	1000.0	1000.0	103999	71.32593	38.820473	94.56861	-80.33603	71.32596	38.820503	96.37323	-84.68046	-70.938095	1.403124	0.31457677	0.01387461	0.3835206	0.2715037	2.499835	0.133326	3.3205152	2.04327	2733.63649225235
27	991.3274	5.168058	999.57245	985.38495	990.72595	8.711248	1008.40137	979.5054	1000.0	1000.0	107999	73.53486	38.120358	96.430046	-77.70077	73.53512	38.11998	96.45999	-75.99992	-73.15603	1.3381512	0.32572883	0.014321191	0.4029282	0.28250605	2.5993683	0.12809542	3.2063925	2.2083983	2832.9245512485504
28	990.14197	15.777288	1017.1377	977.715	977.42566	4.815742	987.3914	971.1253	1000.0	1000.0	111999	75.54909	37.750072	98.63961	-84.986404	75.54924	37.74977	101.525635	-77.198425	-75.175186	1.311459	0.34031036	0.014285058	0.41002485	0.29730755	2.6991045	0.12926044	3.3393805	2.271634	2929.948286294937
29	986.4977	8.336865	997.19977	977.6889	973.4777	5.537639	989.194	968.5797	1000.0	1000.0	115999	77.73161	37.188244	99.93884	-86.47073	77.73174	37.188152	100.54527	-77.88954	-77.359924	1.3709816	0.35758182	0.016299665	0.4266399	0.30230644	2.798535	0.12898257	3.3562396	2.398382	3037.8538661003113
30	973.23035	6.2391305	983.5978	966.9155	983.5205	4.1906514	987.94073	973.7696	1000.0	1000.0	119999	79.90855	36.89888	101.55203	-84.818306	79.90854	36.89878	101.28605	-82.38089	-79.54689	1.3159181	0.37374157	0.017296152	0.47378734	0.32336757	2.8975036	0.1276059	3.5351434	2.4457276	3147.541353702545
