Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-372.23868	23.315853	-335.4917	-398.43054	987.83563	3.3318717	994.1223	983.31195	1000.0	1000.0	3999	1.6106377	3.3885577	32.256298	-25.237244	1.6108737	3.389679	33.842987	-25.67124	-2.1147916	0.6138035	0.2339228	0.0076311696	0.26215473	0.21236473	0.0024836925	0.002356444	0.01090364	1.6726642e-07	2.5274193	0.99827695	3.9811895	1.4165308e-07	91.12432551383972
2	-352.54825	19.335526	-322.47037	-375.2862	1006.4349	6.7691073	1017.72845	996.3771	1000.0	1000.0	7999	10.626655	5.538246	57.514095	-18.974478	10.626704	5.5393977	58.383617	-23.102005	-11.304928	1.1543918	0.27183622	0.012416519	0.3124008	0.23061043	0.007633205	0.0016885065	0.01726253	0.0016865967	3.3824239	0.15793258	3.9701877	2.7792284	208.99414157867432
3	321.50043	670.83844	993.96466	-369.28003	990.0333	5.12253	1000.1182	981.36975	1000.0	1000.0	11999	20.326128	6.014995	67.01729	-13.530402	20.326263	6.016001	66.35301	-14.258519	-20.93838	1.3033787	0.28740996	0.010804372	0.32777387	0.25268072	0.009822579	0.0020246815	0.01550677	0.0026091302	3.468833	0.17500691	4.0842023	2.7495825	329.42597699165344
4	989.52167	5.050956	995.44	982.5437	981.9971	5.962089	993.333	973.54974	1000.0	1000.0	15999	28.81146	6.7315884	74.95999	-5.7530046	28.811436	6.7319245	73.56449	-4.183448	-29.089832	1.0500575	0.2960212	0.011591934	0.34243315	0.25857523	0.010388493	0.0020442388	0.016871851	0.0027228922	3.179209	0.15955417	3.761334	2.650342	436.58330154418945
5	986.8933	3.1272252	992.06165	983.6431	956.04395	8.604475	980.4373	948.45276	1000.0	1000.0	19999	35.89158	8.790268	89.42683	4.621069	35.89156	8.790154	86.261734	3.816811	-35.964558	1.2197831	0.34389627	0.025955008	0.416211	0.27523214	0.012642786	0.0026215753	0.02108508	0.0030251294	3.3800476	0.16786475	3.9574983	2.876812	558.1060812473297
6	977.9649	20.918678	1013.23486	960.5672	971.84357	8.816888	987.819	960.4376	1000.0	1000.0	23999	42.95027	11.243602	104.12285	6.150804	42.950443	11.243101	104.69433	7.1751847	-42.876163	1.6556098	0.39742482	0.020384122	0.4717454	0.3317439	0.016409816	0.00357236	0.027768107	0.0038651149	3.514318	0.17806692	4.2993646	2.882331	656.104695558548
7	966.9337	13.051088	978.9176	945.8038	975.02576	5.8571997	986.3392	964.81213	1000.0	1000.0	27999	49.71116	13.13333	123.7837	6.947377	49.71133	13.133247	127.30209	6.6257596	-49.54531	1.969263	0.44809982	0.018946992	0.54592377	0.39113736	0.02045464	0.004434169	0.033764627	0.0047347015	3.6943107	0.17630477	4.377072	3.1392221	767.0291864871979
8	977.74396	11.622344	995.63135	964.60767	974.0215	12.62315	1004.93445	956.7451	1000.0	1000.0	31999	55.70581	14.084433	151.8559	4.8558116	55.705727	14.085405	157.73964	1.9492846	-55.44468	2.1982138	0.47576055	0.022307312	0.5767786	0.4175961	0.022978526	0.0049829874	0.04120628	0.0049284943	3.782125	0.1911423	4.543565	3.0843182	877.4625985622406
9	962.0495	15.784777	980.68256	937.0017	902.43085	67.263084	979.3763	792.1559	1000.0	1000.0	35999	60.742584	15.315645	255.82239	6.5891867	60.74252	15.317126	252.92368	5.0700083	-60.405907	3.1668868	0.52787566	0.042308144	0.8088387	0.42385513	0.028530734	0.008149922	0.06466685	0.0053520952	3.9360852	0.24947582	5.440123	3.1767888	982.9812476634979
10	545.78143	76.94745	618.55273	430.00696	249.9231	324.2949	522.18353	-657.90936	1000.0	1000.0	39999	74.4838	25.381212	320.50208	6.759021	74.48311	25.382977	327.12802	6.9749727	-74.5573	9.222388	1.3680087	0.5545153	2.24007	0.50892866	0.22263418	0.12186549	0.5370943	0.0088356165	5.14648	0.67993987	6.810525	3.4400737	1084.3654551506042
