Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-342.91498	16.748346	-322.96652	-360.82236	-30.689962	37.52816	19.882256	-99.62847	1000.0	1000.0	3999	5.793547	3.8558755	32.69071	-4.294301	5.7937174	3.8568532	32.690105	-4.775943	-4.2886314	1.6965358	12.273861	-13.677477	-6.994602	0.6199599	75.3193051815033
2	-350.9511	29.620445	-322.62006	-399.59106	127.99956	191.18314	402.70462	-141.87466	1000.0	1000.0	7999	19.945765	5.7581744	58.266125	-0.08707751	19.946087	5.7590327	58.12499	-0.3473231	-2.9688447	2.259094	13.483223	-16.561876	-21.32161	1.4925332	167.34714651107788
3	-413.6764	140.54018	-268.1613	-644.99225	531.75244	82.00731	712.3854	385.4755	1000.0	1000.0	11999	33.20717	5.2119393	74.87403	13.407034	33.20688	5.2141314	75.45038	14.463332	-3.2726943	2.136496	13.563221	-14.834245	-34.3559	2.3191473	260.46701860427856
4	-116.31981	35.55092	-69.11062	-162.21281	648.9076	79.891846	812.9388	471.09695	1000.0	1000.0	15999	38.038227	4.779157	76.51552	11.419069	38.03809	4.7793903	77.91869	13.6236	-4.0026135	1.6554801	9.006618	-15.098412	-38.86256	2.3532293	355.44798135757446
5	12.376085	74.35101	128.20842	-76.624084	621.12366	37.043804	679.5393	569.91766	1000.0	1000.0	19999	40.537575	5.295965	85.432274	18.2541	40.537563	5.2961907	83.517555	16.902943	-4.060181	1.6005118	9.5106	-13.598791	-41.31033	2.2495415	450.25585865974426
6	76.56717	46.737965	154.28986	37.55881	721.6124	147.3287	917.0383	384.1805	1000.0	1000.0	23999	43.299534	5.7611675	92.07598	21.519072	43.299564	5.761295	89.713326	21.452276	-3.9786735	1.6269797	11.656616	-14.862371	-44.02764	2.5308414	548.3292741775513
7	29.584496	48.550552	66.81643	-51.729946	766.6704	89.008575	966.0462	697.9099	1000.0	1000.0	27999	45.726086	5.7036457	92.412964	20.78276	45.7261	5.702533	91.839836	20.736498	-3.9071655	1.6635177	10.713144	-14.814177	-46.43946	2.433437	644.3732469081879
8	84.59726	37.223843	137.07887	32.988922	778.7496	155.79492	1004.41547	633.223	1000.0	1000.0	31999	47.946304	5.7263045	96.79082	17.96922	47.946106	5.7260957	96.93788	20.330019	-3.8452492	1.6788433	10.760892	-17.160835	-48.64921	2.4407697	740.4982957839966
9	139.47011	17.357174	159.34444	120.14713	880.0443	106.43004	994.8009	693.12585	1000.0	1000.0	35999	50.35218	5.6492558	99.73474	18.683397	50.35201	5.650168	99.31912	20.763765	-3.816241	1.6915125	13.707232	-15.289051	-51.05388	2.3565423	835.9497792720795
10	166.63211	24.058788	199.97356	137.31522	809.53564	135.08179	978.8191	551.76807	1000.0	1000.0	39999	52.765255	5.388357	98.53214	21.993944	52.76522	5.3890996	100.51538	22.514936	-3.808827	1.6826805	13.347249	-14.301024	-53.462578	2.321712	930.8260843753815
