Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-359.7876	41.10726	-306.21915	-407.0304	-612.146	81.93505	-467.74307	-728.1921	1000.0	1000.0	3999	-0.42409217	1.5807632	12.469189	-11.727848	-0.42463192	1.5806855	12.73699	-11.648377	-0.37148064	0.19454126	40.110116958618164
2	-382.7466	42.964935	-343.4104	-454.1754	-1245.1194	85.972694	-1114.3795	-1368.9358	1000.0	1000.0	7999	2.208642	2.9549503	27.86036	-23.342306	2.207317	2.953384	26.490702	-23.95186	-4.0020375	0.5369751	89.18373203277588
3	-361.27887	305.0962	85.00443	-776.4564	503.63232	57.313545	588.0659	411.78973	1000.0	1000.0	11999	5.7169623	3.4471807	32.238327	-25.381588	5.717941	3.448925	31.6001	-28.181023	-7.6281414	1.0953395	138.9572570323944
4	452.98846	71.64668	555.08453	363.0913	554.25555	51.083656	656.9179	501.5168	1000.0	1000.0	15999	6.7899837	4.0284243	31.981962	-33.985172	6.7903304	4.0289054	33.070015	-35.550766	-8.246152	1.0386715	190.97774744033813
5	531.4644	94.1546	613.8455	377.8717	688.61554	44.63092	770.82996	601.3793	1000.0	1000.0	19999	8.064501	4.4913015	35.094254	-32.907955	8.064933	4.4893923	37.407013	-34.60109	-9.460889	1.162585	243.51240730285645
6	537.92365	28.25583	583.3116	509.48602	615.64056	91.932915	765.276	460.3452	1000.0	1000.0	23999	9.84527	4.725903	35.905422	-34.083942	9.845545	4.725956	35.541344	-34.38787	-11.229041	1.2951804	294.57433223724365
7	544.1278	56.548615	601.30646	471.85974	683.8381	53.366596	794.5402	608.6199	1000.0	1000.0	27999	11.552809	4.6831594	35.67509	-30.850912	11.553226	4.683871	35.465878	-33.483715	-12.861273	1.3478391	344.3188328742981
8	589.8532	91.48216	672.9884	444.94717	645.2178	106.738335	746.4634	431.80936	1000.0	1000.0	31999	13.020276	4.5629406	37.23074	-28.530155	13.020407	4.56311	36.193783	-30.46459	-14.260127	1.3224822	394.3680160045624
9	644.2003	51.449654	731.63885	604.7407	713.5958	82.3191	819.21967	577.40857	1000.0	1000.0	35999	14.637739	4.5094447	41.628952	-26.24292	14.637978	4.50986	39.716896	-27.408525	-15.817007	1.3753862	444.27169728279114
10	643.7307	74.04999	719.32227	540.7938	671.3259	49.842243	755.2132	602.51843	1000.0	1000.0	39999	16.335236	4.5243006	41.335747	-29.377539	16.335	4.526148	41.804234	-32.24322	-17.501898	1.3768427	494.61953592300415
11	652.43353	29.276867	693.652	613.06683	700.6642	88.825134	783.8124	468.13446	1000.0	1000.0	43999	17.981697	4.5507483	42.496574	-34.410774	17.981686	4.5520196	43.805435	-32.536537	-19.114456	1.4464275	545.0964107513428
12	648.9267	78.81162	771.94794	552.1736	646.0439	122.766624	805.82043	349.46103	1000.0	1000.0	47999	19.562223	4.5812182	44.036987	-30.345015	19.56216	4.583229	43.495747	-31.46958	-20.654657	1.5293123	595.0496969223022
13	573.7899	78.32365	682.1405	461.33862	752.5458	101.97636	894.29553	528.8202	1000.0	1000.0	51999	21.158846	4.805122	44.87973	-41.668118	21.158794	4.808205	44.923435	-39.39887	-22.184395	1.6077751	645.7055189609528
14	680.3187	97.76002	759.255	517.7413	709.5494	95.93107	861.51776	554.66	1000.0	1000.0	55999	22.69138	5.0111113	47.230843	-48.478954	22.691223	5.0135703	46.254787	-44.03679	-23.709253	1.6194428	695.8235695362091
15	771.26855	64.64568	852.13806	680.95074	707.6478	115.85367	875.22174	504.84848	1000.0	1000.0	59999	24.185085	5.2076755	47.974476	-44.243645	24.184944	5.209865	48.901505	-44.393116	-25.172245	1.6374973	746.2034792900085
16	623.499	102.78263	738.9582	462.77197	784.00385	27.818256	825.2043	715.48334	1000.0	1000.0	63999	25.5828	5.492908	49.55863	-49.550316	25.58296	5.4947157	48.84678	-56.90086	-26.553503	1.7108861	796.3644194602966
17	767.66187	25.338047	810.3486	744.1887	726.13745	129.35196	833.8461	374.6973	1000.0	1000.0	67999	27.00304	5.785722	56.028313	-49.372646	27.003027	5.7871194	56.010002	-48.707253	-27.986435	1.7466633	846.8007798194885
18	665.1134	93.52914	771.48535	515.87494	753.72156	76.646935	807.2674	565.8451	1000.0	1000.0	71999	28.572588	6.063222	57.747925	-53.268055	28.572723	6.064583	57.201653	-50.17714	-29.533989	1.7630236	896.994401216507
19	715.3914	20.421236	739.7242	683.87616	774.7394	94.130516	899.1223	608.64685	1000.0	1000.0	75999	30.045023	6.354489	60.22741	-52.67733	30.04492	6.3565483	61.259315	-60.107925	-31.004934	1.7955823	947.5734052658081
20	681.4365	99.35742	832.1221	557.28467	767.72437	47.48267	847.68915	690.5691	1000.0	1000.0	79999	31.425554	6.6231275	66.61884	-51.726265	31.425545	6.6256557	67.755844	-51.53797	-32.396744	1.8494906	997.8629851341248
21	707.8332	30.389616	751.75574	677.2088	774.52356	56.0678	861.7605	639.9518	1000.0	1000.0	83999	32.786976	6.827667	68.472725	-41.03282	32.786835	6.829611	69.46145	-42.6907	-33.74157	1.8532209	1048.1344285011292
22	743.448	40.872227	775.5991	673.2766	870.25745	63.36624	924.53503	738.24084	1000.0	1000.0	87999	33.9406	6.9482107	67.381355	-28.29904	33.940376	6.950909	68.85125	-27.566015	-34.860672	1.8156954	1098.4489567279816
23	759.57965	92.42708	865.7006	640.19165	704.4525	94.836174	843.17413	574.4987	1000.0	1000.0	91999	35.10081	7.0494647	67.94779	-23.462086	35.100548	7.0519443	69.94121	-24.114647	-36.012005	1.8092188	1148.939604997635
24	631.42957	107.04314	785.15924	527.3696	731.77625	55.376877	792.1692	639.4726	1000.0	1000.0	95999	36.21955	7.316002	70.196945	-24.498188	36.2194	7.319405	70.7771	-23.232573	-37.111774	1.8470927	1199.057115316391
25	688.2167	47.163372	735.757	610.1074	707.1232	98.7302	897.52405	516.53265	1000.0	1000.0	99999	37.206154	7.5217967	71.64195	-24.687689	37.205975	7.5244203	70.45806	-26.20374	-38.07843	1.9377216	1248.9914140701294
26	583.05756	260.88007	827.4076	143.2632	798.52997	65.70929	897.9437	681.72205	1000.0	1000.0	103999	38.23502	7.4894633	71.25551	-24.900175	38.235004	7.490753	69.795166	-27.327097	-39.085323	1.8553653	1298.9752345085144
27	723.96814	58.338142	788.1573	629.9651	754.0706	169.0014	888.51373	260.15552	1000.0	1000.0	107999	39.140915	7.7612767	69.76545	-26.266006	39.140823	7.763086	69.548775	-27.9655	-39.977177	1.9192612	1348.689632177353
28	756.69727	59.69016	837.85034	681.69244	764.2766	76.42642	872.8219	580.7775	1000.0	1000.0	111999	40.183956	7.897927	71.881516	-30.664831	40.184002	7.899243	71.0058	-31.85122	-41.037975	1.8809721	1398.7832081317902
29	726.0729	73.86888	821.7359	647.2121	820.6161	70.68387	911.12006	683.4686	1000.0	1000.0	115999	41.239796	7.915926	74.336494	-26.161976	41.23979	7.9174056	73.44789	-25.760391	-42.09518	1.8819968	1448.9796528816223
30	742.4475	43.027798	806.5723	690.1254	684.885	126.00336	858.97235	422.41574	1000.0	1000.0	119999	42.158825	7.9301934	80.32533	-24.459745	42.15885	7.931569	77.336075	-25.019829	-42.989223	1.8436415	1499.121975660324
31	714.31323	64.247406	758.4031	603.3219	719.1683	195.2453	922.1647	208.5163	1000.0	1000.0	123999	42.99349	8.063065	81.15777	-26.180208	42.99351	8.063821	82.4657	-28.170895	-43.81133	1.9169729	1549.481552362442
32	601.08594	235.2513	788.6539	204.18172	799.54675	113.539665	909.6893	538.1673	1000.0	1000.0	127999	43.5298	8.307181	84.93714	-26.108559	43.52981	8.308948	81.68346	-24.919436	-44.333656	2.0426486	1599.6614639759064
33	706.6223	113.881966	878.12714	564.69366	747.4442	159.00282	938.22876	347.25168	1000.0	1000.0	131999	43.76991	8.4965725	81.78929	-23.864475	43.770023	8.497758	83.25431	-26.143675	-44.550755	2.0233634	1650.498547077179
34	825.73395	92.11623	929.0158	689.7786	721.2528	188.7766	927.1833	422.14713	1000.0	1000.0	135999	44.12834	8.685451	89.76339	-25.776981	44.12855	8.686635	87.547295	-25.716282	-44.952595	2.104934	1700.4388055801392
35	789.4561	175.41039	911.4124	487.5957	488.72626	279.04846	852.6261	-24.70585	1000.0	1000.0	139999	44.52329	9.0202265	91.243385	-35.101692	44.52333	9.021744	88.729866	-31.271812	-45.399284	2.2257254	1750.6358752250671
36	658.44556	243.85193	984.56384	342.97223	696.95154	155.14311	839.48047	369.58627	1000.0	1000.0	143999	44.90415	9.324256	92.163635	-30.204031	44.90444	9.325923	91.82531	-30.307392	-45.78201	2.252328	1801.057320356369
37	614.0041	219.96153	962.4248	369.34766	781.07965	192.57031	1017.72516	479.31058	1000.0	1000.0	147999	45.27139	9.655973	92.62935	-30.897282	45.27132	9.658743	92.73583	-32.845856	-46.135273	2.2683306	1850.8793218135834
38	707.2988	161.08812	888.30927	507.21664	803.50836	112.40012	980.0564	606.1431	1000.0	1000.0	151999	45.471626	10.038768	95.63201	-31.168854	45.47162	10.040563	93.615616	-34.801914	-46.339024	2.3344383	1901.4521062374115
39	722.4148	78.65902	855.96045	661.6949	808.16956	144.79059	982.40906	528.6979	1000.0	1000.0	155999	45.786057	10.167547	90.576035	-34.471844	45.78614	10.1698265	92.46278	-35.17275	-46.616093	2.3259766	1951.7986714839935
40	809.94763	35.333378	834.60767	748.98065	818.90485	64.79282	932.1423	702.43085	1000.0	1000.0	159999	46.038845	10.463293	90.42716	-49.187943	46.03874	10.465523	92.034676	-44.952744	-46.871735	2.3372436	2001.991702079773
41	703.27344	33.874767	751.7942	656.76605	748.7941	91.5033	882.7394	626.5207	1000.0	1000.0	163999	46.38504	10.619905	88.66928	-46.216682	46.38513	10.621356	90.56258	-47.001316	-47.214676	2.3891172	2052.0259759426117
42	832.01483	76.251	930.2542	747.3999	674.6501	131.64828	867.7379	457.9538	1000.0	1000.0	167999	46.62183	10.694926	96.26002	-49.295147	46.62174	10.697191	96.91182	-46.6785	-47.41551	2.3267019	2102.3546471595764
43	700.0289	62.603687	806.24805	649.7574	772.7859	62.515488	847.46313	673.8647	1000.0	1000.0	171999	46.921474	10.823176	95.51987	-40.529358	46.92163	10.824636	94.05474	-42.683765	-47.730976	2.3380804	2152.6419937610626
44	736.70844	30.514853	765.7066	685.43146	763.30585	186.44307	965.4093	292.03726	1000.0	1000.0	175999	47.215145	10.930685	95.5318	-35.70232	47.21525	10.931856	93.693665	-41.694866	-47.95712	2.3306928	2202.871515274048
45	778.1434	190.9819	1082.7543	555.83105	861.7966	158.75432	1198.1544	690.3193	1000.0	1000.0	179999	47.576466	10.98187	88.5526	-39.06665	47.57652	10.983789	90.52583	-41.677395	-48.335888	2.2904234	2252.981817960739
46	891.1432	96.44652	992.92444	741.58936	875.88446	80.05353	1014.0617	755.4142	1000.0	1000.0	183999	48.095394	10.915612	99.06668	-46.547573	48.095196	10.917156	94.112854	-39.67809	-48.823948	2.2916512	2303.3490324020386
47	797.4039	89.542885	923.3045	671.22534	854.1206	126.25746	1076.9604	671.3055	1000.0	1000.0	187999	48.711746	10.885545	95.97781	-27.264227	48.711563	10.887956	97.34065	-26.943316	-49.41937	2.305007	2353.6256148815155
48	690.1744	81.06987	758.18585	552.9816	805.9465	105.65481	1003.60046	664.60583	1000.0	1000.0	191999	49.110737	10.947205	93.761604	-30.70729	49.110737	10.949502	95.118195	-30.53099	-49.823586	2.321213	2404.23273897171
49	901.1451	142.68379	1072.8507	753.39075	853.61584	95.44824	997.5248	694.44385	1000.0	1000.0	195999	49.6283	10.9650135	97.56859	-32.455093	49.62811	10.9666395	98.08214	-32.543156	-50.347336	2.3468447	2454.356930732727
50	795.1394	93.8176	942.9074	691.6233	830.5697	194.17876	1103.4471	518.7077	1000.0	1000.0	199999	50.174435	10.944333	95.84282	-28.911598	50.174545	10.944794	100.721115	-29.811878	-50.868614	2.3344247	2504.3114895820618
51	908.21277	152.34666	1087.5774	704.2381	907.68835	170.99571	1223.6442	573.4736	1000.0	1000.0	203999	50.743576	10.91828	96.94908	-23.008055	50.74364	10.919334	99.51637	-21.833788	-51.429398	2.318519	2554.6454610824585
52	924.36505	184.90009	1231.004	750.6042	868.2291	125.07997	1033.1606	665.22327	1000.0	1000.0	207999	51.47761	10.87951	98.73868	-24.101892	51.47768	10.880984	101.26268	-25.005127	-52.16996	2.3603063	2604.8772599697113
53	694.1621	168.93036	841.75055	407.43582	934.92175	105.7279	1086.434	743.3901	1000.0	1000.0	211999	51.89676	10.955574	100.3849	-20.801937	51.896805	10.956853	98.98856	-20.622131	-52.579376	2.3271914	2655.1833345890045
54	671.16516	123.587845	880.06055	563.13763	930.3371	112.37176	1161.3492	772.09784	1000.0	1000.0	215999	52.242813	10.9652195	96.67885	-21.72273	52.24276	10.967673	96.033356	-20.027058	-52.959244	2.3573673	2705.5025300979614
55	836.7617	143.3129	1054.2839	651.7726	962.14374	170.0577	1112.0476	638.44434	1000.0	1000.0	219999	52.488064	10.941308	99.12383	-20.168451	52.48802	10.943134	103.192856	-17.37477	-53.207085	2.4908066	2755.817101240158
56	1004.16724	63.3778	1099.6237	932.439	1058.9052	157.49037	1287.213	820.69806	1000.0	1000.0	223999	52.891506	11.025322	101.51159	-20.070675	52.891655	11.0273	99.93795	-22.860527	-53.599186	2.4302807	2806.0449368953705
57	899.93054	81.10838	1034.1617	830.15375	1073.5757	129.22658	1226.4082	799.5882	1000.0	1000.0	227999	53.340343	11.136703	103.81454	-20.6352	53.340454	11.13868	102.26133	-20.908728	-54.036358	2.4727225	2855.661183834076
58	854.4891	254.16649	1202.4601	484.27176	1049.5996	229.84975	1252.235	648.611	1000.0	1000.0	231999	53.66695	11.200709	96.95218	-31.661016	53.66684	11.203423	99.796616	-20.730694	-54.366493	2.4574068	2905.803852558136
59	823.66174	51.091827	870.82776	745.1977	1066.5979	216.17685	1323.0806	827.09436	1000.0	1000.0	235999	54.06108	11.462715	101.96424	-22.867865	54.061207	11.464259	105.59346	-21.25247	-54.75955	2.4645321	2955.917702436447
60	772.8907	205.28082	1025.2108	452.97684	1094.5145	328.76233	1413.7904	544.9457	1000.0	1000.0	239999	54.41299	11.694399	97.43344	-25.942865	54.41286	11.69622	101.07968	-23.982214	-55.107662	2.4911158	3005.870743751526
61	911.8236	180.53133	1196.5912	701.5717	952.8862	179.64635	1283.9801	683.36365	1000.0	1000.0	243999	54.61691	12.025016	98.38939	-31.508972	54.6169	12.027616	101.16975	-29.56502	-55.26604	2.5625443	3055.836501598358
62	1030.9487	136.32648	1221.8828	840.0215	1187.7924	242.67708	1423.0343	771.90375	1000.0	1000.0	247999	54.92564	12.445188	97.831764	-33.69094	54.92565	12.447484	100.02739	-32.99747	-55.64213	2.6823754	3105.742421388626
