Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-306.13272	78.79288	-192.72902	-414.24814	-504.8776	86.56022	-382.73352	-657.855	1000.0	1000.0	3999	2.228287	2.972531	26.160141	-7.231352	-3.1111488	0.41016424	30.26729917526245
2	-295.4455	47.041782	-214.96501	-333.8133	-417.52252	35.4863	-374.83575	-487.08795	1000.0	1000.0	7999	29.76197	16.983677	94.33726	-5.3260202	-33.141537	2.289906	71.23404693603516
3	-304.396	70.65841	-196.30956	-394.10535	-412.29517	80.03848	-228.87335	-524.3943	1000.0	1000.0	11999	113.61033	34.66835	221.2123	39.45402	-120.333046	11.434085	113.74635362625122
4	-355.00034	139.14658	-130.91216	-480.2199	-434.71265	107.090416	-218.04068	-589.21313	1000.0	1000.0	15999	180.71992	18.678114	224.59315	121.58751	-184.17232	13.341536	156.94890975952148
5	-572.2748	166.98311	-330.02347	-743.8783	-473.80145	100.16373	-325.3354	-730.1347	1000.0	1000.0	19999	181.71996	27.833635	227.46881	119.41371	-183.49525	8.143238	198.82596135139465
6	-337.12622	194.94366	-146.5664	-616.68695	-413.6745	76.70542	-295.29773	-532.0829	1000.0	1000.0	23999	162.22581	32.228924	214.43619	100.118324	-163.1342	5.5498223	241.36166167259216
7	-152.23761	236.5072	250.0827	-340.2694	23.081991	248.69304	316.68497	-424.9214	1000.0	1000.0	27999	140.43298	30.896994	201.35818	82.595	-141.12357	4.121212	283.7127249240875
8	601.38525	242.82838	932.58124	288.23465	674.3205	376.6878	1110.1398	157.0988	1000.0	1000.0	31999	123.88841	29.111156	177.89589	65.47006	-124.648544	3.4442985	325.8497505187988
9	929.50354	633.6606	1624.8376	-71.56722	1262.7478	554.5307	1774.1642	266.55536	1000.0	1000.0	35999	116.59348	30.796453	172.33098	56.52395	-117.60647	3.927661	367.9480104446411
10	1467.241	93.38648	1561.5688	1341.7448	1191.5896	382.2043	1640.2407	445.80933	1000.0	1000.0	39999	117.22419	36.625175	182.83444	49.18346	-118.43634	4.708005	409.8958020210266
11	1723.304	100.04215	1855.0884	1591.3038	1194.8677	759.983	1912.5077	-195.21722	1000.0	1000.0	43999	124.40783	42.550636	192.60655	44.176346	-125.70786	5.255871	452.04803371429443
12	1473.487	866.13367	2043.2178	-24.842012	2191.2336	76.25076	2333.2263	2061.7366	1000.0	1000.0	47999	133.89058	48.528107	209.87451	40.977077	-135.26688	5.5219307	494.09551978111267
13	1903.7368	405.94748	2245.3179	1210.6002	1557.3278	774.6688	2430.7605	234.51129	1000.0	1000.0	51999	143.9762	55.78961	225.82465	34.781303	-145.37831	6.0762205	536.2051331996918
14	2270.601	54.701485	2308.9229	2176.1465	1701.4348	1153.1611	2379.6582	-601.3305	1000.0	1000.0	55999	155.81422	61.787006	237.883	18.694166	-157.24445	6.6216607	578.6043527126312
15	1720.1663	651.75793	2262.1382	621.7105	1614.7117	998.28345	2512.1755	7.08521	1000.0	1000.0	59999	167.832	66.27276	258.79987	13.002125	-169.23416	6.49666	621.1540122032166
16	2229.7036	338.6185	2599.1123	1686.4452	2544.7344	740.4778	2884.0417	333.6512	1000.0	1000.0	63999	176.68375	71.826904	271.90192	0.66635346	-178.06223	7.3346834	663.4639809131622
17	2018.1136	1081.1469	2850.4443	167.80363	2133.2864	805.0249	2848.848	372.19608	1000.0	1000.0	67999	187.33395	76.0383	283.84753	-16.018747	-188.73636	7.8606544	705.5492424964905
18	2255.9192	659.30054	2718.9058	1118.381	971.47736	875.1595	2531.871	19.001928	1000.0	1000.0	71999	195.958	81.04682	297.20816	12.689546	-197.35524	8.243738	747.878545999527
19	1473.6425	900.8176	2729.3745	344.95636	2104.2754	1091.5201	2934.6768	-73.97347	1000.0	1000.0	75999	202.37642	87.51806	310.38242	18.072605	-203.78185	8.965662	790.0989718437195
20	2300.8909	841.38556	2867.826	849.87415	2939.4536	101.76224	3160.0234	2811.637	1000.0	1000.0	79999	208.98782	93.55933	324.41998	-4.268667	-210.41061	10.07694	832.0599780082703
21	1932.027	1030.1539	2885.4238	305.933	967.6963	986.40924	2848.285	102.498	1000.0	1000.0	83999	218.30907	97.87039	331.97824	-17.082157	-219.76047	10.173806	874.2472784519196
22	2861.947	183.8687	3115.904	2680.4036	2329.3882	873.7415	3115.9492	593.9733	1000.0	1000.0	87999	226.30798	102.12444	342.31894	-13.149184	-227.73561	10.785052	916.2773447036743
23	2015.6658	877.4003	3122.5112	862.13696	2490.425	757.19104	3189.5815	1055.0177	1000.0	1000.0	91999	234.4616	105.122185	371.7314	3.4436073	-235.86337	11.064833	958.4870793819427
24	2173.7068	823.88434	3079.373	1275.2257	2965.391	202.37433	3200.3523	2453.3223	1000.0	1000.0	95999	239.54984	109.06419	376.4734	-46.030346	-240.96448	12.72941	1000.6521875858307
25	1725.9774	864.36804	3161.9792	986.1107	2890.9268	478.088	3334.1416	1867.7621	1000.0	1000.0	99999	245.35104	112.10249	387.2402	-6.7275715	-246.85873	15.135981	1042.8794026374817
26	2318.1787	1000.53314	3313.841	959.25256	3192.8513	361.77252	3492.239	2159.5542	1000.0	1000.0	103999	250.85052	114.35074	394.10474	1.1852452	-252.37875	17.428402	1084.8268704414368
27	2703.8655	359.34354	3120.605	2229.6135	3101.4578	232.65215	3414.1038	2694.7065	1000.0	1000.0	107999	259.47583	114.34315	404.13516	-32.693497	-261.07156	18.371403	1126.832483291626
28	2915.88	63.096947	2985.4407	2834.3767	2989.755	1017.35657	3602.593	4.464745	1000.0	1000.0	111999	270.98355	107.96089	408.97778	0.24881482	-272.83594	21.492653	1168.7706999778748
29	3198.2297	177.58698	3416.6426	2968.208	2884.5396	435.70285	3437.1584	2084.6785	1000.0	1000.0	115999	284.16327	97.06607	415.97717	50.897255	-285.98544	19.106195	1210.772094964981
30	2961.631	533.1407	3560.7903	2284.0332	3530.5376	198.18349	3771.6865	3153.6548	1000.0	1000.0	119999	294.25015	90.37643	418.58078	75.46526	-296.0843	18.319414	1252.8253531455994
31	3401.5413	73.90478	3528.9172	3352.105	3678.8574	135.98595	3885.661	3412.0508	1000.0	1000.0	123999	306.5944	80.84327	428.7254	113.489334	-308.56097	16.675152	1294.7068815231323
32	3500.8403	54.726425	3590.8594	3450.6619	3028.2222	1122.1018	3752.4353	114.48885	1000.0	1000.0	127999	318.21143	72.7783	429.88315	141.98985	-320.0505	15.047028	1336.7052779197693
33	3494.7622	66.168	3597.1853	3412.9219	3493.261	342.34628	3868.3145	2781.5557	1000.0	1000.0	131999	326.0586	70.93183	436.30316	161.35136	-327.8094	13.03346	1378.6773295402527
34	3352.2603	440.3049	3657.994	2591.9587	3374.952	1180.3778	4074.949	163.42357	1000.0	1000.0	135999	332.815	70.31041	440.15878	156.83624	-334.5683	11.96324	1420.7645704746246
35	3674.645	83.459564	3750.3984	3538.9749	3784.334	146.424	3940.6501	3399.816	1000.0	1000.0	139999	338.43768	70.840004	442.9822	158.24788	-340.08798	11.987043	1462.7005369663239
36	3587.0474	154.58998	3789.2805	3367.2317	3286.6426	1093.2468	3822.1155	20.306892	1000.0	1000.0	143999	342.90573	72.88383	449.6655	159.2293	-344.5619	11.964582	1504.5902173519135
37	3680.7495	88.71503	3751.8857	3530.3523	3936.8394	94.84439	4077.4685	3803.6084	1000.0	1000.0	147999	347.5887	73.961075	449.5767	158.73293	-349.25656	12.47526	1546.6729969978333
38	3601.3025	131.7979	3729.5435	3381.119	3610.894	864.5032	4056.218	1070.7183	1000.0	1000.0	151999	352.35925	74.41237	451.87393	154.71315	-353.97995	12.334974	1588.5545506477356
39	3814.367	58.52631	3888.1897	3736.6501	3855.8875	307.44748	4270.1772	3162.1309	1000.0	1000.0	155999	357.67404	73.42497	457.7662	154.57962	-359.4064	12.308918	1630.5649421215057
40	3430.8723	701.3336	3920.295	2219.6267	4053.1387	198.38895	4288.912	3553.3862	1000.0	1000.0	159999	362.13452	73.11921	462.03308	147.58995	-363.74295	12.92902	1672.639851808548
41	3919.2134	93.29531	4050.9946	3788.38	4087.9526	118.09389	4274.704	3902.5417	1000.0	1000.0	163999	366.48788	73.519875	469.80972	150.99388	-368.14862	12.863551	1714.5484411716461
42	3984.0298	129.41098	4084.5757	3767.7485	3867.052	110.239555	4077.8472	3691.442	1000.0	1000.0	167999	370.99744	74.09349	478.18372	148.81314	-372.5947	12.642563	1756.757316350937
43	3854.389	105.03974	3969.4119	3730.4973	3798.4727	302.41415	4331.754	3409.1255	1000.0	1000.0	171999	376.33408	72.97	478.6903	142.36327	-378.09653	13.222705	1798.9344463348389
44	3839.8257	113.893486	3968.1707	3657.8618	3986.1973	153.6708	4213.487	3595.4343	1000.0	1000.0	175999	381.2342	71.671616	485.7765	132.68224	-382.90863	12.586735	1840.9157021045685
45	3551.9473	570.4166	4132.644	2631.7766	4112.0015	136.42467	4270.9463	3813.8232	1000.0	1000.0	179999	385.3845	71.2917	490.28253	129.57584	-386.98193	12.697578	1882.8995542526245
46	3936.9019	50.9689	4004.6816	3876.6802	4259.6665	124.5781	4440.276	4063.9602	1000.0	1000.0	183999	388.7461	71.89728	489.9437	126.90516	-390.41705	13.811491	1924.6933686733246
47	3580.9587	431.32132	4052.1829	2892.2148	3570.5398	426.53738	4069.5388	2729.37	1000.0	1000.0	187999	392.76413	71.72889	495.044	122.506714	-394.33157	13.316162	1966.664189338684
48	3926.6519	158.29424	4111.977	3677.0488	3789.7925	550.6768	4169.8164	2229.3706	1000.0	1000.0	191999	394.3473	75.2261	498.45175	89.3408	-395.88788	13.267947	2008.4691808223724
49	4013.6184	245.26965	4212.0933	3593.364	4076.523	496.8101	4607.3867	2848.3008	1000.0	1000.0	195999	397.03705	76.72234	500.68494	79.456154	-398.60275	13.474664	2050.2299807071686
50	4088.6301	203.09445	4321.038	3800.0005	4278.3853	273.24374	4555.7295	3522.242	1000.0	1000.0	199999	400.2089	77.49646	504.35925	53.236504	-401.82034	13.665781	2092.0383026599884
51	4260.8965	72.735245	4373.235	4192.8345	4516.2686	143.44162	4680.602	4256.41	1000.0	1000.0	203999	404.03204	77.41715	505.85394	50.00083	-405.62256	14.258812	2134.051192045212
52	4145.6377	70.368645	4240.042	4041.4941	4492.9614	225.15236	4761.688	3968.222	1000.0	1000.0	207999	407.9436	77.41501	510.38992	54.406933	-409.60425	14.526867	2176.0197858810425
53	3984.6636	318.77115	4275.208	3499.0615	3929.689	374.79904	4449.221	3063.1384	1000.0	1000.0	211999	412.3688	75.90828	515.13605	49.279217	-414.02405	14.391263	2217.7424037456512
