Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-302.77618	55.054096	-222.25053	-371.7193	-0.8858987	0.4633656	-0.3657642	-2.0015602	1000.0	1000.0	3999	0.12167157	2.6827593	16.046873	-11.858857	0.12153342	2.6816773	16.111786	-11.862261	-0.2840479	0.46144605	0.24865115	0.039640103	0.4227137	0.18426456	2.086615	0.7217725	3.5582237	1.587802e-07	81.02440118789673
2	-280.6474	53.123016	-203.72911	-353.8882	390.71127	377.73523	1102.7675	-12.679228	1000.0	1000.0	7999	7.0163207	7.540618	35.37904	-11.984963	7.0167117	7.54095	34.457447	-12.490108	-7.476723	2.5695262	0.47788316	0.050004043	0.7354015	0.30148393	3.4674006	0.22297756	4.3643394	2.5715387	183.94342017173767
3	139.84698	379.85864	602.018	-249.9894	1347.4795	99.29652	1502.4863	1187.8263	1000.0	1000.0	11999	17.87153	12.412832	54.642387	-7.884836	17.871487	12.412972	53.90963	-7.9700885	-18.290813	3.18966	0.4619665	0.03776158	0.6266564	0.3628702	3.2139785	0.23611772	4.1037846	2.4264016	288.6537139415741
4	1472.1675	129.72456	1696.2073	1382.6787	1634.6663	94.700584	1745.7378	1456.4343	1000.0	1000.0	15999	26.58465	17.47381	65.75497	-6.6534834	26.584608	17.47393	65.95073	-6.5937476	-26.84063	2.5077958	0.43886256	0.024914572	0.54855525	0.3620045	3.2413023	0.2543135	4.1951256	2.5438812	394.83546447753906
5	1926.7861	164.14848	2091.1978	1721.3698	2269.8877	71.15309	2401.7551	2138.715	1000.0	1000.0	19999	40.81688	23.091494	90.41378	-5.400817	40.816822	23.092268	89.34523	-5.6948404	-41.062042	3.2336957	0.49841556	0.036700405	0.64240223	0.37766084	3.9214034	0.2910233	4.845479	3.0824077	500.26995396614075
6	2439.6553	95.33113	2518.6968	2280.2383	2616.5815	56.242813	2720.6973	2534.5242	1000.0	1000.0	23999	60.392155	29.38767	118.33952	-2.321807	60.391933	29.388285	118.41491	-2.6532583	-60.672718	4.8454247	0.59417224	0.04663933	0.7888171	0.43982297	4.6777053	0.31030253	5.7690105	3.5486856	605.8331480026245
7	2627.1719	44.29106	2661.4873	2551.2244	2984.015	58.874214	3096.6758	2900.3406	1000.0	1000.0	27999	83.9294	35.521873	148.68645	0.41620016	83.92917	35.522755	148.16153	0.40361065	-84.20001	6.1074014	0.67321986	0.04859948	0.9623512	0.5332934	5.2804832	0.33281752	6.7232957	4.3542047	711.2571837902069
8	2852.4846	32.801685	2890.249	2805.4768	3153.4546	101.44591	3265.4993	2939.0378	1000.0	1000.0	31999	107.86493	40.635784	171.47766	2.7555628	107.86474	40.636486	170.44206	1.8575456	-108.02715	7.158495	0.73191696	0.048388023	0.91385067	0.58041507	5.6332006	0.3246684	6.779045	4.412235	816.8102118968964
9	2926.6165	43.07187	2990.74	2873.859	3309.9285	82.06966	3441.9666	3146.8389	1000.0	1000.0	35999	131.04778	44.78852	194.64783	4.2965913	131.04771	44.78907	196.3954	3.4496207	-131.18361	8.154565	0.78325737	0.052571468	1.0097694	0.63589215	6.0261745	0.344685	7.2799683	4.854133	922.8104684352875
10	3230.3706	88.7212	3325.6335	3084.9646	3338.317	680.59064	3664.183	1307.4426	1000.0	1000.0	39999	153.06825	48.741318	218.73737	4.7400217	153.06818	48.741802	219.57547	4.2381163	-153.12062	8.837389	0.83710396	0.049594138	1.081023	0.67038083	6.2482986	0.32434067	7.275687	5.181986	1028.87446641922
