Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-261.39642	62.14158	-209.24307	-363.65082	-0.35843945	0.47221243	0.53837657	-0.9015533	1000.0	1000.0	3999	-0.5783216	1.9635701	9.910756	-11.23556	-0.57817084	1.9640213	9.905067	-11.603801	0.4146148	0.4140829	0.19986935	0.0056354627	0.22025274	0.17785506	0.000361336	0.00028604138	0.0039003482	1.219757e-07	1.6436095	0.46191695	2.826206	1.5119508e-07	46.1995313167572
2	-286.09396	95.05556	-196.57898	-424.79126	203.28134	46.27128	276.96164	129.07812	1000.0	1000.0	7999	5.8825564	8.508042	41.844772	-12.992559	5.8826885	8.508119	41.311108	-13.6079645	-6.9518995	1.4267898	1.5879122	1.052327	2.8835773	0.18422186	0.15772782	0.106665075	0.4120596	0.00033886585	3.1358223	0.39978546	4.524489	2.2527807	105.94340181350708
3	-12.164009	193.69318	226.0383	-219.2769	300.883	249.24162	508.59348	-379.49063	1000.0	1000.0	11999	28.305803	11.566184	62.155094	3.5891778	28.30604	11.565607	61.6522	3.0627592	-29.29481	2.4632645	2.8476427	0.06535494	3.0254462	2.5884795	0.16249166	0.03396606	0.29473597	0.03046969	3.5968695	0.252848	4.503231	2.9782128	166.23764944076538
4	646.876	522.64764	1374.8257	-70.6453	1089.1115	347.58167	1618.976	649.659	1000.0	1000.0	15999	36.49316	13.19474	77.67887	13.628855	36.493446	13.195391	77.07641	14.166692	-37.08507	2.2175255	2.6469414	0.047339395	2.796807	2.4600165	0.12782218	0.030831397	0.28232884	0.023281531	3.0761187	0.23530827	3.970453	2.4390216	228.06131553649902
5	1248.616	1028.2041	2169.749	-414.3344	2335.0513	96.57092	2479.2566	2190.6843	1000.0	1000.0	19999	44.803764	15.071076	100.3127	17.472343	44.803524	15.071934	101.96033	18.116026	-45.467243	2.3466265	2.6327994	0.048588727	2.783348	2.4596133	0.11718195	0.026039647	0.23990896	0.020320492	3.2291977	0.18804805	3.9972742	2.6523907	289.411013841629
6	2498.9958	185.269	2796.3938	2341.921	2880.4395	105.50412	3079.1372	2728.6875	1000.0	1000.0	23999	60.642624	23.25143	124.90808	23.094385	60.642857	23.252062	124.22746	22.776575	-61.480865	3.4308937	2.6760976	0.049572457	2.832412	2.5168235	0.12888856	0.029788725	0.25844863	0.017613798	3.7854722	0.27179557	4.6011996	3.0668914	350.84967517852783
7	3228.7324	190.78683	3455.0454	2928.0547	3242.0159	54.917423	3325.9287	3164.4846	1000.0	1000.0	27999	83.4047	31.419996	159.91534	29.427757	83.40484	31.420637	158.13683	29.852314	-84.352425	4.5274034	2.7282555	0.046131987	2.869353	2.5525858	0.13960229	0.032651853	0.26106316	0.0179973	4.6289124	0.33339104	5.8536243	3.70378	412.655104637146
8	3263.0425	39.21678	3309.814	3216.9683	3385.593	92.83116	3538.8723	3235.6494	1000.0	1000.0	31999	110.3388	40.015438	191.45071	40.328396	110.33882	40.016552	190.54593	40.201927	-111.33691	5.635371	2.7893002	0.042415537	2.9358468	2.6254377	0.15167178	0.036853872	0.27654243	0.017665962	5.6770864	0.37789914	7.047736	4.574608	473.8348994255066
9	3439.0457	102.54428	3589.367	3318.384	3600.9114	87.66097	3731.0574	3451.0173	1000.0	1000.0	35999	137.43872	47.544186	222.169	46.62722	137.439	47.54482	222.06586	47.243774	-138.38103	6.638503	2.838939	0.043739166	2.9594846	2.68912	0.15782323	0.04009959	0.30045477	0.017217595	6.5199223	0.3693557	7.879332	5.330503	535.3840055465698
10	3584.8564	74.96978	3653.791	3466.7036	3727.5913	84.36125	3840.9785	3600.5652	1000.0	1000.0	39999	163.65529	53.57358	250.22235	51.59664	163.65523	53.573753	248.52708	52.204758	-164.58957	7.101542	2.9256265	0.03916816	3.07119	2.8026001	0.1603094	0.040871948	0.2983736	0.015871195	7.2729917	0.38893723	8.557839	5.850983	596.9218201637268
11	3773.1367	148.62149	3984.5488	3586.538	3830.1692	93.866135	4006.7207	3703.421	1000.0	1000.0	43999	188.30426	58.22539	273.74997	57.86723	188.3045	58.225716	272.30878	57.103004	-189.1892	7.6867456	2.9685123	0.037465863	3.1007733	2.8306887	0.16293481	0.042047333	0.2812946	0.015946187	8.042004	0.4548119	9.762905	6.714873	658.2507746219635
12	4002.3699	159.06781	4159.387	3737.004	4184.9946	57.099968	4299.5684	4081.1853	1000.0	1000.0	47999	211.45203	61.03618	297.11987	62.76999	211.45222	61.036533	297.17188	63.196655	-212.32071	8.291339	3.0037827	0.03533274	3.1331758	2.8914852	0.16364443	0.042982206	0.32298306	0.014461984	8.91336	0.44174197	10.793069	7.5388274	720.1361467838287
