Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-237.04788	67.53847	-145.26646	-335.87222	53.97677	9.337641	65.20311	31.162176	1000.0	1000.0	3999	3.9338434	2.494213	16.538336	-2.707548	3.9345062	2.493106	16.32501	-2.8682325	-3.4707997	1.2017921	11.575958	-10.566208	-4.7429485	0.64684117	59.50243830680847
2	-276.5449	66.409584	-195.18059	-376.49866	-53.59304	11.751671	-35.027786	-75.950836	1000.0	1000.0	7999	12.233295	3.8716357	33.21253	-2.0689933	12.234226	3.8690119	32.412823	-2.3521242	-2.5176406	1.9711261	14.607735	-15.347852	-13.121994	1.2356417	136.00781774520874
3	-227.9942	85.42657	-136.96024	-324.60986	-27.47446	31.959938	29.728998	-84.28533	1000.0	1000.0	11999	22.346487	5.560738	47.749275	4.9245515	22.346958	5.560772	48.22933	4.704277	-1.9470005	2.5420632	16.08676	-13.526864	-23.312595	1.7094097	211.93658709526062
4	-97.21173	67.89161	-27.747974	-183.21303	559.09784	468.84677	982.8538	-20.42252	1000.0	1000.0	15999	28.157063	6.5494084	55.945972	14.924574	28.157234	6.5484567	53.59868	14.569671	-2.8486733	1.870328	15.466387	-11.80316	-28.83627	1.8870107	286.66526651382446
5	194.51974	90.21099	285.27747	60.348557	576.5731	280.17438	737.4357	1.9986453	1000.0	1000.0	19999	31.690186	6.1934385	56.6222	12.596498	31.690197	6.193207	57.67233	12.244416	-2.9884908	1.6234771	14.405496	-13.304718	-32.29512	1.8059963	360.9302673339844
6	421.70493	84.27307	540.5639	305.03525	1201.3245	36.806953	1271.8802	1148.5533	1000.0	1000.0	23999	36.00986	6.79554	61.84072	15.977045	36.0099	6.795402	61.982075	14.600532	-2.7601638	1.7728515	13.576157	-14.537045	-36.60003	2.018395	434.8359055519104
7	998.2363	294.04184	1231.6858	507.8993	1792.4651	254.05092	1970.3208	1047.1356	1000.0	1000.0	27999	41.9097	9.168719	79.845604	18.113419	41.910095	9.168916	78.45386	14.943056	-2.2897682	2.1297638	15.841146	-13.2425165	-42.514095	2.5650625	508.29784297943115
8	1184.9274	636.66034	1676.5403	104.40483	2382.491	69.57802	2497.5298	2265.1086	1000.0	1000.0	31999	50.020454	13.017051	94.60842	22.657476	50.020264	13.017762	96.041405	21.914457	-1.742724	2.476629	18.107603	-13.427347	-50.62536	3.448954	580.4807324409485
9	1403.2957	791.7243	2234.5354	455.35287	2575.0178	489.23862	2902.7935	1145.8134	1000.0	1000.0	35999	58.116005	17.49802	120.610954	30.598377	58.115845	17.497238	122.3568	28.91974	-1.3750232	2.7062438	19.867535	-12.797663	-58.748325	4.0460663	652.8276200294495
10	1887.5776	774.5731	2561.009	569.1343	2620.4524	414.17386	2931.259	1775.7749	1000.0	1000.0	39999	68.76469	23.562532	140.21025	32.18335	68.76433	23.562088	138.50922	31.654879	-0.9661975	2.8875506	20.897236	-13.227016	-69.38496	5.193857	723.894125699997
11	2167.1494	1003.37067	3009.3203	458.83322	2293.812	1087.8528	3421.3782	904.81256	1000.0	1000.0	43999	79.74396	29.73573	161.68163	32.939552	79.74388	29.735182	161.74565	32.023197	-0.6741691	3.0204093	21.349426	-14.758955	-80.344376	6.1780925	796.1184923648834
12	2954.9446	197.44402	3139.0232	2629.8591	3457.9973	310.55478	3817.2827	2750.8608	1000.0	1000.0	47999	93.35106	36.47641	180.37126	30.573595	93.35106	36.47537	179.8459	27.32177	-0.3336882	3.1551783	22.724815	-13.71208	-93.90069	7.5938034	867.4370756149292
