Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-350.95596	76.49236	-268.03693	-470.8134	-550.4309	28.1936	-492.62158	-566.30804	1000.0	1000.0	3999	1.144564	1.7239134	11.29818	-6.573817	1.1442485	1.7228403	11.348305	-5.828274	-2.1921427	0.2688084	25.906497955322266
2	-279.60992	34.384747	-238.98994	-333.14038	-575.6496	2.2398553	-572.65955	-579.0035	1000.0	1000.0	7999	4.5324154	3.2213137	21.56943	-7.8154674	4.5322833	3.222909	21.78598	-8.094286	-5.922366	0.7387728	65.84876084327698
3	-351.4724	143.98912	-133.92438	-497.98615	-532.114	49.52206	-421.64297	-579.0886	1000.0	1000.0	11999	10.462424	4.7313	33.095444	-6.65119	10.462433	4.733408	32.220123	-5.8804636	-12.111353	1.3565725	113.53709936141968
4	-150.01927	483.7551	642.9207	-574.944	108.63943	525.06464	1098.3976	-407.8269	1000.0	1000.0	15999	11.123798	9.020096	52.57809	-21.944662	11.124215	9.022432	52.25698	-20.737217	-12.56816	2.375415	162.7780339717865
5	1020.15845	480.4032	1503.1207	222.68434	1313.6649	643.9132	1772.7605	-513.20374	1000.0	1000.0	19999	15.414345	13.717099	59.944294	-18.530487	15.414009	13.7180395	59.07993	-16.809986	-16.832737	3.0097017	211.267156124115
6	1567.9966	993.4249	2609.0144	-52.419556	2620.6484	590.1981	3077.5862	1470.4966	1000.0	1000.0	23999	23.489698	18.628633	85.493706	-13.6299	23.489727	18.628653	82.706184	-13.710395	-25.008797	3.63698	259.5956108570099
7	2318.6497	643.8894	2988.1104	1337.8191	1498.4978	983.8379	2787.549	263.3098	1000.0	1000.0	27999	35.023537	27.398996	120.3336	-17.025858	35.023537	27.399675	117.31497	-15.385237	-36.792683	5.361783	306.7051463127136
8	1101.1685	1427.3214	3478.701	-226.09488	3590.9595	397.52448	3945.8542	2432.3218	1000.0	1000.0	31999	45.576664	37.880177	142.09706	-20.479462	45.5757	37.882793	142.8398	-20.593618	-47.63831	8.452498	353.70756459236145
9	3227.7078	745.0257	3832.4946	1969.5629	4047.4114	79.934654	4244.3164	3931.8682	1000.0	1000.0	35999	57.505604	48.374428	166.17253	-22.210955	57.50376	48.379364	167.30196	-23.990995	-59.737865	12.30619	400.71208691596985
10	3725.1025	355.69473	4034.0127	3119.6677	3910.2793	58.063675	4002.676	3776.1982	1000.0	1000.0	39999	76.11784	57.802464	193.85854	-22.388107	76.11653	57.8079	196.64172	-24.560026	-78.58912	15.533718	447.70650362968445
