Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-47.542885	141.179	185.63889	-187.30634	76.46788	245.03702	200.20143	-636.3475	1000.0	1000.0	3999	4.5667925	6.6411567	46.602985	-13.43595	-5.820268	0.21107328	28.68160629272461
2	-46.07865	151.7717	213.15887	-169.23209	-19.589115	0.5002303	-18.354443	-20.115482	1000.0	1000.0	7999	60.93043	41.710476	278.64856	-11.52261	-68.129135	4.5838857	70.99969482421875
3	131.05814	129.18512	290.9175	-69.07972	354.22177	29.930239	406.38412	303.8098	1000.0	1000.0	11999	275.6083	103.72419	627.954	43.43999	-290.97296	18.582582	114.5688214302063
4	-101.56189	120.90063	67.20982	-229.01576	-157.27332	184.75095	234.63678	-418.86093	1000.0	1000.0	15999	465.10867	133.59825	1171.4447	26.018639	-479.99603	63.279247	158.13905787467957
5	-72.35508	571.0179	331.5019	-1054.1886	216.69128	2.2623193	219.966	212.62386	1000.0	1000.0	19999	759.71936	178.64984	1510.6611	378.2034	-780.22473	120.59986	202.02094745635986
6	288.94067	125.57077	429.9249	151.93326	222.07344	187.69662	455.54828	-195.75626	1000.0	1000.0	23999	981.0899	199.53944	1575.2058	499.46988	-997.6319	101.542076	245.80868816375732
7	-52.807934	33.097626	-29.364344	-109.62491	3.2115624	0.44691455	4.0330033	2.351793	1000.0	1000.0	27999	1093.6409	134.50925	1553.1906	600.03094	-1108.4429	79.78453	289.8954758644104
8	8.313798	16.924496	36.708523	-8.01837	349.91437	95.19098	461.14948	144.60326	1000.0	1000.0	31999	1151.7277	118.47397	1560.5348	782.98895	-1162.673	72.402374	334.1337938308716
9	82.11871	149.2263	278.36237	-140.77693	131.16556	66.1651	206.02103	-32.33613	1000.0	1000.0	35999	1096.8778	108.85396	1573.9253	806.5539	-1104.7922	59.97418	378.8203854560852
10	183.24799	250.05634	566.9943	-120.38512	464.24854	140.88669	616.2323	157.9682	1000.0	1000.0	39999	1057.6749	76.614334	1557.4685	815.3786	-1066.1327	47.762783	423.08889389038086
11	341.90558	110.197044	463.79932	182.35939	104.05922	5.9974318	111.83247	88.37635	1000.0	1000.0	43999	1007.8906	70.65999	1452.2076	728.5812	-1014.11945	39.755436	467.5612602233887
12	153.19788	148.84288	364.30215	-56.00993	234.38301	19.93632	260.47937	199.49913	1000.0	1000.0	47999	935.0579	54.232353	1333.0237	620.06305	-940.30786	34.120167	511.685822725296
13	138.45819	94.69491	244.57712	41.675957	426.15527	196.13348	794.1787	129.23802	1000.0	1000.0	51999	863.7711	48.62316	1240.0876	589.9187	-868.83887	29.366453	555.8033590316772
14	568.36664	124.97254	679.43976	357.8266	239.94568	27.615854	275.9585	180.94357	1000.0	1000.0	55999	793.67053	51.588654	1119.8394	536.76263	-797.52185	24.923054	599.6604714393616
15	329.08496	77.4415	412.2318	214.31505	301.0174	19.01153	342.9678	269.6323	1000.0	1000.0	59999	722.70184	49.387962	1020.2427	456.30582	-726.5245	23.417528	643.7258832454681
16	539.0733	196.1411	794.6577	344.4425	290.8709	26.68552	311.7319	216.00914	1000.0	1000.0	63999	663.9266	51.29587	956.78064	438.26205	-667.7438	23.7377	688.1105942726135
17	510.01508	192.22743	826.6801	312.73822	742.1752	215.04778	1183.2164	289.36996	1000.0	1000.0	67999	614.94	58.09467	977.07697	373.7684	-618.5015	24.651903	732.4245898723602
18	677.71967	421.15985	1283.4153	234.78114	408.4449	159.61873	696.35535	142.6512	1000.0	1000.0	71999	579.9222	56.608173	943.9616	275.28458	-584.1229	28.35667	776.4620833396912
19	401.14355	184.52687	680.1996	233.16571	528.1443	364.7524	1006.2841	-249.75072	1000.0	1000.0	75999	551.58887	52.120144	981.655	238.42319	-555.1601	30.036594	820.2863130569458
