Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-19.96317	117.81308	177.8699	-114.03287	204.25156	11.5207615	219.70047	176.21375	1000.0	1000.0	3999	2.502778	6.9020705	50.408905	-26.802023	2.5026522	6.9018474	50.008087	-26.84952	-2.868877	0.5377953	0.92955065	0.8158466	2.140775	0.12461795	2.188666	1.5703715	5.698042	1.899899e-07	65.54653978347778
2	-122.760414	48.492504	-44.981255	-176.39851	231.85403	0.575537	232.8271	231.23978	1000.0	1000.0	7999	47.81128	28.186705	179.93484	-27.399826	47.810955	28.186333	180.24496	-27.34302	-50.356266	3.8030825	1.979027	0.041428596	2.134617	1.8208455	7.0735188	0.7623222	9.127838	4.798094	144.8860146999359
3	167.78845	184.48395	418.81198	-100.554695	149.6735	136.87405	265.58597	-18.57599	1000.0	1000.0	11999	98.68665	34.097557	218.25974	23.291954	98.68625	34.099228	216.04135	21.9937	-99.8214	5.5441146	1.8220489	0.1380644	2.12389	1.5181779	5.37526	1.0315275	8.70219	3.3868213	239.4850583076477
4	199.81715	30.293251	242.37402	162.52165	256.8471	10.27766	284.686	242.90717	1000.0	1000.0	15999	114.39083	38.36718	226.22447	26.219597	114.39083	38.36703	225.97337	26.102575	-114.68625	4.3456554	1.6158872	0.089760765	1.8465642	1.3567069	4.0095625	0.27882308	5.2479935	3.1341412	330.1391623020172
5	267.7359	43.761147	343.29987	238.06352	253.79282	18.106125	276.46133	227.20941	1000.0	1000.0	19999	118.46801	38.388054	244.21045	23.708313	118.46834	38.387226	243.80983	24.205936	-118.60325	4.1760135	1.376109	0.062490586	1.587612	1.181462	3.6176455	0.2798199	4.757041	2.7243018	421.127801656723
6	289.73083	52.06003	344.2727	210.30585	241.45442	2.1399555	245.10027	238.06738	1000.0	1000.0	23999	121.11457	44.404785	323.82343	29.078276	121.11462	44.404335	322.99432	28.12098	-121.37946	5.860035	1.4484612	0.1119537	1.7717488	1.1612206	3.9060483	0.40473774	5.768104	2.8321397	506.86016631126404
7	226.28177	132.03099	394.0815	44.903084	248.68289	5.900089	258.9942	239.44485	1000.0	1000.0	27999	128.21443	52.060932	344.98764	28.438686	128.21391	52.06283	344.82748	28.329485	-128.71684	7.751465	1.5938702	0.08532317	1.8474474	1.3337545	4.4986835	0.45645565	6.2551227	3.1511688	591.4530420303345
8	160.1723	38.008614	220.50906	119.23491	-12.577062	11.008687	9.344535	-29.188984	1000.0	1000.0	31999	138.11224	57.975807	348.34247	28.12122	138.11176	57.97685	348.49442	28.19184	-138.48088	6.7872434	1.5576344	0.07560754	1.8078525	1.3143046	4.248156	0.4615443	6.161999	3.0099308	683.9979555606842
9	360.025	79.88645	477.2048	253.51196	423.11395	40.15256	503.2367	360.60782	1000.0	1000.0	35999	139.9669	61.719532	333.68066	25.795572	139.96707	61.71985	333.54208	26.403093	-139.92867	5.7016125	1.5069499	0.14233437	1.878079	1.1217413	3.3489711	0.38332188	4.7754917	2.398347	773.2977097034454
10	521.41766	101.37453	673.3394	391.05133	295.88614	5.322077	301.6299	285.51788	1000.0	1000.0	39999	130.89572	59.467495	321.58618	19.852736	130.89569	59.467747	319.99176	19.179375	-130.6091	4.956373	1.2393035	0.075928554	1.5234166	0.9871471	2.748662	0.23235044	3.7854414	2.1175582	856.52032995224
