Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-84.38688	18.69099	-60.279305	-110.102806	105.78733	1.9426043	108.70816	102.068855	1000.0	1000.0	3999	0.055723503	3.6963596	26.91112	-20.22832	0.05613937	3.6961482	27.024899	-20.123045	-0.370752	0.3802015	0.4224856	0.4998697	1.7055188	0.119411476	0.02515107	0.048772343	0.4014623	4.958582e-08	1.6826909	1.0129511	4.170801	1.2178602e-07	78.80352902412415
2	204.79634	26.760553	231.9234	160.38184	162.17924	12.860144	179.13048	134.01375	1000.0	1000.0	7999	22.59069	15.936161	87.23706	-18.208612	22.591177	15.935071	86.062386	-17.396357	-24.508764	2.2008185	2.0052075	0.14819817	2.2579749	1.6008638	0.07483034	0.029351832	0.2092195	0.0057913084	4.4389143	0.38448656	5.576258	3.1029418	177.5378930568695
3	163.8888	262.15732	458.32834	-126.37082	311.68585	28.188187	355.36478	277.8268	1000.0	1000.0	11999	52.874973	22.48206	149.8117	-23.730196	52.874874	22.481197	149.72362	-22.06314	-54.477615	3.8485575	2.1688695	0.02946697	2.2765546	2.064686	0.10536128	0.0319211	0.29046202	0.00951718	4.2747726	0.3182074	5.54472	3.0782394	278.69295930862427
4	274.80646	46.68775	346.8732	220.28352	287.96176	8.017469	304.05206	277.0502	1000.0	1000.0	15999	70.67927	30.866377	157.2388	-5.078	70.678925	30.868605	157.7199	-5.1471996	-71.74967	3.9340122	2.210605	0.034920096	2.3354797	2.0938752	0.10178838	0.030651756	0.28567868	0.013765965	3.9440084	0.31210867	5.1902933	2.981567	382.26475286483765
5	258.95312	14.909247	280.48712	238.95148	241.23409	12.770492	266.74112	227.47502	1000.0	1000.0	19999	73.8544	32.95726	177.9041	-8.172555	73.85412	32.9593	177.87692	-7.349479	-74.23564	3.2098901	2.132063	0.02988176	2.23804	1.9906932	0.101642	0.028943563	0.28570622	0.01485714	2.943964	0.317427	4.1458836	2.0557697	485.0578489303589
6	298.01935	50.51728	348.59344	233.84259	300.56448	11.432209	319.54712	278.23926	1000.0	1000.0	23999	75.36441	29.83604	188.97644	-0.7390851	75.364426	29.835915	188.44086	-1.8641096	-75.9077	2.8486216	2.1184583	0.111849636	2.3381395	1.8681401	0.15389849	0.038693126	0.3074032	0.01888365	2.8656425	0.23840703	3.724393	2.1207492	588.8643007278442
7	272.95963	96.29472	436.81134	189.26056	285.88116	3.9195142	291.20547	278.17496	1000.0	1000.0	27999	82.06722	29.653643	207.66238	29.118433	82.06719	29.65316	204.94432	29.728418	-82.769356	3.1295302	2.2307544	0.028059367	2.3339665	2.129306	0.114296064	0.033728015	0.37689888	0.022878986	3.0623467	0.21602173	3.8549817	2.3768926	690.7398734092712
8	405.54388	155.62323	663.0925	277.1851	432.65073	147.43002	651.30914	200.8658	1000.0	1000.0	31999	87.4956	32.403015	211.66963	-8.28739	87.49589	32.40344	210.7872	-8.501689	-88.16192	3.5623343	2.2391832	0.029760208	2.3301435	2.087524	0.11110283	0.030859103	0.25622967	0.01379435	3.0653095	0.23734541	4.1093187	2.2760491	792.4799244403839
9	342.9811	99.74104	464.40442	230.2895	466.33072	59.966644	568.3514	356.7996	1000.0	1000.0	35999	89.37547	37.512383	257.76462	-11.827858	89.37558	37.512882	258.81937	-11.6047535	-89.95883	5.276906	2.2376697	0.02786761	2.3242269	2.1298218	0.09791147	0.031591088	0.25678936	0.010245365	3.0851305	0.2547252	4.095508	2.3421264	894.8327972888947
10	499.08398	39.308823	560.5259	464.21265	475.09985	18.4197	514.49414	451.90704	1000.0	1000.0	39999	93.55963	41.10492	274.18518	-14.460888	93.55959	41.106213	275.77158	-15.010973	-94.579994	8.021951	2.2573385	0.027161306	2.343843	2.1481965	0.109400705	0.035726015	0.25655282	0.012330386	4.4190044	0.86009127	6.88557	2.5972192	997.3737983703613
