Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	33.777596	94.87662	133.47882	-63.240574	240.89453	4.2110686	247.39734	233.77972	1000.0	1000.0	3999	5.1381106	5.6280756	39.401726	-15.038936	5.138343	5.6281357	39.72394	-15.475742	-0.6644232	1.5857788	7.626057	-10.102669	-6.020619	0.27297285	54.2091326713562
2	-113.03154	40.15268	-55.50631	-154.01793	1.1691663	1.0321727	2.40088	-0.42211077	1000.0	1000.0	7999	29.579193	17.930588	132.66968	-15.833659	29.579422	17.931637	130.91447	-17.817976	1.4505548	2.1042778	13.369094	-12.964473	-32.11011	3.1122527	124.77804374694824
3	-18.362967	62.62576	55.47113	-117.87081	21.5041	10.180008	38.12381	12.230371	1000.0	1000.0	11999	84.195	35.883522	323.7679	-7.1679387	84.19529	35.885666	325.60632	-6.405333	2.4668725	2.4006693	17.752531	-11.783507	-88.42908	9.591205	197.13148093223572
4	303.13123	353.46725	686.84937	-68.03776	589.4859	56.861275	690.26917	512.35724	1000.0	1000.0	15999	135.39099	82.46686	494.83948	5.6793594	135.39084	82.468506	497.84406	8.469412	1.8814636	2.659618	21.634354	-11.404847	-138.47803	16.829248	269.6381826400757
5	310.72275	110.85247	467.76254	161.07552	158.92311	6.6136317	166.11198	150.54164	1000.0	1000.0	19999	196.12726	123.99959	568.0164	33.86702	196.12698	123.99778	564.37415	32.560112	2.353815	2.6209939	21.22773	-14.052171	-198.5645	17.72874	342.51370787620544
6	175.82294	20.180182	204.67325	148.60034	-15.392308	111.250984	210.30164	-82.94144	1000.0	1000.0	23999	257.17114	94.694016	481.87762	46.80868	257.17056	94.69237	481.28864	45.848583	3.6740716	3.1516764	20.738937	-11.732355	-262.23718	19.272152	415.5352363586426
7	-99.58156	34.42789	-60.806812	-153.81139	-111.14445	10.569199	-95.10854	-128.39252	1000.0	1000.0	27999	297.73767	47.254158	491.85092	143.3814	297.73837	47.25415	490.04843	140.4734	2.471332	2.707035	21.278286	-12.113143	-300.86032	14.503408	489.9311866760254
8	75.03179	128.15514	240.7267	-86.30886	294.42023	26.682098	329.71393	260.31244	1000.0	1000.0	31999	285.8911	47.12247	479.52643	162.20892	285.89102	47.11965	477.07538	162.27165	1.9010359	2.377688	15.533899	-11.342594	-288.08038	12.283151	562.921003818512
9	259.62167	99.061646	344.31638	92.21188	268.25513	6.8787284	277.53702	251.10098	1000.0	1000.0	35999	282.61465	44.52169	479.9596	168.15959	282.61484	44.51839	474.88385	170.30019	1.8841244	2.4215868	15.950223	-13.73687	-285.10806	11.085623	635.7594056129456
10	384.62115	181.63094	667.5961	162.37006	257.4149	7.6414995	266.9105	239.20328	1000.0	1000.0	39999	274.5957	55.105545	461.2361	150.89792	274.59583	55.103558	459.5645	150.23595	0.9352115	2.262722	17.771698	-12.956046	-275.72256	8.66216	709.4545390605927
