Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-51.011234	17.759764	-25.179335	-69.05412	180.31157	3.3597555	186.13232	174.95586	1000.0	1000.0	3999	0.77013344	2.4604013	15.065874	-9.798407	0.7701232	2.4605799	14.896383	-9.455186	-1.3560193	0.09949126	33.287739753723145
2	27.218506	156.83475	199.8775	-167.75253	149.38135	2.3113043	152.09242	144.66867	1000.0	1000.0	7999	8.315615	7.3719764	65.545906	-16.067528	8.315631	7.3725514	66.19874	-16.98297	-10.215861	0.7020279	79.26770257949829
3	94.50655	114.01669	175.54831	-102.29469	146.31905	0.85632783	147.41011	144.54253	1000.0	1000.0	11999	27.6853	14.892382	115.09892	-29.70618	27.685522	14.89296	114.09136	-29.391397	-30.977688	1.9747213	124.73057270050049
4	253.10922	172.26491	551.0735	145.4308	69.747795	45.574463	187.03113	16.365435	1000.0	1000.0	15999	48.78699	22.037106	151.40894	-26.848906	48.787056	22.036634	154.70523	-26.833391	-52.118427	3.1764448	171.0119378566742
5	210.30951	192.51158	454.23444	-84.11423	0.43896312	2.4695077	5.654162	-3.0205584	1000.0	1000.0	19999	70.46239	27.606802	182.10455	-0.5056709	70.46242	27.606516	183.43564	-0.37605733	-74.119774	4.868432	218.2363257408142
6	90.099655	127.152596	232.40936	-79.21785	187.1839	2.555686	191.0202	183.06627	1000.0	1000.0	23999	90.52433	27.998768	232.5129	18.75859	90.52395	27.999678	229.80319	18.007498	-93.34478	6.5946975	265.55797600746155
7	207.13062	113.25022	373.57098	54.814663	192.06819	25.996748	232.44307	156.12439	1000.0	1000.0	27999	98.10692	28.922148	240.94043	17.287146	98.10584	28.926157	239.0756	20.490011	-100.48612	6.7385807	312.4549615383148
8	274.2621	62.89813	362.50684	191.0196	360.27222	30.506126	409.50397	305.17493	1000.0	1000.0	31999	100.29738	31.73582	295.7408	23.940481	100.2969	31.739685	302.44125	24.092186	-102.73117	7.2737145	359.57377529144287
9	332.92618	59.02518	416.42178	253.2843	415.3422	117.34212	541.59503	126.704094	1000.0	1000.0	35999	107.56317	35.61848	433.0848	-22.094112	107.56319	35.618927	432.36017	-9.895327	-110.82444	9.619709	406.45680928230286
10	223.31133	101.420364	387.07047	122.09801	71.07092	206.07115	297.73178	-201.13434	1000.0	1000.0	39999	119.94503	39.111732	475.31213	-21.002186	119.94564	39.11375	469.52042	-25.405212	-123.58754	11.7466135	453.5429301261902
11	21.973526	142.95227	265.4095	-94.059135	267.96475	33.622192	327.2197	210.5942	1000.0	1000.0	43999	129.31789	46.77024	557.2209	-38.53399	129.31776	46.7734	560.9841	-37.54258	-132.77757	15.296527	500.9410071372986
12	271.0866	35.342667	314.77634	220.26645	252.77193	33.121918	282.9691	163.25061	1000.0	1000.0	47999	134.35027	54.82343	583.7207	-53.329517	134.34972	54.82427	580.8847	-54.073826	-137.16342	15.320275	548.0875263214111
13	245.50836	25.137274	280.54666	209.80139	202.54419	10.514303	213.87123	175.71233	1000.0	1000.0	51999	133.91705	59.108368	602.4119	-66.56269	133.91798	59.10768	557.9745	-65.597824	-136.89597	15.940739	595.0568723678589
14	175.2337	27.430944	197.37318	128.22919	221.23071	6.316521	234.08565	211.87907	1000.0	1000.0	55999	146.79108	61.40332	549.03625	-22.968367	146.79182	61.40168	548.5162	-32.515163	-151.1896	14.682362	641.958366394043
15	174.04561	92.90401	282.47235	71.665535	315.87866	6.33892	323.84003	302.5926	1000.0	1000.0	59999	157.40428	64.71991	492.33	-39.21776	157.40517	64.71981	489.00018	-38.85915	-160.70616	12.697795	689.1141188144684
16	242.18332	39.391907	308.20624	208.17555	282.35187	2.3673868	285.95633	278.69244	1000.0	1000.0	63999	160.21962	66.00971	457.25366	-42.17151	160.21933	66.01109	461.9081	-37.2047	-162.9798	11.127158	736.8211078643799
17	217.74356	130.24406	313.63834	-5.038218	287.27356	2.138735	290.47498	284.18225	1000.0	1000.0	67999	166.10432	61.62838	449.03052	-29.952312	166.10446	61.62902	443.58063	-32.80412	-169.71922	10.3818655	784.4755907058716
18	302.15558	52.813744	378.28137	232.33229	639.59314	15.759639	665.5161	615.3272	1000.0	1000.0	71999	173.80717	55.0779	421.39734	-37.373352	173.80788	55.07869	426.4887	-38.962265	-176.95224	9.489088	831.3228671550751
19	388.3549	51.50237	437.23398	310.4319	270.3778	2.3515627	274.15714	266.8508	1000.0	1000.0	75999	173.49474	50.224342	373.89722	-45.588127	173.4951	50.225197	363.2571	-51.251007	-175.97768	8.009497	878.3752734661102
20	293.41547	7.4729867	305.4218	284.87637	284.91068	13.02789	308.5373	262.6141	1000.0	1000.0	79999	168.72871	46.222248	328.99902	-29.421822	168.72935	46.221245	330.5238	-31.117222	-170.56972	6.4292603	925.5313246250153
21	284.56665	24.359205	321.09372	260.68237	485.3448	43.984592	566.2483	436.3477	1000.0	1000.0	83999	160.5427	44.02978	311.01297	-39.930637	160.54315	44.029114	316.26944	-38.598972	-162.35172	5.7563214	972.6117157936096
22	693.1005	56.9376	774.42786	635.45276	768.6672	42.266865	834.06	697.8752	1000.0	1000.0	87999	152.81398	42.923862	300.37982	-24.573006	152.81425	42.923676	301.65656	-17.733587	-154.57848	5.807796	1019.4681787490845
23	498.8323	200.32634	836.4309	325.2219	261.3899	2.249234	265.65747	258.07422	1000.0	1000.0	91999	146.51372	42.020275	293.79626	-11.269156	146.51378	42.020676	294.575	-14.3785715	-148.04788	5.900114	1066.5108363628387
24	317.68365	44.88538	392.01608	272.68372	329.65527	3.4590025	336.97137	323.63684	1000.0	1000.0	95999	142.29568	42.40616	294.5918	8.340295	142.29585	42.406937	294.05707	9.7805395	-144.17406	5.493168	1113.8666336536407
25	639.9114	322.06873	1059.7401	180.20508	836.8467	70.2471	951.8919	694.00073	1000.0	1000.0	99999	140.12238	44.032036	293.885	16.692556	140.12193	44.033604	293.5023	11.551392	-142.10017	5.6249394	1160.733871936798
26	1137.6263	255.75334	1557.1399	918.77136	1777.1311	117.932274	1953.3317	1578.7166	1000.0	1000.0	103999	138.57607	43.544502	288.94324	18.161919	138.57602	43.545586	286.98132	13.098566	-140.52211	6.2003007	1207.4905095100403
27	1314.7786	196.1821	1532.3325	1100.3547	349.7461	3.7291205	356.49954	343.6003	1000.0	1000.0	107999	135.38977	43.171883	289.51315	13.878186	135.38953	43.173004	291.85223	9.8877	-137.18831	6.32146	1254.6723425388336
28	411.67355	38.09294	458.69702	352.50958	352.3858	28.159254	412.3912	326.40005	1000.0	1000.0	111999	132.58679	43.810707	289.91318	-17.195574	132.58675	43.810905	291.1694	-13.561281	-134.48178	6.495153	1302.20276927948
29	1151.5802	208.31456	1506.5541	981.1341	1580.6941	26.434837	1623.9349	1528.7129	1000.0	1000.0	115999	132.34187	44.690735	292.20905	-23.108858	132.34174	44.69014	291.353	-16.24656	-134.98178	7.986858	1348.760691165924
30	1354.2664	229.21715	1592.717	1037.9585	880.10706	88.53501	996.4146	729.1074	1000.0	1000.0	119999	135.9701	44.846535	287.99832	-16.175808	135.97012	44.847008	288.06036	-13.022686	-137.97618	8.488398	1395.5902166366577
31	1414.4012	300.96988	1759.1127	1014.5367	331.46698	6.8066635	339.9987	319.0622	1000.0	1000.0	123999	135.49666	42.726097	285.67807	-28.630898	135.49632	42.725864	286.62323	-29.364904	-137.3735	7.343308	1442.6963284015656
32	765.23785	549.5399	1690.6927	340.35565	377.44125	4.394661	385.117	370.76157	1000.0	1000.0	127999	137.67679	41.144135	277.2956	-29.852325	137.6769	41.141285	277.3822	-34.34088	-139.84036	6.864214	1489.8516137599945
33	346.3666	16.217695	370.7476	326.23456	321.37234	13.739987	345.64688	305.61627	1000.0	1000.0	131999	142.19196	39.805748	270.3149	-45.301758	142.19203	39.805706	271.98474	-38.968037	-144.44313	6.716753	1537.019495010376
34	353.59357	22.744354	381.95547	318.80893	335.79404	2.125908	339.0217	332.1474	1000.0	1000.0	135999	145.16322	37.663612	266.71643	-40.079914	145.16309	37.664963	266.81735	-39.71406	-147.13925	6.4572253	1584.1486203670502
35	376.9588	49.441998	459.46246	330.1171	492.04507	31.578619	548.6862	428.85693	1000.0	1000.0	139999	144.81717	36.315014	259.53683	-31.112976	144.81699	36.315533	259.43365	-34.16976	-146.58788	6.041271	1630.9945158958435
36	439.07544	80.90462	531.94824	353.4776	405.22968	19.734493	445.80228	378.34714	1000.0	1000.0	143999	142.34773	36.581284	253.02853	-30.043095	142.34785	36.5817	253.19067	-37.548206	-143.955	5.5874376	1677.7468745708466
37	476.46313	42.781757	544.8741	435.14435	455.3493	2.277869	457.23938	448.95505	1000.0	1000.0	147999	137.86652	37.82794	252.01431	-37.76301	137.86624	37.829975	254.39996	-33.13833	-139.22478	5.3711066	1724.720562696457
38	901.8699	496.4979	1607.4418	423.87128	1406.7795	136.80663	1604.4006	1160.6161	1000.0	1000.0	151999	132.26001	40.289104	258.86145	-36.652107	132.26031	40.289925	256.38977	-42.40587	-133.4791	5.649482	1771.5580987930298
39	1623.8383	118.60707	1819.9077	1524.8339	1606.563	66.96265	1689.0972	1463.9166	1000.0	1000.0	155999	129.9414	42.245632	263.89465	-45.821648	129.9414	42.245537	263.06522	-46.5868	-131.84073	6.243142	1818.167373418808
40	1788.0963	113.4369	1952.4468	1634.626	1974.0299	156.36934	2282.4119	1748.7648	1000.0	1000.0	159999	130.86041	42.680187	270.3263	-53.56614	130.8605	42.678497	268.02158	-59.792477	-132.80806	6.5845985	1864.9583768844604
41	1576.2648	42.10208	1603.6782	1503.5698	1993.0989	194.2293	2330.553	1767.2885	1000.0	1000.0	163999	130.93806	42.682533	268.31137	-57.373684	130.93817	42.682167	269.69614	-53.603855	-132.53906	6.455954	1911.536949634552
42	1867.8269	75.325516	1978.0254	1765.3259	2212.5667	106.761055	2387.0283	2078.7314	1000.0	1000.0	167999	130.52231	42.527218	269.4348	-59.74456	130.52258	42.527393	269.04208	-61.50203	-131.99619	6.4998446	1958.216133594513
43	1924.1221	226.12105	2213.7004	1578.9911	2026.9916	98.68665	2143.5693	1878.9011	1000.0	1000.0	171999	129.71304	42.71498	268.69812	-38.62237	129.71324	42.715157	266.47153	-44.213787	-131.09386	6.141842	2004.9998016357422
44	2073.8699	92.01364	2172.1755	1931.7225	2184.2512	74.70551	2341.82	2089.6677	1000.0	1000.0	175999	128.42323	43.485577	266.5825	-28.452724	128.423	43.486256	266.21503	-27.98698	-129.72542	6.233924	2051.7496235370636
45	2214.4385	127.11909	2353.007	2012.61	1865.055	84.237236	2041.6366	1705.53	1000.0	1000.0	179999	127.98945	43.980404	261.5183	-21.427149	127.98951	43.9795	262.0569	-29.518826	-129.33118	6.645039	2098.3906378746033
46	2093.669	84.64902	2208.2522	2006.176	2406.6272	97.486855	2538.946	2239.934	1000.0	1000.0	183999	128.51878	44.307457	258.94516	-37.330692	128.51904	44.306213	259.43866	-47.552326	-129.84094	6.9107547	2145.106163263321
47	2279.6443	130.49986	2426.3347	2106.8225	2558.9514	72.799736	2701.6504	2414.0168	1000.0	1000.0	187999	130.28986	44.30876	280.46478	-23.628248	130.28983	44.308605	274.82523	-14.119467	-131.8344	7.2019033	2191.669234275818
48	2048.1287	106.01788	2152.7844	1887.167	2024.264	120.34123	2168.236	1757.4998	1000.0	1000.0	191999	132.74802	44.205257	290.4047	-18.444035	132.74783	44.20533	285.52576	-15.914682	-134.40604	7.4278417	2238.705629825592
49	2119.4683	82.046974	2194.068	1996.3328	2393.3997	121.47581	2563.1633	2163.2397	1000.0	1000.0	195999	134.689	44.570477	289.59247	-14.607975	134.68925	44.57001	288.08954	-17.956223	-136.27164	7.628617	2285.2696571350098
50	2338.8613	115.32875	2459.8374	2148.842	2189.4683	139.71407	2427.0503	1940.0533	1000.0	1000.0	199999	136.33258	44.89377	287.7297	-25.327616	136.33258	44.892975	289.4569	-32.432842	-137.98029	7.9000535	2332.0082387924194
51	2330.4866	70.605156	2432.2634	2249.4622	2229.697	127.90251	2419.138	1950.1586	1000.0	1000.0	203999	138.23743	44.751953	291.1347	-28.693075	138.23758	44.752277	294.07626	-30.81643	-139.82727	7.871767	2378.6230993270874
52	2263.5598	56.121098	2349.9744	2195.9048	2354.5513	163.46469	2597.155	2123.5474	1000.0	1000.0	207999	139.38681	44.949352	296.35306	-33.103355	139.38719	44.947887	297.47208	-36.410847	-140.93231	8.006133	2425.087453365326
53	2336.5627	102.05068	2444.1318	2188.8594	2159.2544	139.4726	2374.5632	1945.1923	1000.0	1000.0	211999	140.8122	45.306267	299.22485	-45.69744	140.8122	45.305332	302.5126	-45.79042	-142.24985	8.377255	2471.7009212970734
54	2219.6797	99.208755	2369.0454	2116.523	2276.943	135.03598	2412.3486	1924.6559	1000.0	1000.0	215999	142.58896	45.696995	299.71686	-50.1502	142.58907	45.69545	302.94162	-44.052155	-144.21167	8.918222	2518.4912815093994
55	2312.6875	95.90176	2425.6074	2168.908	2395.069	114.06945	2580.3037	2173.8826	1000.0	1000.0	219999	144.06564	46.572887	298.75983	-49.476505	144.06598	46.57169	303.781	-45.04804	-145.53394	9.312829	2565.175672531128
56	2187.1113	167.4298	2376.2415	1927.2137	2367.0137	119.76355	2522.714	2169.835	1000.0	1000.0	223999	145.71693	47.43127	301.30356	-64.333206	145.71707	47.429295	304.97354	-64.00083	-147.21356	9.822053	2612.165464401245
57	2184.0771	64.11957	2245.34	2096.0332	2256.367	76.59875	2368.6765	2126.9622	1000.0	1000.0	227999	147.83759	47.795483	301.62427	-89.7826	147.83723	47.793686	301.37473	-91.052185	-149.45068	10.428083	2659.2141847610474
58	2285.5337	127.85398	2446.3838	2109.4917	2225.9182	64.665794	2375.6238	2161.3223	1000.0	1000.0	231999	150.21886	47.81847	304.58994	-109.807014	150.21887	47.818363	303.6783	-113.34105	-151.72191	10.87511	2705.849928379059
59	2268.524	131.93466	2407.1587	2073.6821	2355.4128	118.126686	2514.2422	2121.632	1000.0	1000.0	235999	152.26231	47.96489	305.3172	-129.67004	152.26244	47.96319	309.04077	-134.91641	-153.69624	11.064734	2752.6218209266663
60	2321.862	209.78712	2610.1313	2051.1162	2437.9722	112.45897	2627.5908	2298.9976	1000.0	1000.0	239999	154.28156	47.78481	308.89413	-161.12506	154.28175	47.782505	310.41766	-164.93361	-155.80681	11.234492	2799.4254643917084
61	2396.1245	92.18598	2542.187	2315.3462	2368.9888	176.32138	2644.7942	2041.3513	1000.0	1000.0	243999	155.86172	47.148155	314.9248	-149.61742	155.86179	47.146973	314.9188	-157.50954	-157.36102	11.40786	2846.1004433631897
62	2251.9302	60.0999	2313.7078	2190.5366	2563.7915	145.77855	2768.815	2326.5593	1000.0	1000.0	247999	157.2448	46.779934	318.1309	-151.38045	157.24516	46.776844	317.1923	-145.13965	-158.81744	11.316371	2892.9023621082306
63	2364.0293	142.38013	2573.7856	2175.1987	2377.912	139.57727	2578.083	2174.6025	1000.0	1000.0	251999	158.04256	46.74756	316.7557	-179.50873	158.04259	46.745193	317.87152	-172.22923	-159.3703	11.891666	2939.581127166748
64	2390.3955	28.87136	2439.4531	2369.3025	2370.6414	116.50466	2589.1768	2247.6587	1000.0	1000.0	255999	157.45747	47.477993	316.02798	-189.09088	157.4575	47.476067	320.141	-195.85872	-158.6838	11.713519	2986.766751050949
65	2273.4226	65.84112	2384.4617	2212.7087	2274.3613	121.28647	2534.0198	2079.6914	1000.0	1000.0	259999	156.89777	48.40504	310.57257	-219.38574	156.89825	48.404682	316.83994	-207.16016	-158.32512	11.931424	3033.686348438263
66	2430.0454	129.53429	2628.9878	2304.5872	2650.2622	44.522774	2732.2874	2576.1663	1000.0	1000.0	263999	158.31532	47.77002	313.39468	-188.28867	158.3155	47.769123	314.29987	-176.3661	-159.74948	12.199068	3080.8051223754883
67	2377.3496	46.623352	2449.65	2321.9146	2494.8137	160.8739	2760.7222	2287.7334	1000.0	1000.0	267999	159.9539	47.258118	311.53452	-181.69695	159.95335	47.257175	313.88226	-170.9981	-161.36205	12.31406	3127.5707082748413
68	2436.026	74.91955	2511.5532	2350.3408	2565.1973	108.51466	2672.8442	2323.7778	1000.0	1000.0	271999	160.66177	47.7046	314.24823	-163.50273	160.66235	47.702927	318.8446	-161.3428	-161.9358	12.333828	3174.5235817432404
69	2555.7957	78.39018	2689.753	2493.2524	2542.522	116.75128	2782.3625	2399.6113	1000.0	1000.0	275999	160.35397	48.631493	315.65356	-159.37692	160.35448	48.62895	316.93024	-169.31705	-161.51694	12.559169	3221.4483618736267
70	2559.0625	81.15409	2637.4338	2422.932	2626.8865	104.19283	2832.8904	2470.058	1000.0	1000.0	279999	160.35463	49.774998	319.79523	-149.38142	160.35521	49.77262	322.38934	-139.51787	-161.58376	12.875279	3268.3765954971313
