Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	119.71495	32.403088	283.63916	78.464485	62.614502	0.17752373	62.859882	62.175022	24.386503	14.0	3999	29.586567	16.512749	112.16675	-86.6708	-29.416965	4.232716	24.7695472240448
2	119.06548	34.426342	251.0449	76.70583	62.713917	0.16935366	62.919952	62.304707	24.309092	14.0	7999	36.07548	17.222511	109.428085	-15.865125	-32.69006	5.197933	56.39187550544739
3	84.77249	34.986214	251.04904	59.272438	62.710976	0.16582555	62.93198	62.33886	17.955156	14.0	11999	31.344654	12.458326	61.907223	-6.811534	-28.717264	2.5501714	89.44627404212952
4	63.567085	1.6350942	69.13224	59.965763	62.628162	0.16256177	62.857002	62.29602	14.042106	14.0	15999	35.57829	16.272512	76.060905	-14.941451	-34.143982	2.5273535	124.16543936729431
5	63.60275	1.7858353	69.61937	58.18123	62.574455	0.178631	62.78345	62.226055	14.052631	14.0	19999	36.092983	17.530521	79.384705	-19.009096	-34.94333	2.1749988	158.5852563381195
6	63.53783	1.6004921	69.94851	57.78361	63.124023	1.430691	67.38468	62.258793	14.035088	14.1	23999	36.17821	18.174992	85.90342	-6.9447665	-35.231796	1.9144919	193.31873559951782
7	63.687172	1.7384721	70.03921	58.637966	62.661713	0.19635668	62.893154	62.17232	14.045614	14.0	27999	35.730255	18.372242	87.23418	-6.8593664	-34.950294	1.7213947	227.88074803352356
8	63.377625	1.5407023	69.33071	58.18284	63.590004	1.8568002	67.390366	62.3617	14.017544	14.2	31999	35.456017	18.456179	84.97729	-7.49604	-34.77894	1.5798191	262.628427028656
9	63.67418	1.7139404	70.15838	59.02775	63.52365	1.9095855	67.41867	62.131416	14.049123	14.2	35999	35.17362	18.503077	86.70337	-7.531723	-34.577686	1.3909057	297.3680365085602
10	63.55181	1.7561558	69.865204	57.834965	62.57362	1.9126941	66.84662	58.32116	14.052817	14.1	39999	34.892506	18.459011	87.47745	-5.963856	-34.36838	1.3037655	332.2011523246765
11	63.547943	1.6965178	69.56482	58.67751	63.082928	1.3847233	67.12669	62.12775	14.038596	14.1	43999	34.755108	18.433159	86.65563	-7.9058924	-34.28779	1.2520446	366.8426470756531
12	63.50339	1.5779552	69.339455	58.230156	63.63438	1.9157448	67.56565	62.318604	14.035088	14.2	47999	34.492073	18.372465	86.99597	-9.840644	-34.055634	1.1651455	401.4590358734131
13	63.530872	1.9610192	69.91252	57.4103	63.198967	1.4014432	67.38963	62.50818	14.049123	14.1	51999	34.238045	18.235786	94.434425	-7.5938635	-33.846573	1.0716217	436.1921706199646
14	63.610046	1.7816278	69.867516	57.432327	62.58321	0.23280737	62.898453	62.179367	14.052631	14.0	55999	33.996517	18.186708	91.998924	-25.981344	-33.633266	1.0295897	470.73426961898804
15	63.593956	1.7626745	69.75725	58.86226	62.680065	0.1701	62.921383	62.273685	14.045774	14.0	59999	33.98884	18.18071	85.5521	-6.521791	-33.652657	0.9884959	505.4279890060425
16	63.70455	1.6968765	69.34742	57.840576	62.669075	0.2601306	62.95045	62.1015	14.05614	14.0	63999	33.904907	18.156637	86.84149	-7.1034484	-33.584946	0.98134404	539.9034199714661
17	63.541794	1.7761449	70.33872	58.186497	62.654503	0.19795553	62.90259	62.231155	14.066901	14.0	67999	33.73507	18.109612	89.71282	-11.962651	-33.440086	0.8854282	574.3940629959106
18	63.51756	1.7463896	70.16218	58.649788	63.078117	1.4148309	67.2426	62.164196	14.052631	14.1	71999	33.57363	18.055653	89.34473	-4.1516805	-33.29002	0.8730343	608.9001412391663
19	63.463467	1.7908562	69.54928	57.827007	62.53376	0.19094375	62.7892	62.289284	14.042106	14.0	75999	33.398697	17.93366	84.95965	-7.7878613	-33.12503	0.8076274	643.6212656497955
20	63.476	1.7492617	69.83249	58.610867	62.627525	0.17288008	62.792866	62.287792	14.045614	14.0	79999	33.33647	17.90881	88.313385	-5.6181984	-33.08659	0.82138956	677.8842442035675
21	63.58664	1.759332	70.315735	57.722973	62.504066	0.19966042	62.804188	62.207928	14.052817	14.0	83999	33.24273	17.9064	86.56277	-8.859087	-33.001827	0.8054295	712.4718766212463
22	63.528824	1.9137552	69.97579	58.708725	63.086426	1.4575189	67.436516	62.291687	14.066667	14.1	87999	33.136284	17.847897	90.20715	-17.689526	-32.89992	0.76757765	747.0876986980438
23	63.79244	1.73645	69.96259	58.530308	62.61814	0.18548906	62.99018	62.28278	14.059859	14.0	91999	33.05895	17.798256	85.28346	-6.493975	-32.833935	0.7510753	781.7718424797058
24	63.531334	1.6369483	69.71531	59.612717	62.505165	0.21149689	62.854473	62.132942	14.038596	14.0	95999	32.993362	17.795988	82.8246	-10.591906	-32.777374	0.722961	816.5087201595306
25	63.50723	1.776735	70.02999	58.437252	62.622326	0.23449226	62.88409	62.217545	14.042106	14.0	99999	33.03044	17.745758	85.55793	-10.654759	-32.817844	0.7038516	851.0620830059052
26	63.515007	1.751505	69.72965	58.597347	63.596107	1.8637462	67.45855	62.35313	14.042106	14.2	103999	32.884804	17.743904	85.50848	-7.2923956	-32.67852	0.69020325	885.5600247383118
27	63.58104	1.8551596	69.698044	58.622807	62.707897	0.22589731	62.92778	62.11631	14.052817	14.0	107999	32.831944	17.69022	87.47952	-7.874449	-32.63183	0.69546753	919.9730594158173
28	63.699673	1.8780814	70.4064	58.729073	62.707542	0.12846246	62.912502	62.438663	14.073684	14.0	111999	32.795284	17.651619	86.39841	-10.536856	-32.602974	0.6644495	954.5188372135162
29	63.76176	1.7443552	70.15726	57.933804	63.474895	1.9467789	67.375565	62.010933	14.049295	14.2	115999	32.723824	17.644737	83.55483	-10.214026	-32.531742	0.6635977	988.9943070411682
30	63.640556	1.5785589	69.54416	58.585674	63.016766	1.4293507	67.24146	62.12589	14.035088	14.1	119999	32.683796	17.609978	82.13769	-7.611849	-32.501244	0.61802447	1023.6258187294006
31	63.36087	1.7257391	69.66235	57.12432	62.688	0.13214317	62.8696	62.502438	14.042106	14.0	123999	32.67084	17.59119	85.736725	-5.911787	-32.49132	0.6142799	1058.2546639442444
32	63.6081	1.6008905	69.64957	58.665573	63.100136	1.4883678	67.5539	62.455513	14.038596	14.1	127999	32.609936	17.604033	88.58695	-13.605856	-32.43356	0.63064283	1093.0146346092224
33	63.59989	1.6260924	69.46863	58.59468	62.612343	0.20348197	62.912388	62.27095	14.02807	14.0	131999	32.60312	17.56663	87.63659	-5.1617165	-32.426056	0.59456956	1127.6676676273346
34	63.43068	1.7162693	69.47394	59.11687	62.62908	0.19801207	62.966972	62.184513	14.031579	14.0	135999	32.528625	17.556114	80.64223	-7.632142	-32.356247	0.57710534	1162.385454416275
35	63.50233	1.703531	69.418945	58.68717	62.602074	0.12621441	62.750137	62.371353	14.031579	14.0	139999	32.450336	17.533703	83.2442	-12.571208	-32.281746	0.5884756	1197.040724515915
36	63.473232	1.5990244	69.88294	57.729996	63.170483	1.3491862	67.19678	62.4323	14.02807	14.1	143999	32.45762	17.52199	84.12088	-4.9416857	-32.29106	0.5776967	1231.5546622276306
37	63.465446	1.7236592	69.816986	58.110096	63.103474	1.3795995	67.207466	62.34212	14.035088	14.1	147999	32.41633	17.505493	86.90724	-12.324899	-32.254295	0.57837844	1266.0710999965668
38	63.639282	1.916746	69.778656	57.890938	62.650795	0.1533822	62.937717	62.4809	14.077193	14.0	151999	32.34836	17.477161	82.039635	-26.359728	-32.183334	0.58062625	1300.6456739902496
39	63.35307	1.6485459	69.96957	57.264015	63.09246	1.3352463	67.028305	62.180153	14.024561	14.1	155999	32.340435	17.472675	85.40726	-3.7286963	-32.181427	0.5312327	1335.4085614681244
40	63.679935	1.6054659	69.94829	57.562336	63.552643	1.8605815	67.25412	62.085293	14.038596	14.2	159999	32.315456	17.448538	80.23355	-11.410414	-32.156322	0.5418521	1370.2126944065094
41	63.732155	1.7534158	69.90832	57.780262	63.168846	1.4485828	67.48619	62.438644	14.059859	14.1	163999	32.289673	17.441181	86.71249	-15.457033	-32.1341	0.53861904	1405.1774230003357
42	63.63332	1.71469	69.60009	58.206146	62.586647	0.19664371	62.835663	62.29849	14.049123	14.0	167999	32.196144	17.437336	76.92779	-11.509702	-32.04263	0.5684987	1439.706971168518
43	63.595695	1.718246	69.9735	58.741714	63.1168	1.4287705	67.34758	62.274143	14.052631	14.1	171999	32.215187	17.421516	79.01455	-9.745101	-32.063374	0.55024385	1474.5291020870209
44	63.440662	1.7706033	69.57379	58.9094	62.989605	1.4051322	67.167694	62.142445	14.052817	14.1	175999	32.184048	17.423985	81.07714	-9.585567	-32.034615	0.543473	1509.3321101665497
45	63.695107	1.8686512	69.94568	59.353397	63.563606	1.8390572	67.235794	62.38754	14.073944	14.2	179999	32.18475	17.396069	83.71569	-15.504948	-32.03518	0.5192631	1543.9866826534271
46	63.52201	1.7130082	69.33534	58.93024	62.52356	0.19874994	62.996643	62.269424	14.049123	14.0	183999	32.173103	17.381609	83.70166	-11.083897	-32.0214	0.5166658	1578.6719236373901
47	63.67253	1.8370032	69.883064	59.483154	63.14146	1.254627	66.878876	62.310616	14.063158	14.1	187999	32.18564	17.386362	83.644165	-17.057539	-32.03955	0.5213911	1613.1173934936523
48	63.563496	1.6993511	69.298645	59.018127	64.0866	2.0680783	67.46251	62.548214	14.045774	14.3	191999	32.090454	17.382109	85.04349	-25.077742	-31.940586	0.52720755	1648.0664081573486
49	63.70389	1.5909361	70.236404	60.159744	62.697468	0.24067241	63.0038	62.18037	14.042106	14.0	195999	32.062145	17.360645	87.155975	-18.268402	-31.9134	0.50644577	1682.7233819961548
50	63.625893	1.8103231	69.92609	57.876953	63.15219	1.3879598	67.30384	62.4821	14.063158	14.1	199999	32.086494	17.353712	75.69411	-10.780151	-31.94116	0.4969642	1717.4273161888123
51	63.701996	1.9647497	69.891914	57.086594	63.586773	1.9229014	67.45901	62.3259	14.066901	14.2	203999	32.099514	17.35453	79.776276	-18.35903	-31.95366	0.51016015	1751.9575428962708
52	63.67037	1.6794243	69.768166	57.491016	63.05732	1.4789147	67.453804	62.287094	14.042106	14.1	207999	31.982645	17.311764	78.60259	-11.166675	-31.835226	0.4944194	1786.5514578819275
53	63.654675	1.9474032	69.92461	59.24895	62.651905	0.15816444	62.91942	62.372833	14.059859	14.0	211999	32.084713	17.313957	82.00505	-13.183507	-31.93738	0.4951388	1821.2238233089447
54	63.560238	1.766369	69.93847	58.912178	63.58761	2.000967	67.64303	62.352478	14.059649	14.2	215999	32.067165	17.320929	90.68658	-11.144989	-31.919165	0.49044278	1855.7703790664673
55	63.552494	1.6801233	69.62831	59.439575	62.68287	0.21381062	62.918186	62.17979	14.049123	14.0	219999	32.015743	17.314537	87.25803	-10.90604	-31.871061	0.4675195	1890.538153886795
56	63.54392	1.6780709	69.99094	59.259014	62.551075	0.21145613	62.85479	62.231483	14.0422535	14.0	223999	31.839148	17.278885	91.088005	-6.330078	-31.6923	0.5307602	1925.2305722236633
57	63.57206	1.6983324	70.00194	57.782707	62.610893	0.1346869	62.809513	62.389782	14.045614	14.0	227999	31.925308	17.27844	80.36735	-17.148674	-31.777958	0.5058538	1959.8973896503448
58	63.529804	1.8456142	69.82219	58.134716	62.686474	0.18035077	62.9929	62.35522	14.045614	14.0	231999	31.922222	17.253796	79.52793	-10.242154	-31.774712	0.4878246	1994.6424736976624
59	63.58562	1.5660537	69.81507	58.72617	62.559166	0.2509511	62.975582	62.182762	14.035088	14.0	235999	31.84982	17.26466	77.16956	-8.000878	-31.696941	0.48149383	2029.2551822662354
60	63.470627	1.7513733	70.06366	58.00072	62.677624	0.14973766	62.814087	62.291103	14.042106	14.0	239999	31.844774	17.270338	77.549065	-23.3078	-31.696852	0.50238395	2063.7847468852997
61	63.490818	1.6612158	69.62902	59.09095	62.69866	0.13016117	62.882908	62.431957	14.031579	14.0	243999	31.72592	17.193302	79.40488	-12.626226	-31.574274	0.48060998	2098.486058473587
62	63.577824	1.8222106	69.5193	58.887047	62.624836	0.20982194	62.9227	62.283943	14.049123	14.0	247999	31.798643	17.220148	86.30032	-12.723456	-31.647772	0.46396112	2132.9272623062134
63	63.502342	1.6711437	69.278625	58.25137	63.12797	1.4406414	67.41209	62.28024	14.031579	14.1	251999	31.904732	17.211811	77.32945	-16.009752	-31.753075	0.43990523	2167.6543328762054
64	63.735855	1.859293	70.07162	59.45759	63.122375	1.4618149	67.4892	62.338436	14.06338	14.1	255999	31.852697	17.2224	81.18056	-27.884602	-31.702398	0.44337457	2202.4107801914215
65	63.757896	1.843056	70.33924	58.54114	62.62449	0.19253758	62.93165	62.24497	14.066667	14.0	259999	31.865042	17.216694	87.4983	-18.908894	-31.713446	0.44311994	2236.8793601989746
66	63.712215	1.5890665	69.43278	58.094254	62.70876	0.15699637	62.92337	62.453533	14.045774	14.0	263999	31.87333	17.221493	76.13943	-6.5363703	-31.723923	0.43791854	2271.4584884643555
67	63.466106	1.7241675	69.585144	57.65153	64.110275	2.061895	67.454796	62.56554	14.045614	14.3	267999	31.924625	17.204468	81.46389	-9.304433	-31.773745	0.45570967	2306.1439332962036
68	63.48735	1.7002162	69.70154	59.18645	62.728535	0.21346526	63.02433	62.296856	14.042106	14.0	271999	31.859344	17.187561	79.103226	-10.797911	-31.706633	0.42515954	2340.7801780700684
69	63.78363	1.9213958	69.861496	57.515987	62.57614	0.1743471	62.86586	62.319317	14.084507	14.0	275999	31.834627	17.204565	82.82867	-15.491845	-31.682066	0.46056107	2375.7223818302155
70	63.507156	1.813766	70.24245	57.232033	63.528954	1.9131317	67.42681	62.23936	14.045614	14.2	279999	31.81261	17.191246	82.02426	-11.758065	-31.656235	0.4144422	2410.648943901062
71	63.568653	1.7675542	69.61204	59.101887	62.48949	0.26438326	62.916813	61.984734	14.045614	14.0	283999	31.736046	17.174908	77.8687	-15.492586	-31.580368	0.43536818	2445.457774877548
72	63.529682	1.8178511	69.86066	59.010567	63.513836	1.9595212	67.483604	62.195866	14.052817	14.2	287999	31.77873	17.16123	74.73551	-10.197748	-31.622725	0.40970477	2479.83113694191
73	63.52652	1.6117675	69.93531	59.641182	62.703484	0.1408212	62.880764	62.48625	14.024561	14.0	291999	31.750637	17.159286	79.38497	-12.156776	-31.595552	0.43852895	2514.6393213272095
74	63.730648	1.7315292	70.01512	58.672653	63.115784	1.345783	67.1349	62.439808	14.059649	14.1	295999	31.740088	17.163616	83.842545	-9.514105	-31.583868	0.40021744	2549.1813163757324
75	63.694046	1.8544904	70.3715	58.582863	63.111195	1.4568902	67.41626	62.182316	14.066901	14.1	299999	31.770603	17.177275	81.65554	-17.215378	-31.614658	0.40764013	2583.6483364105225
76	63.53636	1.7619278	70.25704	59.085968	63.129944	1.4193364	67.34627	62.227154	14.031579	14.1	303999	31.717312	17.152893	76.0635	-8.142765	-31.56366	0.41048962	2618.4167873859406
77	63.54029	1.366503	68.48592	59.68781	63.231834	1.3666646	67.30885	62.541424	14.006993	14.1	307999	31.732677	17.128326	78.620865	-21.922064	-31.57854	0.402977	2653.122175693512
78	63.473682	1.6573879	69.91703	59.224876	63.075512	1.485275	67.490425	62.20487	14.035088	14.1	311999	31.689283	17.13623	75.67146	-15.963991	-31.533012	0.3956104	2687.753592967987
79	63.569366	1.7983199	69.793846	58.65281	63.053577	1.3910072	67.16534	62.193726	14.045614	14.1	315999	31.670456	17.144983	74.60389	-4.337323	-31.518454	0.41292414	2722.543792963028
80	63.701096	1.9390099	69.68627	58.027008	63.135487	1.5194441	67.670525	62.248222	14.066901	14.1	319999	31.682842	17.170456	74.025894	-24.633492	-31.528917	0.4328106	2757.056891679764
81	63.525227	1.5391141	69.78198	58.2561	62.72289	0.16631274	62.898773	62.36247	14.02807	14.0	323999	31.663872	17.160376	71.81624	-37.54245	-31.515293	0.41842914	2791.8543219566345
82	63.5027	1.7784657	69.80531	58.961384	62.503834	0.27194667	62.881813	62.04853	14.045614	14.0	327999	31.7341	17.139412	72.71092	-17.078407	-31.582338	0.37291643	2826.396129131317
83	63.57982	1.5945567	69.31652	60.292263	64.03211	2.1395535	67.51799	62.31958	14.038596	14.3	331999	31.69905	17.135221	84.923615	-13.311142	-31.548391	0.37879023	2861.221944093704
84	63.62204	1.7649024	70.48051	56.585464	62.665424	0.17879657	62.91563	62.369366	14.049123	14.0	335999	31.669846	17.161663	89.76801	-9.800972	-31.516964	0.4183026	2895.8336119651794
85	63.692684	1.7352574	70.005585	58.713493	63.53958	1.8603904	67.311806	62.183266	14.049295	14.2	339999	31.682817	17.117609	79.851295	-8.362901	-31.531496	0.4590521	2930.7232542037964
86	63.584156	1.7501365	69.55234	58.6876	63.111042	1.4944652	67.56746	62.23564	14.042106	14.1	343999	31.759857	17.16463	75.36442	-6.99365	-31.615517	0.43727496	2965.235645055771
87	63.637657	1.8704315	70.220436	58.66241	63.05882	1.5048735	67.54593	62.270664	14.052631	14.1	347999	31.772112	17.16314	89.85519	-48.86699	-31.62993	0.4854729	2999.669635295868
88	63.576843	1.6535369	69.540184	59.037647	63.634422	1.9024222	67.51496	62.49547	14.038596	14.2	351999	31.728806	17.194622	78.69337	-16.685984	-31.586628	0.4545346	3034.090325832367
