Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	121.43872	34.70014	255.86263	78.456024	196.54025	8.848882	207.72467	179.244	24.86875	40.4	3999	39.82735	29.732517	149.72777	-25.401344	39.82725	29.731998	151.00562	-24.539896	-44.177677	7.5312915	5.7555428	0.32962316	5.861514	0.329507	7.1147747	5.356609	19.62741	1.9360712e-07	58.552268266677856
2	123.94984	38.678844	244.36804	77.93707	253.07356	16.187187	278.5982	228.87622	25.379747	48.6	7999	295.94485	208.15335	1087.4614	-130.30762	295.94507	208.1528	1089.9504	-117.59249	-337.6174	146.90506	5.7914767	0.014588657	5.8351626	5.732285	68.56717	34.746254	149.7072	17.716625	140.92697048187256
3	149.59013	57.258286	315.09683	77.07221	234.30984	21.378494	278.34	209.94879	30.333334	48.3	11999	1026.2828	614.79987	2482.506	-1162.1262	1026.2867	614.7997	2801.4785	-1132.0524	-1138.2	1844.233	5.7746105	0.03661467	5.8395095	5.6671786	231.30287	44.749847	327.02292	126.20377	233.3289234638214
4	277.65247	85.127266	637.35864	87.06033	214.89445	46.353996	280.01016	147.41942	57.24286	43.9	15999	1463.3745	936.1182	3064.9702	-554.88525	1463.3717	936.1541	3107.199	-501.70938	-1572.5363	4210.055	5.705571	0.017995566	5.757673	5.6325545	258.72083	25.522745	374.61285	180.67656	327.3929650783539
5	266.44852	108.50407	570.93976	114.69549	295.72076	29.758774	333.27408	236.38054	56.140846	66.8	19999	1599.8325	1162.9012	3561.7761	-402.35535	1599.8342	1162.9285	3527.4817	-310.56406	-1713.3735	6569.03	5.701238	0.01771594	5.7669954	5.6319375	287.73474	28.89971	403.60022	200.39397	424.31941080093384
6	272.76434	76.16364	532.86053	78.671455	357.11548	99.748955	547.39874	253.96999	58.057972	81.4	23999	1571.1052	1244.821	3626.626	-344.18552	1571.107	1244.8466	3644.9026	-366.11826	-1667.2008	7642.672	5.68002	0.020089833	5.746815	5.608749	275.47345	31.998615	398.591	171.54744	521.2018461227417
7	284.14047	66.38463	512.8757	119.49061	344.60895	73.789856	525.8261	246.85446	64.86885	75.2	27999	1288.753	1109.4987	3407.4922	-456.02887	1288.7576	1109.5581	3438.8286	-490.6581	-1362.0311	7699.3027	5.677028	0.018380735	5.739406	5.6116877	235.33907	25.83219	351.35782	167.40207	614.2287576198578
8	327.01147	100.0726	675.42566	90.66819	327.26883	66.32978	433.46747	203.1998	69.344826	74.1	31999	1010.6274	931.1034	3093.4368	-372.79343	1010.6646	931.101	3111.6	-347.1819	-1068.1677	6839.26	5.6723576	0.019044744	5.7360525	5.6001296	210.06964	21.49837	288.5781	143.65337	707.5181140899658
9	346.0415	109.60696	664.2834	156.42671	436.24188	74.350075	556.8769	303.53943	75.54717	90.2	35999	808.0203	776.01886	3130.1218	-319.98398	808.0221	776.02673	3133.6719	-313.50464	-855.11115	5601.785	5.671517	0.018341698	5.731209	5.6009297	180.6318	19.652403	252.58586	116.57248	801.0576062202454
10	394.37808	119.18552	657.3918	168.82831	343.76532	59.93963	467.34473	259.1916	84.510635	73.8	39999	651.3	644.3579	2495.2166	-201.56007	651.3024	644.358	2475.551	-186.12816	-686.8769	3897.4524	5.653877	0.020354388	5.716995	5.5765944	147.31662	17.815218	224.21484	95.31869	894.8828151226044
11	384.3939	102.72225	609.92444	179.99254	417.73016	61.815918	547.2154	332.4234	81.30612	88.8	43999	501.06845	497.08365	2053.86	-135.1969	501.07196	497.0732	2076.9634	-131.72583	-526.464	2372.9983	5.6527195	0.019445563	5.7185845	5.5907483	116.34905	14.129601	171.73376	73.29314	988.1824572086334
12	434.25256	134.67183	882.7431	249.08994	384.7847	97.745186	653.6861	301.10886	91.454544	88.5	47999	387.65024	363.19357	1499.6721	-106.380684	387.64813	363.19193	1475.1165	-110.82021	-405.47122	1340.706	5.654046	0.019750904	5.7250915	5.574493	88.360405	11.533483	131.97977	57.242508	1081.6554844379425
13	365.49936	105.55817	751.6118	223.62161	398.48456	69.470314	529.15356	316.75665	84.125	85.4	51999	309.2573	266.99197	1318.5481	-73.27575	309.25217	266.9871	1396.3341	-75.93639	-321.84137	737.55835	5.652648	0.020947538	5.7139444	5.5683336	65.877	8.549721	99.45949	44.494305	1175.3071806430817
