Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	118.32912	37.825584	328.64465	78.7442	309.70526	20.937885	339.61404	275.3852	24.127274	57.4	3999	41.19472	23.86683	115.88428	-23.52173	41.197254	23.86655	116.0256	-71.233505	-9.96306	3.3940625	375.45343	-21.3714	-43.231606	15.054393	51.441187381744385
2	118.57149	33.180508	265.55566	82.113556	167.8557	8.046172	185.93826	159.35124	24.13253	36.5	7999	118.725	66.0597	314.73587	-60.919933	118.72331	66.054245	313.25363	-37.26547	-1.7793993	4.6599755	35.753662	-22.416159	-128.38837	65.436516	118.14166903495789
3	156.05501	69.267815	340.33734	82.77776	251.09273	9.018645	270.70996	238.36278	32.308945	57.9	11999	285.86588	150.92706	948.7621	-130.20015	285.85834	150.94504	1026.8123	-185.14967	7.267924	5.422997	125.78957	-17.282349	-309.37747	496.60168	185.67951703071594
4	355.26218	87.90104	737.7185	228.96228	288.6561	22.536476	327.4977	249.14116	71.67857	64.9	15999	338.28607	182.38802	711.2752	-100.740135	338.2795	182.36479	700.0542	-168.2752	4.2832727	6.8404016	60.369026	-21.89164	-352.08823	809.2901	249.67048001289368
5	317.11887	97.73442	648.41205	162.98756	330.10876	20.528526	352.82144	290.89447	64.129036	62.9	19999	250.67706	157.81139	578.1639	-124.33675	250.65662	157.79263	577.8262	-129.04973	0.8067133	6.646218	34.97362	-20.582338	-256.86594	610.8394	312.8172969818115
6	382.02676	73.20483	705.11914	293.40976	291.11005	20.67298	337.03958	268.01895	74.92593	56.2	23999	177.60056	112.30604	425.39963	-51.77012	177.59113	112.28866	418.48062	-71.90759	-2.7323914	5.512839	64.91277	-21.194504	-180.61218	271.881	376.07367610931396
7	344.137	55.677452	568.6359	260.03735	326.4261	18.647589	355.1053	303.57767	65.508194	61.2	27999	146.24622	82.313774	320.9543	-46.28693	146.24539	82.3002	315.39212	-42.520424	-4.7083383	4.514514	61.425194	-21.256502	-148.39778	134.94803	439.61464262008667
8	404.5919	83.07186	612.8533	282.8207	416.81696	23.124321	449.40408	381.05362	83.44681	81.8	31999	142.47327	70.3732	275.06912	-40.009033	142.47305	70.36592	265.04813	-30.336685	-5.635643	4.0840936	25.24199	-20.757898	-144.3927	90.44787	503.0002529621124
9	418.38785	103.223434	708.598	253.41945	398.5954	41.499035	481.78827	352.21933	85.65958	87.1	35999	148.82877	71.499794	288.94168	-152.87465	148.82898	71.48939	279.57098	-96.381096	-6.2032523	3.8581133	53.457348	-23.628704	-150.56844	87.80181	566.3677043914795
10	395.40506	96.96205	780.9584	225.97537	349.68625	37.57007	418.8558	307.88367	79.43137	65.4	39999	155.38477	76.79509	272.2773	-43.09014	155.38385	76.792366	305.95584	-37.01962	-6.0388327	3.8323164	93.241104	-22.72746	-157.11592	94.91092	629.4953761100769
