Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	116.85612	34.224743	260.13272	78.64676	59.759315	1.3576043	60.502094	55.709236	23.803572	13.9	3999	18.678211	9.7625065	51.445923	-15.27694	18.680485	9.762025	45.80414	-45.835083	-19.43928	3.6510208	23.111650943756104
2	114.37969	27.993895	224.36787	78.039825	59.579914	1.9407493	60.805424	53.982533	23.309942	13.9	7999	40.957577	15.820043	82.57321	-21.64883	40.9564	15.823296	84.43106	-20.83018	-39.70188	8.796575	55.52764177322388
3	81.49859	33.68321	229.00844	51.49389	59.3375	1.8369691	60.93172	55.678295	17.634361	13.8	11999	32.270847	16.412008	75.511406	-50.206127	32.270668	16.413235	75.3607	-6.54718	-28.349993	9.231671	94.68527269363403
4	60.99273	2.5095458	65.39639	53.367992	58.4793	2.5142798	60.55853	54.28433	13.916667	13.7	15999	29.645542	12.50327	64.01293	-5.0367336	29.645588	12.505551	60.95765	-3.5672126	-28.131304	3.9132628	134.03159141540527
5	60.93486	2.4753237	65.2442	52.1156	58.598473	2.228328	60.45133	54.437397	13.95122	13.7	19999	33.189632	15.67792	70.56463	-2.3166368	33.18988	15.678318	69.337395	-5.2336106	-32.038666	3.8721294	172.998539686203
6	60.63712	2.7116504	65.580185	52.0488	59.796803	1.7880669	60.767914	54.4562	13.905923	13.9	23999	33.248146	16.170145	71.407166	-1.8328341	33.24764	16.170567	73.51835	-7.612748	-32.316032	3.568045	211.80897283554077
7	60.91612	2.5588462	65.16183	52.914906	58.14037	2.345763	60.683136	54.261913	13.933798	13.6	27999	33.05303	16.392805	75.75859	-3.7480888	33.052902	16.392418	76.60994	-2.737434	-32.269104	3.1980407	250.69278001785278
8	60.991196	2.6136544	65.08199	51.128994	58.211113	2.374609	60.508343	54.475986	13.923611	13.6	31999	32.806263	16.445303	76.8474	-3.1206965	32.80638	16.44457	87.480156	-2.2208679	-32.10897	3.0137777	289.31811356544495
9	61.088642	2.6726527	65.54114	52.600773	59.35554	1.9950408	60.66496	53.713688	13.940559	13.9	35999	32.589806	16.483131	79.6984	-2.987206	32.59029	16.4818	77.7881	-7.254417	-31.984491	2.758756	327.9068684577942
10	61.13726	2.6208975	65.16851	51.721897	59.684895	1.3733951	60.347023	55.679077	13.913195	13.9	39999	32.44413	16.502789	79.32381	-2.3606334	32.444275	16.502405	79.83636	-4.539798	-31.948385	2.5610323	366.8023545742035
11	61.06934	2.6619332	65.42531	51.38299	60.274426	0.29922646	60.810432	59.70345	13.940766	14.0	43999	32.301876	16.496952	75.87197	-4.738247	32.30232	16.49616	78.24643	-5.5454974	-31.871586	2.488061	405.36797404289246
12	60.94406	2.584981	65.28496	51.58288	58.836296	2.0525362	60.491665	54.104755	13.912892	13.8	47999	32.173805	16.475443	78.36532	-2.4842706	32.17373	16.474783	81.09172	-2.8369553	-31.743298	2.3392522	443.9756119251251
13	60.63991	2.6934183	65.41845	53.260452	58.50945	2.3220031	60.61209	54.09901	13.933798	13.7	51999	31.978613	16.442183	77.97913	-5.116421	31.979115	16.441902	82.24789	-2.3244534	-31.6443	2.274503	482.7725555896759
14	60.922295	2.69526	65.32012	48.22123	60.22932	0.44385245	60.69776	59.05365	13.930555	14.0	55999	31.853388	16.407888	78.53356	-3.0206468	31.85345	16.407747	78.50001	-5.859501	-31.525692	2.2073884	521.5837495326996
