Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	35632.41	3406.1438	40622.04	32408.178	42294.96	672.7312	43611.332	41638.965	1000.0	1000.0	3999	285.3342	168.7382	893.47095	-3.3631732	-292.6138	115.691185	42.276209354400635
2	34306.047	1756.1791	36338.305	31500.385	60452.582	66.4459	60560.008	60333.176	1000.0	1000.0	7999	1053.5454	294.9694	2145.6824	442.2148	-1070.9528	377.412	92.37531185150146
3	43992.74	9819.5625	60304.387	36265.574	60481.21	84.91327	60670.004	60395.484	1000.0	1000.0	11999	2054.5476	350.39255	3397.3044	1233.0804	-2078.205	769.3696	144.81014347076416
4	56225.65	7503.6357	60647.824	43229.344	60432.105	61.087574	60535.246	60341.836	1000.0	1000.0	15999	3136.1553	384.05884	4727.577	2126.0571	-3158.779	1110.2485	199.48909902572632
5	52150.293	8022.6333	60392.01	43472.63	60392.15	92.60202	60507.26	60167.234	1000.0	1000.0	19999	4123.0347	430.23703	6097.646	3110.3298	-4143.154	1384.4563	254.45050144195557
6	47940.32	7275.0137	60504.047	43139.71	60472.445	54.80937	60552.266	60348.9	1000.0	1000.0	23999	5034.3613	526.1086	7824.0527	3593.7441	-5050.783	1790.4388	310.1581783294678
7	60489.492	91.39557	60573.39	60352.73	60435.477	39.20569	60486.668	60367.78	1000.0	1000.0	27999	5873.1343	634.3126	8288.343	4228.544	-5887.747	2207.9504	365.1636166572571
8	60468.02	106.193275	60623.887	60342.145	60444.43	69.13768	60578.355	60328.637	1000.0	1000.0	31999	6752.43	719.15314	9061.05	4596.7144	-6767.7476	2415.907	419.9545350074768
9	56533.082	6429.4805	60462.016	45400.316	60431.074	78.044914	60563.992	60288.777	1000.0	1000.0	35999	7620.3784	799.4452	10142.697	5633.636	-7635.9243	2925.1619	474.9332253932953
10	56166.125	6950.5674	60608.16	44157.332	60455.023	129.17006	60725.773	60197.582	1000.0	1000.0	39999	8424.675	900.71234	10936.326	6248.769	-8440.324	3137.502	529.9259147644043
11	51752.688	8698.537	60547.25	42839.992	60439.074	165.72716	60867.867	60287.63	1000.0	1000.0	43999	9153.212	1020.2777	12564.891	6656.0215	-9168.858	3661.4624	585.1412348747253
12	56073.58	7534.7188	60576.99	43025.348	60473.29	115.93268	60653.848	60210.176	1000.0	1000.0	47999	9802.044	1163.9397	12758.464	7262.5796	-9816.326	4153.0435	640.1654284000397
13	55913.633	7499.4385	60588.75	42938.47	60436.27	90.74205	60640.06	60271.395	1000.0	1000.0	51999	10505.535	1266.5245	14317.646	7684.0977	-10521.316	4638.272	695.3551259040833
