Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	31920.3	1098.1951	33760.273	30852.826	75067.61	15414.3	120991.47	68679.7	1000.0	1000.0	3999	14.044423	9.371224	53.762012	-0.030527363	14.044657	9.3710375	53.062485	-0.028412396	-14.887932	0.32098114	5.789522	0.33017024	5.8662395	0.3293029	1.7667356	1.1057477	4.0780063	1.9681926e-07	107.85628724098206
2	32552.494	847.9276	33732.617	31359.96	84271.87	115.10665	84450.875	84126.664	1000.0	1000.0	7999	69.85441	27.839058	180.68164	24.148111	69.85452	27.838718	180.66663	24.723288	-73.20595	2.4723701	5.8055058	0.01218663	5.8488793	5.7600684	6.5562787	1.5434933	9.714356	3.4105957	241.89024591445923
3	56579.85	24746.727	92589.586	33340.312	54240.414	13942.636	74214.11	40607.215	1000.0	1000.0	11999	165.08171	53.28366	353.97025	56.011143	165.0819	53.28396	354.36545	56.648624	-171.8209	12.818208	5.7831025	0.017571095	5.8288684	5.719524	14.750988	4.3272023	28.00351	8.473141	420.32291769981384
4	57729.23	21615.486	94981.31	41789.996	59453.094	6016.145	69768.78	45708.785	1000.0	1000.0	15999	285.54065	86.533104	491.17447	86.24716	285.5408	86.534195	494.18433	85.18076	-292.45975	28.489828	5.7658935	0.015501448	5.8163385	5.706125	17.966856	4.8000755	29.525513	12.291493	616.2594420909882
5	73504.51	7003.3037	83705.78	66690.914	65709.34	4776.093	71183.89	53520.66	1000.0	1000.0	19999	336.4058	102.60985	553.26263	79.43488	336.4051	102.61212	551.54785	78.7235	-340.51645	33.649994	5.7427797	0.015587868	5.794444	5.6747117	13.137666	0.36359274	14.547686	11.850395	809.4256343841553
6	69267.25	4326.2393	72423.87	61810.035	85107.195	26156.61	124161.664	42894.66	1000.0	1000.0	23999	375.49545	104.94676	637.4426	121.74731	375.4948	104.94904	638.82666	122.46448	-379.0246	40.109074	5.7309675	0.017765734	5.787535	5.6625333	14.173433	0.6314035	16.18763	12.496775	1004.81898021698
7	70871.47	14325.797	94942.836	57281.53	74458.65	17936.127	117344.1	47935.33	1000.0	1000.0	27999	409.50287	108.92547	727.0914	155.82971	409.5024	108.92716	730.92725	155.89287	-412.702	40.48684	5.7211905	0.01620138	5.7760487	5.656414	15.221209	0.5484875	17.165644	13.31976	1195.8820140361786
8	84643.86	22593.604	122293.45	66604.1	68226.03	13680.921	92841.81	48863.332	1000.0	1000.0	31999	436.09433	108.63404	721.62006	174.84456	436.09412	108.63515	720.48413	176.81322	-438.83282	46.024174	5.70933	0.016619382	5.7628937	5.6442924	13.874196	0.516655	16.106384	12.2452965	1389.15589761734
9	70700.766	33837.727	121145.38	39327.727	84614.27	22581.584	127233.36	62110.91	1000.0	1000.0	35999	459.64612	108.89922	707.7127	168.3122	459.64597	108.90245	711.35034	170.27039	-462.55722	47.64993	5.71975	0.016864805	5.777969	5.6556687	14.515428	0.5622495	16.881924	12.625295	1582.8427917957306
10	83416.08	6284.898	91868.35	74197.65	104462.61	21176.156	129027.57	68661.47	1000.0	1000.0	39999	480.8156	105.58447	732.7932	216.90836	480.8156	105.58532	738.24927	218.10838	-483.493	46.756317	5.7212214	0.01611588	5.776177	5.661354	15.417502	0.7121851	18.191715	13.380002	1777.1616213321686
11	65842.71	15982.188	91049.44	46658.16	105208.14	24210.33	126421.25	62974.83	1000.0	1000.0	43999	495.70895	105.17758	785.5379	225.2679	495.7089	105.178246	785.9489	214.84076	-498.04565	49.96827	5.7256117	0.016336432	5.783599	5.6601686	16.270744	0.60423607	18.455584	14.054174	1970.4542598724365
12	93124.82	25852.55	126964.805	65592.336	106223.44	26968.871	141167.95	68900.76	1000.0	1000.0	47999	501.98492	106.064095	862.94507	202.99402	501.98575	106.06496	862.521	206.96231	-504.0133	55.32031	5.7161694	0.0167224	5.7757864	5.655257	16.794825	0.67795926	19.380022	14.603382	2165.2815692424774
13	89670.66	22832.617	128835.164	71494.195	100574.3	35115.92	139267.83	29538.334	1000.0	1000.0	51999	508.8473	108.14143	924.0729	222.46767	508.847	108.14328	927.46014	224.78983	-510.80295	55.566647	5.7124963	0.01628814	5.7749887	5.6534667	17.163967	0.6896172	19.907078	15.083669	2361.071000814438
14	71161.16	12916.436	92355.93	57393.934	73362.62	22611.318	132149.22	42952.324	1000.0	1000.0	55999	514.0293	111.02271	947.5391	224.49373	514.0286	111.024734	948.3604	233.23448	-515.9753	58.81993	5.7096963	0.016673809	5.757989	5.6517177	17.198015	0.7040993	19.80896	14.606207	2552.581483602524
15	66757.3	10448.087	78365.04	50672.406	76863.55	17489.238	125817.23	65095.125	1000.0	1000.0	59999	516.8668	111.32492	958.7745	245.21799	516.8674	111.32642	956.9868	246.20976	-518.4977	63.89962	5.7017198	0.018048508	5.7586246	5.63291	17.065887	0.6828606	19.58685	14.921356	2743.834333181381
16	82604.31	16316.693	110218.07	69910.8	116908.06	23790.553	134386.8	77061.89	1000.0	1000.0	63999	515.5785	106.76719	942.55096	251.89131	515.5784	106.76748	943.0825	255.06494	-517.02155	62.763664	5.6982546	0.017520212	5.761217	5.6347713	16.77466	0.6882597	19.743122	14.215547	2937.9501564502716
17	96243.8	23891.707	136062.61	73540.87	90725.95	23879.041	137054.72	63025.664	1000.0	1000.0	67999	510.30063	103.6609	916.70703	253.90414	510.30096	103.66516	919.22186	255.07683	-511.60583	58.882053	5.706478	0.017530603	5.76257	5.6422563	17.083633	0.74757755	20.196362	14.671117	3132.1486608982086
18	93619.13	21951.55	131209.62	75727.82	97944.2	25331.336	131924.72	59252.33	1000.0	1000.0	71999	508.10052	99.16093	901.424	256.6346	508.1008	99.16413	896.3783	256.26746	-509.34137	55.68006	5.708419	0.017001202	5.7610817	5.645792	17.539238	0.7545361	20.346329	14.596056	3327.9499073028564
19	121450.83	20359.117	141051.12	87450.01	97321.95	29996.375	128950.94	51717.125	1000.0	1000.0	75999	507.3308	95.56189	886.88306	255.32465	507.32956	95.56648	892.51514	259.07382	-508.51263	51.060192	5.709739	0.016708031	5.781683	5.646252	17.556927	0.73576295	21.48183	15.283288	3523.043608903885
20	116992.85	19160.006	140473.34	91923.74	121307.734	20394.338	133890.16	76467.41	1000.0	1000.0	79999	510.99823	93.56416	868.26764	260.68915	510.99796	93.56903	871.85614	264.30087	-512.3351	48.52543	5.718532	0.016479407	5.785874	5.661719	18.073425	0.7359385	20.969347	15.212145	3726.2693717479706
21	100158.88	30871.234	132805.62	67330.125	122331.56	17675.168	139821.73	76315.79	1000.0	1000.0	83999	515.3978	93.74091	865.7137	259.90326	515.39746	93.74589	865.79236	262.0142	-516.5998	48.084118	5.7181554	0.01639107	5.7792716	5.655396	18.364817	0.7554544	20.98471	16.142895	3922.435463666916
22	99004.02	21610.723	130389.35	71332.75	109325.65	25637.83	135453.77	71441.79	1000.0	1000.0	87999	517.52704	93.25062	868.7399	263.52277	517.5266	93.25331	867.0602	266.1721	-518.5944	47.2857	5.719461	0.016304603	5.77489	5.6638136	18.35402	0.7693257	21.66585	15.924589	4118.799705505371
