Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	Averagesh_penalty	Stdsh_penalty	Maxsh_penalty	Minsh_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	33019.55	1458.3303	35522.562	31865.734	30614.543	19.554958	30640.32	30565.285	1000.0	1000.0	3999	10.920401	6.3601003	32.28049	-0.24910995	10.920382	6.3600936	31.80183	-0.27956393	-10.860167	0.22872518	0.3370995	0.0057680965	0.35623524	0.31672257	0.0014379708	0.004549588	0.11404171	3.9344823e-07	1.6854279	0.95970845	3.3790944	2.1086286e-07	125.81282091140747
2	32495.576	878.06354	33445.19	31492.154	34196.477	50.70157	34242.637	34098.582	1000.0	1000.0	7999	33.18139	8.570148	72.75313	8.46393	33.18123	8.570703	73.024994	8.387365	-33.08031	0.61502594	0.34242043	0.007671099	0.3704932	0.3180012	0.0014994376	0.0007219321	0.006596339	0.00021023274	4.325245	0.5821806	5.566436	3.177243	289.9007339477539
3	62477.188	29022.275	93544.35	30708.88	85570.266	20430.982	126683.57	72283.62	1000.0	1000.0	11999	56.39788	13.282243	111.38344	25.013779	56.397774	13.282476	111.87834	25.206303	-56.9705	1.2565491	1.0386715	0.8025105	2.6812322	0.34366813	0.038095783	0.03797129	0.21736382	0.00050857407	6.3891015	0.67694306	8.420614	5.157572	456.0381700992584
4	68695.97	1897.6754	71241.914	66342.125	82800.09	8929.513	97281.59	74867.35	1000.0	1000.0	15999	114.27908	31.072031	253.79561	54.25306	114.27867	31.072023	254.87329	53.895126	-117.37486	4.4321446	3.590981	0.5825241	4.69964	2.5841732	0.070368625	0.021369487	0.18725224	0.012092203	10.398365	1.3354782	13.196223	7.4280796	627.6736514568329
5	89577.47	9109.032	100770.27	76556.79	75535.74	13809.821	97748.94	57743.156	1000.0	1000.0	19999	202.89993	54.121616	396.33792	71.86727	202.90067	54.120144	396.19864	70.91685	-207.63669	14.864481	5.2423882	0.2852866	5.6260753	4.5346932	0.17228611	0.044804543	0.36934337	0.030536981	16.006704	2.8596742	22.228554	11.520237	799.7925741672516
6	83133.96	7252.397	94235.07	75458.35	70371.42	4336.113	78052.81	64938.695	1000.0	1000.0	23999	297.80078	78.84578	538.90765	68.18205	297.80087	78.84577	538.44574	66.282745	-302.13684	24.253477	5.619383	0.03147429	5.7110534	5.5271673	0.21385103	0.044525422	0.4552676	0.062116638	18.326176	0.96514386	22.077196	16.16516	970.5772261619568
7	68197.68	9430.069	79274.76	53851.92	59639.95	4506.3945	66439.56	51475.4	1000.0	1000.0	27999	364.74716	92.37594	681.12006	108.670746	364.7468	92.377396	681.24414	106.03592	-368.76422	33.48957	5.633667	0.024432411	5.7008414	5.535966	0.23690584	0.04904056	0.46335396	0.088430144	19.021091	1.0533607	22.30007	16.539549	1140.012938261032
8	78590.49	25523.889	121437.24	55920.35	89294.07	30789.426	125841.125	52694.637	1000.0	1000.0	31999	431.41428	116.80231	784.56506	164.57404	431.4139	116.803795	785.9845	170.75131	-436.5141	48.9637	5.6386304	0.021364046	5.698895	5.5488043	0.26789868	0.058037326	0.529324	0.10086347	21.470814	1.983698	28.464447	17.936146	1309.240051984787
9	92670.77	18297.201	112382.766	70823.26	49631.9	5748.993	52193.332	32415.438	1000.0	1000.0	35999	537.59644	152.99887	976.4283	105.9995	537.5971	152.99783	977.3135	111.345245	-545.8168	85.745415	5.6624103	0.019954033	5.725942	5.5763783	0.31669313	0.072699495	0.702493	0.10622558	28.817488	1.8552812	35.30145	23.66661	1480.2257180213928
10	63920.984	18562.48	95675.37	50132.438	72042.48	29341.148	120539.445	35830.492	1000.0	1000.0	39999	621.7326	181.41579	1081.2072	165.02185	621.7333	181.41534	1088.6418	163.78781	-626.95685	96.38683	5.685834	0.022588057	5.7565255	5.5938993	0.3141868	0.06186957	0.5396919	0.11487588	23.975916	1.5240315	28.488329	19.845161	1650.2482964992523
11	62445.816	14106.576	80743.84	41138.062	62070.824	10698.384	83544.21	50882.695	1000.0	1000.0	43999	646.87946	187.14905	1144.2871	218.01059	646.8792	187.15047	1146.9584	208.05283	-650.60974	94.12864	5.6772914	0.021112727	5.7420588	5.5987372	0.32120076	0.062348023	0.546261	0.12309579	21.09072	0.81731325	23.941513	18.684923	1820.939376115799
