Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	32322.34	875.49304	33218.812	30879.691	107545.23	3682.6277	112137.484	98134.69	1000.0	1000.0	3999	258.37842	149.97998	755.7095	-9.366983	258.37753	149.97975	702.9024	0.48226586	-0.37981728	7.801194	176.61409	-20.862965	-265.68033	134.80576	67.14282131195068
2	33475.754	1099.0557	34777.01	31746.14	95792.67	911.345	97555.164	94384.61	1000.0	1000.0	7999	961.25226	261.57632	1711.9813	443.8721	961.2446	261.59744	1768.145	374.03033	10.116353	4.86423	42.104755	-15.298296	-981.66345	518.4214	148.25618815422058
3	65042.137	30810.037	96365.94	33497.37	118417.92	101.72409	118559.26	118154.945	1000.0	1000.0	11999	1911.4728	308.9774	2859.7026	1090.6698	1911.4814	308.97043	3047.5396	1143.6744	17.888317	5.1253934	192.7446	-11.0895195	-1942.4442	957.3228	233.4496898651123
4	104124.914	7983.7637	116375.62	95926.164	106762.31	6118.565	118315.88	102585.2	1000.0	1000.0	15999	3052.588	401.50406	4445.429	1990.924	3052.5796	401.52853	4424.992	1979.5056	24.640617	5.304597	59.243866	-4.307865	-3083.5312	1475.1794	320.3894407749176
5	108246.84	5178.388	113502.79	102923.66	106345.17	5734.417	116805.9	102506.1	1000.0	1000.0	19999	4257.667	435.37527	5650.2446	1614.8271	4257.6646	435.38327	5662.1987	1962.4004	30.194212	5.555858	79.232605	-7.8528175	-4286.2915	2081.1443	406.7337234020233
6	102678.95	156.25017	102807.54	102412.414	107086.984	5619.249	114500.164	102320.445	1000.0	1000.0	23999	5322.888	399.06628	6825.296	2867.061	5322.8877	399.07224	6934.396	3774.8237	32.328426	5.9002953	73.2062	-0.99300766	-5344.201	2580.5981	491.71412992477417
7	116617.65	3031.4812	119901.24	113519.15	119644.6	206.47478	119886.34	119113.836	1000.0	1000.0	27999	6184.8843	423.1938	7893.838	4538.4126	6184.8755	423.24664	7908.354	4544.626	33.532715	6.185885	63.67494	-0.851141	-6201.462	3104.8936	578.9563488960266
8	115632.43	7305.6104	120020.15	102983.875	119937.086	98.61266	120055.49	119678.8	1000.0	1000.0	31999	6945.127	478.26013	9857.028	4620.7153	6945.1353	478.2495	10003.482	4679.75	35.78086	6.7488904	86.12762	-3.4560204	-6958.598	3373.37	663.3454656600952
9	120002.34	71.962715	120088.08	119921.84	118317.75	5166.55	120234.17	102820.414	1000.0	1000.0	35999	7585.2056	535.48065	10188.127	4976.7075	7585.2	535.4859	10023.379	5325.157	37.652737	6.846961	95.48575	3.9848938	-7593.494	3852.658	748.876546382904
10	115666.48	7506.8545	120064.234	102664.59	114821.42	7836.265	120044.92	102793.64	1000.0	1000.0	39999	8092.5566	583.3064	11092.986	5482.8706	8092.5474	583.36053	10691.584	5188.4424	38.044228	7.2718287	61.479828	-0.8155918	-8097.579	3963.573	834.4358096122742
