Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	34129.633	3315.3423	38619.82	30595.025	31880.35	1003.4103	34254.082	31148.398	1000.0	1000.0	3999	128.03647	63.15359	439.98898	-1.2373072	128.02133	63.18494	487.5632	-7.7638083	-129.7242	66.50539	44.04076170921326
2	35284.152	2815.4854	40089.516	33014.918	31548.566	650.39233	33283.11	31124.955	1000.0	1000.0	7999	404.58676	103.85929	952.65063	165.52269	404.58167	103.87266	968.7283	95.96355	-407.32452	196.39268	95.80456733703613
3	32015.422	1723.323	34930.09	30688.496	31542.785	491.3626	32732.54	31145.797	1000.0	1000.0	11999	712.15344	117.875565	1480.8165	342.06833	712.14417	117.885895	1492.3792	326.54706	-715.68475	352.13144	151.37314772605896
4	34520.914	6486.764	45755.797	30713.477	31299.51	207.16493	31890.31	31124.514	1000.0	1000.0	15999	985.3275	152.25394	2077.6604	539.1517	985.33325	152.23247	2214.295	535.35315	-989.63477	472.4263	210.89523768424988
5	34640.812	6356.3154	45645.156	30698.432	32245.05	2785.7822	40550.508	31055.107	1000.0	1000.0	19999	1254.3555	186.18137	2431.1685	643.3265	1254.3497	186.18723	2650.901	832.3155	-1258.7311	618.9375	270.8709235191345
6	35584.137	8191.4756	49771.707	30744.684	32111.855	1555.9575	36299.88	31157.996	1000.0	1000.0	23999	1530.0333	222.41194	3107.5166	521.47473	1530.0372	222.37202	2966.8958	940.8478	-1534.812	767.6793	330.31541204452515
7	38370.992	7592.6562	46126.51	30749.479	31482.688	532.7866	33058.65	31185.723	1000.0	1000.0	27999	1798.4373	265.29337	3375.549	919.1337	1798.4303	265.2782	4235.036	1340.1033	-1802.553	992.73724	390.31847500801086
8	41979.305	6289.236	45958.36	31092.775	31374.39	429.37515	32650.47	31145.543	1000.0	1000.0	31999	2075.749	310.8919	3923.3525	1400.7955	2075.758	310.85474	4084.4707	1395.9354	-2081.0476	1085.7401	449.4883794784546
9	39087.438	8283.314	48764.973	30794.568	31499.684	511.5985	32983.156	31115.742	1000.0	1000.0	35999	2352.941	359.1342	4093.8428	1571.7545	2352.937	359.12946	4175.6924	1508.9354	-2359.772	1273.423	509.5694420337677
10	34468.375	6158.8896	45134.96	30808.82	31705.719	550.5881	32665.459	31143.674	1000.0	1000.0	39999	2596.2979	405.4451	4960.0605	1890.708	2596.2996	405.42215	4479.3745	1753.569	-2600.919	1365.0372	569.6642212867737
11	35590.38	8260.548	49897.832	30747.072	31542.066	768.656	33784.83	31100.32	1000.0	1000.0	43999	2807.2527	446.10437	7735.8037	2147.39	2807.2544	446.07672	5105.374	1646.6456	-2812.5615	1628.4697	629.4630007743835
12	35115.523	7511.834	48125.855	30681.934	31696.91	799.959	33561.55	31181.984	1000.0	1000.0	47999	3014.5645	487.2582	5849.775	1818.9348	3014.5684	487.24115	5276.8887	1680.2775	-3019.4404	1679.5663	689.7652535438538
13	34565.266	6530.9536	45876.902	30719.537	32267.395	2300.659	38861.19	31138.742	1000.0	1000.0	51999	3218.34	527.3643	5898.3467	2248.9011	3218.3372	527.3516	7909.363	2316.223	-3225.1965	1794.6865	749.6346561908722
14	34493.332	6229.3516	45282.58	30839.967	32202.402	2154.362	38561.684	31142.064	1000.0	1000.0	55999	3413.5708	564.0015	6002.216	2427.8838	3413.563	564.00415	5812.6147	2115.457	-3418.3252	1913.4396	809.8700959682465
15	38654.555	7917.4487	47479.008	30717.47	31934.547	1105.3838	34908.125	31201.422	1000.0	1000.0	59999	3607.727	602.9875	6412.076	2717.289	3607.7244	602.9899	6177.781	2643.055	-3613.486	1973.6598	869.2226638793945
16	38188.434	7436.1377	45696.527	30628.326	31703.693	663.65796	33539.223	31275.256	1000.0	1000.0	63999	3795.0637	638.54956	6356.868	2499.0347	3795.0637	638.5423	6326.9136	2548.8135	-3800.0596	2161.33	928.0239632129669
17	34532.918	6470.7812	45740.598	30780.271	31482.775	442.7186	32771.605	31206.629	1000.0	1000.0	67999	3968.7346	673.3792	6471.095	2282.4155	3968.7288	673.39185	6637.8984	2169.8684	-3974.8665	2153.8945	987.6670410633087
18	39290.355	8411.237	49515.19	30962.592	31500.26	465.5184	32876.605	31220.904	1000.0	1000.0	71999	4139.6973	711.16565	7054.956	3030.2788	4139.688	711.18036	7288.216	2451.4072	-4145.1025	2302.448	1046.024792432785
19	34566.355	6348.0024	45557.04	30685.951	31838.49	941.2303	33565.4	31099.957	1000.0	1000.0	75999	4326.593	754.9246	7323.106	2760.7983	4326.5864	754.91144	7882.5005	3337.112	-4333.823	2457.5154	1106.0620260238647
20	38607.15	7623.2344	46746.652	30748.246	31425.396	373.94354	32404.77	31085.621	1000.0	1000.0	79999	4474.3687	787.37024	7117.244	2352.6536	4474.37	787.36584	7136.938	2417.9624	-4479.085	2457.902	1165.3618144989014
21	38057.586	7233.963	45506.848	30799.963	32345.504	2796.4949	40679.746	31138.959	1000.0	1000.0	83999	4653.78	829.11566	7313.7983	3468.2942	4653.7783	829.1014	7266.702	3104.504	-4661.5083	2529.6052	1224.9337928295135
22	30774.652	54.82568	30859.012	30718.637	31300.312	142.5656	31648.27	31126.02	1000.0	1000.0	87999	4781.996	856.224	8353.858	3080.9592	4782.009	856.16345	7992.9707	3180.6382	-4788.71	2879.387	1284.9344689846039
23	34710.742	6641.8975	46214.797	30859.475	32400.469	2205.815	38574.32	31101.588	1000.0	1000.0	91999	4910.247	884.8992	7605.1147	3069.9546	4910.2334	884.91925	7571.899	3488.9492	-4916.653	2851.8054	1344.9798710346222
24	34417.53	6390.104	45485.484	30708.44	31531.4	515.7093	32918.11	31133.031	1000.0	1000.0	95999	5029.9067	910.3552	7679.802	3510.5635	5029.9053	910.35834	8110.595	2988.012	-5034.96	2909.6194	1405.2213237285614
25	38084.63	7293.8145	45590.07	30740.836	31416.234	431.14697	32658.46	31140.191	1000.0	1000.0	99999	5161.0044	941.93665	8181.847	3433.0725	5161.0015	941.9194	7840.886	3090.2944	-5167.304	2838.4385	1465.0057256221771
26	30986.906	183.95346	31191.885	30752.555	31362.152	238.24599	31927.414	31171.053	1000.0	1000.0	103999	5290.915	972.57874	8128.2437	3102.0251	5290.9116	972.5433	8581.358	3535.8193	-5298.348	2939.3672	1525.2185368537903
27	30801.955	56.382877	30896.928	30748.87	31497.605	369.5178	32219.148	31163.973	1000.0	1000.0	107999	5386.799	992.53503	8558.522	2834.4927	5386.8047	992.52545	8414.12	3304.0808	-5391.823	3105.549	1585.6760284900665
