Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-25.465698	112.45264	81.644615	-211.3286	-17.42108	375.4061	623.95044	-848.9311	1000.0	1000.0	3999	24.302773	22.799538	146.55658	-29.204666	-29.265755	4.374677	30.26219630241394
2	-132.63042	74.70298	-38.087463	-225.05048	357.30392	177.26292	654.33484	2.7941606	1000.0	1000.0	7999	238.47997	135.41399	729.20435	-13.258013	-263.74057	67.92798	70.40402507781982
3	-53.998436	409.17694	342.82474	-707.945	-554.9533	298.23502	123.230385	-1063.0231	1000.0	1000.0	11999	972.78906	342.62747	2275.8428	293.1841	-1032.699	596.41254	112.40818452835083
4	238.05832	27.757666	271.8294	196.09062	111.76387	302.0485	489.42517	-494.7275	1000.0	1000.0	15999	1938.6893	294.70685	3260.8843	951.63525	-1994.8098	1388.4115	156.0538454055786
5	41.65194	53.28439	123.6706	-13.02186	-61.29757	160.78899	192.19025	-307.16498	1000.0	1000.0	19999	3013.08	568.79486	5650.7163	1630.3352	-3102.4915	2866.8152	199.72594094276428
6	-151.2668	299.30173	253.07426	-570.66437	36.858894	277.77115	516.95734	-534.63196	1000.0	1000.0	23999	3941.0227	506.49326	7354.3154	2816.261	-4013.7295	3540.1904	243.4019069671631
7	124.23822	123.43955	266.19595	-45.974518	9.582306	248.29857	414.08038	-375.7696	1000.0	1000.0	27999	4300.588	463.2752	7458.2363	3028.0696	-4338.046	2052.9885	287.23938632011414
8	-160.62114	203.22466	103.82043	-467.06833	8.591576	39.470947	90.29634	-26.09204	1000.0	1000.0	31999	4150.5547	340.8253	6582.017	3372.9648	-4182.9434	1437.4089	331.59866547584534
9	-0.44831848	137.3738	183.71623	-189.38924	-499.58575	300.17044	124.37432	-805.24133	1000.0	1000.0	35999	3929.6506	260.25235	5936.779	3374.9253	-3952.9456	987.3589	375.4501807689667
10	-271.39853	455.3433	308.66354	-968.23236	96.555534	135.62117	391.16302	-140.91434	1000.0	1000.0	39999	3579.2935	225.99083	4908.2744	3005.4292	-3594.841	673.335	419.1901550292969
