Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	36.41924	121.12248	239.84573	-79.62326	444.28802	167.95618	723.0119	269.28937	1000.0	1000.0	3999	17.045923	19.28904	168.18803	-12.800953	17.045208	19.287178	170.71501	-13.735457	1.2650846	4.72909	35.06999	-12.845171	-21.392038	8.391524	58.92286443710327
2	-99.97867	78.651215	10.625712	-180.03831	-149.45757	75.16992	-48.311615	-312.95743	1000.0	1000.0	7999	255.23526	167.50789	966.03125	-5.539938	255.23514	167.51251	960.55914	-2.9771333	14.112818	6.8801837	57.495914	-9.407608	-286.11386	371.01956	134.04380917549133
3	-106.94798	196.56653	212.5151	-309.32227	-60.361164	228.0225	430.05737	-371.07758	1000.0	1000.0	11999	1195.3232	426.79303	2566.2014	368.64627	1195.3351	426.80853	2596.3298	373.77908	27.525637	11.996939	222.26517	-7.411966	-1274.0433	4184.548	209.4871907234192
4	225.7817	263.79935	630.45233	-58.781925	-244.75069	154.48895	-60.900192	-530.72894	1000.0	1000.0	15999	2203.4165	279.91467	3294.409	1058.5319	2203.4236	279.82114	3240.49	1077.8164	28.221987	15.960552	258.17245	-9.246034	-2259.5835	5375.616	285.3007528781891
5	-268.51196	291.5834	162.6913	-567.1149	-23.958952	165.00195	343.45755	-264.04517	1000.0	1000.0	19999	2665.176	170.82599	4080.775	2100.5505	2665.1794	170.7319	4094.8735	2064.3127	22.77414	11.614731	139.49843	-9.147342	-2697.374	3819.2034	363.444548368454
6	80.10921	155.1	347.1354	-34.95034	66.37218	94.89387	160.10428	-174.16455	1000.0	1000.0	23999	2610.501	172.50096	3883.11	2099.729	2610.5022	172.48431	3866.9844	2062.8406	16.566381	8.798022	96.96752	-9.137061	-2625.4907	1738.4697	446.86626267433167
7	-71.337204	253.52557	147.07513	-499.5069	-110.68205	203.30159	125.12444	-615.3073	1000.0	1000.0	27999	2358.0146	151.22592	3195.3774	1944.7799	2358.0151	151.18748	3204.1687	1928.1454	11.762059	7.2516503	91.88315	-10.875307	-2364.8958	880.81635	532.6520440578461
8	84.39832	260.03384	387.3963	-175.62962	1.4654003	258.0283	575.4972	-495.47375	1000.0	1000.0	31999	2042.4163	127.525375	2663.3826	1632.5587	2042.4182	127.51742	2644.2412	1612.1393	9.565094	6.5543694	77.4888	-12.490218	-2045.6512	523.2108	616.2071354389191
9	118.22465	154.13942	359.52414	-68.145775	193.48448	206.08347	559.29297	-168.95885	1000.0	1000.0	35999	1730.3347	111.43497	2143.7493	1331.6691	1730.3339	111.432205	2142.6624	1346.1506	6.14589	5.4666877	59.92894	-13.997189	-1731.3514	300.61343	699.4296312332153
10	13.273947	174.90349	265.0374	-208.66116	19.482729	67.396194	143.85313	-110.526115	1000.0	1000.0	39999	1436.3466	98.03196	1960.1478	1145.2853	1436.348	98.030754	1959.84	1154.0756	3.6750562	4.5915604	52.807518	-16.643774	-1436.2142	161.8951	783.099771976471
11	53.158325	76.32952	165.95512	-43.567608	192.96936	145.23692	525.18665	26.426916	1000.0	1000.0	43999	1183.6184	79.54762	1540.2908	942.9484	1183.6188	79.53822	1534.8824	947.72906	2.0375683	4.0421653	48.793575	-14.157813	-1183.4797	84.5855	868.0206072330475
12	207.47467	79.24205	323.23178	117.83692	89.42887	62.520397	205.9855	28.888027	1000.0	1000.0	47999	977.12195	65.11652	1276.7638	762.5197	977.1224	65.11769	1269.3519	768.58997	1.1501081	3.7390852	44.682945	-13.480843	-977.07166	59.15678	951.5022819042206
13	106.35856	58.30683	171.18855	17.673828	1.3152714	149.89394	281.3154	-243.80087	1000.0	1000.0	51999	808.81506	52.448753	1059.826	641.57526	808.816	52.44139	1058.2316	645.5822	0.38485003	3.4788258	32.26454	-14.367287	-808.88513	41.246296	1035.3560588359833
14	177.80719	27.839975	223.11162	149.69102	21.510796	169.71402	316.38943	-325.2307	1000.0	1000.0	55999	670.83124	42.93528	893.6339	526.0028	670.8313	42.926315	890.88605	528.08575	-0.3355981	3.1578598	30.990664	-15.907507	-671.0142	31.170593	1119.0927646160126
15	251.51865	71.321815	368.57947	187.6154	60.28241	25.470009	87.017876	11.0963545	1000.0	1000.0	59999	559.10864	36.68784	740.3683	429.70563	559.1091	36.682785	743.91235	425.96927	-0.5857339	3.088955	28.031675	-12.504127	-559.4145	24.97018	1203.6006453037262
16	138.41644	102.96129	232.08685	-30.43336	220.65247	174.37866	455.53436	33.54911	1000.0	1000.0	63999	468.69125	32.806908	657.36774	347.09497	468.69177	32.800377	654.3972	342.61423	-0.89040214	2.9811573	32.55684	-14.005885	-469.06128	20.709152	1287.5219042301178
17	187.94986	80.31095	312.40744	90.80312	173.00134	133.85455	413.62643	-14.326781	1000.0	1000.0	67999	394.57843	30.533667	574.2551	284.97498	394.57855	30.52935	570.94214	284.88617	-1.2463396	2.8064291	26.237186	-13.7267475	-394.93802	18.014427	1371.3393850326538
18	133.66058	50.033047	194.531	67.29098	125.056656	98.03221	320.0316	-14.272369	1000.0	1000.0	71999	334.0754	28.865273	512.7285	228.49437	334.07547	28.858812	509.5595	233.2683	-1.4525056	2.7150073	25.703138	-12.590222	-334.48007	16.444813	1455.0848104953766
19	281.15833	132.81635	503.5548	162.14401	105.33541	42.93199	211.09175	48.718056	1000.0	1000.0	75999	284.9757	27.697685	471.54974	179.70537	284.97653	27.691721	476.51685	175.7702	-1.5542886	2.6581302	27.248652	-13.187258	-285.38074	15.426873	1540.1503567695618
20	260.81763	264.4449	575.4231	-8.320271	277.51593	139.16647	534.8231	18.802258	1000.0	1000.0	79999	244.27754	27.534353	462.3047	145.26367	244.27785	27.529642	460.81674	147.2033	-1.689501	2.5608482	27.96014	-14.7052145	-244.66171	14.784023	1623.5364394187927
21	376.82666	157.1177	575.6197	151.80058	260.38177	108.91421	484.50653	171.89926	1000.0	1000.0	83999	211.00136	27.907335	462.79044	108.05121	211.00092	27.907196	430.69498	110.959045	-1.72536	2.5803337	28.915413	-18.707588	-211.36261	15.27554	1706.2705514431
22	279.39026	153.02776	541.2152	154.67569	335.56622	106.022545	426.38797	159.41685	1000.0	1000.0	87999	183.88686	27.278196	393.5916	93.66441	183.88712	27.278416	394.21506	96.51048	-1.7655612	2.5473335	24.460426	-13.146275	-184.28671	14.283466	1788.9417116641998
23	264.2719	98.55723	401.39767	141.0694	393.93854	10.231554	405.5591	372.51004	1000.0	1000.0	91999	162.16777	27.100452	398.9358	71.11292	162.16776	27.100927	385.86182	72.52941	-1.8343917	2.5418751	23.961628	-13.748398	-162.61247	13.410668	1872.2968192100525
24	426.11426	36.007763	485.33185	392.07687	48.263184	112.05425	117.49354	-264.694	1000.0	1000.0	95999	144.64697	27.80505	367.88702	53.553574	144.64694	27.804358	374.27042	59.806187	-1.7841828	2.5622735	22.244873	-12.498429	-145.11382	13.452562	1956.546410560608
25	290.10205	180.06819	548.9805	52.531136	163.27176	35.39769	211.33615	82.051094	1000.0	1000.0	99999	130.60863	29.489538	346.37973	51.209984	130.60881	29.490664	353.2172	52.259075	-1.761645	2.6201842	30.105188	-12.062113	-131.08073	13.510646	2040.0011928081512
26	443.6948	154.12689	572.6587	180.34364	418.95547	13.540574	449.79175	402.1043	1000.0	1000.0	103999	119.10355	31.139389	348.01492	33.523632	119.10368	31.138708	338.89862	33.160297	-1.8695803	2.5763025	25.6266	-14.603644	-119.55885	13.552805	2123.5725474357605
27	408.54553	48.843216	473.5944	357.70303	369.24146	7.291894	379.24	357.98328	1000.0	1000.0	107999	109.81719	32.509983	341.70084	32.95399	109.81761	32.510094	340.4978	34.67669	-1.9173065	2.5651705	25.786451	-14.172335	-110.2594	13.526917	2206.6432383060455
28	388.08557	30.99558	424.4041	342.81378	353.1444	4.594532	359.38406	346.68674	1000.0	1000.0	111999	101.74996	33.627224	336.59808	12.371153	101.74969	33.62465	330.8872	13.843733	-1.9396155	2.5357146	26.02392	-12.928667	-102.212654	13.001807	2291.3127195835114
29	431.97272	50.080154	498.48798	357.56122	345.2763	23.60798	393.32233	321.2354	1000.0	1000.0	115999	95.43567	34.436337	335.1359	-8.2909355	95.43661	34.434727	332.94342	-4.6623945	-1.9286113	2.5339189	23.830105	-12.078737	-95.89498	12.615082	2373.967469215393
30	426.65503	76.12764	537.56604	322.78812	421.71597	103.03209	611.9653	238.90039	1000.0	1000.0	119999	90.60022	34.92968	342.79257	-10.916216	90.60013	34.927444	342.26062	-8.920689	-1.9607521	2.5493972	27.776026	-13.565005	-91.07349	12.093869	2457.7628979682922
31	356.2386	134.40465	466.86923	127.02377	386.52313	49.788723	528.4151	340.8322	1000.0	1000.0	123999	87.21112	35.18833	327.06042	-24.35293	87.21174	35.188217	329.18063	-20.482494	-1.9421929	2.5520036	23.373867	-12.469864	-87.71337	11.932429	2540.3759191036224
32	457.81268	34.979736	505.67926	409.13483	358.95752	28.301905	431.89786	332.46512	1000.0	1000.0	127999	84.94975	35.59947	345.18124	-15.2844925	84.95002	35.598015	353.70502	-21.430197	-1.9749054	2.566375	24.201365	-12.470779	-85.4632	11.761073	2625.171465396881
33	455.91705	86.88826	598.2003	380.51562	377.7842	9.944824	394.87338	357.61124	1000.0	1000.0	131999	83.51033	36.1174	367.57062	-36.848812	83.51108	36.11605	364.87955	-38.297535	-2.0326838	2.5661154	22.88111	-13.708477	-84.01689	11.711463	2708.8596680164337
34	384.2532	123.396	526.6422	186.88538	415.09912	9.289512	436.13733	399.07266	1000.0	1000.0	135999	82.47321	36.584812	354.64743	-31.786642	82.47386	36.581375	351.99744	-30.912148	-2.033497	2.5624526	26.614223	-14.322847	-82.99174	11.200149	2791.7415251731873
35	464.12457	45.959824	535.0931	407.0214	295.652	88.73975	550.5797	225.04915	1000.0	1000.0	139999	81.33421	36.070633	345.11658	-23.052904	81.33434	36.06878	333.24973	-23.607689	-2.093371	2.475507	27.24338	-12.324944	-81.82779	10.599111	2874.4992763996124
36	508.05093	48.766453	581.52576	448.11017	236.64938	108.544075	443.90598	73.43506	1000.0	1000.0	143999	80.66455	35.625698	345.79196	-24.810966	80.66515	35.62362	348.40353	-23.955366	-2.111737	2.4679532	23.680298	-14.018007	-81.16948	10.024388	2958.222629070282
37	534.5648	79.261604	631.8812	450.45416	434.54706	112.472115	765.44135	368.2799	1000.0	1000.0	147999	80.033295	35.236626	331.55508	-26.47748	80.03369	35.23626	326.47382	-27.817286	-2.1491735	2.4367628	24.125134	-14.160654	-80.53516	9.563713	3041.5795419216156
38	501.73608	48.018795	575.89844	443.9363	404.3015	107.77542	574.75006	194.3321	1000.0	1000.0	151999	80.11598	35.19893	344.89587	-19.566998	80.1166	35.19678	344.12573	-18.370275	-2.1707	2.4201286	27.147106	-12.458093	-80.616325	9.489133	3125.4512746334076
39	524.77673	37.794903	583.0512	487.97183	543.01465	10.343733	563.933	527.68134	1000.0	1000.0	155999	79.910614	35.187763	352.51474	-9.686442	79.91071	35.186382	348.74918	-15.790343	-2.1645117	2.4188416	22.691423	-14.788928	-80.423546	9.521487	3208.62176656723
40	561.0709	94.109146	714.31683	458.07538	616.6708	13.642975	637.79456	588.58844	1000.0	1000.0	159999	80.09962	35.29491	352.47433	-16.429478	80.10047	35.292835	361.97928	-12.432707	-2.184234	2.4017158	25.449558	-12.788334	-80.60623	9.512045	3292.3996279239655
41	589.4926	38.861855	629.18604	548.64197	375.9086	19.572294	423.46042	348.0222	1000.0	1000.0	163999	80.43128	35.31773	339.14084	-14.679628	80.43173	35.31682	337.98615	-11.257483	-2.1530905	2.404557	31.00093	-13.576726	-80.961784	9.208045	3374.9969663619995
42	530.5934	49.944717	567.7599	445.20877	533.08997	90.08146	601.7743	391.61655	1000.0	1000.0	167999	80.74547	35.226665	340.88208	-17.690353	80.746284	35.22446	341.78125	-19.876335	-2.1881938	2.3914921	23.801907	-12.936189	-81.265	8.876944	3458.1137471199036
