Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-67.759514	119.009766	18.591675	-270.30182	85.16292	248.86423	398.76132	-248.73445	1000.0	1000.0	3999	2.9673467	6.268405	49.573074	-16.439602	2.967059	6.267534	49.364502	-17.215607	-5.2372456	1.2506968	36.42611789703369
2	17.438217	186.18448	321.408	-160.78632	-52.5495	186.27023	356.2137	-399.05145	1000.0	1000.0	7999	38.171513	26.201645	195.43709	-13.274785	38.17344	26.197754	202.97243	-14.585799	-47.724915	23.081999	80.89480638504028
3	-18.343348	112.57245	97.893684	-170.97151	-18.316986	81.52453	79.500206	-232.02364	1000.0	1000.0	11999	121.11039	44.590244	429.62677	5.2924047	121.11609	44.577038	410.39157	8.7728815	-136.23547	76.3713	127.02620959281921
4	42.582535	57.139965	128.6055	-26.725544	319.68774	546.97235	1582.1798	-354.56616	1000.0	1000.0	15999	185.48276	37.20139	389.8728	67.81571	185.48611	37.177235	391.159	66.748436	-194.41028	74.15745	174.7712824344635
5	119.00997	388.85767	646.5881	-273.1767	325.57455	277.39972	813.82794	-183.03366	1000.0	1000.0	19999	235.42133	51.20632	589.1717	97.64819	235.42444	51.201324	585.81384	99.77706	-250.87173	106.78344	222.48945307731628
6	132.33673	263.2613	469.89658	-233.15878	157.67535	329.6403	848.9255	-327.962	1000.0	1000.0	23999	288.32144	62.059586	654.1387	115.52984	288.32312	62.062786	651.6685	121.01947	-300.40732	96.38347	270.1423897743225
7	195.5415	224.28824	523.5833	-23.86526	265.27887	203.91792	715.34424	8.4782095	1000.0	1000.0	27999	308.65985	62.58496	645.9378	182.74338	308.6623	62.584953	650.7334	188.62372	-317.8514	74.246574	317.869505405426
8	115.545876	247.1073	538.9105	-83.80179	89.372826	120.58616	285.56564	-68.25718	1000.0	1000.0	31999	326.21198	86.32703	942.22015	186.31795	326.21686	86.3191	941.2843	186.8707	-333.2306	76.85198	365.4726371765137
9	207.69435	311.8002	547.02374	-165.09224	-10.352591	206.00691	400.21735	-286.86093	1000.0	1000.0	35999	333.88315	115.41599	913.4211	191.277	333.8853	115.40953	908.4202	192.55293	-338.8809	63.374214	412.92991828918457
10	121.32987	167.2063	347.65057	-43.85604	179.3674	145.02095	449.1693	13.295162	1000.0	1000.0	39999	320.69327	113.01086	904.68567	178.56937	320.69495	113.00808	904.4578	179.82129	-324.88168	51.671017	460.37650632858276
11	42.41007	13.313736	59.49448	22.344995	414.831	341.23816	860.5547	-173.07338	1000.0	1000.0	43999	297.5131	98.56697	807.47833	167.82462	297.51395	98.5652	800.42194	172.7856	-301.26224	44.37391	507.92803025245667
12	101.46343	102.22543	206.26054	-43.943962	61.439575	212.46819	459.60464	-211.25723	1000.0	1000.0	47999	279.40085	89.7059	741.1726	158.11674	279.40225	89.70672	731.0399	157.26076	-282.29785	39.010727	555.6578567028046
13	-41.261578	175.9322	263.1429	-155.79051	238.39204	151.43575	430.9265	-49.63164	1000.0	1000.0	51999	256.09637	81.45283	671.7399	142.04192	256.0969	81.45489	683.3311	142.90001	-258.93222	37.95615	603.4488835334778
14	259.32196	307.19922	754.4814	-67.71224	413.6518	236.19594	772.2241	104.57083	1000.0	1000.0	55999	232.33813	71.37272	610.15155	126.68087	232.33813	71.374214	620.4628	123.294266	-235.01416	36.391235	651.0889930725098
15	110.820885	197.43205	355.39377	-156.77287	94.85164	302.6522	664.15137	-263.9127	1000.0	1000.0	59999	210.6812	62.48722	545.72034	108.350464	210.68118	62.49105	549.5236	107.77777	-213.18677	33.545086	698.7552585601807
