Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
1	-321.91602	32.320255	-266.6694	-345.52722	972.4095	10.888414	993.779	957.1849	1000.0	1000.0	3999	2.2289238	2.229271	-2.749818	0.50262713	0.26050037	0.017898977	0.30112666	0.21386607	1.072114	0.16534765	1.462913	0.83792794	80.51002144813538
2	-374.03497	42.703228	-314.127	-434.7361	1002.0202	4.0930223	1010.03546	996.3301	1000.0	1000.0	7999	12.602497	12.60248	-13.281349	1.0583286	0.26994818	0.00811137	0.31162292	0.24369001	1.1513745	0.03332828	1.2184087	1.0831299	182.6840579509735
3	337.57385	656.399	996.4249	-334.59177	987.7303	2.92888	991.2693	981.71606	1000.0	1000.0	11999	22.285152	22.28524	-22.861853	1.3103195	0.27641314	0.011294162	0.32362476	0.2455079	1.2239951	0.041300062	1.3130744	1.1359276	285.4621229171753
4	990.1614	1.6237864	992.81085	988.396	987.4959	2.2025876	990.9413	984.1836	1000.0	1000.0	15999	30.440607	30.44078	-30.672754	0.8885598	0.29844168	0.011161358	0.352606	0.2638626	1.2457387	0.0306164	1.3093573	1.1805662	390.9495749473572
5	982.7486	6.6488614	991.266	974.8579	976.92706	4.3601117	982.05304	967.8321	1000.0	1000.0	19999	37.360046	37.360283	-37.370533	0.92202723	0.317365	0.019453663	0.4016166	0.26815578	1.2382158	0.056632496	1.3424121	1.0430391	495.37378215789795
6	987.6875	4.3946276	994.64874	982.8688	1004.5316	11.050904	1017.55914	984.2981	1000.0	1000.0	23999	43.71115	43.71102	-43.684746	0.77259356	0.33914882	0.0156105505	0.4000433	0.28372377	0.9414211	0.053338528	1.0613079	0.8411568	600.3427202701569
7	1009.5333	7.3207936	1017.4492	999.56665	988.6234	15.078496	1012.22784	961.33057	1000.0	1000.0	27999	49.13985	49.13972	-49.06271	0.75294995	0.34009528	0.017570712	0.40999928	0.27998066	0.84968984	0.032956615	0.9257997	0.77241015	704.9421479701996
8	1000.6459	10.205274	1011.02783	985.5212	983.404	6.4763794	992.42035	968.66437	1000.0	1000.0	31999	53.89044	53.890507	-53.7581	0.7396635	0.33963412	0.019926889	0.42800963	0.28291675	0.85344106	0.030160237	0.9301978	0.7928666	808.8415796756744
9	993.2494	4.892905	1001.02106	988.1902	978.5407	5.793903	988.0509	966.3524	1000.0	1000.0	35999	58.118504	58.11847	-57.968147	0.7298374	0.34006697	0.02235665	0.43320647	0.27748126	0.80992424	0.034829676	0.89060056	0.7173081	913.4211483001709
10	991.4472	3.620872	995.70526	986.96857	988.34247	2.1290705	991.50305	984.7139	1000.0	1000.0	39999	61.85321	61.853153	-61.666534	0.710575	0.34023693	0.027099773	0.4710196	0.27519578	0.8484401	0.03851754	0.9785342	0.7702566	1016.7736420631409
11	993.77075	8.751253	1007.00635	983.253	988.5876	1.42716	990.6122	985.60394	1000.0	1000.0	43999	65.16848	65.168365	-64.97268	0.7122954	0.3403159	0.031084826	0.54680175	0.26724377	0.8220821	0.039976	0.9203258	0.73885965	1112.8961653709412
12	994.09235	1.2047043	994.94	992.02783	979.3207	2.4850273	983.0433	975.86444	1000.0	1000.0	47999	67.93053	67.930565	-67.709564	0.70954543	0.33902287	0.036958367	0.643661	0.25594044	0.85842997	0.04502106	0.9686172	0.75846046	1201.7059144973755
13	995.39716	5.866366	1001.44086	986.22095	982.2875	2.8226945	986.0656	976.98004	1000.0	1000.0	51999	70.437805	70.43778	-70.217964	0.7294365	0.3412249	0.03757329	0.5270724	0.25835386	0.8245082	0.057928115	0.9512342	0.70139545	1303.3054358959198
14	994.2102	6.559736	1003.0502	986.75116	1008.8213	14.066405	1044.5665	993.2742	1000.0	1000.0	55999	72.52422	72.52424	-72.302155	0.7558825	0.33864856	0.041058697	0.54328173	0.26064432	0.8353198	0.0778701	1.0918351	0.6939432	1408.7659690380096
15	996.8498	8.383399	1005.0598	983.948	991.33563	4.2423487	999.2441	987.3226	1000.0	1000.0	59999	74.481346	74.48123	-74.24268	0.76135826	0.3411726	0.036963	0.54037493	0.26259091	0.8500881	0.09302708	1.0602542	0.6797833	1513.388726234436
16	991.2825	3.5558772	996.44086	987.8801	994.1919	5.739851	1002.1949	983.43964	1000.0	1000.0	63999	76.19846	76.19852	-75.936485	0.7461407	0.34041536	0.038018137	0.49225336	0.25574288	0.8934106	0.076028794	1.042843	0.74376833	1618.098135471344
17	994.8462	8.732417	1007.14844	982.5078	985.2658	3.6412308	990.67114	979.50555	1000.0	1000.0	67999	77.72768	77.72753	-77.48767	0.69868666	0.34083557	0.04446197	0.64827126	0.2566242	0.8552473	0.05588133	0.9862927	0.76222205	1722.6510918140411
18	1018.71564	6.0052233	1026.5758	1009.9993	996.3856	2.7802455	1002.1563	993.2697	1000.0	1000.0	71999	79.07163	79.07163	-78.826096	0.7418988	0.33757386	0.04901665	0.5789455	0.25081408	0.86880606	0.06554567	1.0026854	0.7418425	1827.7915830612183
19	991.57074	27.146564	1013.861	945.8925	1001.8416	6.129853	1013.44	993.2627	1000.0	1000.0	75999	80.29256	80.29239	-80.036934	0.80758756	0.34161535	0.049764868	0.81523436	0.25187078	0.86914974	0.051360358	0.9798317	0.74658966	1932.481868505478
20	1008.6925	16.141737	1031.5143	993.1957	998.87775	4.631745	1005.5246	989.22736	1000.0	1000.0	79999	81.37641	81.37622	-81.1045	0.94509923	0.34226513	0.055768855	0.9660247	0.24355888	0.8949672	0.115022585	1.2602704	0.7217447	2037.0528223514557
21	1021.23956	17.863548	1051.376	1004.807	990.7711	1.9010749	992.5845	986.86224	1000.0	1000.0	83999	82.2265	82.22608	-81.90944	1.398843	0.34469536	0.05846706	0.6662	0.2420782	1.0371351	0.10149102	1.3563392	0.8396942	2142.199479341507
22	801.2479	133.83997	946.7703	634.9182	724.28143	139.6181	891.21344	428.86783	1000.0	1000.0	87999	85.36451	85.36389	-85.05645	7.1626115	0.63775194	0.3255526	2.3560927	0.27991167	1.4696114	0.19951533	2.132262	1.1683663	2247.0460028648376
