Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-335.719	37.12103	-286.66345	-387.31244	980.2463	4.5712185	990.6785	972.39905	1000.0	1000.0	3999	1.3899196	3.055633	25.669348	-20.056347	1.3897027	3.0544662	25.5764	-19.489552	-1.7601256	0.64150393	0.2740412	0.029830053	0.35709155	0.21680787	0.31736097	0.25628415	0.9990005	0.050695837	109.31795978546143
2	-360.59412	93.68769	-237.94632	-494.83508	983.2202	10.933073	1015.4289	975.7959	1000.0	1000.0	7999	9.662718	5.984414	48.17096	-20.615524	9.662919	5.9844747	48.17922	-18.716589	-10.22613	1.4557691	0.34938172	0.02230346	0.42854574	0.29004318	0.014383836	0.011548473	0.050645646	0.006702135	247.83124589920044
3	314.9453	643.6234	964.0031	-341.93698	989.14246	6.6659403	998.13965	974.3027	1000.0	1000.0	11999	18.50817	8.696312	74.87124	-21.57934	18.508308	8.696759	73.56358	-25.5967	-18.984762	1.601948	0.38574016	0.018831603	0.471571	0.32278973	0.006737106	1.3295728e-06	0.006740354	0.006731421	387.12619853019714
4	983.31433	5.2150626	989.4496	975.3096	979.7289	2.9651623	985.87695	975.1211	1000.0	1000.0	15999	26.565962	9.994142	82.98556	-18.191372	26.566298	9.994816	82.71868	-19.619728	-26.703333	1.235841	0.4002335	0.019470964	0.48074308	0.33497518	0.0067370078	1.4543257e-06	0.0067407205	0.006731225	534.0773346424103
5	984.4791	2.1402714	986.4058	980.9895	992.042	11.743582	1009.49286	970.2224	1000.0	1000.0	19999	33.687923	11.470574	88.41996	-12.780734	33.687916	11.470664	85.739296	-12.275426	-33.664024	0.98619324	0.39450526	0.020841023	0.4791246	0.32601762	0.0067370385	1.4031214e-06	0.0067405277	0.006731261	675.860356092453
6	997.9451	9.019271	1009.6436	987.691	991.5121	5.1850395	999.55383	985.02954	1000.0	1000.0	23999	40.119114	13.180615	92.61667	-8.336736	40.119213	13.18063	90.25874	-14.8799095	-40.00348	0.8431957	0.36690667	0.01809413	0.43307215	0.306194	0.006737026	1.4221295e-06	0.006740235	0.006733174	817.3035101890564
7	1011.4094	2.728743	1013.0049	1006.6832	1008.4459	7.3137627	1019.69543	998.9186	1000.0	1000.0	27999	45.835476	14.873621	93.24375	-8.039725	45.835625	14.873313	90.40728	-7.9263124	-45.670124	0.79730225	0.3543702	0.017355664	0.42188346	0.30373764	0.006736963	1.4660524e-06	0.0067401836	0.006733187	961.6239650249481
8	1006.3778	14.000801	1025.0199	988.4016	1012.73645	7.5790105	1027.2928	1003.5131	1000.0	1000.0	31999	51.0577	16.492956	93.14196	-6.1913643	51.057755	16.492897	93.49331	-8.038511	-50.853233	0.753151	0.34651324	0.019266557	0.43347332	0.29536295	0.006737031	1.3926564e-06	0.006740177	0.006733136	1102.890171289444
9	1002.9967	5.689416	1011.90497	996.43414	1009.23376	23.566196	1047.1093	990.95026	1000.0	1000.0	35999	55.61263	18.025534	96.99154	-9.126081	55.61259	18.025581	96.735954	-5.43981	-55.387444	0.7557499	0.34260768	0.01920414	0.41713396	0.2844472	0.0067370203	1.3517653e-06	0.006739817	0.006733126	1244.3504858016968
10	1010.5862	13.363264	1025.8732	995.00836	997.04065	6.363032	1007.07654	988.849	1000.0	1000.0	39999	59.65865	19.412888	102.2654	-5.299241	59.658684	19.412642	100.69236	-6.354316	-59.4159	0.7584375	0.33523414	0.021234822	0.4207415	0.27573064	0.0067370087	1.3918782e-06	0.006740187	0.006733129	1384.8467829227448
