Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-328.15082	35.964886	-290.84058	-364.1633	2.2393646	260.59354	478.62134	-295.5766	1000.0	1000.0	3999	3.8054643	3.935017	23.002022	-19.644789	3.8060155	3.934795	23.964296	-16.274036	-4.9398365	0.38239136	1.6907119	0.49335513	4.0092444	0.22250201	2.4509706	0.8692356	3.4317212	2.2500778e-07	66.13957214355469
2	-349.04825	12.095915	-329.9176	-363.37906	54.688683	251.18227	364.616	-412.87537	1000.0	1000.0	7999	18.398138	4.9236894	41.01081	-8.541976	18.39786	4.9224977	41.073307	-8.523956	-19.662434	0.57631236	1.6232551	0.11009742	1.9722322	1.2211728	2.955974	0.11543965	3.3524852	2.4810834	133.44181489944458
3	-103.06146	358.00238	388.32068	-535.97076	404.6303	70.60384	526.94635	295.53632	1000.0	1000.0	11999	30.96637	4.349366	55.393692	9.861626	30.966305	4.3482733	54.47508	9.114864	-32.06722	1.1342	1.6124694	0.117773555	2.072087	1.1462126	2.8681571	0.24154806	3.541575	2.2248788	224.7970314025879
4	414.2248	24.757404	451.1899	386.34967	460.41806	133.37321	594.3838	139.86008	1000.0	1000.0	15999	36.87617	3.5010066	59.093758	8.610472	36.876396	3.4964108	59.814384	10.593385	-37.55816	1.4310237	1.583061	0.104937665	2.0163066	1.2288761	2.3292673	0.13545948	2.761223	1.9084495	316.95705938339233
5	393.38947	67.87508	461.9405	310.42465	475.4091	94.71484	625.4432	341.94162	1000.0	1000.0	19999	39.660694	3.5888221	62.357372	8.990166	39.66072	3.5850787	62.243565	8.125606	-40.183834	1.6774559	1.594267	0.09922842	1.9845259	1.2196248	2.1770148	0.10115262	2.5453904	1.85452	407.76996397972107
6	505.60272	135.27245	668.389	297.7809	491.71393	56.82434	555.07733	375.97433	1000.0	1000.0	23999	42.024776	4.0129337	63.294586	7.8083897	42.02479	4.0099416	65.78752	6.6186643	-42.480873	1.7984176	1.5778253	0.094747834	1.9098581	1.2476941	2.1913629	0.10169399	2.5463889	1.7855221	503.6710739135742
7	565.0201	17.644386	587.4616	540.2727	561.0369	64.21966	648.11584	427.35715	1000.0	1000.0	27999	44.6301	4.381019	66.61965	8.636435	44.630024	4.3785152	67.87048	4.5948668	-45.04593	1.9024967	1.571492	0.09243752	1.8934395	1.2178509	2.2450416	0.10322949	2.6897247	1.9297426	603.313001871109
8	584.9293	22.00649	608.0523	550.6962	539.5265	102.14767	612.9957	339.72583	1000.0	1000.0	31999	47.19291	4.274798	73.840164	11.864752	47.19297	4.2719784	72.50914	9.375628	-47.562508	1.8901	1.5536152	0.088537835	1.8626038	1.2116046	2.2421849	0.10417874	2.6221557	1.8509113	697.1553251743317
9	577.3035	97.64506	667.5843	423.68143	539.7091	124.3814	672.643	262.08832	1000.0	1000.0	35999	49.499195	4.258715	76.70607	12.822868	49.49898	4.257945	75.742714	15.367506	-49.837917	2.0392933	1.5217656	0.0900176	1.8398149	1.2109635	2.2663448	0.103301525	2.7534564	1.9103483	796.5083076953888
10	520.98004	142.94713	651.96484	282.73364	525.47766	104.422165	628.80096	315.33682	1000.0	1000.0	39999	51.521595	4.438566	78.78381	19.199015	51.521404	4.4382186	77.819824	19.665808	-51.83471	2.0866418	1.5033339	0.08579767	1.8778942	1.2091842	2.286625	0.10717852	2.6759257	1.8714046	885.6933326721191
11	701.6971	37.075653	741.0447	652.26526	645.82605	64.261734	743.88	518.3272	1000.0	1000.0	43999	53.21632	4.853919	80.24832	19.826965	53.2164	4.85401	80.48583	19.223211	-53.50604	2.1611075	1.4734409	0.08488969	1.7618752	1.1403689	2.3012886	0.10837909	2.6736395	1.9663032	982.1588666439056
12	690.9198	53.676228	744.65594	601.58716	629.1295	119.57351	751.8039	333.8742	1000.0	1000.0	47999	54.83841	5.195678	84.92513	18.375332	54.838036	5.19676	84.79068	18.917938	-55.109356	2.1107204	1.4567177	0.08328605	1.7656779	1.1986446	2.296042	0.11250361	2.7191455	1.9386251	1073.5590028762817
13	690.6065	13.565113	713.92206	680.9201	417.0416	433.2944	718.3865	-545.83844	1000.0	1000.0	51999	56.62647	5.66581	88.999916	19.391132	56.626335	5.6654944	90.70733	20.988667	-56.894493	2.1661339	1.44678	0.08182693	1.7370042	1.1643726	2.329682	0.11644271	2.7136874	1.9597176	1163.1021029949188
14	712.63794	44.439014	776.7504	666.9367	664.0226	164.64182	764.0871	182.59227	1000.0	1000.0	55999	58.20561	5.9650073	92.03885	23.868301	58.205624	5.9636536	93.84949	22.10143	-58.465286	2.0919576	1.4192675	0.08038881	1.7722485	1.1480252	2.3378024	0.11889671	2.7620776	1.9470761	1255.4858112335205
15	579.20654	178.91495	784.4234	379.9789	717.036	84.40351	806.9354	514.5806	1000.0	1000.0	59999	59.6436	6.4228067	94.35582	24.091177	59.643425	6.4232693	92.72403	24.667849	-59.880188	2.2989125	1.3921111	0.079209246	1.7723973	1.1330701	2.3289075	0.118303	2.770896	1.9459672	1349.4581625461578
16	640.52673	62.304935	727.28564	563.3318	692.9543	60.004025	789.653	602.12756	1000.0	1000.0	63999	60.8153	6.813855	94.11772	24.64793	60.815216	6.8148646	94.0054	25.06106	-61.03967	2.410455	1.3871423	0.07716571	1.6799691	1.1173657	2.3319798	0.122263744	2.8173797	1.8838083	1441.9399104118347
17	498.68585	372.46515	765.987	-141.30447	712.55426	26.601442	765.8129	656.396	1000.0	1000.0	67999	61.76951	6.9131165	96.55172	21.536499	61.769634	6.9124713	97.44278	23.350521	-61.983555	2.4741163	1.3811328	0.07636249	1.6296394	1.1382867	2.337591	0.12343084	2.8148363	1.8838894	1534.2099933624268
18	694.95886	42.40581	752.49854	645.3436	748.2942	65.533104	839.8878	620.483	1000.0	1000.0	71999	62.455845	7.3492346	97.785736	23.102657	62.455746	7.348917	97.98341	23.21718	-62.661057	2.482573	1.3630992	0.07702473	1.6633415	1.0946002	2.328747	0.12445674	2.8024406	1.8997357	1627.5628943443298
19	757.36365	65.18307	816.3842	650.90735	789.6715	28.735815	841.7903	739.7419	1000.0	1000.0	75999	63.14007	7.5793066	99.25609	21.082678	63.140137	7.5778146	100.56838	22.013023	-63.346714	2.5483239	1.342957	0.07268117	1.5861454	1.1041211	2.3547754	0.12890199	2.8667984	1.8732132	1718.0234923362732
20	756.3749	32.947723	806.0197	721.8675	732.29224	88.99554	838.84686	492.6015	1000.0	1000.0	79999	64.03889	7.6290956	101.03815	23.019302	64.03885	7.6282887	100.62629	24.166092	-64.24024	2.5780668	1.3321301	0.07229447	1.575965	1.0941908	2.3534102	0.13048117	2.8749523	1.9086441	1807.5746989250183
21	831.5035	32.552673	871.4746	780.69055	738.5357	38.27991	805.0326	694.903	1000.0	1000.0	83999	64.92613	7.698629	102.05317	24.407513	64.92619	7.6975484	101.41204	24.66475	-65.123764	2.50661	1.3172668	0.074846655	1.6052043	1.0449216	2.3401382	0.13274886	2.8437176	1.7730153	1899.8584351539612
22	793.4376	6.9016695	805.2472	788.0868	745.66785	60.035603	895.8328	677.63495	1000.0	1000.0	87999	65.890884	7.8241973	102.15687	28.633003	65.89086	7.823652	104.161606	28.021917	-66.08498	2.410439	1.301663	0.07410035	1.5480077	1.0054969	2.3345785	0.13083702	2.8089068	1.926657	1988.5187554359436
