Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	-324.62115	44.88598	-248.26013	-360.5031	-27.999918	215.4899	190.24966	-454.89716	1000.0	1000.0	3999	4.036528	4.377398	29.48878	-8.41844	4.03661	4.377403	29.394274	-9.266094	-5.2257648	0.5049328	1.781004	0.63817656	4.0192776	0.22728011	2.5902994	0.9632793	3.971352	1.4408666e-07	75.5175473690033	0.0
2	-319.74396	25.082264	-284.8546	-350.3031	46.88783	67.16453	163.05577	-81.6207	1000.0	1000.0	7999	22.23448	7.6345954	63.38603	-1.3628452	22.23427	7.6353335	64.221016	-1.2168589	-23.78487	1.1618305	1.9806787	0.10649138	2.328985	1.6173544	3.4186325	0.14988409	4.0236173	2.9405506	166.5340051651001	0.0
3	-75.74592	257.71054	278.37485	-350.74945	289.31433	62.518417	382.61926	177.7417	1000.0	1000.0	11999	39.16663	8.925773	82.70343	15.662144	39.166584	8.927034	83.23588	15.58656	-40.464954	1.7687203	1.8907193	0.12901539	2.29887	1.4352137	3.3089085	0.32478362	4.058359	2.389192	261.712349653244	0.0
4	333.1966	55.787395	401.75012	251.05171	259.46716	132.06203	418.87256	-31.498093	1000.0	1000.0	15999	44.45718	8.771114	86.874504	25.999454	44.45723	8.772377	87.372444	26.198938	-45.100876	2.0449543	1.7338303	0.10355104	2.0836914	1.368508	2.431121	0.14225586	3.010056	1.9995172	349.82367396354675	0.0
5	406.27783	72.2246	451.90265	281.3283	307.28015	103.657326	455.68198	111.828896	1000.0	1000.0	19999	45.25229	8.683275	84.73976	25.383821	45.252426	8.683917	88.630844	25.00626	-45.76121	2.013845	1.7086447	0.09524045	2.1345875	1.3549447	2.2587638	0.10518804	2.6564713	1.936043	436.6519031524658	0.0
6	437.3887	20.432983	469.24747	418.9149	476.75385	72.11077	563.24744	295.9841	1000.0	1000.0	23999	45.83124	8.225951	84.4958	23.115461	45.83125	8.227024	85.22858	22.030323	-46.275993	2.0239148	1.6376655	0.095116846	1.9761899	1.3000724	2.2117736	0.101414725	2.6796865	1.91872	524.7660481929779	0.0
7	378.0216	155.19104	607.292	173.62039	469.76465	128.95583	606.9931	111.093895	1000.0	1000.0	27999	46.793026	7.17341	83.64941	15.356699	46.79307	7.1750665	84.29057	17.219776	-47.18569	2.1766646	1.5834187	0.09004072	1.9353266	1.2749311	2.1813335	0.098292544	2.5659823	1.8349284	618.1044082641602	0.0
8	537.0649	43.710175	579.38184	471.39404	594.8551	24.908846	636.4737	541.39996	1000.0	1000.0	31999	47.749676	6.221481	83.61576	13.636213	47.749695	6.222026	82.8462	12.790699	-48.1199	2.1317227	1.5720354	0.08649937	1.8657877	1.2734015	2.190593	0.09667297	2.5121822	1.8681408	705.9321551322937	0.0
9	538.2447	84.696724	663.39905	445.70898	431.66333	212.78638	666.46857	11.790115	1000.0	1000.0	35999	48.929504	5.9700184	82.408875	15.386825	48.92948	5.971018	82.71678	12.35096	-49.271763	2.0808303	1.5583664	0.08470188	1.9507709	1.244589	2.1936944	0.099945165	2.5744846	1.8496258	793.5427739620209	0.0
10	624.8362	40.127003	671.76514	562.22833	626.0897	41.06306	730.9171	577.8653	1000.0	1000.0	39999	50.288456	5.7617373	83.713104	16.158457	50.2885	5.7632537	80.71308	14.377179	-50.611374	2.0540812	1.5245793	0.08642842	1.8780725	1.2113585	2.200961	0.09967128	2.631325	1.8925085	880.8707427978516	0.0
