Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-373.84567	17.791653	-354.77905	-400.65396	976.4164	13.606579	997.6548	959.49866	1000.0	1000.0	3999	2.1470659	3.185892	26.308912	-19.348173	2.1474843	3.1854453	25.739113	-18.771101	-2.7665315	0.55492234	0.29792416	0.04698666	0.42087975	0.2131816	2.4707808	0.9194641	3.758567	1.486769e-07	71.07779788970947
2	-284.91956	43.201912	-214.40538	-323.14346	967.32294	4.260168	972.41077	959.10284	1000.0	1000.0	7999	13.41174	5.742653	65.412674	-17.69549	13.411995	5.7435575	65.62577	-20.309961	-14.180903	0.95410454	0.40419137	0.023283847	0.4827114	0.33763438	3.4493244	0.1542481	4.0428514	2.9202337	159.51555013656616
3	311.60876	626.72363	965.7039	-335.29987	988.93555	8.4197445	1003.3017	975.2045	1000.0	1000.0	11999	24.621943	8.43523	97.052414	-0.6680426	24.622185	8.435998	96.39925	-1.759531	-25.251667	1.6810066	0.45494244	0.03521639	0.5928241	0.35350955	3.5553002	0.17769295	4.2231536	2.9443636	254.9790554046631
4	977.29663	48.306118	1023.107	899.2345	968.45233	90.919395	1036.9822	728.5477	1000.0	1000.0	15999	33.818596	10.737662	114.79597	15.345154	33.818504	10.738566	114.99108	15.154213	-34.083668	1.7294703	0.50226295	0.038295116	0.6407113	0.40345624	3.2685142	0.16481861	3.9894433	2.735843	351.5338532924652
5	1000.23486	33.286293	1052.5002	969.6107	1069.0068	47.149963	1161.2751	989.85834	1000.0	1000.0	19999	42.59649	12.359044	109.81633	19.98294	42.596596	12.358838	109.85114	20.24029	-42.616913	1.9757488	0.55686927	0.026924603	0.6744594	0.4683027	3.1168427	0.13008867	3.6401367	2.6858869	448.28835701942444
6	1134.3901	82.27499	1254.5452	1026.0579	1159.1403	81.33764	1273.0537	1011.8391	1000.0	1000.0	23999	50.02492	13.236576	106.43408	22.657917	50.024956	13.23676	107.22123	21.416977	-49.937073	2.056468	0.6371853	0.053608287	0.8084186	0.48880637	3.1815486	0.13052306	3.6791286	2.7025409	545.3442704677582
7	1409.4158	161.08234	1607.3658	1200.6161	1370.0055	224.40619	1659.3091	992.6466	1000.0	1000.0	27999	57.56688	15.432805	110.214134	23.700714	57.566753	15.433389	115.98248	23.794743	-57.42733	2.233308	0.64669394	0.044306688	0.78188664	0.5246086	3.2876477	0.13914455	3.8486986	2.8551445	641.757182598114
8	1309.0568	288.1885	1674.1912	1008.65643	1409.5272	283.04074	1841.8403	1060.0604	1000.0	1000.0	31999	66.62937	19.230967	122.18376	24.611334	66.62927	19.231354	120.48833	23.64796	-66.46503	2.8043575	0.7940572	0.052239284	0.97305447	0.62932575	3.5733595	0.16438447	4.17817	2.9997582	733.738733291626
9	1248.76	266.0913	1664.1415	980.8789	1267.3275	274.08722	1615.9854	928.4521	1000.0	1000.0	35999	76.95899	25.409256	170.71843	27.530382	76.95883	25.409058	171.69936	27.042837	-76.86328	3.621495	0.9250388	0.08954809	1.3073387	0.71867305	3.998548	0.26484016	4.979294	3.289769	834.081351518631
10	1348.6001	369.84134	1750.5864	936.7495	854.6991	182.17192	1101.5466	484.5069	1000.0	1000.0	39999	89.46322	31.98368	217.03506	30.021357	89.46329	31.983032	216.14815	30.94451	-89.37975	4.7268677	0.98975825	0.0596731	1.2182226	0.8176316	4.340437	0.21314332	5.186038	3.720832	928.4337937831879
11	939.00977	184.97902	1166.6322	721.9927	978.53186	96.671364	1254.0104	909.1702	1000.0	1000.0	43999	100.08343	36.34503	217.40297	35.387417	100.0832	36.345844	216.46562	32.781265	-99.90385	4.8659286	0.92675436	0.053186223	1.1116579	0.7824618	4.223809	0.18926191	5.0196557	3.6761303	1031.4153203964233
12	1324.3772	106.55121	1498.199	1228.0408	1517.6942	312.3047	1920.5483	1079.0378	1000.0	1000.0	47999	107.14095	36.279938	178.54776	33.93277	107.14055	36.280956	178.55933	26.247622	-106.92229	4.3677287	0.86762047	0.046391945	1.0431482	0.7398191	4.1325316	0.18091449	4.819512	3.5976608	1130.0891177654266
13	1195.0638	399.02936	1886.0465	954.3909	1429.3892	420.43826	1933.2765	809.4554	1000.0	1000.0	51999	112.17471	36.354847	173.22536	41.93453	112.17451	36.355564	170.29837	45.09027	-111.93875	4.1594667	0.8595691	0.049571693	1.0836533	0.7256763	4.1113067	0.18952468	4.7421994	3.5422587	1223.9598786830902
