Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	-288.56128	26.107533	-263.24298	-329.75323	973.7529	7.0602756	985.4197	958.8614	1000.0	1000.0	3999	3.3595169	3.593191	23.158373	-8.934383	3.3588684	3.5937812	22.674358	-7.991226	-4.055001	0.4952369	0.2893542	0.032417588	0.35997027	0.21571976	2.5927136	0.9103139	3.7781658	2.231851e-07	71.73528528213501	0.8
2	-303.92163	25.866575	-269.8199	-333.3045	922.494	19.680944	964.4949	889.9999	1000.0	1000.0	7999	16.09885	5.314358	46.773067	-13.36796	16.099007	5.3147116	47.096462	-12.3651285	-16.908306	1.1078855	0.35259917	0.019315738	0.4383183	0.29541057	3.5132217	0.15606293	4.0748444	2.8469732	169.30082440376282	0.8
3	312.92938	655.2591	968.4101	-374.82208	969.321	7.749485	985.80927	960.5486	1000.0	1000.0	11999	27.498045	6.130169	65.05987	-14.797235	27.498133	6.1303167	66.56431	-13.185066	-28.138273	1.5051394	0.40456054	0.02208495	0.48978576	0.3403786	3.5425653	0.1754647	4.1562176	2.8973377	268.6055574417114	0.8
4	1008.25934	22.626307	1039.5994	977.46234	962.25476	28.12384	1032.556	918.6613	1000.0	1000.0	15999	36.113483	6.648191	75.6571	-1.2798876	36.113617	6.647125	75.466194	-1.3076594	-36.36525	1.3014438	0.47190493	0.028880311	0.57730335	0.36586115	3.2002232	0.14416973	3.7988238	2.7614183	367.64185786247253	0.8
5	1006.6891	71.401985	1105.2123	911.7297	1246.4666	47.635735	1342.2043	1175.585	1000.0	1000.0	19999	43.405605	8.30637	79.90387	9.00002	43.40563	8.305634	80.18409	10.453523	-43.434227	1.3837227	0.52531517	0.033609483	0.6637885	0.44595826	3.0556376	0.116094835	3.5476568	2.6811976	467.83340859413147	0.8
6	1069.8684	76.699135	1167.0876	993.25543	1119.182	86.75317	1259.6567	976.70856	1000.0	1000.0	23999	50.392105	10.613754	87.62232	17.043013	50.391964	10.613836	85.224304	17.445755	-50.337154	1.2550995	0.5492289	0.0348244	0.6881423	0.45611325	3.0316873	0.121531144	3.473791	2.6160808	568.2037265300751	0.8
7	1125.4673	24.396538	1166.0684	1102.3398	1092.4213	50.341263	1168.1166	993.1294	1000.0	1000.0	27999	56.86072	12.6966715	95.85552	15.918097	56.86064	12.696672	95.54858	14.332006	-56.729008	1.3834615	0.54349804	0.030285986	0.6924806	0.4414084	3.0061553	0.11928146	3.4714348	2.6336346	668.5054144859314	0.8
8	1195.9502	172.63026	1463.159	980.39557	1300.0338	83.56637	1388.2207	1106.0825	1000.0	1000.0	31999	63.556976	15.642668	100.75513	22.328537	63.556995	15.642749	100.53616	22.157688	-63.379055	1.671783	0.65176344	0.060553722	0.8482734	0.5049437	3.1951559	0.15767746	3.8118668	2.7581267	770.7433354854584	0.8
9	1488.329	292.0164	1709.6241	996.2393	1182.9954	171.11113	1471.878	1014.77075	1000.0	1000.0	35999	71.79915	20.168587	113.329155	25.69171	71.79899	20.168789	113.40302	28.173172	-71.62215	2.0847273	0.7694369	0.064195015	0.9770875	0.596246	3.4531384	0.16790019	4.217622	2.81191	863.0695717334747	0.8
10	1274.3711	253.54837	1541.7007	1017.4251	1860.8508	39.19861	1912.0411	1774.1492	1000.0	1000.0	39999	81.28063	25.218832	130.3021	30.121956	81.28066	25.218868	130.40175	33.31968	-81.1471	2.5274992	0.8523266	0.05576673	1.0571384	0.644246	3.7364507	0.19267812	4.4283085	3.148939	962.1430304050446	0.8
11	1548.3856	328.60828	1836.5588	991.1695	1950.8103	210.3218	2067.8252	1324.2645	1000.0	1000.0	43999	91.44607	28.438187	139.41107	36.500813	91.44636	28.437847	139.81561	36.25851	-91.29174	2.7507594	0.82649744	0.045417286	1.0328442	0.6669107	3.8176553	0.16101836	4.5008316	3.2223449	1060.5514028072357	0.8
12	1917.6573	52.321667	1978.1664	1833.9539	1890.0022	101.6746	2114.9514	1776.1846	1000.0	1000.0	47999	100.52652	30.061705	149.02948	43.190323	100.52671	30.06124	149.21225	42.126743	-100.34024	2.7955978	0.8314424	0.04861895	1.0563439	0.67926085	3.881741	0.17054573	4.5622106	3.300435	1163.1349256038666	0.8
13	1801.3262	463.6346	2259.71	1033.1294	2013.0729	363.6257	2298.5283	967.0673	1000.0	1000.0	51999	109.17818	31.629326	162.4916	48.08896	109.17824	31.629208	162.47481	46.82934	-108.966	3.3045998	0.8671116	0.045410227	1.0648594	0.72020143	4.039214	0.17467642	4.68597	3.5748525	1267.1494472026825	0.8
14	2313.0068	107.99815	2457.7227	2161.824	2630.273	141.6571	2811.421	2322.77	1000.0	1000.0	55999	118.0597	34.072155	174.27882	51.85572	118.05976	34.071964	173.46548	51.700233	-117.85076	3.780773	0.9383473	0.046242535	1.0978179	0.8024626	4.269	0.17814228	4.8999987	3.7067935	1372.3889327049255	0.8
15	2470.951	110.58844	2573.2769	2284.8372	1794.5938	619.1671	2923.4958	1248.1866	1000.0	1000.0	59999	128.3244	36.327374	187.34557	55.311478	128.32445	36.32728	188.14807	54.54098	-128.12749	4.1968613	1.0142722	0.05567462	1.2366347	0.8730387	4.553029	0.22121277	5.472513	3.876079	1470.3040642738342	0.8
16	1826.4489	473.83017	2237.0317	1051.7253	1800.2805	610.10425	2708.6436	1070.6373	1000.0	1000.0	63999	139.0588	41.003635	206.45967	57.86038	139.05878	41.00399	205.5907	58.087475	-138.88228	5.2403436	1.0942681	0.051862154	1.3230128	0.9189323	4.908407	0.23825888	5.7567344	4.145176	1577.0413327217102	0.8
17	1923.1771	605.43756	2798.979	1358.9105	1864.7311	570.3917	2789.3396	1028.7301	1000.0	1000.0	67999	149.14304	45.70948	220.30557	60.056477	149.14325	45.709328	220.22661	60.990974	-148.97018	6.2765155	1.0940737	0.04983762	1.3125226	0.9288611	5.09406	0.24426122	6.154171	4.217087	1681.360312461853	0.8
18	2497.7974	585.61725	2962.6055	1493.481	1737.7242	669.5323	2854.6047	990.73987	1000.0	1000.0	71999	157.71252	51.42251	229.88396	61.072174	157.7125	51.422424	230.84973	63.89463	-157.53738	6.69953	1.107052	0.0548535	1.3054379	0.9373779	5.2055683	0.26767346	6.2817235	4.3050776	1779.2169814109802	0.8
19	1197.3967	152.54768	1371.5663	1008.9479	2293.4932	542.78125	2754.1343	1175.9689	1000.0	1000.0	75999	165.83755	57.768696	246.40468	61.63027	165.8377	57.768684	246.62315	62.941685	-165.68445	7.2455187	1.159761	0.05643232	1.3730766	0.9745636	5.360481	0.2780739	6.5758996	4.464327	1877.172516822815	0.8
20	2370.1577	540.38055	2947.6252	1526.2384	2457.0078	289.56204	2787.5342	1696.4045	1000.0	1000.0	79999	172.73956	64.02305	258.89578	58.13937	172.73944	64.02317	257.9514	62.14345	-172.5696	7.698477	1.1542789	0.054641373	1.3491862	0.9827441	5.43991	0.29404694	6.5723596	4.5981426	1978.749154806137	0.8
21	1857.2488	385.4252	2390.1711	1403.3331	2475.5278	778.333	3240.7793	1227.7211	1000.0	1000.0	83999	179.6918	68.000015	266.5932	48.331554	179.692	67.99988	267.87317	49.562115	-179.50601	8.293564	1.1676883	0.054905273	1.3902045	0.9960126	5.5028653	0.3044937	6.844167	4.4153204	2080.523346185684	0.8
22	2474.9902	515.0284	2870.0913	1603.3198	2111.2222	831.29297	2997.1782	837.0058	1000.0	1000.0	87999	184.64864	72.500374	275.90338	39.344738	184.64857	72.50045	276.2607	40.185318	-184.46019	8.934063	1.1770531	0.057292096	1.3876708	1.0032169	5.584541	0.32233974	6.6016026	4.571583	2180.436347961426	0.8
23	2251.9465	660.1572	3019.7146	1406.5028	2036.6077	783.85944	3358.0845	1037.5674	1000.0	1000.0	91999	190.27045	74.76797	283.02957	49.202667	190.27066	74.76781	282.88623	50.37499	-190.06276	8.618336	1.162032	0.052694805	1.3621354	0.97959006	5.6549864	0.32883772	7.039255	4.6070085	2278.417089700699	0.8
24	2734.3696	663.0141	3198.5413	1596.6604	2119.3364	971.1226	3341.871	44.986664	1000.0	1000.0	95999	195.07896	77.47295	290.57993	55.845375	195.07903	77.473015	292.3476	51.124744	-194.88498	10.204562	1.2001034	0.0683143	1.4507923	0.9902392	5.8397207	0.37052596	7.4112206	4.6723456	2369.9746844768524	0.8
25	2149.5762	970.6264	3397.9187	1008.53326	3000.3572	465.31128	3243.5476	1623.3955	1000.0	1000.0	99999	200.04796	81.18464	296.85474	59.581867	200.04787	81.184715	297.3545	58.286224	-199.89946	10.986677	1.2145945	0.058183648	1.4411184	0.99743706	6.00352	0.35921627	7.422473	4.7764654	2462.2668051719666	0.8
26	2163.9958	827.7198	3518.1763	1467.4143	2192.984	809.73737	3225.0774	1002.06116	1000.0	1000.0	103999	206.0581	85.14385	308.976	54.397556	206.05823	85.14442	309.74118	50.528904	-205.95247	12.648607	1.251697	0.06307357	1.4813303	1.0083413	6.250717	0.39843556	7.9969077	5.0536046	2564.659052848816	0.8
27	2423.922	843.56415	3544.8394	1509.5277	1807.6921	703.4516	3004.5925	961.3179	1000.0	1000.0	107999	211.14624	88.242325	314.80685	54.914185	211.14577	88.2431	317.89368	51.555706	-210.97293	13.569297	1.2511699	0.06491527	1.5724434	1.0343155	6.3200207	0.3967712	7.9567766	5.0116205	2666.427586555481	0.8
28	3016.2651	399.60956	3452.3643	2519.9526	2237.7332	1295.5457	4085.6594	674.0182	1000.0	1000.0	111999	215.34283	90.0382	325.77377	57.96557	215.34303	90.03837	324.894	51.59317	-215.14128	13.567245	1.237727	0.058692895	1.4678612	1.0223312	6.357317	0.3853634	7.8122735	5.0149207	2762.939708709717	0.8
29	1989.1353	934.3256	3512.1997	1179.3538	2641.338	958.1232	3686.8972	1087.0822	1000.0	1000.0	115999	219.17316	92.28416	335.54535	53.73938	219.17316	92.28421	335.46252	50.077335	-218.96594	14.158043	1.2539166	0.06221733	1.5079942	1.0396589	6.4982567	0.42519474	8.174104	5.1195445	2866.376079559326	0.8
30	3003.721	824.2511	3703.8413	1666.4248	3464.604	873.4168	4092.7102	1202.5502	1000.0	1000.0	119999	221.38388	95.5186	337.0533	41.297485	221.38345	95.51942	336.0004	37.3217	-221.19305	15.423346	1.2438205	0.062211346	1.509441	1.0416404	6.6119533	0.44751108	8.81388	5.1885767	2967.8334233760834	0.8
31	3764.8374	122.21062	3871.2961	3570.9695	2879.7996	986.3046	3918.7195	1169.0779	1000.0	1000.0	123999	225.8149	97.34248	344.47336	40.792606	225.81476	97.34322	343.7933	37.9468	-225.66614	15.95859	1.2861795	0.06899888	1.554858	1.0410305	6.8610325	0.4499546	8.669859	5.6123776	3068.434987306595	0.8
32	2637.7346	1324.4695	4009.2175	962.01447	3687.1401	643.0081	4140.0327	1793.9966	1000.0	1000.0	127999	232.51917	100.01965	354.03033	55.166527	232.51888	100.02061	355.87405	52.186928	-232.40112	15.879269	1.3334093	0.06338739	1.5551642	1.1209253	7.02399	0.4601132	9.400312	5.4289427	3159.8189651966095	0.8
33	3351.1084	751.9852	3936.9104	2062.0908	3073.4656	1193.9828	4193.5947	1028.4679	1000.0	1000.0	131999	238.7926	103.59307	360.98618	47.809975	238.7925	103.59346	364.85022	51.31168	-238.66982	16.904371	1.3330288	0.07118808	1.5671734	1.0721914	7.2022276	0.4678633	9.667638	5.673966	3255.7662382125854	0.8
34	3361.1968	759.2087	4026.8052	2171.1313	3382.6567	973.7487	4068.6167	1179.4701	1000.0	1000.0	135999	244.56207	106.610794	370.78433	50.574623	244.56203	106.61139	371.1786	53.706177	-244.45122	17.318289	1.3394876	0.0642359	1.5926553	1.1362342	7.4037976	0.49246573	9.253903	5.861362	3358.899113178253	0.8
35	3657.3906	833.28467	4249.003	2219.238	3390.1392	79.82227	3456.069	3165.8262	1000.0	1000.0	139999	250.18507	109.23219	377.5701	36.804573	250.18506	109.232544	380.00317	28.498997	-250.06703	19.134045	1.3261003	0.061269138	1.6067712	1.1067724	7.597132	0.50645286	9.893032	5.787007	3457.972021341324	0.8
36	1476.9973	167.08514	1740.7811	1289.8049	3840.2747	633.6622	4159.0117	1962.968	1000.0	1000.0	143999	254.76852	114.105194	388.61566	37.242386	254.76814	114.10617	390.3147	44.02822	-254.71272	20.265251	1.3554018	0.066914134	1.6135206	1.1505017	7.807585	0.5161765	9.709695	5.99788	3562.850073337555	0.8
37	2231.5725	733.5781	3044.5525	1042.4691	4213.678	846.25476	4708.022	1690.2695	1000.0	1000.0	147999	259.00568	119.791664	395.71732	26.391127	259.0056	119.79251	395.9372	47.413425	-258.9527	20.650013	1.3697013	0.0656515	1.6198987	1.1739689	7.8563933	0.52859616	9.944715	6.019359	3672.641092777252	0.8
38	3854.4382	521.2275	4264.086	2960.3782	3437.4478	1126.9702	4310.055	1213.9358	1000.0	1000.0	151999	264.17157	122.27591	401.81747	27.360996	264.17072	122.27715	402.65112	39.19725	-264.1	22.54094	1.3805866	0.068202496	1.6954817	1.1656076	8.040634	0.5567094	10.561148	6.10974	3770.6484804153442	0.8
39	3538.104	862.83386	4272.426	2076.9067	2799.1504	1282.965	4198.8525	931.06824	1000.0	1000.0	155999	268.8098	123.930176	406.78336	36.342205	268.8098	123.93122	407.53973	38.778046	-268.72028	22.40947	1.3719288	0.06471016	1.6337128	1.1392266	8.12972	0.5466942	10.365109	6.345797	3865.756769657135	0.8
40	3522.0588	869.9602	4231.495	2036.5704	4246.198	276.37405	4511.654	3505.95	1000.0	1000.0	159999	273.08524	125.911125	417.4742	45.414875	273.08487	125.9117	416.93344	47.24685	-273.02283	23.664465	1.3723694	0.06504403	1.5963241	1.1737072	8.367782	0.5617484	10.594284	6.6152806	3966.8225820064545	0.8
41	2761.748	1096.0587	4328.4287	1614.1814	3389.7012	938.27606	4331.9663	1914.2874	1000.0	1000.0	163999	276.69363	128.62122	420.96478	37.814518	276.69333	128.62201	419.72412	39.415752	-276.62616	23.175447	1.3791503	0.06941191	1.6226732	1.1128364	8.33314	0.580543	10.516163	6.051005	4066.4886388778687	0.8
42	3200.328	1247.1683	4199.986	1102.532	3340.0762	1405.351	4404.814	1021.2645	1000.0	1000.0	167999	279.82883	130.49338	422.27222	31.409515	279.82864	130.49384	421.97903	36.719604	-279.71045	25.842297	1.3509187	0.06582585	1.5705224	1.1537476	8.399561	0.5862813	10.310649	6.5905285	4170.294743537903	0.8
43	3655.661	1101.2523	4361.2314	1750.184	4454.4487	108.0984	4562.3555	4207.034	1000.0	1000.0	171999	281.6995	132.35236	426.1352	37.369442	281.6988	132.35388	425.4921	39.367786	-281.59253	26.917059	1.3479143	0.06654589	1.6007637	1.1336749	8.514119	0.59535	10.746087	6.766587	4270.666244029999	0.8
44	4202.9023	331.53958	4427.9985	3630.7993	3814.3027	995.6944	4446.6304	1612.6029	1000.0	1000.0	175999	284.6468	133.81822	429.20633	47.944374	284.64633	133.81906	429.4728	42.58896	-284.5525	27.001223	1.3554035	0.06474106	1.619549	1.1317513	8.707885	0.60546976	11.157302	7.0362725	4372.008202552795	0.8
45	3763.7944	1160.9196	4477.606	1753.8682	3884.2085	1236.5438	4619.4404	1214.7748	1000.0	1000.0	179999	288.75476	134.4968	433.6215	47.544323	288.75458	134.49756	433.77176	51.53869	-288.6591	25.952124	1.369711	0.0644881	1.6051807	1.1583376	8.750843	0.6211524	11.60188	6.7734647	4468.884062767029	0.8
46	3777.2466	1008.2152	4616.7754	2055.5383	3627.252	1168.2466	4750.259	1232.2554	1000.0	1000.0	183999	292.6377	135.52907	439.71518	44.889256	292.6376	135.52953	439.44934	45.170776	-292.54324	25.743437	1.3941525	0.06247609	1.647639	1.193677	8.797735	0.5959861	11.367455	7.03576	4565.106419324875	0.8
47	3132.0884	1432.3949	4511.2114	965.3743	3935.019	1205.7155	4935.6255	1623.5056	1000.0	1000.0	187999	295.54282	137.55069	439.68546	44.30954	295.54266	137.5512	439.39297	34.799328	-295.45645	26.96957	1.3948689	0.06893412	1.6303635	1.1506292	8.899036	0.6090883	11.629217	6.8271213	4657.234102487564	0.8
48	3646.974	1188.8818	4629.0513	1613.6404	4757.9707	126.618195	4932.3247	4536.905	1000.0	1000.0	191999	299.55267	138.8618	449.27896	33.08115	299.5523	138.86133	447.6561	41.117966	-299.46597	26.98171	1.4142637	0.06579954	1.6933976	1.1847144	9.020712	0.59857655	11.74082	6.4030743	4762.526065826416	0.8
49	3906.745	838.25146	4586.477	2478.728	4547.73	171.27386	4826.7036	4250.336	1000.0	1000.0	195999	303.32913	139.50041	449.61624	38.652687	303.3289	139.5014	448.83545	31.37864	-303.24426	29.223602	1.4196297	0.07063112	1.7324047	1.1787391	9.220762	0.6439733	11.857756	7.299142	4860.330457448959	0.8
