Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-339.15863	30.063148	-291.29953	-368.92755	995.3086	2.2728338	999.1155	991.2253	1000.0	1000.0	3999	2.9951684	3.543776	15.622672	-18.686302	2.9954128	3.5441802	15.907241	-18.524338	-3.6602337	0.437414	0.26167473	0.016158948	0.2981172	0.21440274	2.6175048	0.97044975	3.7232203	2.1814056e-07	84.47029948234558
2	-337.1764	62.390205	-250.88058	-397.81995	964.8626	5.738533	976.8761	956.5858	1000.0	1000.0	7999	14.31616	5.4213715	37.617886	-29.330133	14.316085	5.4227557	37.827686	-29.835733	-15.029461	0.94431114	0.29115772	0.011216614	0.34125096	0.2559926	3.3657348	0.12452765	3.856684	2.9302325	175.66327786445618
3	306.81995	668.0579	982.3066	-361.57016	986.4896	2.2735126	990.5808	982.25854	1000.0	1000.0	11999	23.482542	5.4756646	46.31914	-27.294712	23.482462	5.4756813	45.571846	-24.175453	-24.061089	1.3142301	0.29274893	0.011171367	0.3302399	0.25855312	3.3299117	0.1258552	3.796615	2.9120822	280.0222055912018
4	1008.375	20.771467	1041.3381	984.0034	998.3662	9.11981	1011.89307	983.0052	1000.0	1000.0	15999	30.187788	5.4089637	54.1171	-28.058956	30.187843	5.4076395	53.662376	-33.14073	-30.453629	1.024615	0.31477207	0.0127112055	0.36031252	0.26649868	3.0700917	0.1484065	3.6353667	2.4908857	378.92575669288635
5	1027.2749	9.189187	1042.0323	1016.8018	1006.6572	9.920952	1025.8187	995.6157	1000.0	1000.0	19999	36.80416	5.6906238	59.573578	-18.563517	36.804043	5.690506	60.349922	-18.386414	-36.897617	0.84413534	0.32131433	0.011958379	0.3728973	0.27644828	2.8858368	0.13947102	3.4648755	2.4446864	480.911416053772
6	1043.3424	9.737436	1057.0037	1029.4642	1010.6214	21.168356	1050.7356	990.3641	1000.0	1000.0	23999	43.286125	7.054303	65.26033	-8.844492	43.285976	7.0540757	65.48966	-9.012432	-43.267845	0.7518766	0.31525043	0.011787251	0.36278147	0.28085554	2.7005177	0.12741461	3.2152007	2.2828183	576.5708558559418
7	1074.3057	23.560886	1096.6945	1036.9589	1053.9178	36.991253	1120.6207	972.299	1000.0	1000.0	27999	49.42741	9.085502	71.0319	-7.1315355	49.427383	9.085429	70.40288	-7.553955	-49.34735	0.73941845	0.3268377	0.01580411	0.38627335	0.28689423	2.7195013	0.13596646	3.2781253	2.316017	675.7365627288818
8	1078.6405	16.261875	1088.9354	1050.5397	1119.8472	33.521336	1182.1719	1052.3762	1000.0	1000.0	31999	55.438927	11.35246	77.83724	-1.3047777	55.43889	11.3525	77.76652	-2.3440588	-55.311954	0.7605565	0.34363222	0.015133978	0.40269795	0.29642573	2.7976015	0.12789644	3.2685764	2.3590298	781.7799570560455
9	1193.522	33.170406	1227.7856	1139.7853	1166.267	60.38563	1241.6185	1040.3771	1000.0	1000.0	35999	60.91208	13.529552	83.85548	1.7530615	60.91211	13.529384	84.66239	-1.4358088	-60.75027	0.80515504	0.3519594	0.018283784	0.46995085	0.29477066	2.827826	0.13333052	3.4148626	2.4276576	890.4478251934052
10	1231.4175	30.828201	1280.1954	1197.3785	1312.8446	14.723594	1340.8356	1285.8953	1000.0	1000.0	39999	66.63724	15.834875	91.35321	-1.7503048	66.63732	15.834599	90.303856	-1.9440632	-66.458595	0.8839506	0.39102608	0.024323698	0.48900726	0.32144412	3.0306227	0.13946727	3.5442882	2.5822365	988.4828243255615
