Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-343.26624	30.677046	-292.86212	-375.69266	997.58484	3.585936	1006.31323	992.7528	1000.0	1000.0	3999	-2.521376	2.9116402	23.174868	-27.37397	-2.5214996	2.914544	24.803587	-26.915852	2.8498948	0.9149248	0.2314017	0.005524188	0.25005245	0.21339287	0.24742676	0.06562502	0.37592903	2.128852e-07	81.7391905784607
2	-322.08685	31.667135	-270.059	-355.61282	995.3444	6.262745	1003.61896	987.7843	1000.0	1000.0	7999	-9.296514	5.4521375	31.894306	-68.14883	-9.296816	5.454246	31.68321	-64.67335	9.760481	2.1436841	0.23182867	0.0058491197	0.24949117	0.2103308	0.4279705	0.041589394	0.5549455	0.28696048	181.8087604045868
3	287.84512	704.0779	992.1594	-538.0698	993.45374	3.8127944	1000.32416	988.5678	1000.0	1000.0	11999	-16.75232	6.0687056	24.855843	-74.75831	-16.752552	6.0704365	26.020916	-74.233345	17.238039	2.704734	0.23323593	0.005957713	0.25281844	0.21432933	0.50699526	0.041128542	0.7005734	0.3949568	280.677277803421
4	990.9492	5.173705	996.66846	985.7578	995.4315	2.970722	1000.14984	990.98035	1000.0	1000.0	15999	-18.653412	13.563651	17.621576	-84.6034	-18.652737	13.563206	16.997559	-85.97395	19.149223	2.568389	0.23421207	0.006215732	0.26704028	0.2138003	0.5537671	0.051110487	0.8449169	0.41725853	386.2431356906891
5	994.0287	1.7935498	996.32635	991.84576	995.223	1.8826718	997.7526	992.31604	1000.0	1000.0	19999	-14.215595	24.008434	23.390509	-93.494736	-14.214883	24.008585	23.070953	-92.96874	14.72332	3.102068	0.23739603	0.009478811	0.32881892	0.21292982	0.6505708	0.074853994	1.1463013	0.47180906	487.3750464916229
6	992.8792	4.5637503	998.30853	987.8916	988.395	3.1611676	995.4765	984.6709	1000.0	1000.0	23999	-7.5783386	31.95736	32.698624	-97.55156	-7.5777535	31.957703	32.7573	-97.23501	8.086884	3.6115887	0.24201585	0.015322586	0.33731648	0.21149512	0.7581035	0.09893994	1.5717727	0.5406426	590.8028907775879
7	993.5288	9.063964	1000.55273	978.09906	992.33484	3.2008433	997.82477	986.05597	1000.0	1000.0	27999	-0.32023868	38.043636	41.479286	-104.94319	-0.31991696	38.043438	43.07653	-106.1712	0.8428302	3.8042989	0.24412851	0.017105015	0.35415977	0.21831033	0.8491717	0.11866568	1.6245257	0.59715325	695.2952854633331
8	990.5265	8.930494	1003.6649	979.7099	991.43787	3.0984592	995.7156	985.57416	1000.0	1000.0	31999	6.41511	41.927288	52.09676	-114.20302	6.4154587	41.92708	50.16565	-112.71745	-5.8923078	3.876163	0.2454108	0.017864628	0.34740722	0.21380475	0.9246952	0.13169	1.8198407	0.6453665	797.0929427146912
9	993.0255	3.9180136	998.26514	988.6362	990.4629	2.0481439	993.0371	986.4564	1000.0	1000.0	35999	13.449183	44.915318	57.87888	-118.59237	13.449264	44.915	58.767277	-119.12729	-12.93652	3.4368353	0.24521665	0.01580659	0.34861025	0.21665277	0.9681975	0.13209286	1.790402	0.69190603	897.8243496417999
10	993.0387	6.529447	1001.6628	984.2558	993.92957	3.9273071	1000.13043	985.11273	1000.0	1000.0	39999	19.69909	46.7814	60.806828	-123.672325	19.699106	46.78117	61.606762	-122.846275	-19.184837	3.5847447	0.2476046	0.016914047	0.36159724	0.22033769	1.0491487	0.1463619	2.3029468	0.745821	1000.3966219425201
