Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-315.0923	87.28004	-191.55	-438.17273	-240.68185	96.512215	-45.648407	-373.5881	1000.0	1000.0	3999	0.19550231	2.8374548	19.806112	-10.725122	0.19564979	2.8368645	19.667952	-10.483509	-0.3205819	0.98498005	0.2936409	0.09560144	0.5063041	0.18380271	0.31752613	0.25597322	0.9990005	0.05221376	71.82821011543274
2	-347.16714	55.053074	-257.3701	-399.9695	225.95036	223.52914	665.3775	-28.995903	1000.0	1000.0	7999	8.186427	6.305909	36.376507	-9.944843	8.186516	6.3069825	36.65228	-9.887679	-8.800112	3.601462	0.52850276	0.083430916	0.7605372	0.35700673	0.013046779	0.0132989865	0.052162915	0.001050175	161.21911597251892
3	286.95892	870.3704	1792.4703	-275.13968	1321.3434	776.8206	1976.6012	27.48799	1000.0	1000.0	11999	23.752583	10.007585	69.556465	-2.5454717	23.752735	10.009044	69.67942	-2.5311604	-24.504421	3.9825096	0.56191844	0.043391474	0.72899395	0.43634972	0.00025724634	0.00026777317	0.0010491499	1.8784298e-05	259.98736596107483
4	1185.9639	565.02625	1989.5496	491.9182	1576.4543	529.3853	2043.8115	391.92133	1000.0	1000.0	15999	35.794323	18.535162	92.492714	-5.6030664	35.794247	18.535421	92.43586	-5.327584	-36.159904	3.2642267	0.52389526	0.047249064	0.7299666	0.41320366	4.576506e-06	4.762758e-06	1.87653e-05	3.4689862e-07	362.3462896347046
5	2131.3484	199.02655	2461.7446	1948.0676	2364.5012	44.4198	2427.0251	2275.7888	1000.0	1000.0	19999	50.568005	28.325377	109.796326	-14.728523	50.568047	28.32583	109.797134	-15.497382	-50.86574	5.3357215	0.626036	0.04847444	0.87479943	0.50095755	8.5999254e-08	8.836821e-08	3.4655207e-07	6.5873054e-09	461.40821623802185
6	2504.043	97.97311	2646.999	2371.7815	2834.4094	86.21024	2998.4153	2708.1045	1000.0	1000.0	23999	70.54922	35.79375	132.06047	-21.58826	70.54939	35.793953	131.77281	-21.16983	-70.783485	7.009545	0.70270807	0.052031085	0.9183261	0.5550055	1.6272198e-09	1.6751133e-09	6.580788e-09	1.251579e-10	552.6596956253052
7	2785.7122	137.0542	2897.0671	2554.8738	2907.5327	66.05753	3037.521	2820.904	1000.0	1000.0	27999	92.96997	41.43019	161.41223	-26.433346	92.97005	41.43025	161.48253	-25.768402	-93.13081	7.8892355	0.78386104	0.047455788	0.9632595	0.6419768	3.0989215e-11	3.186087e-11	1.2503477e-10	2.3668782e-12	644.9758319854736
8	2973.8596	92.12169	3090.3984	2833.6938	3114.5903	67.1437	3244.297	3027.2913	1000.0	1000.0	31999	115.56792	45.870632	188.6381	-28.169847	115.56784	45.871246	189.2134	-27.49628	-115.642365	8.627264	0.8400687	0.05226161	1.0432827	0.68318486	5.8352395e-13	6.015343e-13	2.3645363e-12	4.467899e-14	742.4605538845062
9	3044.1162	190.84184	3233.1487	2728.5908	3458.979	67.24884	3572.054	3305.196	1000.0	1000.0	35999	137.9672	49.062195	211.66803	-26.302374	137.96703	49.06269	212.58557	-25.357805	-137.99509	9.700336	0.89607716	0.053872786	1.1411282	0.73467296	1.10213555e-14	1.1384502e-14	4.463589e-14	8.414807e-16	837.9548494815826
10	3409.9316	125.56387	3564.4006	3269.6594	3562.0754	390.24243	3825.0813	2424.8196	1000.0	1000.0	39999	160.41766	52.261738	237.2968	-20.529293	160.41772	52.26195	236.59714	-19.29386	-160.41293	10.659962	0.99916697	0.06325236	1.2626779	0.81889874	2.090834e-16	2.144562e-16	8.406401e-16	1.6312154e-17	933.6532151699066
11	3686.5676	46.76453	3763.591	3637.4998	4182.327	82.72083	4312.4795	4052.5615	1000.0	1000.0	43999	183.46011	55.30289	262.78323	-9.77264	183.46016	55.302807	261.7103	-9.196451	-183.41199	11.38482	1.0991502	0.06325623	1.3418502	0.89023244	4.0443433e-18	4.147376e-18	1.629586e-17	3.1420169e-19	1027.857414484024
12	3200.3665	1175.5742	3942.1604	1165.7812	3808.394	1232.8579	4463.773	365.48575	1000.0	1000.0	47999	205.3669	58.71941	286.93182	-4.58796	205.3668	58.719578	287.07355	-4.091964	-205.22563	12.298139	1.1662462	0.059911177	1.3834614	0.96944577	7.7958994e-20	8.0335716e-20	3.138998e-19	5.901465e-21	1121.1252710819244
13	4142.3286	76.04781	4218.14	4015.6985	4721.187	96.6933	4885.741	4598.7676	1000.0	1000.0	51999	224.43102	65.340675	307.50842	-20.798933	224.43108	65.340645	308.082	-17.767345	-224.2358	12.9810295	1.2222464	0.06821758	1.4689947	1.0113539	1.460986e-21	1.5029614e-21	5.8955695e-21	1.1361743e-22	1220.490996837616
14	4335.127	116.63998	4438.4966	4137.078	4850.914	71.26511	4977.9834	4735.3306	1000.0	1000.0	55999	244.73949	70.47855	334.33533	-24.645855	244.73965	70.478226	333.50272	-19.530905	-244.51363	13.561609	1.3319587	0.06969915	1.5814458	1.097273	2.8344318e-23	0.0	1.1350653e-22	2.2246124e-24	1321.0144038200378
15	4022.349	638.3203	4608.1304	2996.4888	5106.108	120.5543	5316.699	4918.281	1000.0	1000.0	59999	264.55032	76.28002	360.10986	-19.295578	264.5503	76.28038	361.29523	-21.508238	-264.27463	14.50004	1.4126492	0.067258105	1.6582652	1.1916035	5.510608e-25	0.0	2.222407e-24	4.2548892e-26	1419.212467432022
16	4783.0576	75.924446	4906.5254	4699.2554	5129.61	52.642426	5231.9385	5067.477	1000.0	1000.0	63999	283.52505	81.91049	380.21677	-34.750587	283.5249	81.910126	381.70795	-37.61466	-283.21017	15.543137	1.4912475	0.07247674	1.7651417	1.230955	1.0580361e-26	0.0	4.2507197e-26	8.282653e-28	1519.2205862998962
17	4982.849	119.10667	5151.0093	4826.3755	5248.0303	64.174644	5355.977	5113.4805	1000.0	1000.0	67999	303.33878	85.4125	403.60977	-32.773567	303.33917	85.412384	406.18723	-33.266125	-303.02747	16.29174	1.5624496	0.0696917	1.8509135	1.3326179	2.061356e-28	0.0	8.274633e-28	1.5892724e-29	1611.6935398578644
18	5292.6772	79.19249	5424.319	5213.194	5428.0923	103.99592	5583.906	5253.866	1000.0	1000.0	71999	323.4841	88.22216	427.41614	-31.044727	323.48383	88.2224	427.64468	-37.756565	-323.16437	16.643776	1.6498427	0.07114801	1.8935741	1.394452	3.976555e-30	0.0	1.5876486e-29	3.1253456e-31	1709.1291601657867
19	5547.3877	146.52554	5733.706	5339.582	5553.731	43.824993	5634.7197	5489.4897	1000.0	1000.0	75999	343.34235	91.23347	452.43378	-31.867407	343.3422	91.23343	453.25766	-33.91411	-343.01056	16.779274	1.6965488	0.07086064	1.9803144	1.4692703	7.70654e-32	0.0	3.1222237e-31	5.9678052e-33	1805.5724217891693
20	5734.6387	104.24046	5842.579	5563.935	5772.0205	107.95568	5924.9185	5571.571	1000.0	1000.0	79999	362.91348	93.38923	473.7368	-28.416601	362.91376	93.389114	473.529	-27.454344	-362.56927	17.080294	1.7444589	0.07386772	2.0154696	1.5198121	1.4684307e-33	0.0	5.9617073e-33	1.1466257e-34	1897.7082030773163
