Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-281.5954	91.38002	-170.53258	-424.85608	-0.44797382	0.71498555	0.9404205	-1.3709989	1000.0	1000.0	3999	-0.16350965	-0.16358846	0.16661234	0.47575757	0.2193986	0.0128538245	0.2654966	0.1858967	1.3783042	0.18148501	1.6933653	0.9794091	62.98330998420715
2	-349.51443	71.436104	-245.33113	-435.31677	924.9261	16.175465	961.6259	896.927	1000.0	1000.0	7999	4.6236033	4.6234856	-4.956986	2.471191	0.33587247	0.05007476	0.47787645	0.2186895	1.55817	0.110965006	2.0593598	1.3955362	144.17075777053833
3	652.13086	880.3954	1620.8097	-234.12569	1438.2751	413.47437	1723.6432	289.84232	1000.0	1000.0	11999	19.810743	19.810572	-20.47841	4.391	0.43052167	0.027464604	0.5392314	0.35455474	1.4886752	0.08837705	1.6725824	1.247268	224.9655246734619
4	1043.2439	529.5193	1834.8076	343.8559	1778.68	100.06273	1900.1138	1577.267	1000.0	1000.0	15999	35.01068	35.01062	-35.31168	3.699748	0.4504327	0.02535483	0.55363256	0.37928736	1.2908851	0.04801637	1.3916204	1.2002494	307.50456714630127
5	1670.8713	420.37335	2042.3059	957.2094	2063.222	82.42288	2146.3486	1884.4078	1000.0	1000.0	19999	48.34887	48.34876	-48.491413	4.7354264	0.4528049	0.027919004	0.6145376	0.37458777	1.4183135	0.056703486	1.6020393	1.3305678	390.42428946495056
6	1978.312	78.409386	2088.348	1891.7391	2307.519	37.449535	2359.0479	2231.23	1000.0	1000.0	23999	64.471634	64.47189	-64.50134	6.432408	0.4694922	0.028434137	0.5933395	0.38473463	1.4926353	0.04649186	1.6298611	1.3894308	472.90208983421326
7	2326.6685	107.53009	2443.668	2198.2434	2596.5044	94.87685	2720.3013	2417.9993	1000.0	1000.0	27999	81.84839	81.84839	-81.800514	6.9421296	0.50348574	0.03307582	0.6433872	0.40273583	1.500106	0.050377723	1.6527377	1.3920268	555.0018646717072
8	2440.2852	49.29544	2525.2917	2404.808	2778.2266	41.726116	2826.73	2672.8857	1000.0	1000.0	31999	99.46622	99.46596	-99.36749	7.462053	0.5263476	0.034288667	0.69847023	0.42978182	1.5357095	0.046285886	1.6301978	1.4384247	637.0434911251068
9	2623.858	112.13594	2747.78	2448.4453	2806.0244	72.09841	2923.087	2704.9578	1000.0	1000.0	35999	117.19796	117.19774	-117.0539	8.200106	0.561599	0.036085423	0.7457447	0.44212297	1.5149075	0.04943088	1.6198606	1.3839512	719.1308932304382
10	2704.587	39.42411	2764.9702	2664.1272	2917.9812	63.542286	3013.528	2814.0903	1000.0	1000.0	39999	134.44582	134.44571	-134.24255	8.464359	0.5852046	0.03468639	0.74593204	0.4892315	1.514528	0.042049702	1.6303699	1.433591	802.543755531311
11	2860.789	34.97959	2900.48	2805.104	2994.6633	75.49672	3114.0415	2861.333	1000.0	1000.0	43999	150.49268	150.49245	-150.24619	8.946781	0.60316586	0.03578046	0.7687873	0.49542335	1.520399	0.03309621	1.6184633	1.4574817	885.7243900299072
12	2873.6099	34.192276	2916.4292	2838.4136	3129.1675	54.12349	3246.2324	3046.9756	1000.0	1000.0	47999	165.82875	165.82828	-165.56343	9.483243	0.62689066	0.036782477	0.8149676	0.51249254	1.5008116	0.04015263	1.642299	1.4110262	968.726597070694
13	2921.2646	24.856012	2960.4038	2891.3667	3178.9038	68.94175	3294.4624	3063.1387	1000.0	1000.0	51999	180.16692	180.16663	-179.84802	9.707895	0.6398488	0.036639947	0.7863099	0.52501655	1.5345359	0.034377925	1.6232775	1.446648	1052.889476776123
14	3068.545	39.773827	3119.0708	3009.972	3189.4988	54.126575	3271.5325	3107.8604	1000.0	1000.0	55999	193.31763	193.31746	-192.96887	9.925269	0.65006435	0.035677828	0.82670844	0.54466367	1.5168275	0.039086536	1.6024714	1.4313834	1134.3944919109344
15	3134.1382	112.91875	3275.826	2965.502	3357.0383	71.387634	3451.2285	3253.0542	1000.0	1000.0	59999	205.50186	205.5013	-205.11975	9.939549	0.65829253	0.036754113	0.8082717	0.53192276	1.517408	0.038107947	1.6213007	1.4218616	1218.1493165493011
16	3222.669	19.01544	3252.8306	3203.1328	3488.398	77.26047	3589.558	3366.294	1000.0	1000.0	63999	216.40874	216.40836	-215.98509	10.41374	0.6638951	0.03534447	0.77705723	0.5489932	1.5251199	0.02897451	1.608146	1.4652154	1301.8850870132446
17	3264.168	62.550053	3341.8813	3192.8018	3559.6926	97.384895	3652.6938	3321.7822	1000.0	1000.0	67999	226.61629	226.6161	-226.19806	10.5975485	0.676801	0.036395233	0.79823816	0.55577046	1.5091534	0.033269588	1.6037357	1.4418222	1385.3597254753113
18	3334.3481	104.41227	3431.2104	3175.7246	3569.1868	72.07571	3665.049	3437.238	1000.0	1000.0	71999	236.15268	236.15244	-235.69823	10.675636	0.6836569	0.037022408	0.85347706	0.5730026	1.5247663	0.03625308	1.6106327	1.4186716	1467.9436118602753
19	3427.7036	19.971685	3448.9634	3395.8726	3632.6414	60.111732	3732.6523	3555.198	1000.0	1000.0	75999	245.40634	245.40604	-244.964	11.0523405	0.716537	0.04032903	0.86897	0.5945951	1.4653276	0.046180837	1.6320084	1.3659025	1551.658502817154
20	3457.046	36.32485	3517.888	3423.3276	3714.7688	66.402016	3824.3967	3586.1326	1000.0	1000.0	79999	253.80405	253.80382	-253.36087	11.252227	0.7199375	0.038248204	0.8792339	0.5956775	1.4332176	0.039053325	1.551394	1.3322269	1634.5254697799683
21	3400.7754	47.20048	3479.4644	3358.2385	3727.6692	76.07017	3852.4194	3597.4617	1000.0	1000.0	83999	261.5937	261.5935	-261.07996	11.726689	0.72035086	0.037324384	0.87792265	0.58716667	1.498729	0.02853236	1.5813247	1.4380305	1718.3615262508392
22	3401.7285	55.177742	3493.2986	3346.1086	3744.4897	66.44096	3822.9172	3597.7097	1000.0	1000.0	87999	268.78815	268.78793	-268.27206	11.576082	0.72432786	0.037307825	0.8652581	0.5927541	1.4856422	0.038074963	1.6013695	1.4013127	1801.8418228626251
23	3520.4268	46.734455	3566.6484	3454.2673	3759.017	71.5719	3880.973	3644.2246	1000.0	1000.0	91999	275.07724	275.07703	-274.51605	11.810674	0.73006415	0.03771684	0.86490476	0.6132144	1.4899963	0.03350604	1.5931605	1.4255952	1884.370331287384
24	3564.1663	48.407402	3617.469	3494.2456	3798.8816	72.293655	3890.0059	3685.9172	1000.0	1000.0	95999	281.27338	281.27316	-280.7215	11.959719	0.7378314	0.039076578	0.9340921	0.61530334	1.4901181	0.051045768	1.6179303	1.3749348	1971.2824006080627
25	3548.7795	40.121662	3602.538	3496.7612	3897.6191	98.45028	4038.2666	3769.6084	1000.0	1000.0	99999	286.6726	286.67245	-286.0784	12.191028	0.74085474	0.03835238	0.88567275	0.6000148	1.5105348	0.04218848	1.6117252	1.4377991	2053.7221581935883
26	3621.3357	45.344925	3697.6167	3578.2783	3849.479	93.23429	4019.8843	3747.8037	1000.0	1000.0	103999	292.12573	292.12567	-291.54974	12.073093	0.75054383	0.03815711	0.89265716	0.62827134	1.4622096	0.035327535	1.5459356	1.3550308	2139.331714630127
27	3635.5725	82.98035	3764.9338	3548.8042	3918.479	51.586063	4005.6902	3827.98	1000.0	1000.0	107999	296.6399	296.63953	-296.01447	12.392784	0.7496255	0.037836388	0.90622735	0.6244909	1.495052	0.028932635	1.5866444	1.4056212	2223.043885231018
28	3689.2935	35.059868	3729.6948	3643.092	3965.7183	64.81324	4055.9858	3845.4072	1000.0	1000.0	111999	301.00775	301.00766	-300.3508	12.594539	0.7523756	0.039150912	0.8852651	0.6291966	1.5169622	0.033973154	1.6215186	1.4479421	2309.0032036304474
29	3733.8066	57.84015	3800.657	3663.5208	3824.9023	39.284912	3880.809	3774.0227	1000.0	1000.0	115999	305.07315	305.0729	-304.40338	12.649787	0.7601743	0.03857908	0.9206048	0.62481153	1.5158172	0.040289134	1.6042411	1.4368538	2391.376579284668
30	3694.23	86.03105	3809.6233	3567.3047	4036.5664	87.642815	4153.898	3829.9856	1000.0	1000.0	119999	309.06027	309.06027	-308.36755	13.02819	0.7676179	0.040413868	0.92345077	0.61278033	1.5298321	0.03967649	1.6155126	1.4038502	2474.337577819824
31	3709.256	46.05578	3771.4612	3658.404	4097.79	84.62933	4196.8794	3881.1829	1000.0	1000.0	123999	313.53214	313.53198	-312.8803	13.180691	0.7900643	0.04060101	0.9812232	0.6629047	1.4872534	0.03282461	1.5755696	1.3979284	2557.0137102603912
32	3804.7476	58.32133	3865.7095	3719.5146	4064.7124	51.804115	4157.911	3959.251	1000.0	1000.0	127999	317.70218	317.70215	-317.04462	13.059599	0.796208	0.040660907	0.9972984	0.66553146	1.4626873	0.042545583	1.6098092	1.3874116	2638.980631351471
33	3790.6973	33.98408	3821.6892	3736.9075	4137.393	48.123005	4247.197	4063.1572	1000.0	1000.0	131999	321.72812	321.72818	-321.05786	13.075131	0.80023277	0.041021388	0.9584726	0.66679627	1.4840701	0.043003656	1.6062686	1.4049176	2722.650417327881
34	3858.5366	48.982475	3899.9102	3774.9963	4143.0796	105.44424	4345.227	3969.7336	1000.0	1000.0	135999	325.7036	325.70343	-325.01407	13.140168	0.8001998	0.04066634	0.99403363	0.6703758	1.4884592	0.036200926	1.5999422	1.4140224	2806.3311853408813
35	3872.724	98.25399	4036.094	3795.0432	4097.7363	109.250824	4322.6943	3965.3472	1000.0	1000.0	139999	328.9499	328.95	-328.23517	13.322467	0.800373	0.041092347	0.9487391	0.67118764	1.4981548	0.04698795	1.6505818	1.384417	2888.586839914322
36	3895.2314	22.526634	3916.812	3864.449	4113.6226	50.384968	4208.049	4042.7566	1000.0	1000.0	143999	332.11087	332.11072	-331.4115	13.391805	0.8199392	0.041561726	0.96629417	0.6693166	1.4641333	0.033850238	1.5484512	1.3791963	2971.4828555583954
37	3915.8455	86.151146	4062.4502	3850.506	4245.376	67.002846	4399.79	4137.92	1000.0	1000.0	147999	335.257	335.25677	-334.5433	13.565559	0.82033485	0.040718332	0.96103424	0.68651235	1.4788952	0.041788857	1.5822669	1.3987476	3054.23663687706
