Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-295.3316	42.398148	-249.4458	-364.54996	-27.333614	9.84178	-7.469955	-45.29734	1000.0	1000.0	3999	1.8362229	2.8558664	17.043133	-7.2076726	1.8362948	2.8553872	16.852892	-6.9953237	-2.6108665	0.36375374	2.1144397	0.46038336	3.4231493	0.19581053	1.775993	0.59209454	3.0947587	1.3451653e-07	60.806116342544556
2	-358.25372	90.983604	-207.5691	-440.89792	1011.007	270.22272	1242.1848	241.13535	1000.0	1000.0	7999	15.824307	9.651388	45.7271	-5.885262	15.82421	9.651469	45.71279	-6.166384	-17.38196	1.0822599	2.3485978	0.12563701	2.6728883	1.9318441	3.284952	0.39075673	4.4265666	2.333416	138.0448067188263
3	358.745	738.6686	1221.6658	-431.29666	1085.1946	53.20201	1173.5472	1000.5278	1000.0	1000.0	11999	41.09201	17.025673	85.21802	-0.9342991	41.091988	17.0258	84.2895	-1.6013331	-43.100838	2.469803	2.3969731	0.08522353	2.6280625	2.1207	4.550431	0.35172918	5.8604417	3.4858656	217.06822419166565
4	2126.5535	578.2794	2930.9226	1388.91	3217.677	122.63047	3436.643	3005.7112	1000.0	1000.0	15999	61.86212	19.508034	112.17478	3.6491015	61.86219	19.508003	111.618286	3.6747417	-63.023197	2.135606	2.318643	0.08008998	2.5665832	2.0328763	3.8032696	0.25000405	4.706077	3.110693	299.7278664112091
5	3347.5527	253.09784	3769.2158	3112.6658	3764.2212	143.26656	4023.294	3566.1694	1000.0	1000.0	19999	82.71783	27.314981	155.22394	2.9013636	82.71776	27.314444	155.91829	2.8842635	-83.99408	3.2714853	2.4002151	0.0570691	2.5941224	2.1927054	4.552988	0.41684744	5.774101	3.5721722	381.7010667324066
6	2988.5674	1409.5673	3867.4155	550.9434	4343.3467	82.24531	4479.181	4171.3086	1000.0	1000.0	23999	111.18626	38.15885	197.00955	4.8349314	111.18637	38.15874	196.19098	3.0864644	-112.56753	5.436515	2.4659805	0.05250313	2.6766639	2.231913	5.55879	0.3707873	6.85654	4.5424967	464.21575260162354
7	4125.925	147.41306	4329.561	3914.646	4296.618	88.43737	4391.372	4103.1436	1000.0	1000.0	27999	143.37003	48.48424	243.16444	6.1899543	143.36989	48.48345	243.46391	5.1638384	-144.79045	7.4027824	2.5022197	0.051770084	2.6745887	2.239196	6.454472	0.41011998	8.085398	5.233868	543.1173372268677
8	4542.527	239.17679	4857.445	4202.2285	4643.4653	135.87416	4807.1123	4359.8726	1000.0	1000.0	31999	176.7687	56.832188	278.6225	-0.51887816	176.76865	56.83142	278.03717	0.4039356	-178.1341	8.936723	2.530842	0.051751804	2.718074	2.359688	7.2615747	0.4443523	9.106571	5.896908	621.7118606567383
9	4020.433	1153.3552	4855.5356	2033.316	4328.869	705.75696	5003.483	2278.3325	1000.0	1000.0	35999	210.58585	63.658016	321.51956	1.1910139	210.58575	63.657932	321.1079	0.29170066	-211.95924	10.669256	2.5917675	0.052921336	2.765605	2.4059367	8.094828	0.47332767	9.874448	6.466542	701.9775626659393
10	4103.5527	1664.4628	5199.008	1228.2627	5158.798	124.54042	5379.328	4988.72	1000.0	1000.0	39999	240.87462	72.69099	361.87866	9.418135	240.87436	72.69188	362.33557	8.380122	-242.17679	12.832265	2.6438632	0.05026189	2.8181348	2.4481645	8.750627	0.5126398	10.637087	7.2462854	785.2246906757355
