Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	-267.5905	48.77769	-196.86758	-315.54727	206.90727	210.44717	497.2275	-114.46537	1000.0	1000.0	3999	2.0677145	2.9432192	19.215944	-5.2209573	2.0677576	2.9447875	18.858835	-5.0917916	-2.8656168	0.46353173	2.140486	0.40494016	3.31329	0.19740155	1.7525101	0.6251634	3.1244795	2.2314127e-07	59.711841344833374	0.0
2	-303.19357	27.421804	-264.28656	-339.00244	-195.24617	87.44865	66.082115	-237.76215	1000.0	1000.0	7999	19.129608	9.865291	50.542152	-2.1049967	19.129387	9.865522	50.198914	-1.6232848	-20.820309	1.035308	2.6265962	0.07140199	2.8570154	2.270555	3.0614595	0.13498576	3.520519	2.5911725	136.82233428955078	0.0
3	179.60779	567.5188	1144.7069	-269.64523	1244.6697	213.00319	1518.715	764.2513	1000.0	1000.0	11999	39.750607	12.197255	80.613235	11.131532	39.75063	12.197017	80.335396	11.225106	-41.154476	1.4787968	2.5332994	0.100485265	2.84831	2.2464101	3.1560216	0.16685267	3.763126	2.6142023	214.30370831489563	0.0
4	1420.2819	359.92862	1791.4806	824.6247	1028.0626	381.98236	1638.23	523.7406	1000.0	1000.0	15999	52.587284	13.67423	100.65905	23.60202	52.58747	13.673821	101.05553	23.292168	-53.590572	1.8728533	2.4985452	0.051517468	2.6592	2.3253305	3.0460377	0.19025458	3.8662567	2.5541987	290.31613278388977	0.0
5	1468.3342	342.67255	1966.7971	1105.3684	2534.3462	281.46896	2777.1243	1720.7106	1000.0	1000.0	19999	66.2971	20.017193	130.42393	30.253296	66.2972	20.01633	129.91003	29.955172	-67.335754	2.9157476	2.5424776	0.055717982	2.7248745	2.3510551	3.5928745	0.21411566	4.593399	2.8815258	369.5950336456299	0.0
6	2403.6597	581.8602	2778.8413	1398.964	2814.405	52.994965	2920.7927	2724.969	1000.0	1000.0	23999	82.13003	27.498213	158.8001	35.566936	82.13025	27.497433	158.35316	35.59568	-83.147934	4.182041	2.5366151	0.046719465	2.6966708	2.3755593	4.150817	0.25009134	5.115338	3.2873497	449.19496035575867	0.0
7	3080.309	186.0097	3284.1765	2782.1697	1966.7292	588.32214	3146.7258	1332.6301	1000.0	1000.0	27999	103.32655	35.41323	190.71068	42.08278	103.3268	35.412884	189.24336	41.72265	-104.33683	5.91875	2.5714555	0.044574283	2.7142	2.364389	4.759404	0.29165465	5.808924	3.93138	531.2422921657562	0.0
8	3558.4412	103.857025	3697.1885	3423.5195	4004.0083	88.826805	4135.022	3845.8342	1000.0	1000.0	31999	127.00963	42.94362	218.68507	48.26049	127.00947	42.943348	216.69937	48.61369	-128.05888	7.0957937	2.6014302	0.0457783	2.7528057	2.432784	5.4115148	0.30132386	6.655383	4.3874326	612.5928933620453	0.0
9	3965.6738	81.087166	4079.7214	3870.5361	4214.5483	111.24273	4429.5005	4033.9785	1000.0	1000.0	35999	152.2118	50.643517	246.57733	54.643593	152.21169	50.642834	246.4208	53.246338	-153.26222	8.540088	2.6215513	0.04358129	2.762145	2.455846	6.010247	0.34136927	7.155422	4.919722	692.4942352771759	0.0
10	4091.216	148.49777	4280.8135	3945.5884	4177.1943	134.18738	4449.128	3996.3452	1000.0	1000.0	39999	177.82832	58.156418	280.73468	59.509697	177.82832	58.155357	281.65558	59.228455	-178.88722	10.439356	2.6516526	0.042662546	2.807582	2.4864144	6.693818	0.3909387	8.461242	5.518054	772.8404638767242	0.0
11	4517.657	145.38757	4734.2427	4348.0015	4720.741	103.809326	4936.7017	4585.135	1000.0	1000.0	43999	203.72623	65.044876	314.43503	63.96065	203.72658	65.043175	314.15848	63.890587	-204.8202	11.800274	2.6926615	0.04128546	2.8384917	2.5328076	7.3433585	0.40722904	8.871427	5.939016	852.736202955246	0.0
