Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-279.53683	25.387215	-238.08708	-305.50717	94.640625	38.997375	156.00545	39.60259	1000.0	1000.0	3999	0.18898574	2.7664154	16.057611	-10.795236	0.18870923	2.7666955	16.04656	-11.059398	-0.34766364	1.0197718	0.29855943	0.093828894	0.5052463	0.19210501	2.0276225	0.64346033	3.4229724	1.5903625e-07	79.0605239868164
2	-263.97137	107.3478	-94.92389	-391.38452	-340.04144	130.16182	-109.616585	-504.99753	1000.0	1000.0	7999	10.251125	7.209748	39.553764	-15.739747	10.250675	7.2098327	40.584415	-15.4918785	-10.98509	3.2566905	0.5445438	0.070862226	0.7499962	0.37652278	4.0206437	0.5785635	5.6748834	2.5541909	180.89547896385193
3	285.14893	493.78638	968.80475	-255.75912	1314.2576	769.47833	2065.9436	-239.67006	1000.0	1000.0	11999	30.049747	9.448592	73.18554	-6.6382246	30.050045	9.447594	71.97286	-5.849421	-30.89006	4.136085	0.62844276	0.050674923	0.86662483	0.4848822	4.7459464	0.2887918	5.864724	3.7084136	284.74248242378235
4	2059.6602	148.05875	2238.6274	1836.4591	2245.4922	67.94143	2340.3145	2132.3975	1000.0	1000.0	15999	46.12484	16.578968	90.24444	-9.864316	46.12507	16.578276	90.33029	-10.01752	-46.542046	3.5321674	0.5946634	0.046152703	0.79134834	0.469206	4.574139	0.26179704	5.559351	3.8074374	390.0312612056732
5	2114.4873	546.49133	2570.1897	1180.4297	2652.4067	26.565067	2696.3489	2599.8586	1000.0	1000.0	19999	64.42731	25.369864	117.80835	-20.725817	64.42719	25.369522	118.122	-21.406826	-64.76706	4.762707	0.6683993	0.046203375	0.86577624	0.5178033	5.1189966	0.3179107	6.256577	4.19402	494.7077262401581
6	2628.0981	67.41543	2711.2437	2557.9675	2873.555	46.87621	2964.5813	2793.7	1000.0	1000.0	23999	86.99552	31.880053	139.4522	-27.651295	86.99547	31.879673	140.53644	-29.855785	-87.283295	5.7210627	0.7484571	0.052411728	0.9796533	0.59231675	5.577177	0.3160614	6.7292967	4.4697666	599.5966782569885
7	2798.9531	70.19915	2859.827	2686.4854	3099.6133	45.54834	3197.8274	3051.9016	1000.0	1000.0	27999	110.91391	35.883247	165.45926	-29.85917	110.91403	35.88297	165.58534	-31.688679	-111.14306	6.4233184	0.81338686	0.044273727	1.0098695	0.66345835	5.9538827	0.32060882	7.073725	4.8819346	704.1138417720795
8	2900.2537	76.14572	3014.3308	2815.463	3288.5552	40.103195	3358.7744	3215.4111	1000.0	1000.0	31999	134.73457	37.33182	187.19888	-22.087557	134.73424	37.3325	187.50641	-26.464237	-134.88011	7.0281234	0.8620489	0.048847355	1.0716455	0.7156281	6.1692576	0.3401724	7.3899827	4.906377	808.8139593601227
9	3151.1104	91.82704	3292.767	3063.3618	3503.0554	74.33615	3628.1702	3425.6104	1000.0	1000.0	35999	156.87216	38.082874	211.78432	-8.28467	156.87204	38.08351	213.09401	-8.087386	-156.92819	7.2771173	0.8852369	0.046592556	1.0514333	0.73610336	6.311352	0.34004533	7.831425	5.2023473	913.249917268753
10	3260.662	103.04215	3407.6892	3118.9019	3721.6602	63.16749	3808.8384	3612.8818	1000.0	1000.0	39999	177.74182	38.70317	231.77696	5.041858	177.74158	38.704197	232.73935	5.703168	-177.72345	7.8228087	0.94358885	0.049570963	1.1328714	0.7898254	6.5600104	0.34895778	7.71952	5.4492583	1017.8576800823212
