Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	-249.54608	30.14808	-201.0493	-282.42896	16.349728	40.520466	91.79047	-66.23939	1000.0	1000.0	3999	0.12784597	2.4607165	16.064669	-11.784721	0.12817912	2.4611077	16.086708	-11.588129	-0.22008182	0.5848418	0.24885327	0.04765497	0.4880693	0.19118004	1.9431206	0.5725567	3.1064346	2.2677825e-07	76.23446321487427	1.0
2	-252.72922	82.262054	-156.92451	-383.19232	323.03845	24.712315	355.86322	266.29285	1000.0	1000.0	7999	6.6504717	6.669754	35.310993	-12.024924	6.650612	6.6701603	35.614857	-11.608759	-7.1014404	3.3082318	0.43805856	0.031061437	0.583052	0.3350022	3.0467708	0.27710602	4.046866	2.3062756	174.717955827713	1.0
3	572.2752	812.9838	1624.5132	-261.24374	1379.6683	387.35544	1764.5062	535.56757	1000.0	1000.0	11999	19.104706	12.424722	62.45276	-7.413462	19.104542	12.42501	63.475723	-8.095265	-19.640415	4.1451464	0.5545668	0.052521963	0.7605278	0.41661352	3.9726508	0.31147	5.325488	3.0293615	274.08393931388855	1.0
4	1619.7135	83.231224	1732.2971	1513.2728	2132.4927	48.070873	2204.6672	2035.3069	1000.0	1000.0	15999	34.27896	19.16901	80.72871	-10.763524	34.27899	19.168768	80.89475	-10.721868	-34.580524	3.4926326	0.5428587	0.031070467	0.67759293	0.4523456	4.0997686	0.21785429	5.0697036	3.3764458	374.18210554122925	1.0
5	2238.7097	92.22891	2365.8572	2105.596	2576.1858	90.434364	2710.8723	2387.4507	1000.0	1000.0	19999	52.344604	25.764072	104.96211	-11.741093	52.34461	25.763779	105.54399	-11.32755	-52.62275	4.5633774	0.5986897	0.043246463	0.76784956	0.46786517	4.6260767	0.31170014	5.8354588	3.6893346	473.97767186164856	1.0
6	2621.976	138.2166	2829.1763	2441.2693	2962.19	41.300423	3017.5588	2879.6777	1000.0	1000.0	23999	75.16159	31.746122	134.1208	-12.413349	75.16159	31.745974	134.669	-12.5267515	-75.4475	5.495276	0.7002178	0.055416822	0.9331884	0.560609	5.3212013	0.31615368	6.7285995	4.405738	575.2339317798615	1.0
7	2846.4937	163.3906	3066.447	2653.6755	3160.452	60.138657	3301.5994	3064.706	1000.0	1000.0	27999	100.66018	36.453102	158.02963	-12.785017	100.66016	36.45296	159.2953	-12.516312	-100.902145	6.2747207	0.79244596	0.053333633	1.0141078	0.63778204	5.828755	0.32093468	7.173859	4.871703	676.907527923584	1.0
8	3143.5452	33.24658	3189.2158	3101.4424	3395.6946	56.94187	3480.2803	3281.5845	1000.0	1000.0	31999	126.59588	40.23313	184.3862	-11.048676	126.59581	40.232784	183.77525	-11.141022	-126.75225	6.6926928	0.8854666	0.057206262	1.179274	0.71167225	6.2877088	0.34223425	7.705189	5.232732	778.2959246635437	1.0
9	3369.8293	121.32609	3502.6497	3188.9238	3686.0352	33.540787	3726.7092	3616.5903	1000.0	1000.0	35999	151.89404	43.422413	212.02719	-9.5917015	151.89421	43.422237	213.1335	-8.652306	-151.96494	7.1290555	0.97360456	0.06263351	1.2111642	0.79428816	6.633667	0.35173193	7.8910666	5.275664	879.1078596115112	1.0
10	3626.5571	208.20183	3779.0288	3267.9624	4033.909	116.866714	4196.102	3819.63	1000.0	1000.0	39999	176.95456	46.32569	241.5178	-3.678057	176.9546	46.32537	241.51393	-3.9431112	-176.97676	7.8252883	1.0934075	0.070028536	1.3465712	0.8786632	7.1217012	0.398067	8.830639	5.643268	980.2490050792694	1.0
11	3802.2803	105.31733	3957.3228	3675.1807	4034.1555	78.74339	4209.4194	3922.7864	1000.0	1000.0	43999	202.2627	48.790047	267.953	-0.41697824	202.26308	48.78947	268.54874	-1.0166492	-202.25499	8.619433	1.1951923	0.06410906	1.4486221	0.98481524	7.580552	0.38477847	9.194509	6.393873	1081.566781282425	1.0
12	3968.0166	87.702385	4098.672	3860.5137	4370.298	59.0913	4447.382	4227.424	1000.0	1000.0	47999	226.5698	50.87019	298.29672	4.877757	226.56982	50.869926	300.93967	5.7898107	-226.45993	9.174486	1.2705017	0.06339053	1.4795719	1.0205387	7.8790402	0.39112875	9.473812	6.4462895	1182.5079786777496	1.0
13	4273.109	49.60432	4352.775	4229.687	4662.491	60.831356	4804.833	4553.498	1000.0	1000.0	51999	249.11998	53.184433	324.95193	9.867051	249.12018	53.18403	322.838	8.642416	-248.96631	9.726077	1.3390218	0.06826206	1.582103	1.070859	8.224596	0.42724293	10.065845	6.9126487	1282.5103487968445	1.0
14	4511.6323	195.16245	4717.623	4242.838	4505.1143	46.598194	4578.364	4433.216	1000.0	1000.0	55999	271.33643	55.532246	347.23303	12.878489	271.33636	55.532013	348.40253	14.130771	-271.157	10.49137	1.4341002	0.06899108	1.7087891	1.2002084	8.629298	0.4278878	10.273151	7.2611423	1383.8125565052032	1.0
15	4558.617	75.0577	4685.3306	4492.45	4881.4453	72.51297	4966.827	4740.5796	1000.0	1000.0	59999	293.44376	56.77974	369.45752	22.43015	293.44394	56.77959	369.9787	21.84587	-293.22043	10.963456	1.5073112	0.06486293	1.8071772	1.2597013	8.966912	0.42398694	10.450147	7.473281	1484.4290192127228	1.0
16	4723.6016	101.47771	4816.0244	4553.278	5056.063	87.799194	5188.5693	4914.872	1000.0	1000.0	63999	314.61935	56.76818	393.66565	31.043633	314.6194	56.768032	394.78104	33.16122	-314.34042	11.752793	1.597906	0.07458866	1.8854878	1.3222255	9.140318	0.44242656	10.743476	7.774061	1585.246750831604	1.0
17	4925.5786	59.872032	5004.115	4851.817	5221.46	68.383125	5341.3906	5121.7734	1000.0	1000.0	67999	333.55637	57.830486	413.09778	45.241966	333.55624	57.83009	412.75653	48.20954	-333.18777	11.726152	1.6066974	0.06646775	1.8083681	1.3844475	9.25574	0.45843562	11.033966	7.72201	1685.856913805008	1.0
18	5095.0693	39.242676	5160.4688	5057.484	5281.8	39.553406	5371.401	5215.1714	1000.0	1000.0	71999	352.1663	58.888306	433.2688	56.3238	352.16647	58.888294	434.25104	57.080757	-351.82074	12.181958	1.689603	0.0654506	1.9254199	1.4630216	9.781839	0.4648885	11.290235	8.191961	1786.423410654068	1.0
19	5189.121	46.789814	5253.5747	5123.167	5172.681	83.91945	5325.143	4979.493	1000.0	1000.0	75999	370.02115	60.35234	449.24976	59.580307	370.02103	60.352196	449.7328	59.198235	-369.6052	12.124335	1.7362026	0.06881971	2.0197706	1.4797384	10.005795	0.47131675	11.726946	8.360023	1887.281606912613	1.0
20	5302.5205	65.86049	5392.696	5232.524	5755.76	83.56036	5888.67	5623.0728	1000.0	1000.0	79999	386.6026	61.9025	465.25946	61.640976	386.6027	61.90264	464.95004	64.44376	-386.16064	12.312381	1.7945824	0.06526086	2.0373223	1.5691825	10.151579	0.48009923	11.973438	8.507561	1989.3541495800018	1.0
21	5551.1865	108.42547	5703.027	5396.545	6023.216	70.02047	6156.623	5921.4326	1000.0	1000.0	83999	402.77267	61.44289	486.24368	72.910484	402.77292	61.4428	486.8228	72.65459	-402.27713	12.526422	1.8377602	0.06385713	2.0479863	1.6233534	10.389674	0.49251956	12.181764	8.811771	2091.033802509308	1.0
