Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-295.77072	89.82935	-189.58391	-437.61896	93.24859	2.9762871	100.02711	87.98465	1000.0	1000.0	3999	-0.32398662	2.7628596	19.16976	-10.957157	-0.3240401	2.7634587	19.029686	-10.684891	0.17667232	0.72431517	0.27270627	0.06408227	0.44149375	0.1838546	1.9829618	0.6749158	3.494611	1.8003203e-07	75.2202639579773
2	-323.2716	153.42459	-117.03179	-526.3009	1009.2179	229.57828	1282.6097	509.1428	1000.0	1000.0	7999	8.768484	9.797472	54.682755	-11.843375	8.7681055	9.79829	53.437138	-11.727934	-9.52811	4.0276766	0.51668745	0.11569343	0.8881078	0.27923882	4.1102324	0.56445843	5.6658964	2.788128	176.1422815322876
3	426.50824	704.4026	1253.2057	-284.90765	1296.6359	42.183342	1382.7402	1222.7257	1000.0	1000.0	11999	30.663815	18.687246	76.37311	-6.8840714	30.66342	18.687105	77.13014	-6.8584833	-31.421244	5.9730744	0.5987617	0.099662155	0.9331764	0.41886905	4.6199994	0.52914405	6.271177	3.2472503	278.33185839653015
4	1758.7656	159.78883	1920.0061	1565.0566	1980.3422	137.35573	2124.9875	1658.4777	1000.0	1000.0	15999	42.45449	23.258879	89.88079	-11.660239	42.454716	23.258131	89.35667	-11.9219675	-42.609993	3.6195087	0.44675878	0.026973696	0.6072849	0.37452796	3.9228835	0.27723274	4.989062	3.0336893	382.2477765083313
5	2229.0312	85.38554	2327.9084	2092.4038	2441.0354	87.30229	2558.1357	2328.8748	1000.0	1000.0	19999	57.19139	29.377377	112.91448	-15.120448	57.19128	29.37702	112.686615	-15.424903	-57.38707	5.0903172	0.51703966	0.04536708	0.6889252	0.40067336	4.63647	0.3160457	5.807578	3.6126297	485.2530975341797
6	2391.1191	88.83733	2482.8774	2245.1567	2738.0015	93.82336	2885.5366	2569.4448	1000.0	1000.0	23999	77.06027	35.153164	134.94562	-18.088985	77.06036	35.153362	134.36496	-17.790506	-77.1903	6.9187627	0.5767601	0.037417967	0.7264017	0.4682467	5.2295666	0.3165224	6.7100925	4.189933	588.6260952949524
7	2604.9175	50.66129	2675.0063	2543.932	2903.2397	77.48781	3023.7874	2755.7754	1000.0	1000.0	27999	98.24276	39.63751	156.53345	-22.851738	98.2428	39.638012	155.94095	-22.284702	-98.303894	8.227205	0.62130886	0.036936764	0.7678185	0.47974968	5.6557746	0.30041218	6.8171897	4.6165185	692.9919831752777
8	2739.8643	65.43763	2837.0305	2667.9722	3121.0034	112.09437	3309.6562	2912.456	1000.0	1000.0	31999	118.71241	43.523357	179.19188	-27.399109	118.71239	43.52384	178.5055	-29.912088	-118.69044	8.933652	0.64819837	0.038032826	0.80517507	0.5114177	5.9545507	0.30305925	6.9846277	4.8482122	796.6232776641846
9	2936.0188	92.13245	3076.88	2821.3086	3226.2334	96.18978	3393.613	3081.4446	1000.0	1000.0	35999	138.23412	46.43916	197.02373	-32.06509	138.2339	46.439873	198.06212	-32.1656	-138.15868	9.554451	0.6737452	0.037397623	0.8491176	0.55568725	6.1808934	0.3169769	7.5332437	5.071824	901.4387049674988
10	3050.6865	109.43144	3158.1462	2913.823	3212.7788	50.43036	3303.4111	3139.9563	1000.0	1000.0	39999	156.73341	48.547493	218.61678	-34.22566	156.73337	48.5479	219.20041	-34.32046	-156.59909	10.165149	0.71769726	0.04184219	0.9259244	0.6013223	6.422364	0.32818016	7.7411876	5.280407	1004.6880779266357
11	3079.734	42.100044	3122.522	3010.5928	3384.6477	74.58507	3535.297	3271.0918	1000.0	1000.0	43999	174.19128	50.10642	233.77583	-38.205563	174.19112	50.106853	234.10239	-38.029873	-173.99634	10.934008	0.72779495	0.039717462	0.8970815	0.6070724	6.5577765	0.32560515	7.702106	5.4461927	1107.7733306884766
12	3282.99	143.33975	3459.2935	3126.119	3486.209	75.57435	3603.1548	3365.6577	1000.0	1000.0	47999	190.28935	51.350494	251.5238	-34.784817	190.2892	51.350876	250.77777	-33.10625	-190.04045	11.279351	0.7537689	0.041294023	0.9277863	0.61181074	6.7591996	0.33356962	7.9710975	5.7425046	1211.6154537200928
13	3266.359	97.514114	3389.3735	3131.0432	3724.4226	112.00916	3896.8801	3571.8105	1000.0	1000.0	51999	204.94987	52.442753	264.35416	-34.885845	204.94978	52.443287	264.14267	-32.902763	-204.6848	11.917602	0.77145684	0.04309352	0.9301695	0.6355171	6.925475	0.34078905	8.293313	5.805899	1315.0441875457764
14	3412.135	62.614117	3487.856	3341.8196	3659.3796	74.4567	3799.44	3565.886	1000.0	1000.0	55999	219.01346	52.824226	282.14844	-34.634342	219.01324	52.82458	281.8653	-34.99747	-218.71237	12.4288435	0.7950433	0.041682247	0.9755302	0.64671814	7.059495	0.3401354	8.35924	5.937452	1418.9333171844482
15	3486.5464	73.19429	3590.7046	3387.7742	3790.4868	77.511696	3902.8374	3672.8682	1000.0	1000.0	59999	232.22644	52.831055	293.98288	-23.88871	232.2264	52.831646	294.57983	-22.831099	-231.90561	12.85293	0.82602257	0.0441801	0.9657191	0.675964	7.2609706	0.3509039	8.616235	6.088057	1523.6609082221985
16	3546.6228	78.61181	3667.2036	3455.099	3963.8384	74.53846	4121.982	3853.5056	1000.0	1000.0	63999	244.62337	53.190746	307.011	-11.892927	244.62318	53.191246	307.35117	-12.440084	-244.26611	13.277023	0.84103894	0.044932682	1.0177398	0.7145008	7.3520403	0.3555225	8.587821	6.1949925	1628.3616030216217
17	3613.605	99.020195	3758.1174	3493.7751	3985.6235	79.87664	4135.202	3893.8018	1000.0	1000.0	67999	256.00174	53.475227	318.47272	-7.791151	256.0019	53.474636	319.05853	-10.861546	-255.61838	13.866666	0.871707	0.05006033	1.0602825	0.7050822	7.457501	0.3603376	9.245308	6.2328706	1732.6835496425629
18	3734.332	122.65479	3863.9795	3588.5134	4142.3867	68.40659	4269.7466	4042.281	1000.0	1000.0	71999	267.26157	53.373837	328.0304	-3.464434	267.2617	53.374153	328.57452	-3.2484756	-266.84836	14.171144	0.9054163	0.05099706	1.1406016	0.73957056	7.6021256	0.36197257	9.0664215	6.4098125	1837.3274137973785
19	3847.0002	103.5095	3969.2402	3682.798	4368.3154	60.263847	4451.4766	4287.047	1000.0	1000.0	75999	277.50537	53.655167	339.03455	-1.1185243	277.50525	53.6551	337.49402	-1.1932654	-277.07642	14.484764	0.92528456	0.050756942	1.1495373	0.76228756	7.6418333	0.36081454	9.071485	6.460228	1942.3000268936157
20	4043.1802	80.32436	4166.381	3946.1753	4426.323	110.59232	4596.283	4150.7734	1000.0	1000.0	79999	287.66815	53.058865	347.95486	4.345763	287.6682	53.058716	348.97827	4.9063544	-287.2189	14.698109	0.95360786	0.05081457	1.1560867	0.7874243	7.757564	0.37864435	9.2618065	6.472168	2046.5393135547638
21	4053.0813	65.05973	4136.5225	3967.759	4628.4736	71.94798	4738.099	4507.8994	1000.0	1000.0	83999	297.81277	52.717304	362.77594	10.347139	297.81265	52.717346	361.4606	11.167677	-297.35217	15.027748	0.9955619	0.058340654	1.2007399	0.80415994	7.9314804	0.372601	9.506849	6.6728415	2150.741297721863
22	4155.2793	62.206028	4238.5396	4095.1077	4689.135	71.715324	4775.759	4512.938	1000.0	1000.0	87999	307.8446	53.019466	370.70602	15.146941	307.84445	53.019558	371.30743	16.038239	-307.36954	15.425462	1.0264	0.053700734	1.2589194	0.84189487	7.978263	0.3837023	9.735159	6.7138195	2255.8733785152435
23	4423.843	177.59996	4678.3726	4223.999	4789.3384	84.56424	4925.1133	4676.2886	1000.0	1000.0	91999	317.82047	52.69544	382.29236	20.042969	317.82056	52.69565	383.59167	20.225298	-317.32495	15.930987	1.0809782	0.056736477	1.2868237	0.90762645	8.11292	0.3908723	9.649762	6.80757	2360.1642248630524
24	4448.212	89.068306	4526.735	4300.454	4917.9834	729.90326	5382.4844	2762.814	1000.0	1000.0	95999	328.5118	52.653587	393.34952	27.530884	328.51157	52.653606	394.2823	28.377468	-328.01993	15.943557	1.1278291	0.06116317	1.3508754	0.9481175	8.288547	0.39262733	9.523295	6.951369	2463.9329674243927
25	4752.148	39.60608	4802.116	4691.29	5255.8154	95.37688	5426.6724	5094.3193	1000.0	1000.0	99999	340.12808	52.88012	416.11084	35.008335	340.12833	52.880383	416.03986	36.452305	-339.6396	16.623074	1.201726	0.061616484	1.4165058	0.9891045	8.545595	0.4059485	10.197912	6.95628	2568.4941680431366
26	4088.3901	1386.1534	4953.6445	1689.3588	5534.755	115.34073	5787.946	5345.179	1000.0	1000.0	103999	352.05716	54.313034	437.5833	40.93815	352.05713	54.312366	435.6275	41.92329	-351.56763	17.739172	1.2492591	0.06212425	1.4769913	1.0239745	8.651035	0.4061718	10.072501	7.128756	2672.494115591049
27	5003.533	240.04227	5312.2617	4743.96	5626.169	108.48743	5780.7017	5419.185	1000.0	1000.0	107999	362.697	58.681656	448.34213	33.57667	362.697	58.68215	448.00433	31.256086	-362.1711	18.068825	1.2943139	0.066483766	1.536063	1.0719324	8.779768	0.43155637	10.661389	7.1916943	2777.0457577705383
28	5482.3315	236.95331	5784.9824	5249.6133	5198.3213	1468.6404	5959.717	907.0002	1000.0	1000.0	111999	374.21097	63.03164	470.1634	9.44966	374.21097	63.031452	470.5562	9.495546	-373.68484	18.289906	1.3781028	0.06800734	1.7245836	1.1390864	9.059863	0.4383228	10.77885	7.444049	2881.4744288921356
29	4354.118	2057.2788	5749.9214	818.34375	5879.9097	602.80646	6373.3105	4165.7197	1000.0	1000.0	115999	387.12	68.602104	489.17603	-11.584818	387.12	68.60172	488.8368	-13.042504	-386.633	18.677954	1.4449235	0.068046615	1.690615	1.243643	9.405069	0.4559989	11.409619	7.790117	2986.4235875606537
30	4586.166	1865.062	5912.5073	1366.9916	6360.965	64.66405	6429.7046	6240.8804	1000.0	1000.0	119999	399.67017	77.39381	516.1755	-57.903614	399.6702	77.39312	516.19446	-52.647026	-399.174	20.102457	1.5105188	0.072472356	1.8165365	1.2500931	9.57089	0.46917754	11.141488	7.977259	3090.298673391342
31	4345.8975	2194.3474	6187.958	678.63794	6390.888	175.12129	6602.2656	6033.1455	1000.0	1000.0	123999	411.29388	89.48689	542.9632	-87.30101	411.29407	89.48697	543.9086	-89.55678	-410.86862	24.407307	1.609922	0.07826148	1.8549972	1.3448598	10.035059	0.5053894	12.296712	8.528749	3193.983916282654
32	5257.9814	1409.217	6411.6016	2854.4155	6361.2817	150.76567	6548.2266	6030.6865	1000.0	1000.0	127999	426.58972	94.50385	561.0823	-89.01972	426.5899	94.503426	562.369	-93.24046	-426.16757	26.707993	1.6670337	0.07379643	1.921251	1.4385929	10.444558	0.49811083	12.251711	8.683515	3298.217833042145
33	4954.8965	2070.5437	6201.6035	1369.1614	5839.1064	166.09949	6140.4023	5503.1367	1000.0	1000.0	131999	438.7013	101.17263	577.2628	-65.18297	438.7012	101.17286	577.60504	-85.22862	-438.23325	28.331125	1.6922541	0.076005034	1.9353006	1.4196949	10.551683	0.52322996	12.382309	8.77967	3402.9005949497223
34	6128.561	281.3143	6378.0864	5658.461	6215.992	188.7521	6510.933	5875.27	1000.0	1000.0	135999	451.8214	106.09212	589.8464	-68.11936	451.82187	106.09182	589.13965	-78.73721	-451.35947	30.679586	1.7615135	0.072693035	2.0554593	1.5151256	10.843538	0.53535724	12.835902	8.953597	3507.1317059993744
35	6534.2476	88.578064	6668.7153	6451.104	6695.907	132.98189	6883.187	6411.2793	1000.0	1000.0	139999	464.5001	109.48502	610.6932	-53.080875	464.50015	109.4844	609.6822	-59.574345	-463.96707	31.219715	1.7986318	0.070826925	2.0773149	1.539922	10.919882	0.5474094	13.015992	9.176859	3611.2176401615143
36	6687.836	114.53624	6868.8394	6571.3975	7112.6924	79.73131	7259.872	7001.175	1000.0	1000.0	143999	478.0431	111.15107	635.1841	-62.70526	478.04303	111.15046	635.5225	-60.32633	-477.51462	30.530254	1.8687664	0.0756382	2.1424468	1.6129614	11.299802	0.5589907	13.746451	9.673127	3715.165843486786
37	6985.9985	297.1967	7300.4443	6518.587	6925.736	93.29513	7078.5566	6820.7617	1000.0	1000.0	147999	491.88293	112.983635	646.3368	-56.131695	491.88263	112.984024	648.4814	-50.408455	-491.33655	32.185825	1.9247361	0.07147702	2.1703348	1.6398298	11.558715	0.5669833	13.656028	9.653746	3819.0015382766724
38	7281.655	106.833374	7389.969	7105.2188	7399.897	123.46501	7614.363	7232.2886	1000.0	1000.0	151999	505.74432	115.07858	668.6391	-58.555943	505.7443	115.07806	669.01166	-60.429733	-505.2163	31.176262	1.9639839	0.07002417	2.2319567	1.7471067	11.952244	0.5892254	14.210412	10.137318	3923.1437437534332
39	7377.919	57.502254	7444.6313	7291.8247	7809.5454	80.04274	7926.43	7668.8228	1000.0	1000.0	155999	520.15485	116.93482	695.4455	-46.099934	520.1551	116.935326	695.22186	-42.06943	-519.60895	32.476093	2.0009706	0.07043708	2.2666922	1.7346117	12.335054	0.60215765	14.7310295	10.22039	4027.553248643875
40	7597.0957	78.8774	7674.286	7465.1304	7415.409	123.49759	7577.3926	7217.6436	1000.0	1000.0	159999	534.1945	119.309296	713.82306	-40.16719	534.1941	119.30929	711.8802	-40.324078	-533.6745	32.401146	2.054648	0.07076841	2.3182702	1.82454	12.607905	0.60803217	14.892828	10.319963	4131.418558597565
