Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-146.8096	57.821808	-76.123276	-204.0005	-34.825645	1.4278227	-32.15983	-37.241055	1000.0	1000.0	3999	-0.48382124	-0.48390645	0.5545841	0.24382074	0.29921994	0.10652031	0.57965535	0.12802656	0.7571257	0.28911564	1.177843	0.31790164	71.47223615646362
2	-22.739113	115.70488	174.57037	-120.36704	180.23242	4.721051	188.20189	172.32323	1000.0	1000.0	7999	9.809567	9.809564	-9.848759	2.2605839	0.9147998	0.23632015	1.4433625	0.44527715	1.3887413	0.07443478	1.5481887	1.1775767	161.68686485290527
3	131.28937	17.597982	159.24911	113.95776	132.30246	6.0355945	144.73164	124.257996	1000.0	1000.0	11999	47.040535	47.040257	-48.18602	4.7700567	1.6588365	0.18010256	1.9753921	1.1340396	0.9457431	0.23065592	1.2763702	0.51226133	252.80517959594727
4	161.7004	73.446915	259.22125	52.25096	244.27275	13.86352	262.88303	219.04416	1000.0	1000.0	15999	76.784706	76.78441	-77.42227	3.971104	1.8462911	0.047648378	2.0014277	1.6580497	0.4344197	0.045307603	0.5151492	0.3383648	345.0371310710907
5	273.99115	42.752296	316.1716	220.68896	215.11575	14.265907	247.43224	205.43768	1000.0	1000.0	19999	87.615	87.61483	-87.986374	2.909615	1.8492408	0.04534355	2.006688	1.6702466	0.3949375	0.026621465	0.45404872	0.334141	437.8089292049408
6	303.82452	45.54893	364.16574	256.0709	274.8542	7.8286858	290.36423	261.53305	1000.0	1000.0	23999	94.83753	94.83724	-95.279106	2.6520398	1.8469055	0.045767587	2.0031826	1.6605949	0.32982102	0.020186448	0.37318015	0.29703134	530.9926090240479
7	330.4649	59.7217	425.41446	276.11597	457.81134	30.480412	522.9543	425.9047	1000.0	1000.0	27999	99.23623	99.23601	-99.6213	2.853016	1.8335595	0.050597053	2.03053	1.6440184	0.381455	0.038645156	0.4521682	0.29728487	623.1700100898743
8	393.70172	115.86749	535.8641	226.2721	583.7699	53.7853	648.59375	502.46774	1000.0	1000.0	31999	103.18269	103.18287	-103.40233	2.4528883	1.8236011	0.04977025	1.969259	1.6325991	0.37838522	0.04123431	0.44714746	0.29431117	714.8764481544495
9	754.4635	142.10458	944.72504	543.8373	990.8917	60.420113	1105.0723	917.9977	1000.0	1000.0	35999	102.12457	102.12453	-102.24712	2.4319756	1.7260444	0.05829516	1.9371586	1.5290626	0.32589513	0.019459525	0.3629008	0.28024906	806.2808954715729
10	966.24567	105.38043	1064.3508	788.88293	1147.6038	77.90462	1283.3143	1020.48175	1000.0	1000.0	39999	101.73712	101.7371	-101.808174	2.7855198	1.7020218	0.050680835	1.9251857	1.5384674	0.41753352	0.03556853	0.49166992	0.33128706	897.890252828598
11	1006.1189	112.510574	1185.0793	895.2967	841.64825	24.162018	898.73096	807.75476	1000.0	1000.0	43999	102.0489	102.04884	-102.05469	2.739099	1.7007443	0.045056045	1.8633639	1.515259	0.3835635	0.011679027	0.41424412	0.35258058	989.8843352794647
12	1011.38965	75.95489	1099.5697	920.40125	1196.3689	52.00065	1269.7239	1121.3586	1000.0	1000.0	47999	102.49508	102.49504	-102.465126	2.8590333	1.6993766	0.048626713	1.8692142	1.5363153	0.39485806	0.017025234	0.432375	0.34925723	1081.7301232814789
13	1031.404	98.01827	1122.7094	884.64777	1422.97	148.9978	1623.1561	1210.3365	1000.0	1000.0	51999	102.66922	102.66915	-102.585594	2.8913252	1.6998543	0.050429445	1.9410307	1.511197	0.38443878	0.016571004	0.42407838	0.34480855	1174.3985509872437
14	1011.1872	230.09486	1208.1837	629.2046	1186.1753	41.701225	1260.3141	1136.1976	1000.0	1000.0	55999	103.24139	103.24113	-103.15838	3.1873155	1.6980747	0.046254173	1.9127672	1.506444	0.36961213	0.016051779	0.39904565	0.3311193	1265.802582502365
15	1203.6005	71.696045	1323.3085	1145.8594	1447.6248	251.19307	1689.542	779.6344	1000.0	1000.0	59999	103.63339	103.63348	-103.53449	3.2172763	1.7016441	0.047719277	1.8681318	1.5318913	0.36932725	0.019639868	0.4118032	0.32510644	1357.742338180542
16	1474.5967	130.73383	1605.6777	1257.8119	1300.7821	79.881195	1426.8448	1166.5282	1000.0	1000.0	63999	105.32979	105.32989	-105.209465	3.2762287	1.6994568	0.044878464	1.8551561	1.5178499	0.39837483	0.014971367	0.4302291	0.35352167	1448.837479352951
17	1490.2284	179.28645	1719.1248	1265.7487	1708.5928	115.59891	1960.1587	1528.0452	1000.0	1000.0	67999	108.02567	108.02571	-107.92743	3.4702349	1.7012893	0.04618564	1.8724173	1.5213075	0.3886891	0.012326179	0.4160173	0.35846522	1540.5770263671875
18	1654.729	48.74108	1705.1367	1587.8353	1674.693	119.82636	1829.1857	1441.9982	1000.0	1000.0	71999	111.31865	111.31874	-111.207054	3.711013	1.7012006	0.04747873	1.8626567	1.5343282	0.4080597	0.020761589	0.46423748	0.35668576	1632.6960988044739
19	1728.3414	57.47577	1810.6874	1656.5566	1801.1725	140.46228	2035.0643	1514.0035	1000.0	1000.0	75999	115.61603	115.61585	-115.54984	3.7052162	1.698271	0.046312343	1.8632679	1.5339055	0.39776444	0.024421671	0.45391807	0.3574907	1725.0870568752289
20	1788.7194	125.815125	1981.2731	1630.8898	1761.7588	87.97134	1898.7955	1656.9302	1000.0	1000.0	79999	119.79758	119.79761	-119.69178	3.9205167	1.6996197	0.04592501	1.8667907	1.54763	0.38946438	0.021192735	0.44852144	0.34526098	1816.628835439682
21	1735.0889	115.450554	1910.292	1627.1201	1832.9606	85.64123	1933.7638	1671.8612	1000.0	1000.0	83999	123.31208	123.31237	-123.16031	4.068753	1.7006736	0.046614483	1.8586138	1.5296311	0.41090673	0.027205937	0.46809474	0.35809267	1908.162222146988
22	1865.4736	182.39403	2065.5857	1646.3268	1947.6741	126.231606	2099.598	1659.2645	1000.0	1000.0	87999	127.56066	127.56075	-127.437454	4.278759	1.6985728	0.04593453	1.861306	1.5227355	0.3888752	0.022258572	0.45710123	0.35361138	1999.5950255393982
23	1829.3253	305.8886	2115.2673	1316.2831	1950.9167	71.19806	2051.9421	1824.355	1000.0	1000.0	91999	130.22449	130.22447	-130.06667	4.5077305	1.702384	0.04420222	1.8660208	1.5542771	0.37418196	0.031754255	0.43920788	0.33092633	2091.629792690277
24	2301.2734	138.54323	2462.7192	2127.5938	2040.2449	136.35628	2291.2688	1864.8181	1000.0	1000.0	95999	134.15268	134.15263	-133.95206	4.756144	1.6999822	0.043859217	1.8645645	1.5277761	0.45066774	0.017436627	0.48340654	0.42428675	2183.4201748371124
25	2293.5356	138.62662	2531.983	2188.1682	2457.0771	112.34145	2587.2998	2250.4253	1000.0	1000.0	99999	139.04515	139.04526	-138.88026	4.735791	1.699049	0.04510795	1.8480278	1.561398	0.4140084	0.021743407	0.46938106	0.36794406	2275.33953499794
26	2218.097	354.26407	2561.5554	1624.3217	2255.0962	82.4698	2458.0142	2156.2388	1000.0	1000.0	103999	143.28148	143.28148	-143.11972	4.9478602	1.6996553	0.043628115	1.858204	1.5418102	0.4004499	0.01845231	0.4467877	0.36642402	2367.0775146484375
27	2344.9443	86.585266	2454.9387	2247.2014	2431.7651	143.70555	2669.0547	2182.4304	1000.0	1000.0	107999	148.00485	148.00491	-147.84715	5.13078	1.7014582	0.047725048	1.8661855	1.5263551	0.4300967	0.022113932	0.47227314	0.3741684	2458.6653332710266
28	2294.0532	154.82774	2427.7822	2043.5208	2262.786	124.392334	2405.958	1947.9197	1000.0	1000.0	111999	153.2116	153.21155	-153.05026	5.246571	1.698097	0.046563663	1.8410426	1.5093442	0.41567218	0.021044914	0.46890298	0.3759652	2550.848817586899
29	2348.0154	112.26363	2529.9229	2234.0405	2532.3833	193.77452	2813.97	2180.0378	1000.0	1000.0	115999	157.2618	157.26192	-157.1081	5.4878616	1.7006507	0.045080505	1.8560685	1.5448444	0.3875351	0.018822448	0.41850412	0.34801146	2642.8973343372345
30	2389.4087	189.77763	2701.629	2201.0288	2282.3936	41.196743	2364.933	2215.508	1000.0	1000.0	119999	160.79956	160.79941	-160.64044	5.550597	1.6986367	0.04462593	1.890937	1.5355484	0.37836188	0.014262297	0.4088648	0.3508157	2733.634082555771
31	2534.9795	278.73428	2818.854	2251.1023	2854.9192	192.04514	3025.0818	2372.9307	1000.0	1000.0	123999	164.14272	164.14272	-163.98947	5.744981	1.6990535	0.047470413	1.8872318	1.5337106	0.36777905	0.023146916	0.42100152	0.32926738	2824.231854200363
32	2565.0217	250.46034	2946.8252	2327.0154	2860.7754	16.919704	2892.0728	2841.0076	1000.0	1000.0	127999	167.50697	167.50716	-167.31227	5.9461513	1.7025095	0.045578495	1.8652859	1.5207666	0.36621	0.019230116	0.42336917	0.32425895	2916.0097682476044
33	2507.099	196.59294	2792.3083	2294.4453	2388.5337	112.34983	2536.8508	2077.587	1000.0	1000.0	131999	170.72842	170.72845	-170.5068	6.381981	1.6999983	0.046651974	1.8682133	1.5483035	0.42231828	0.026356371	0.5105789	0.37793007	3007.9846229553223
34	2309.5154	578.53265	2726.0493	1315.0406	2332.4329	109.98605	2486.147	2090.0627	1000.0	1000.0	135999	174.8462	174.84631	-174.67813	6.665902	1.6977758	0.049199577	1.9131216	1.5316061	0.39823067	0.026765857	0.4503743	0.33908173	3100.110642671585
35	2922.392	181.75554	3106.2888	2682.9404	2671.1128	112.74107	2821.189	2386.1592	1000.0	1000.0	139999	178.46207	178.46216	-178.32935	7.0299315	1.7004943	0.05021897	1.915326	1.5104989	0.35342333	0.017736055	0.40947393	0.3187242	3192.2313418388367
36	3032.8484	66.745026	3114.587	2949.4097	3368.2827	9.768192	3390.5144	3355.7703	1000.0	1000.0	143999	182.21346	182.21368	-182.06	7.24618	1.7003198	0.048736643	1.9229515	1.5095328	0.366856	0.026721975	0.42292866	0.30347177	3283.7290148735046
37	2980.0286	130.27165	3111.5356	2784.2534	3045.775	109.373604	3229.788	2871.3594	1000.0	1000.0	147999	186.49492	186.49498	-186.33026	7.469313	1.7002944	0.048058692	1.8657007	1.5310066	0.3995062	0.019481234	0.44102925	0.36213502	3375.3919410705566
38	2933.2031	120.95466	3122.5603	2794.2202	2743.7263	186.44498	2936.3293	2386.386	1000.0	1000.0	151999	191.1522	191.15224	-191.03978	7.547401	1.6994582	0.04745222	1.8680282	1.53285	0.3829046	0.017611176	0.4309127	0.35366094	3467.0689191818237
39	2907.9956	99.094376	3020.8948	2804.311	3367.148	4.642471	3374.2942	3357.5762	1000.0	1000.0	155999	195.78381	195.78392	-195.67212	7.886264	1.7006011	0.049992867	1.8889412	1.4667746	0.36814997	0.018659437	0.42098582	0.31975618	3558.7472846508026
