Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
1	-137.6303	63.066067	-85.335884	-245.27605	108.31816	14.654879	117.270035	79.01376	1000.0	1000.0	3999	3.6544943	6.8094397	47.01989	-21.865248	3.6545434	6.809257	46.639347	-22.157684	-4.6238785	0.45181197	1.8308207	0.58839595	2.299144	0.13452171	0.040259283	0.022809677	0.09990005	0.01121932	72.12024903297424
2	0.24082279	124.537285	214.47296	-90.47726	202.85991	27.269302	239.02672	148.89629	1000.0	1000.0	7999	37.053135	22.787962	146.13725	-20.196712	37.053074	22.787374	144.8175	-20.090427	-39.731377	3.288637	2.137617	0.0394778	2.2654836	2.0032542	0.007033052	0.00087040296	0.011209113	0.0067190686	160.02710723876953
3	207.199	361.45944	751.01276	-134.92317	156.90077	1.0801071	158.16374	154.99512	1000.0	1000.0	11999	79.02923	33.11154	167.95247	15.947071	79.02906	33.11105	169.57027	15.98388	-81.20533	5.629584	2.167625	0.03383381	2.2621934	2.0361764	0.0067381	1.0400763e-06	0.0067416136	0.006735027	254.87043714523315
4	232.43217	18.599611	247.5244	200.7871	264.1601	20.409931	306.08368	240.01947	1000.0	1000.0	15999	104.2379	35.63854	200.21556	24.033962	104.23777	35.63831	199.4061	24.340036	-105.82255	5.094587	2.1834302	0.03294234	2.2927759	2.0427883	0.0067381077	1.0111746e-06	0.006741482	0.006734931	356.9501402378082
5	255.71059	101.286705	429.7573	181.38055	254.95818	6.4331307	259.77057	236.36858	1000.0	1000.0	19999	122.63465	31.5025	231.8213	35.889088	122.63443	31.503529	233.24031	35.13223	-124.18695	4.7613115	2.1612709	0.039117724	2.2840917	2.039578	0.006738095	1.0514389e-06	0.006741646	0.0067346063	457.4288306236267
6	225.97006	29.06052	274.25177	198.99994	383.30048	32.295185	461.78915	338.9672	1000.0	1000.0	23999	133.29172	28.706121	243.59941	62.995155	133.29189	28.705603	245.42062	61.944916	-134.67928	4.44879	2.1966856	0.049735636	2.320709	2.0450568	0.0067381524	1.1009141e-06	0.0067416974	0.0067346897	586.9316427707672
7	431.69778	113.559784	546.6571	250.97139	481.8431	34.92759	523.9624	397.87347	1000.0	1000.0	27999	138.47812	28.920631	249.36513	83.46613	138.47826	28.920591	247.30193	82.163246	-139.31802	3.594357	2.2159116	0.035848003	2.344465	2.0894432	0.0067381742	1.1567622e-06	0.0067426036	0.006734269	695.0544979572296
8	240.16864	27.470213	275.29788	200.84787	570.3166	222.93967	948.7886	147.01909	1000.0	1000.0	31999	135.24594	32.23221	253.6968	75.14703	135.24577	32.232887	253.72855	77.255264	-136.0419	4.104485	2.2379942	0.03089605	2.3277447	2.09666	0.0067381575	1.0812962e-06	0.0067419354	0.0067346515	798.3150427341461
9	256.97278	52.978333	339.87357	195.2516	117.45193	4.557365	123.66297	111.959366	1000.0	1000.0	35999	134.24156	38.91271	284.56277	60.31844	134.24104	38.91473	286.05774	60.158688	-135.15619	5.454012	2.2261376	0.030992499	2.3291538	2.1036952	0.0067381575	1.1475942e-06	0.006742816	0.006734253	907.0777564048767
10	209.75853	70.15093	316.3525	145.13911	283.68158	92.919815	491.18533	157.32344	1000.0	1000.0	39999	134.54645	47.210037	305.318	46.752506	134.54588	47.21127	305.81158	46.0981	-135.486	5.251534	2.2221792	0.028180012	2.3125129	2.1164079	0.006738143	1.0695188e-06	0.0067416877	0.006734584	1010.387925863266
