Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
1	-30.512478	134.44456	201.58331	-121.356705	257.9646	1.620466	261.26794	256.3322	1000.0	1000.0	3999	0.15397555	0.15380535	-0.093609214	0.23731343	0.2841142	0.100253426	0.62509394	0.12522058	0.7619803	0.35742006	1.4951859	0.3002892	71.45341563224792
2	-100.51553	23.575962	-71.777756	-131.66043	247.59587	5.0244946	255.37071	239.30318	1000.0	1000.0	7999	15.399873	15.39934	-15.467017	5.605274	0.8776647	0.2327329	1.393716	0.40555203	1.996575	0.20572318	2.315878	1.4919612	162.7749743461609
3	148.7236	153.79727	282.38858	-102.00493	215.0573	18.532175	252.57385	196.43999	1000.0	1000.0	11999	48.064957	48.06559	-48.42385	3.2085695	1.5294658	0.13413827	1.7932297	1.0715564	0.95170933	0.3086434	1.9189314	0.7029802	256.26307559013367
4	329.1148	57.516037	426.70523	277.81073	587.76074	96.00596	728.3498	416.29306	1000.0	1000.0	15999	65.76442	65.7644	-66.10569	2.966003	1.6421022	0.04975663	1.825554	1.4723855	0.61696345	0.10720445	0.82136387	0.48856473	349.7577612400055
5	279.87906	49.122314	343.04318	224.73688	422.57095	29.388971	487.39526	380.7653	1000.0	1000.0	19999	77.44138	77.44167	-77.865234	4.3228846	1.6479337	0.055807	1.8302972	1.4103473	0.49481133	0.0184526	0.53039205	0.45564547	442.1738247871399
6	305.10736	63.474926	413.37424	258.71194	238.9823	101.893364	395.83664	-2.3540475	1000.0	1000.0	23999	88.80962	88.80998	-89.09487	5.156837	1.6541406	0.06479802	1.9035188	1.3943387	0.5335504	0.05107351	0.6197908	0.43313086	536.487987279892
7	296.0725	114.17815	471.93945	162.7411	285.64383	33.094334	336.66516	243.3212	1000.0	1000.0	27999	101.16001	101.15998	-101.305954	5.2687273	1.650252	0.06340442	1.8700242	1.3588982	0.59716886	0.041595038	0.70415026	0.51542884	630.3637025356293
8	373.90936	90.148705	453.21732	225.61407	552.52057	53.340237	660.8137	501.28632	1000.0	1000.0	31999	107.4323	107.43259	-107.58269	5.2050056	1.6480706	0.05637772	1.9167999	1.4517794	0.555062	0.026722543	0.6210755	0.49644542	723.932776927948
9	613.521	70.05909	706.31805	521.65826	455.67596	59.93115	554.1794	376.6459	1000.0	1000.0	35999	109.06682	109.06673	-109.10422	5.207554	1.6497074	0.056805715	1.8505555	1.445422	0.50389326	0.038778175	0.5936832	0.42984897	817.9564895629883
10	301.52658	87.74852	451.92685	232.24512	340.3541	2.8841877	344.76285	335.3267	1000.0	1000.0	39999	109.53061	109.53076	-109.57359	5.2867665	1.6497464	0.060680892	1.8656815	1.388771	0.5466595	0.027713444	0.61941934	0.49076885	911.9404158592224
11	565.8713	32.68097	618.27997	528.637	306.15076	4.3722715	310.9343	297.7205	1000.0	1000.0	43999	112.54926	112.54901	-112.668015	5.4940057	1.6536461	0.058026593	1.8678644	1.4480103	0.62099886	0.06580979	0.74490833	0.4821358	1005.5789861679077
12	457.59628	93.711464	587.4031	367.68665	417.7914	98.732765	638.3632	330.98566	1000.0	1000.0	47999	118.5083	118.50856	-118.585464	5.8524346	1.651322	0.058242194	1.8740629	1.4676731	0.65241486	0.038490005	0.7486188	0.59117615	1098.908845424652
13	670.6623	85.403824	812.2152	594.6879	411.10776	168.5034	912.85614	302.1284	1000.0	1000.0	51999	121.43282	121.43299	-121.395966	5.662959	1.6468835	0.054657213	1.8431629	1.4639273	0.59781396	0.04568907	0.7193335	0.5010718	1192.5883643627167
14	749.51544	213.03656	1022.9223	424.85916	912.004	291.98547	1201.6473	338.3942	1000.0	1000.0	55999	122.00827	122.00803	-121.96439	5.803901	1.651298	0.052577436	1.8452716	1.4765499	0.58626515	0.030240528	0.64219534	0.5258264	1285.9462778568268
15	601.2318	218.08257	959.3727	405.61838	505.77173	122.25242	719.8588	328.2993	1000.0	1000.0	59999	122.79201	122.79189	-122.78888	5.6867275	1.6435882	0.05355177	1.8144505	1.4391594	0.50140566	0.08377678	0.65624934	0.38731137	1378.9032673835754
16	942.7434	171.84708	1101.9053	672.9112	1018.1831	56.675198	1094.0463	930.3475	1000.0	1000.0	63999	120.51897	120.51889	-120.46731	5.850486	1.6543137	0.055242073	1.885648	1.4740776	0.45796296	0.058197938	0.5853302	0.3655077	1471.3669884204865
