Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-22.508541	181.01299	287.57416	-169.40468	149.95796	2.0793738	153.74335	146.91002	1000.0	1000.0	3999	3.6868484	6.5682645	66.029755	-15.45092	3.6869366	6.5683107	65.77249	-15.656279	-4.429124	0.3877155	2.4275043	0.19135919	2.4857333	0.13271597	1.6153154	0.8989916	3.422014	1.1078289e-07	63.88343334197998
2	-141.56401	60.273186	-76.1721	-240.08374	138.33435	2.231162	142.77449	135.68169	1000.0	1000.0	7999	35.012066	31.952097	320.09262	-24.390335	35.011097	31.952644	321.72485	-24.095478	-38.40476	5.3869843	2.406402	0.017588709	2.463113	2.334803	6.1002603	1.7422937	10.577335	2.636538	143.44522309303284
3	95.05821	109.61059	189.08032	-91.36756	165.1383	7.5490026	173.51407	150.617	1000.0	1000.0	11999	107.64149	88.22614	691.66785	-21.98244	107.6398	88.22276	691.8426	-23.536337	-113.065674	29.926897	2.400335	0.017236939	2.4518323	2.3291867	11.402761	1.9550111	17.365675	6.467855	227.22725296020508
4	242.24544	69.77991	314.9406	166.05905	-113.774414	40.663616	-64.79471	-189.22229	1000.0	1000.0	15999	199.42868	114.92783	851.50885	21.447382	199.42883	114.92327	856.77405	21.92253	-205.14629	66.95526	2.40444	0.015494157	2.45492	2.3268995	13.9868555	1.0635835	18.279217	9.56952	310.10338973999023
5	127.99675	139.20335	335.31982	-38.427673	44.43913	35.67903	108.39156	8.314504	1000.0	1000.0	19999	292.3712	103.26743	1007.14667	66.4662	292.3702	103.27345	1016.8546	65.02377	-299.24463	100.04477	2.4045992	0.0152712455	2.4531608	2.350792	15.514369	1.2578793	20.704693	11.759135	390.55381059646606
6	80.09322	75.208885	194.53197	-0.5270646	84.67698	12.508536	112.10273	77.43295	1000.0	1000.0	23999	353.48236	80.99461	843.57385	115.81733	353.48203	80.99325	845.88654	117.08159	-358.3047	60.14401	2.3798475	0.022237781	2.44255	2.2959573	13.347947	1.4024264	18.238892	9.366412	472.3011543750763
7	67.44384	19.487047	94.44117	40.16106	251.22832	72.46395	418.96188	149.97731	1000.0	1000.0	27999	378.00192	69.1674	743.99194	181.94934	378.00195	69.16162	741.7673	174.01877	-381.93018	46.18501	2.363588	0.022464909	2.4339972	2.258959	10.869491	0.9512055	15.167947	8.185573	554.2377731800079
8	347.76477	83.896065	458.15012	244.32468	273.67407	26.208744	303.06522	211.09088	1000.0	1000.0	31999	387.1416	59.096012	686.73865	177.93387	387.14157	59.094063	694.222	181.89702	-390.77808	35.723557	2.3630059	0.023770405	2.4348288	2.2694454	8.814222	0.77397937	11.639094	6.393837	637.4919757843018
9	30.756477	101.08069	205.76544	-31.965424	-63.076557	32.022984	-27.79391	-109.14793	1000.0	1000.0	35999	377.72952	68.24195	600.93024	221.83575	377.72992	68.24184	599.28894	225.49643	-379.70654	19.752096	2.3815398	0.020460876	2.4383717	2.2939866	6.2769723	0.8985338	9.454934	4.3313174	717.4045021533966
10	12.618336	76.37475	139.71559	-63.036034	4.3940516	1.7141024	7.69385	2.1306841	1000.0	1000.0	39999	344.80383	68.760574	514.49023	206.03258	344.80344	68.762115	509.85403	204.39632	-346.08893	11.161195	2.368043	0.019891944	2.425911	2.2864218	4.375801	0.48352683	6.084273	3.1507711	797.3298540115356
11	410.31534	254.59517	684.6129	11.80574	360.85114	45.597614	448.85327	310.13367	1000.0	1000.0	43999	308.14343	57.099342	467.50668	182.22905	308.14355	57.099926	462.5495	185.55151	-309.26205	8.598676	2.3781805	0.02281614	2.443755	2.2880163	3.5564873	0.2501899	4.6136436	2.8207486	877.0365152359009
12	314.10638	128.16982	497.37347	146.8406	-42.213196	2.846915	-37.790573	-46.599125	1000.0	1000.0	47999	280.62375	43.02489	448.44052	122.24063	280.62347	43.026253	447.05478	125.40605	-281.94427	8.921803	2.399791	0.016051186	2.4480786	2.3317404	3.644192	0.26074982	4.934573	2.8202095	955.746340751648
13	232.61404	204.53757	528.25256	-22.168728	1156.7147	81.628456	1311.1979	1027.1022	1000.0	1000.0	51999	257.85083	39.713757	404.54315	103.80818	257.8507	39.716846	404.8039	101.99957	-259.1204	9.015947	2.3975916	0.015866797	2.447062	2.3066735	3.42359	0.25493783	4.436181	2.6352704	1035.0327939987183
14	370.8045	191.93889	637.79346	103.89249	388.44604	30.821901	434.97723	317.7262	1000.0	1000.0	55999	239.10641	42.668625	398.75247	71.200714	239.1062	42.668297	398.05255	74.86206	-240.54306	10.615255	2.4031708	0.015448143	2.4526687	2.3431833	3.674943	0.3236792	4.983508	2.7450976	1121.4539835453033
15	448.674	35.388638	507.97794	415.4908	463.17365	89.99695	611.21265	364.39432	1000.0	1000.0	59999	227.6314	47.836033	364.96875	79.57426	227.63136	47.83542	365.46976	79.67751	-229.04703	9.657775	2.3990366	0.016819477	2.4477565	2.334728	3.6274805	0.3185163	4.99412	2.7768373	1213.7328515052795
16	417.57816	256.4983	774.6902	49.769955	474.76123	26.017494	502.57028	418.8513	1000.0	1000.0	63999	213.36719	47.276093	367.37073	84.48922	213.36734	47.27527	366.783	82.279655	-214.50644	7.8152013	2.401271	0.016457528	2.4506922	2.3459783	3.1180654	0.24616492	4.2903266	2.4037375	1306.6915509700775
17	430.88776	39.25677	470.11642	378.5114	616.6388	106.797646	836.4451	500.0562	1000.0	1000.0	67999	201.024	44.250004	365.3154	54.66945	201.02406	44.24844	368.09247	50.9697	-202.22043	8.346068	2.4069548	0.015525234	2.4610379	2.342507	3.1010904	0.26801407	4.2055907	2.1747117	1398.637771844864
18	532.9174	126.53488	689.10504	374.98575	392.9865	4.9772944	404.3906	386.68674	1000.0	1000.0	71999	187.55252	46.249893	353.89197	28.349768	187.55244	46.249817	351.31354	24.780931	-188.42903	8.908969	2.394489	0.016667373	2.4520028	2.2946784	2.7675972	0.20839508	3.848438	2.1328676	1489.7170822620392
19	793.5853	308.475	1196.5309	387.32584	1036.4895	88.98275	1139.2817	904.4814	1000.0	1000.0	75999	173.28989	48.086514	338.85577	19.738638	173.28972	48.08667	339.35873	19.571648	-174.0543	8.838554	2.3935063	0.01666116	2.4471965	2.3173957	2.6540146	0.20635238	3.4981275	2.0374138	1583.861183643341
20	1559.8156	223.80794	1747.6749	1181.0975	955.89923	266.07382	1338.0034	431.8942	1000.0	1000.0	79999	160.13432	46.89872	317.18088	10.922341	160.13406	46.898212	322.08463	13.591196	-160.86343	8.910389	2.3946702	0.016367314	2.4447331	2.3314066	2.546104	0.20170352	3.635153	1.9196218	1675.4501309394836
21	1182.1277	196.83595	1348.847	848.3674	844.91534	26.811775	885.27606	781.55493	1000.0	1000.0	83999	150.03352	45.91388	309.65662	12.484579	150.03345	45.91346	311.66327	14.368689	-150.73175	10.047266	2.3950038	0.016215498	2.4463513	2.333124	2.6018248	0.20915884	3.4037657	1.8988934	1767.3147764205933
22	1604.1711	157.33977	1757.5828	1347.9619	1062.95	429.29922	1898.0447	592.94464	1000.0	1000.0	87999	143.3519	47.271343	323.61917	14.748185	143.352	47.27144	324.3021	12.386225	-144.1807	11.578418	2.4005444	0.015951453	2.454413	2.340667	2.9250352	0.22189164	3.9054425	2.2776847	1858.8485915660858
23	1188.3337	206.27689	1543.926	1039.8087	1671.248	274.3362	2028.8501	1255.7328	1000.0	1000.0	91999	140.90475	48.254982	328.6114	3.1864467	140.90417	48.255367	329.3359	-0.4282673	-141.7869	12.46965	2.406209	0.015120806	2.4566367	2.3405077	3.0762317	0.21894781	4.075666	2.2986503	1951.2863411903381
24	1569.4116	286.74783	2002.1501	1263.6495	1658.1022	243.12741	2050.6123	1239.2714	1000.0	1000.0	95999	140.71815	47.57506	325.73596	-16.06405	140.71742	47.577057	322.13345	-21.40331	-141.66576	12.69166	2.406099	0.015013981	2.449007	2.3439698	3.1530845	0.21646224	3.8897777	2.4702632	2043.8022668361664
25	1635.195	235.8251	1989.0515	1331.7726	1525.8724	163.39372	1772.9185	1313.8787	1000.0	1000.0	99999	141.32281	47.368977	316.95303	-29.85964	141.32262	47.36896	316.3087	-24.957579	-142.16182	12.13551	2.405375	0.014999741	2.4494336	2.332109	3.146293	0.2075254	3.9954796	2.4417033	2135.745158433914
26	1862.0457	223.10512	2235.2507	1680.4315	1825.7701	251.30853	2289.448	1524.1127	1000.0	1000.0	103999	140.91461	47.071213	295.10953	-28.473896	140.9142	47.07225	292.36685	-31.78055	-141.7237	12.545955	2.4073262	0.015048074	2.457887	2.3438592	3.09587	0.20571975	4.0323505	2.3923507	2229.0393104553223
27	1795.9973	316.75833	2087.0618	1306.6134	2168.5784	136.84082	2411.2297	1968.683	1000.0	1000.0	107999	140.46086	47.651993	276.50443	-27.595861	140.4607	47.652607	277.02927	-28.907465	-141.15327	13.021017	2.4054174	0.014511059	2.4534175	2.3422346	3.0556328	0.20607044	3.906998	2.342908	2320.978152036667
28	1724.8418	206.23563	2071.101	1530.2214	2192.862	102.077446	2364.4624	2037.3932	1000.0	1000.0	111999	138.69382	48.013054	281.4021	-18.089666	138.69385	48.01139	280.96115	-19.459795	-139.27252	13.38101	2.4057655	0.01492496	2.4620755	2.3560195	3.014611	0.20950659	3.895046	2.355719	2411.65048122406
29	1864.8257	133.82895	1993.109	1640.1854	1843.8577	235.98886	2135.1357	1357.6252	1000.0	1000.0	115999	136.3932	48.201252	292.0558	-23.515041	136.3938	48.199947	288.23856	-22.412928	-136.97417	14.147244	2.4038525	0.015075208	2.4573436	2.3501844	3.0972059	0.2134529	3.8728075	2.449663	2503.8445765972137
30	1837.8408	178.6272	2126.5369	1682.7424	2126.1748	120.083405	2308.42	1921.4641	1000.0	1000.0	119999	136.2915	49.082344	288.7505	-38.2172	136.29163	49.081318	288.5116	-37.708866	-136.91583	14.983011	2.406619	0.015022057	2.452746	2.3464987	3.2503567	0.23804912	4.275022	2.5005164	2594.9804952144623
31	2097.6687	153.7765	2347.9924	1930.404	2212.3604	95.43534	2337.1248	2008.3242	1000.0	1000.0	123999	137.05551	49.46726	287.51053	-82.168564	137.0552	49.466293	286.25214	-76.79221	-137.6444	15.843586	2.4042838	0.0151421	2.4499252	2.342351	3.3005385	0.2204951	4.132202	2.5741928	2687.994343996048
32	2134.05	128.60513	2258.0293	1925.7163	2212.4995	166.30768	2507.9016	1915.9899	1000.0	1000.0	127999	137.87846	50.250202	288.36288	-93.569214	137.87859	50.25158	289.23914	-91.15849	-138.43015	15.990801	2.402	0.015407564	2.4499295	2.3397825	3.3572826	0.23562899	4.3925023	2.5834966	2779.7573597431183
33	2091.7905	150.11688	2311.0093	1906.0798	2034.4333	68.6228	2135.283	1888.4897	1000.0	1000.0	131999	139.61244	51.307472	286.64572	-97.25437	139.61243	51.30796	287.91428	-99.70297	-140.21484	16.183317	2.4033172	0.015481531	2.452359	2.3422794	3.4844291	0.23628995	4.490012	2.8046296	2871.381810903549
34	2033.8516	168.54614	2181.502	1754.3633	2218.4539	93.763824	2379.8467	2077.4126	1000.0	1000.0	135999	141.69241	51.625557	308.07065	-86.23544	141.69234	51.624924	312.4191	-93.7769	-142.27979	16.095219	2.4041352	0.015392775	2.4533865	2.3255594	3.438272	0.22972761	4.3294964	2.509389	2965.5252723693848
35	2071.1636	137.00455	2270.145	1883.2386	2143.104	177.41978	2365.4004	1902.3156	1000.0	1000.0	139999	143.49496	51.96358	305.80783	-89.23703	143.4948	51.963745	304.9931	-90.34151	-144.02687	16.33866	2.402646	0.015449261	2.4584446	2.3362098	3.423119	0.23057303	4.3555875	2.641269	3057.8318905830383
36	2277.4363	53.433395	2344.326	2195.0618	2271.5544	106.92323	2451.788	2120.849	1000.0	1000.0	143999	145.12012	52.51268	302.54166	-97.23206	145.12038	52.512703	303.5264	-100.465	-145.6566	16.06636	2.4044583	0.015047994	2.4516556	2.3392217	3.4547389	0.23191683	4.417168	2.6871054	3149.9573357105255
37	2288.9834	149.08664	2443.8567	2101.5684	2237.3757	106.66921	2494.8079	2115.6558	1000.0	1000.0	147999	147.50906	52.787743	312.5834	-107.59593	147.50867	52.787537	310.04587	-109.535355	-148.03506	16.206587	2.402941	0.015442168	2.4488897	2.3466878	3.4909399	0.24209464	4.4122343	2.7640505	3242.592235326767
38	2182.2676	144.47083	2289.8413	1938.0195	2205.0972	90.45899	2378.7852	2036.0735	1000.0	1000.0	151999	149.39182	53.123207	316.1447	-119.58839	149.39178	53.12377	313.36954	-116.99739	-149.91353	16.303392	2.402537	0.015050271	2.4502234	2.3502886	3.5429974	0.24107102	4.5805974	2.7112997	3334.3698863983154
