Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	-114.3479	42.684155	-62.723545	-172.01714	109.82365	11.972209	134.5916	99.30992	1000.0	1000.0	3999	3.3834383	5.803175	41.70608	-16.231657	3.3832788	5.803157	41.556038	-16.32581	-4.426221	0.40224618	2.3656013	0.19533335	2.476594	0.13512075	1.7848792	1.0192443	4.0286813	1.7357168e-07	63.269938230514526	0.0
2	37.75393	155.95416	201.30736	-141.83112	222.6095	21.150219	275.056	204.3203	1000.0	1000.0	7999	29.138527	19.058365	148.31456	-15.071552	29.138657	19.057539	146.85924	-15.726244	-31.356207	2.0546536	2.2131705	0.05329711	2.3783486	2.074756	4.1775584	0.46980053	5.838867	3.008645	144.8998670578003	0.0
3	141.83209	188.74487	259.79446	-184.9328	272.76935	29.933855	317.0227	230.36577	1000.0	1000.0	11999	65.75905	35.22962	210.1389	2.773838	65.75903	35.22875	210.78607	2.6929688	-68.09722	4.129806	2.2186136	0.034019295	2.333771	2.0973575	4.8653655	0.44186392	6.2958646	3.5251606	225.174738407135	0.0
4	257.70807	61.386974	353.6233	197.27855	162.89133	4.223216	169.74696	156.81915	1000.0	1000.0	15999	90.61242	37.922333	226.24338	16.235197	90.61251	37.921272	226.61426	16.008703	-92.20621	4.844504	2.264196	0.026697095	2.3439093	2.138574	3.9778173	0.3481901	5.9044123	2.9706023	308.4687833786011	0.0
5	282.54944	15.497053	303.3696	260.0812	248.09465	6.959601	263.2552	240.18068	1000.0	1000.0	19999	106.60869	34.0047	230.28447	27.847893	106.60886	34.003372	227.92981	29.196712	-108.0659	5.181139	2.2887237	0.028796684	2.382184	2.200473	3.8894267	0.3150702	5.156351	3.0349748	389.2936406135559	0.0
6	259.7047	64.24634	330.4921	187.61938	400.5866	51.775692	521.53754	326.8575	1000.0	1000.0	23999	120.12404	31.406662	265.12082	51.7313	120.12423	31.404953	263.61343	51.50694	-121.76041	5.5105762	2.3198912	0.023051484	2.3941832	2.229838	4.331258	0.30810836	5.4084	3.3704839	474.1450595855713	0.0
7	329.0871	120.179665	483.998	191.8817	-284.1789	385.637	255.26538	-710.2175	1000.0	1000.0	27999	132.97435	33.475838	268.7105	65.40591	132.97458	33.47383	267.80637	65.15303	-134.53479	6.8735733	2.319701	0.023022987	2.3902552	2.2355523	4.16092	0.36501327	5.3524675	3.1407611	553.9373259544373	0.0
8	322.95212	135.40004	551.7686	207.18185	680.35913	187.79959	1010.5598	498.29416	1000.0	1000.0	31999	139.43604	33.354248	266.41077	34.638786	139.43631	33.3545	267.8837	36.055313	-140.60919	6.42371	2.3016765	0.024364673	2.385917	2.1958737	3.5853848	0.26523343	4.628964	2.8257806	633.7518727779388	0.0
9	364.29276	38.684937	430.7753	337.08237	246.13591	38.748863	337.8421	213.78072	1000.0	1000.0	35999	139.5864	33.03364	262.6067	24.972088	139.58646	33.034927	268.25693	21.71995	-140.7863	6.92495	2.3272147	0.022010928	2.3959832	2.232253	3.4612496	0.24264796	4.444297	2.551869	714.2552325725555	0.0
10	492.0819	202.23907	804.47595	307.23032	178.08157	5.962944	186.80708	169.25612	1000.0	1000.0	39999	139.39478	31.54519	248.40517	36.1085	139.39467	31.545845	248.3065	34.20563	-140.47345	6.638785	2.340941	0.022651473	2.4085748	2.2433863	3.1657593	0.22443038	4.204571	2.553556	795.8712079524994	0.0
11	574.7444	82.813065	666.14264	446.89908	300.1584	4.8659525	310.90527	291.47733	1000.0	1000.0	43999	138.7833	28.290411	244.91238	42.991623	138.7833	28.291931	245.23306	43.805046	-139.75922	6.1614747	2.3391285	0.022407105	2.4083369	2.2501476	3.0134382	0.23171362	3.994085	2.3644795	879.556459903717	0.0
12	470.2279	114.15373	663.8884	372.06613	551.91205	59.898937	655.933	425.66794	1000.0	1000.0	47999	135.06804	30.514332	269.30655	35.823498	135.0679	30.516865	270.409	35.73731	-135.95209	6.784411	2.3332663	0.021537527	2.4066653	2.244262	3.062855	0.20775656	3.864185	2.390075	962.1158599853516	0.0
13	805.50757	232.75166	1198.6187	608.6614	1180.2006	355.04416	1481.0032	272.8387	1000.0	1000.0	51999	132.99593	34.004906	294.0423	31.776949	132.99583	34.005215	296.00903	30.78375	-133.91946	7.977949	2.3426378	0.020945737	2.4073105	2.2689412	3.168507	0.21107888	4.0578218	2.3750186	1042.4723103046417	0.0
14	630.70374	141.19449	792.7856	423.83932	603.4851	180.65114	963.71045	390.38794	1000.0	1000.0	55999	134.02077	33.913338	293.32382	39.056087	134.02113	33.913864	294.0295	37.467266	-134.95363	8.401707	2.3481314	0.019459454	2.4150856	2.2805207	3.0220873	0.19283365	3.8507636	2.4566789	1118.969490289688	0.0
15	692.4909	29.964361	731.9213	650.9465	546.82965	54.883698	631.72845	414.6544	1000.0	1000.0	59999	133.09119	34.848976	321.51282	36.0524	133.09102	34.847763	317.64645	39.357212	-133.90771	8.969995	2.3349025	0.02063251	2.41137	2.2452	3.0324712	0.19806111	3.8592782	2.3789349	1198.052755355835	0.0
16	864.3635	329.80096	1357.1748	436.65073	681.00916	98.26756	809.5735	520.25946	1000.0	1000.0	63999	133.00127	35.163067	327.27023	30.144964	133.00137	35.16177	327.85587	29.283808	-133.76491	9.9875965	2.3206391	0.021830924	2.3917685	2.221734	3.1470318	0.19975245	3.9695616	2.3926678	1274.1751124858856	0.0
