Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-76.97156	47.753365	-25.136309	-152.8622	-10.423951	2.730736	-2.333486	-12.140006	1000.0	1000.0	3999	3.0392573	5.706333	36.403316	-25.392862	3.0394092	5.7061434	37.09876	-25.29676	-3.9723132	0.36077926	2.3004663	0.20639978	2.481719	0.13508634	1.822986	1.0828103	4.060116	1.03458355e-07	58.63904666900635
2	-50.940098	147.56566	202.73943	-156.47876	275.9032	1.756654	278.50964	272.281	1000.0	1000.0	7999	26.98502	14.535484	88.34084	-25.712858	26.985327	14.535374	87.81261	-25.954409	-28.741207	1.2206607	2.2409737	0.02896202	2.3317237	2.1339087	3.430748	0.39369023	4.571608	2.4519413	132.91933345794678
3	190.11618	17.145956	211.76172	163.83185	336.00385	51.800797	388.4578	273.02322	1000.0	1000.0	11999	52.20813	20.108467	166.78459	-16.527466	52.20818	20.108759	166.91539	-15.009591	-53.835934	2.0788019	2.2806916	0.026280249	2.3647506	2.1689944	3.3847764	0.29100206	4.41497	2.3818264	211.0990138053894
4	224.77635	54.295986	318.61987	188.00504	284.50305	33.131454	336.5721	223.01114	1000.0	1000.0	15999	74.47705	26.669027	206.84442	-20.740263	74.47659	26.669922	209.63261	-22.913292	-76.12998	2.6630633	2.2986753	0.024930347	2.3704245	2.1962724	3.5013247	0.25401658	4.691324	2.71263	290.26785612106323
5	259.06006	39.600784	326.4873	225.49242	467.99664	97.19304	522.41095	178.36327	1000.0	1000.0	19999	91.47075	29.192219	196.17442	-7.8621726	91.47075	29.192593	202.08253	-6.9948807	-92.80921	3.2652159	2.2392495	0.04039998	2.3478122	2.1064463	3.2348595	0.27360693	4.3914227	2.4875855	367.6432075500488
6	197.50569	35.495678	258.3711	169.66324	318.6496	15.374517	352.1271	301.01093	1000.0	1000.0	23999	100.10906	32.033424	205.7809	32.516056	100.10869	32.03467	205.13321	32.75443	-101.240326	3.1316445	2.2554119	0.02884506	2.3506138	2.150669	2.927452	0.21949787	4.021698	2.212753	450.3855004310608
7	291.558	100.6932	449.9318	171.24448	581.28064	34.700455	668.72003	539.10956	1000.0	1000.0	27999	105.94228	32.609222	214.07248	25.255741	105.94236	32.608967	213.29231	26.17744	-106.82575	2.7196753	2.2618575	0.027233314	2.3446443	2.1548753	2.5056717	0.21747315	3.3710177	1.8306087	528.7799181938171
8	434.80902	107.96647	566.12274	278.09875	225.87463	5.162212	236.51952	216.80028	1000.0	1000.0	31999	105.55279	35.15594	215.61406	24.194096	105.55254	35.156055	215.62912	24.765104	-106.25055	2.2855537	2.2512624	0.028821638	2.3615794	2.1369889	2.1834748	0.164044	2.8215756	1.6793088	607.799197435379
9	746.2027	276.79562	1037.47	291.1176	786.382	153.9298	1005.74677	517.81976	1000.0	1000.0	35999	101.73554	37.974346	218.48477	17.042793	101.73542	37.97427	217.9954	17.420187	-102.29764	2.5275798	2.2370725	0.031192955	2.33657	2.1159291	1.9856371	0.17217734	2.8621154	1.4826251	686.3658173084259
10	1071.4916	199.29839	1357.2816	856.14166	1261.865	102.261635	1395.3446	1028.0614	1000.0	1000.0	39999	96.50575	38.534054	223.54327	7.7339926	96.50576	38.534092	222.0561	7.355648	-97.10553	3.5921807	2.2892523	0.02942176	2.3819826	2.1459053	2.0506759	0.2008556	2.925439	1.4676675	764.7949252128601
