Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	15.42598	86.377365	150.93774	-89.13866	364.42328	50.988113	437.7762	280.8617	1000.0	1000.0	3999	2.7528794	6.263133	49.3091	-23.10906	2.7526186	6.2630935	49.29833	-23.001053	-3.1809075	0.5676541	0.9394933	0.75651246	2.0198693	0.12613733	2.016064	1.4346911	5.701151	9.508219e-08	63.9002206325531
2	-42.331966	114.511604	153.18425	-127.66252	269.06662	1.497128	270.83054	265.8774	1000.0	1000.0	7999	49.519684	27.27628	162.59444	-21.641598	49.519966	27.27555	165.50658	-22.041252	-52.380733	3.9065146	2.0340846	0.055137202	2.1835542	1.8500154	6.9711533	0.80490696	9.099942	4.607341	147.6022551059723
3	18.88501	144.60114	172.45238	-134.20387	171.79684	17.90206	216.89545	150.06808	1000.0	1000.0	11999	100.49339	28.50219	203.00574	23.220526	100.49295	28.501987	202.58205	21.724213	-102.03608	5.210872	2.017228	0.06775129	2.2325273	1.7805969	5.555513	0.5209062	7.6392345	4.070011	232.05343532562256
4	257.9064	81.31959	382.93008	155.18144	218.28532	15.831847	250.97968	190.84369	1000.0	1000.0	15999	125.55142	27.67522	224.91908	48.578476	125.55145	27.674631	226.99445	48.857777	-126.422165	4.3237004	1.7961086	0.05438424	1.9763669	1.5637313	4.5975833	0.342378	6.0768266	3.60921	320.01415753364563
5	287.73572	87.395134	390.17606	163.58755	116.96074	50.568375	184.6134	48.138134	1000.0	1000.0	19999	134.07103	28.65926	298.85507	69.49669	134.07137	28.658539	300.42892	69.75687	-134.30988	4.085607	1.5346774	0.116729826	1.8128723	1.2921836	3.5904155	0.35355157	5.0423408	2.7373443	407.9571444988251
6	143.66982	106.240204	239.30989	-34.150978	216.87483	4.6840754	228.733	209.5052	1000.0	1000.0	23999	134.90321	32.59703	315.8502	19.673311	134.90285	32.599	317.80695	19.627398	-135.08073	4.9523706	1.5775039	0.059574876	1.7934115	1.3641601	3.4196024	0.2050094	4.2376933	2.779244	492.14019322395325
7	222.41165	24.132385	263.40964	201.26065	312.31134	30.43341	380.90656	260.09543	1000.0	1000.0	27999	135.73337	37.325893	312.93503	8.081429	135.73306	37.32575	312.7069	9.932787	-135.82445	4.550845	1.6035767	0.062343474	1.7979275	1.3870372	3.321189	0.21417981	4.3118377	2.6295328	581.6877598762512
8	359.73315	133.46623	520.7317	191.83308	436.112	49.026997	547.6521	365.88794	1000.0	1000.0	31999	133.44817	43.86711	308.53387	21.701508	133.44844	43.86647	309.09805	22.687357	-133.54045	4.804113	1.5492754	0.05953419	1.7739706	1.3691821	3.4080553	0.21777357	4.184428	2.7399535	660.6321692466736
9	455.6261	182.28033	674.2583	273.89908	185.10759	88.48547	425.94125	95.75792	1000.0	1000.0	35999	128.90912	46.687607	307.19293	26.270653	128.90858	46.688053	307.5686	26.721409	-128.85474	5.2846184	1.5144022	0.06856016	1.7515831	1.2873336	3.1787026	0.21234763	4.080538	2.5582318	744.65647149086
10	400.6786	107.236664	580.0562	307.7058	267.3292	77.09792	497.35342	227.82642	1000.0	1000.0	39999	123.23732	44.534664	276.80228	-2.5080054	123.23735	44.53483	278.63574	-1.2658603	-123.062874	4.9675	1.3860292	0.05171101	1.5960091	1.2164603	3.0523949	0.2050601	3.9414585	2.4250937	833.7009377479553
