Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time	$\alpha$
1	-132.35567	70.60739	-76.73058	-252.65224	96.068886	132.6996	266.9107	-102.753235	1000.0	1000.0	3999	1.6911274	5.8638754	51.318623	-30.205118	1.6910594	5.8633194	50.658974	-30.325924	-1.9156111	0.47458854	0.81392646	0.64066786	1.9007822	0.12416561	1.7385157	1.2090695	4.4423766	1.7516699e-07	63.82312893867493	0.6
2	-138.72235	50.329773	-69.066124	-195.06021	243.22636	1.4269204	245.63068	241.44354	1000.0	1000.0	7999	40.61636	27.112793	181.87573	-40.495518	40.61632	27.112223	183.10454	-40.687138	-43.55719	4.329177	1.9791543	0.070201136	2.1739142	1.7845088	7.207003	1.4689986	10.677217	3.6220665	151.69176125526428	0.6
3	-66.7878	43.613674	-9.480582	-117.60724	-60.937634	11.186405	-42.556545	-76.004814	1000.0	1000.0	11999	119.60724	36.713715	255.16718	-23.464445	119.6072	36.713985	255.56871	-24.774326	-123.2026	9.921012	2.072182	0.06508833	2.2026303	1.8338434	9.026192	1.3112975	12.251105	5.7100744	237.34585738182068	0.6
4	208.2843	96.09989	317.17682	82.59952	367.04538	2.6630342	371.22614	361.8517	1000.0	1000.0	15999	156.84737	39.793106	302.41754	41.29286	156.8476	39.792347	302.3671	37.973225	-157.9814	6.968272	1.999939	0.08360009	2.1965573	1.7237589	5.477637	0.5209539	7.771263	4.218467	328.9555299282074	0.6
5	307.47992	17.286234	328.47595	286.43222	308.52023	3.347248	314.54742	304.3839	1000.0	1000.0	19999	174.4538	44.905376	346.67825	56.25509	174.45364	44.905525	345.27228	55.789825	-175.83594	5.9896593	2.0184543	0.08154742	2.2028215	1.7225657	5.5272126	0.46242943	7.403826	4.1394525	411.0731203556061	0.6
6	241.7762	50.561497	289.406	167.96568	221.56624	4.2372255	226.74237	213.47032	1000.0	1000.0	23999	200.75732	40.97012	403.1049	69.801544	200.75798	40.96627	400.61078	68.87083	-202.9151	11.529224	1.8842151	0.056172162	2.0676315	1.666522	6.76083	0.6136605	9.003526	4.832443	496.36184668540955	0.6
7	283.85013	52.451317	359.77402	216.14215	292.86578	5.384425	302.26895	286.29068	1000.0	1000.0	27999	223.50514	55.6127	453.48224	120.62279	223.50528	55.613197	447.34415	117.08997	-225.15273	13.089581	1.9937104	0.08980775	2.1938412	1.7160875	6.325833	0.4489593	8.27719	4.7604475	581.8862607479095	0.6
8	265.2665	30.929983	296.82666	229.71983	256.82822	20.464733	314.2951	242.62079	1000.0	1000.0	31999	241.16943	51.14018	453.9925	143.12418	241.16937	51.139515	449.5675	142.62112	-242.70287	10.151529	2.0475664	0.052045092	2.1974633	1.8300693	6.121749	0.57242733	7.8921814	4.199921	666.9035108089447	0.6
9	256.35583	29.219727	287.20703	208.32489	168.09016	4.9581666	181.8715	163.92557	1000.0	1000.0	35999	242.82832	53.322224	412.0336	133.16295	242.8283	53.321903	411.06693	132.65121	-243.4487	9.665834	1.9585499	0.07497034	2.1224499	1.6884353	4.913633	0.61233777	6.6916203	3.3085527	753.8221642971039	0.6
10	214.01675	21.751497	229.71748	176.89047	156.50937	10.473923	168.85826	135.83092	1000.0	1000.0	39999	232.6249	58.605457	401.48544	104.9379	232.62508	58.6061	398.30994	106.11557	-233.22644	7.6543417	1.9178345	0.0853666	2.1004024	1.5956274	4.4138255	0.3675461	5.9096947	3.3230455	833.2121407985687	0.6
