Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagepi_penalty	Stdpi_penalty	Maxpi_penalty	Minpi_penalty	AverageQ_penalty	StdQ_penalty	MaxQ_penalty	MinQ_penalty	Time
1	-88.66005	113.03584	90.50987	-190.36108	275.419	19.115074	305.6885	249.27657	1000.0	1000.0	3999	0.8091859	4.7420807	35.06638	-24.265108	0.8091406	4.742074	35.13579	-24.570976	-0.91544956	0.2369291	0.7279206	0.64686817	1.9512149	0.12511915	1.5018746	0.9431126	3.6911407	1.069461e-07	66.5600893497467
2	-48.908024	111.081154	139.04765	-137.69853	407.17496	109.15253	535.90094	147.43816	1000.0	1000.0	7999	39.99974	30.505001	223.6326	-27.205404	40.000553	30.503918	222.13866	-27.49527	-43.513653	4.7929406	2.056219	0.08708856	2.2085202	1.7776566	7.632013	2.4704723	13.158963	3.1149642	146.8242437839508
3	71.058685	202.77164	319.9459	-177.78159	11.234594	4.9018664	17.452477	0.3752886	1000.0	1000.0	11999	133.16592	51.465958	372.5613	5.6459546	133.16599	51.463604	371.1861	6.0059114	-137.16635	9.654916	2.1707492	0.0380887	2.2903762	2.0337408	9.449904	1.9016407	13.295905	5.541515	232.67945551872253
4	356.19153	93.92865	486.79413	224.24208	599.01544	77.146774	701.9801	419.9986	1000.0	1000.0	15999	175.95142	47.96849	352.72998	66.41562	175.95091	47.9695	347.63913	66.0056	-177.358	6.6850576	2.093846	0.051301993	2.2288802	1.8909131	5.793878	0.40695128	7.3014574	4.6289206	321.3588058948517
5	492.751	125.9142	614.42004	317.9002	459.46942	189.84131	919.15765	337.84903	1000.0	1000.0	19999	194.624	35.76627	317.32837	79.21558	194.6239	35.764828	316.7076	78.64574	-195.53975	6.0659356	1.9347713	0.06411835	2.1303837	1.733922	4.907916	0.3421899	6.3870063	3.8059976	409.13012194633484
6	409.26733	122.487885	611.11237	307.50412	498.92056	51.728844	610.58594	445.98087	1000.0	1000.0	23999	197.86604	30.247477	305.6814	122.312096	197.86597	30.246843	307.09515	124.585075	-198.35791	6.239542	1.7748919	0.084607966	1.9802006	1.5086613	4.3925567	0.37545753	5.6655107	3.3692503	505.92571997642517
7	540.1395	219.80069	761.3664	242.39432	363.70102	4.9934998	374.02972	354.1986	1000.0	1000.0	27999	192.23668	34.84806	317.06436	105.092545	192.23634	34.849895	318.28818	105.22214	-192.42465	6.651961	1.7334826	0.058665544	1.9120651	1.5406249	4.0870504	0.2698244	5.1427283	3.3021405	592.206883430481
8	337.46017	91.92807	470.291	218.28731	962.0405	122.113655	1295.6228	858.752	1000.0	1000.0	31999	189.6656	41.11883	332.6579	23.5773	189.66574	41.11958	332.97897	20.784014	-190.01338	7.5644093	1.7801658	0.05722548	1.9727439	1.5401509	4.1530466	0.3213237	5.5080943	3.123568	673.7262585163116
9	692.09766	122.43509	867.004	556.29193	238.28967	6.5832114	249.94063	227.09732	1000.0	1000.0	35999	191.45563	52.46796	344.56125	28.442389	191.45604	52.467663	342.79733	28.352083	-191.72435	7.5668764	1.7673831	0.05203756	1.9610606	1.564847	4.0830827	0.35031697	5.5145416	3.0759592	763.3129122257233
10	451.15878	165.32233	699.66296	278.65802	1034.4802	128.6033	1239.9539	832.29175	1000.0	1000.0	39999	185.67339	63.070267	336.3563	21.785406	185.67336	63.07009	335.71588	20.818346	-185.84012	6.8221283	1.6478221	0.102916986	1.9237078	1.3918751	3.786842	0.38602155	5.4408507	2.5838752	852.7264013290405
11	934.23535	134.50426	1072.2219	775.0812	980.8804	186.06839	1310.8005	653.25745	1000.0	1000.0	43999	174.92874	66.53449	336.273	17.677801	174.92902	66.534454	334.9908	20.045185	-174.84422	6.4315147	1.6086929	0.05024523	1.7723612	1.4253824	3.2021444	0.24152	4.435571	2.497292	937.9616560935974
