Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
1	33511.742	1338.6003	35760.28	32381.596	32194.652	21.147728	32226.383	32164.62	1000.0	1000.0	3999	10.703333	10.70336	-10.034667	0.19816817	0.3414759	0.006643007	0.3666924	0.31750748	1.7999998	1.1920929e-07	1.8	1.8	179.29403352737427
2	32565.537	1461.1187	34303.676	30596.695	58978.492	6174.3086	72431.04	48843.086	1000.0	1000.0	7999	32.12739	32.12736	-31.387718	0.8494181	0.38923413	0.071343586	0.6199395	0.32657075	1.7999997	2.3841858e-07	1.8	1.8	419.70292377471924
3	44136.676	11972.774	57986.363	31902.701	56797.73	3174.9724	62492.98	53223.023	1000.0	1000.0	11999	57.7031	57.70346	-57.210243	3.7538655	0.6240161	0.04181256	0.7525768	0.5081917	1.7999997	2.3841858e-07	1.8	1.8	673.4096050262451
4	55640.867	2257.9465	58488.93	52198.8	73717.48	14309.2	98405.43	56454.293	1000.0	1000.0	15999	87.22699	87.227	-86.83169	8.313037	0.6980377	0.033240348	0.8340713	0.58575517	1.7999997	2.3841858e-07	1.8	1.8	924.9316713809967
5	58098.934	2822.702	62676.73	55176.812	74897.09	6497.8965	88567.53	64963.883	1000.0	1000.0	19999	117.52136	117.52178	-116.80998	13.69986	0.7881132	0.06256694	1.0183482	0.6345643	1.7999997	2.3841858e-07	1.8	1.8	1177.6363570690155
6	72339.266	7659.591	85225.67	65369.207	97361.69	17585.826	130925.18	70419.37	1000.0	1000.0	23999	148.90823	148.90804	-148.35675	25.560003	1.1733001	0.26659793	1.9888808	0.76596624	1.7999997	2.3841858e-07	1.8	1.8	1433.0589032173157
7	61942.992	6645.9375	68708.91	53790.062	69668.414	6022.389	82505.78	58752.184	1000.0	1000.0	27999	194.69653	194.69669	-193.93349	34.099236	1.3179038	0.3288162	2.123585	0.83901215	1.7999997	2.3841858e-07	1.8	1.8	1688.6143712997437
8	59365.742	5690.978	67401.93	53628.93	84535.305	12124.679	101807.414	66654.07	1000.0	1000.0	31999	214.25246	214.25307	-212.78127	29.389914	0.877806	0.0412523	1.0637164	0.7585697	1.7999997	2.3841858e-07	1.8	1.8	1943.4589734077454
9	82245.87	13830.286	97210.164	63638.367	79957.97	12686.807	101811.24	60730.066	1000.0	1000.0	35999	232.04057	232.04105	-230.96098	45.125977	1.3744463	0.26712283	1.9985795	0.8764397	1.7999997	2.3841858e-07	1.8	1.8	2197.394951581955
10	71116.625	7576.356	80346.98	59596.156	84600.14	11494.437	96603.42	64853.04	1000.0	1000.0	39999	254.68558	254.6859	-253.15878	41.437244	1.0444809	0.17057697	1.5939571	0.78316903	1.7999997	2.3841858e-07	1.8	1.8	2451.5802018642426
11	79621.19	8546.828	92137.93	70039.234	87650.32	12126.897	105061.79	67631.484	1000.0	1000.0	43999	258.9505	258.9512	-257.271	41.27566	1.0138808	0.14748411	1.5790324	0.78243804	1.7999997	2.3841858e-07	1.8	1.8	2707.4324464797974
12	84912.41	20568.906	113590.91	63451.27	98516.48	16088.738	119800.44	74497.94	1000.0	1000.0	47999	277.04556	277.04575	-275.45883	51.94086	1.4328583	0.19247614	1.9236318	0.9741298	1.7999997	2.3841858e-07	1.8	1.8	2964.442044019699
