Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	$\alpha$	Time
1	33647.062	1153.8549	34983.215	32267.168	32969.273	26.593336	33027.453	32934.168	1000.0	1000.0	3999	10.806565	10.806467	-10.3453455	0.1933245	0.34727198	1.2225226	72.94565844535828
2	33239.19	1121.5016	34999.645	32101.889	33197.9	34.788467	33255.66	33159.707	1000.0	1000.0	7999	33.426983	33.427155	-32.872498	0.5642079	0.37515125	1.3171377	166.40102624893188
3	46263.016	11794.544	63358.926	32793.516	65616.56	5165.8896	74970.266	59264.664	1000.0	1000.0	11999	56.045265	56.045166	-55.39612	2.314619	0.5199755	1.7767183	256.4741220474243
4	59503.63	5418.022	66100.55	51613.777	73537.67	5584.103	82269.13	65830.92	1000.0	1000.0	15999	85.25042	85.25027	-84.99822	6.8129487	0.7495547	1.3454181	346.85900807380676
5	64105.734	3582.1113	68835.914	60474.28	76259.48	4269.384	82706.14	67411.0	1000.0	1000.0	19999	116.41061	116.41046	-115.91823	14.691541	0.8764215	1.4703618	437.33246421813965
6	86449.0	6865.2827	97892.984	80454.7	83526.44	8179.5854	102454.23	72179.72	1000.0	1000.0	23999	147.6713	147.6715	-147.05145	22.43529	1.0809466	1.47877	527.6614861488342
7	74344.664	2963.021	79227.73	71230.63	83402.42	9465.349	99251.58	70278.92	1000.0	1000.0	27999	182.24748	182.24774	-181.55623	28.188114	1.2832949	1.4257334	618.1010484695435
8	85398.836	7999.9487	93286.13	73489.95	80435.45	10488.342	104952.76	68789.5	1000.0	1000.0	31999	213.70842	213.70857	-212.94731	33.4225	1.3375657	1.395302	708.754415512085
9	80844.875	4743.051	87075.92	75280.9	83953.625	11438.662	103885.68	70329.68	1000.0	1000.0	35999	243.25993	243.2601	-242.35672	37.907578	1.36062	1.2996477	798.9895627498627
10	79261.516	9160.019	92969.58	70542.875	84732.7	11612.712	104594.805	70789.64	1000.0	1000.0	39999	268.6512	268.65182	-267.60858	48.763298	1.5099089	1.4860127	889.7651801109314
11	90090.53	14815.355	114010.52	76515.58	84871.61	7074.358	93912.14	72653.07	1000.0	1000.0	43999	294.9843	294.9849	-293.98837	51.955532	1.6606461	1.2234081	980.409928560257
