Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	alpha	Time
1	36277.42	3014.4575	41486.043	34298.625	34447.15	31.872433	34495.957	34400.1	1000.0	1000.0	3999	11.664859	11.664728	-11.170586	0.22688493	0.34546775	1.2218221	175.26017498970032
2	36967.66	3840.301	41208.02	31906.143	38217.863	65.88692	38361.684	38143.445	1000.0	1000.0	7999	35.785828	35.78607	-35.20544	0.66644406	0.36229494	1.3212038	420.41164779663086
3	42664.426	11125.583	57114.582	31721.184	63376.9	3257.9832	67402.234	56138.598	1000.0	1000.0	11999	60.88718	60.886776	-60.216114	3.1378567	0.55069983	1.8132924	660.1480784416199
4	59121.977	2510.3306	62248.484	55905.332	73474.445	8351.532	86264.75	63368.004	1000.0	1000.0	15999	87.24286	87.24289	-86.775566	6.852159	0.7278894	1.4328144	901.2047114372253
5	68454.12	8365.291	77784.79	58964.78	71790.31	3999.226	81065.19	67718.39	1000.0	1000.0	19999	117.41242	117.41218	-116.95949	15.467937	0.9135189	1.4772557	1143.8589224815369
6	73600.9	6756.1006	81067.59	66384.71	69815.75	3487.7505	74276.3	63685.902	1000.0	1000.0	23999	152.35942	152.35968	-151.93912	25.860271	1.1598357	1.4559671	1386.8274953365326
7	75101.86	7952.376	86063.28	65511.29	80446.68	10252.216	100944.41	63221.277	1000.0	1000.0	27999	184.70847	184.7085	-184.13425	31.684202	1.2159204	1.2626059	1628.5720229148865
8	77477.86	10563.996	91850.86	62820.363	67322.89	10081.156	83760.18	55632.973	1000.0	1000.0	31999	209.21306	209.21423	-208.39685	37.582443	1.2218996	1.2709199	1868.3989236354828
9	70402.32	5802.7295	79565.89	64254.98	80519.65	11031.28	103216.58	63431.883	1000.0	1000.0	35999	230.43468	230.43532	-229.47507	43.22765	1.2218003	1.3152952	2108.1869735717773
10	77824.805	8119.5225	90981.29	70647.23	83920.82	10609.578	99084.55	67223.4	1000.0	1000.0	39999	247.9684	247.96954	-246.85497	47.880684	1.229731	1.3184404	2347.004846096039
11	82858.59	9784.443	95431.586	72766.98	94083.3	16363.426	114759.08	64807.87	1000.0	1000.0	43999	264.10654	264.1076	-262.80685	54.854343	1.2726665	1.4271326	2585.0508234500885
12	96302.58	11209.695	105657.81	77251.92	95157.69	9538.775	108236.39	80427.83	1000.0	1000.0	47999	280.84595	280.84717	-279.53302	56.745983	1.3278453	1.3146648	2821.092109680176
13	81011.33	8196.887	89841.12	68216.04	95733.47	13440.619	125222.12	74961.695	1000.0	1000.0	51999	292.75775	292.75912	-291.3054	57.571438	1.3295723	1.3074954	3059.5184819698334
14	85181.96	11610.771	101418.58	69281.36	95968.016	11756.293	114255.34	78050.664	1000.0	1000.0	55999	300.59848	300.60095	-299.0208	60.314693	1.327593	1.2868571	3296.377489089966
15	91223.71	10030.3	104840.06	81314.47	93285.99	10936.372	114139.27	76631.28	1000.0	1000.0	59999	307.44125	307.44348	-305.67593	66.803764	1.3431445	1.3795958	3532.0050797462463
16	92752.08	15329.673	111154.73	68572.516	94395.0	11899.573	115142.86	74430.01	1000.0	1000.0	63999	315.25708	315.26035	-313.36188	71.79236	1.4030069	1.4080848	3766.837781906128
17	85160.24	14050.38	105926.16	66306.47	103063.586	13626.683	124165.27	82512.54	1000.0	1000.0	67999	321.8828	321.88617	-319.94476	72.306496	1.4503227	1.3552073	4003.3417768478394
18	93704.88	11678.772	111885.7	81784.77	108533.75	10609.267	124991.33	93213.36	1000.0	1000.0	71999	327.66885	327.6725	-325.67886	74.65211	1.4830577	1.3683877	4237.795128822327
19	103002.76	12872.874	120283.43	84154.88	123583.29	13782.808	144375.92	97095.26	1000.0	1000.0	75999	334.05298	334.05673	-332.01144	74.83472	1.4933667	1.3255248	4472.517748117447
20	94524.23	11093.306	107513.99	79435.94	107493.234	24052.62	145171.53	65821.48	1000.0	1000.0	79999	338.4181	338.42145	-336.29333	77.57146	1.4895935	1.3220552	4708.182776212692
21	98253.91	14524.182	122994.63	86477.19	106385.11	14736.058	134638.7	83419.03	1000.0	1000.0	83999	343.31985	343.32312	-341.10974	75.67307	1.5104605	1.3386447	4943.415071249008
22	124408.83	9539.113	140472.31	116935.23	116557.95	15882.231	137224.77	88975.555	1000.0	1000.0	87999	347.69333	347.69604	-345.4165	78.66958	1.5324421	1.351041	5178.919825077057
23	120695.2	15016.285	130195.04	94726.69	120976.6	23273.936	148505.25	82732.625	1000.0	1000.0	91999	352.37964	352.38315	-350.0691	80.83267	1.5369633	1.3420305	5411.795467615128
24	107805.64	16615.521	127995.375	82170.625	129129.125	13083.396	148146.67	106661.125	1000.0	1000.0	95999	358.06516	358.0685	-355.67026	81.09779	1.5862923	1.3700088	5646.085913658142
25	108374.73	8349.689	120258.22	98283.26	116602.17	19625.48	147174.44	78596.28	1000.0	1000.0	99999	364.49277	364.49557	-362.10568	83.54625	1.6318576	1.3422039	5881.352226734161
26	112481.72	10531.583	126283.03	96976.11	100056.93	12978.45	126667.75	81683.06	1000.0	1000.0	103999	370.90817	370.9126	-368.41147	87.58089	1.6793295	1.3782407	6114.559712171555
27	115804.72	14408.153	133370.92	101025.73	119562.48	11311.355	136288.84	94829.53	1000.0	1000.0	107999	376.76697	376.77045	-374.221	93.77536	1.7372868	1.3622134	6351.058245897293
28	118699.46	14952.35	140512.25	102196.63	130085.08	21365.88	162172.9	89424.17	1000.0	1000.0	111999	382.8369	382.84216	-380.22482	97.89309	1.7898618	1.3699532	6585.020756721497
29	108205.34	20114.22	128796.875	84882.49	128855.25	19481.566	163380.27	88776.625	1000.0	1000.0	115999	389.02747	389.0318	-386.32736	102.47761	1.8431259	1.3832847	6817.258237361908
30	120626.5	4158.896	126461.04	116286.89	113164.36	18503.857	148483.89	89509.266	1000.0	1000.0	119999	394.4849	394.48816	-391.7061	107.95249	1.8762391	1.389725	7050.2280831336975
31	124511.03	23896.873	150688.31	92083.21	125584.3	15381.651	151513.55	98576.96	1000.0	1000.0	123999	401.70343	401.7098	-398.81387	117.029	2.0036073	1.4382175	7285.610520839691
32	97066.06	3202.5557	99533.234	91565.266	122120.984	18515.033	144921.9	95577.414	1000.0	1000.0	127999	411.86935	411.87527	-408.915	132.18813	2.2448232	1.4705254	7519.230706453323
33	121440.29	8097.192	135339.31	115258.375	120244.81	17845.164	144191.05	83076.984	1000.0	1000.0	131999	426.1717	426.17603	-423.19003	155.65869	2.4766753	1.4388617	7753.346882581711
34	110962.77	19781.441	137053.14	81700.89	130812.336	13281.064	153795.64	109338.24	1000.0	1000.0	135999	442.64072	442.6456	-439.69177	163.07193	2.6437912	1.388092	7986.969302415848
35	116624.805	15796.609	134153.2	100213.79	144389.95	18894.742	160937.08	100448.98	1000.0	1000.0	139999	457.73383	457.73807	-454.77075	164.40216	2.7240248	1.3436348	8222.056030750275
36	137824.28	11101.161	153882.11	127134.734	122706.3	7904.3667	134992.44	109708.77	1000.0	1000.0	143999	468.8406	468.84348	-465.78287	172.29065	2.7655797	1.3240671	8458.247862577438
37	108138.71	7564.453	117084.15	96892.47	131459.16	20493.852	162254.81	91264.08	1000.0	1000.0	147999	479.0184	479.02197	-475.997	175.44325	2.7809308	1.2970787	8695.417399644852
38	127269.42	17725.92	151062.31	107766.01	140310.22	13936.424	163860.05	122895.28	1000.0	1000.0	151999	487.46484	487.4676	-484.33093	175.65579	2.788206	1.3084083	8932.950766324997
39	136319.4	9860.889	146845.03	126076.08	130308.79	13320.9795	152302.14	108198.73	1000.0	1000.0	155999	493.0807	493.08652	-489.9218	179.26472	2.8034377	1.2962333	9171.772585868835
40	120715.016	17913.973	150848.5	104477.516	143790.47	11367.008	159160.34	118403.26	1000.0	1000.0	159999	500.5778	500.58136	-497.45306	181.92728	2.849101	1.3014077	9409.735005617142
41	144699.23	15579.987	159026.7	119745.164	142706.98	18808.42	174936.0	96246.98	1000.0	1000.0	163999	508.93253	508.93436	-505.78415	181.92775	2.8739498	1.2847208	9652.23022031784
42	140884.95	11140.238	156076.19	125257.47	144470.42	16754.88	179918.81	123738.34	1000.0	1000.0	167999	513.6512	513.6534	-510.4783	175.91754	2.9056518	1.2391835	9894.357856273651
43	140982.47	11075.941	154312.33	126371.16	151992.05	15221.997	178332.23	127612.414	1000.0	1000.0	171999	519.28174	519.2838	-516.0464	176.82712	2.909825	1.2469684	10134.511184692383
44	134463.89	27889.76	157077.5	88155.76	152941.23	15556.796	178120.9	117806.586	1000.0	1000.0	175999	524.3496	524.35175	-520.98846	181.80978	2.9227328	1.292635	10375.037915945053
45	150098.67	24289.373	177205.81	115138.07	144237.03	14000.8125	159731.64	114090.54	1000.0	1000.0	179999	532.67487	532.6782	-529.28564	191.71378	3.0006123	1.3410509	10614.068155288696
46	143870.69	17881.123	162831.28	114723.06	152109.16	15824.202	177876.77	129427.12	1000.0	1000.0	183999	540.26434	540.2676	-537.0148	182.12706	3.0280108	1.2399083	10853.989597082138
47	151535.23	16101.294	171363.48	133484.72	148023.14	19370.754	180797.22	119548.5	1000.0	1000.0	187999	544.426	544.42865	-541.15027	176.5094	3.035309	1.2047192	11092.545110225677
48	148862.0	13359.301	169953.0	133007.3	153999.77	15494.94	178974.86	124418.07	1000.0	1000.0	191999	548.4268	548.4277	-545.0634	179.22528	3.0288532	1.2187891	11330.098661661148
49	150660.4	12268.089	167871.45	134342.34	154867.72	16746.174	179354.78	117003.72	1000.0	1000.0	195999	551.84406	551.8468	-548.4171	183.06456	3.0264223	1.2261163	11567.591844558716
50	154833.27	6680.7197	165428.86	148021.02	151239.53	16131.572	173726.16	112295.055	1000.0	1000.0	199999	555.0538	555.0576	-551.5072	187.72438	3.033142	1.2835798	11804.397196531296
51	137729.44	14202.968	157410.22	123307.13	156219.83	11808.367	175130.52	129269.68	1000.0	1000.0	203999	558.9916	558.995	-555.4259	189.2217	3.0400193	1.2691809	12037.874101161957
52	157317.05	8494.357	167213.39	144169.78	153504.42	15760.174	183178.44	130402.55	1000.0	1000.0	207999	561.7353	561.7358	-558.1245	191.55338	3.0404577	1.2627056	12273.654705524445
53	147350.72	9244.445	162582.36	137619.1	169717.62	15675.717	197959.75	150254.48	1000.0	1000.0	211999	562.2566	562.26074	-558.6565	191.85092	3.0399911	1.2466054	12508.216603040695
54	156589.03	9218.454	167413.47	144382.9	166761.03	21395.697	207056.52	141848.56	1000.0	1000.0	215999	564.8076	564.80853	-561.1744	196.33087	3.0422833	1.2670614	12742.006833553314
55	163161.03	8348.954	174972.94	152731.78	161485.31	16002.063	194879.58	144068.1	1000.0	1000.0	219999	567.2502	567.25305	-563.53375	197.38533	3.0396364	1.2600982	12974.590378284454
56	167284.98	15694.891	191544.34	150092.58	175463.34	8817.661	188378.64	162176.73	1000.0	1000.0	223999	569.6673	569.6687	-565.90076	198.59361	3.049768	1.2626277	13208.918245077133
57	178816.06	12925.947	197208.34	165981.05	167370.14	10076.439	181003.84	148589.5	1000.0	1000.0	227999	571.7477	571.7496	-567.9256	202.78603	3.063125	1.2767073	13445.42802119255
58	173151.98	10741.263	190730.3	161974.38	171198.5	23578.168	207918.14	128058.34	1000.0	1000.0	231999	576.1836	576.1847	-572.31506	212.33469	3.095674	1.3055824	13679.628927230835
59	154956.23	11801.573	174052.39	142486.8	178505.47	17838.758	211377.77	144808.84	1000.0	1000.0	235999	580.1556	580.1588	-576.2885	212.39203	3.097377	1.292231	13913.16533112526
60	174892.81	15686.664	188224.77	148472.0	163937.98	12479.475	180584.6	146882.05	1000.0	1000.0	239999	584.016	584.0179	-580.15576	204.76381	3.102577	1.2678211	14147.194900274277
61	162125.47	4011.3357	168373.39	157509.72	176197.31	18418.107	207454.22	140200.12	1000.0	1000.0	243999	586.2519	586.2549	-582.3285	205.98143	3.1124868	1.2799672	14382.896516799927
62	185929.5	6831.2847	194757.44	178335.88	170810.23	10755.126	185969.61	155709.5	1000.0	1000.0	247999	589.6374	589.6394	-585.5866	213.8541	3.131364	1.303065	14614.862219810486
63	167574.1	7750.6235	178400.25	156565.0	180241.88	13690.328	212519.58	164803.12	1000.0	1000.0	251999	592.6914	592.6929	-588.6408	216.67737	3.1389399	1.3058139	14849.475882053375
64	171770.69	11183.455	183802.22	156981.28	178076.81	15886.676	209570.64	152185.28	1000.0	1000.0	255999	596.7785	596.78107	-592.62646	223.92946	3.1566632	1.3351314	15080.954065084457
65	160351.16	9885.76	177464.64	154219.11	179783.08	16592.193	203526.42	147537.9	1000.0	1000.0	259999	600.9581	600.9608	-596.8632	235.15051	3.2060606	1.3012124	15317.902525663376
